"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Follicular B cell","gd T cell (cl9)","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD8","Naive 2 CD8","Naive CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"ADGRG1",0.0378364935705343,0.0293479209558721,0.462465999146988,2.94322465776365,3.76259808910696,1.15484460931539,0.0813428733225142,0.165583271806747,0.0373780215963873,2.98374492939901,0.375308281526288,0.0408078503849959,0.027625164008047,0.0338605651230748,0.0192071855496147,0.0229536669078439,0.105594227210136,0.0629140854306133,0.0197859893643363,2.67376581941405,0.741887144614386,0.0236387113787476,0.0184928011516952,0.0302007215437557,0.0256981708808599,0.0194710679145358,0.0587524277122645,0.0482210935660317,0.55516689586068
"ANPEP",0.0561070376456664,0.0480152993883528,0.129755639112845,0.125615925712474,0.0635446282322522,0.0405380919060753,0.0772776943994819,4.99997219445924,0.0545367950600066,0.0537021435328583,1.7358446051552,0.0417503312673188,0.0408209429869535,0.0308785034778203,0.0381743724110031,0.115983504627646,2.30676109274458,1.04053615167174,0.028959055598037,0.034686328505497,0.0830845637936826,0.051664204113243,0.0342196091084843,0.0374424636685741,0.0786196017803922,0.0758438973438787,0.126182447109265,0.0709639619249309,0.0408732252632914
"B3GAT1",0.0352714071059558,0.014772648087721,0.0840373000851841,0.246673393857912,0.946828822448921,0.572081097447056,0.146175456080025,0.0583158509182296,0.0285034066854004,3.03293292628659,0.0646996189489694,0.0556392849912151,0.027495392196769,0.023610094726137,0.019130112867387,0.0172242739107174,0.0362700975704615,0.0825985813515613,0.0297350986621667,3.72557960117161,0.86232301803648,0.0659989228474221,0.0514776658060334,0.0364523104971928,0.0252189052679968,0.0510684519303361,0.0247383167750535,0.0537908739346719,0.206095409266115
"BTLA",0.188396822233102,0.0115334536491937,0.00526369927926112,0.011254424596828,0.00447212883886393,0.00100865708647097,0.0478115352344571,0.0432243800746779,0.440281856231086,0.000677314509767028,0.00600262534709331,0.0219050206582271,0.0352276196948879,0.0105280028030002,0.0806217624314664,0.117274177663717,0.0121620121470031,0.265546932211556,0.167672721689426,0.00376023756566646,0.0252532842166583,0.0952216389924158,0.150778812903887,0.435484349310955,0.240838660946537,0.0332328141855445,0.148995201587326,0.00706342459013321,0.00766109278250241
"C5AR1",0.0208933242938329,0.00857905330639595,0.0335250654274005,0.04441906660164,0.0227397547177925,0.00694106413349672,0.0219278306942986,2.00936717657043,0.0176510705190341,0.00929794145379914,0.43876009507354,0.00737935564851748,0.012717350656319,0.00938316155491465,0.0132514897115174,0.0628700835196743,2.05242524344971,0.0444588784920444,0.00365899258249542,0.00527733691332046,0.0179633904860608,0.0185354075528502,0.00236608477327841,0.0143276274871022,0.0405299057239965,0.021673082105611,0.0491518633794075,0.0229959809891348,0.00788034452144429
"CCR4",0.0275629890892459,0.0335607535972078,0.0217409691162059,0.0248364240225742,0.0180689487485682,0.0196749396197549,0.465746019294014,0.0514943905474704,0.0248329400383478,0.0211941265856872,0.400677730169843,0.0370516882160058,0.0184236595613848,0.0157210402319214,0.0297080020466809,0.0200375524137592,0.0576546650677536,0.105130137155202,0.0179555802161682,0.0226974975224392,0.062832887102816,2.86271273153114,0.0175304277991999,0.0207820135392139,0.0697324933522391,0.899330023806961,0.0266315970755217,0.0225035919960468,0.0758460437337047
"CCR5",0.00500825948966549,3.48631647781072e-05,0.00747895559449942,0.00214040176079967,0.000285090259135616,0.000315904129020311,0.010082935456868,0.911226811167273,0.00608556933675052,0.00463156394280438,0.24767649874966,0.00135183967199963,0.000287672450705525,0.000317314745644026,0.000613481701069421,0.000866283878364307,0.166114819783304,0.0416566208212885,0.00174845711861075,0.00974081673389772,0.0879067428165966,0.0131154945671831,0.00447619134811201,0.0023001753382524,0.000799461949707454,0.00766784241116534,0.00160315999576588,0.00194489577706409,0.435239876314386
"CCR6",1.74379852836377,0.0175632816937883,0.0176335524586003,0.0129990010736143,0.011623770965703,0.0108185808226192,0.349893874070405,0.0216778262473291,2.2047318640412,0.0153450477011976,0.0215291835494278,0.0192144497738539,0.00871565966275028,0.00859259241323866,0.00912100604287678,0.00936252208338131,0.0179725738639764,0.0403398365874347,1.59107825759312,0.0106381598748723,0.00850216800569326,0.287113773288884,1.96636988428609,0.767667554270836,0.0107687724367317,0.133634972818134,0.0101072615717284,0.0102015404187143,0.153991217750509
"CD101",0.0192734961050386,0.0341105149686669,0.0738874554621175,0.0859215908860761,0.0805519511647667,0.0333247193258119,0.297122059671946,2.71691005845412,0.026109118285243,0.260526990217758,2.35680919555321,0.258875038428813,0.752179623248757,0.273485671706571,0.132757164787435,1.68662316695956,3.34793606919729,0.682674583240799,0.0089054753360512,0.472433226625955,1.07929550823859,0.131801565455686,0.017449416638208,0.0211735183833409,0.313946100647546,0.190751161959325,0.994237422402845,0.119703727845836,0.155133868244166
"CD14",0.00831115309592137,0.0137226824483781,0.0416574647976728,0.0389927116943901,0.0312769232912605,0.0129363742240535,0.0313954282569311,2.88008103714105,0.011498627993437,0.0177406467086687,0.894320466369003,0.019551740369893,0.0181725889673546,0.0155540780805652,0.0202051762443464,0.0467434506231513,0.257253928341223,0.0204823374207984,0.00705428878499375,0.0153810973294816,0.0160801778618195,0.0206510522039613,0.00145875173598224,0.0109511120915681,0.0312139657139452,0.0276869763306677,0.0538997193885902,0.0222783526210822,0.014649891858657
