"","Activated B cell","CD4dim Naive T cell","CD56bright NK","CD56dim CD122hi NK","CD56dim CD122int NK","CD56dim CD122lo NK","CD8+ MAIT cell","Classical Monocyte","Cytotoxic gd T cell","Follicular B cell","Intermediate Monocyte","ISG+ CD4 T cell","Naive 1 CD4","Naive 1 CD8","Naive 2 CD4","Naive 2 CD8","Naive 3 CD4","Naive Intermediate CD8","Non-classical Monocyte","pDC","Resting Naive B cell","TEMRA/CTL CD8","Tex CD8","Th2/Th17 EM CD4","TNF+ B cell","Transitional B cell","Transitional Memory CD4","Treg","Tscm CD8","Vd1 gd T cell","Vg9Vd2 gd T cell"
"ISG15",0.2484,0.0533,0.4646,0.6818,0.4643,0.6737,0.4833,0.5241,0.654,0.0851,0.4043,0.5358,0,0.0918,0.0474,0.1145,0.002,0.0272,0.9531,0.3017,0.0411,0.6551,0.649,0.5578,0.3762,0.2333,0.0374,0.478,0.0791,0.5062,1
"TNFRSF9",0.1807,0.0521,0.2126,0.3329,0.2969,0.3061,0.175,0.1167,1,0.0055,0.1856,0.015,0.0021,0.0046,0.0082,0.0137,0.0017,0.0018,0.0337,0.3441,0.0014,0.4749,0.4692,0.0399,0,0.0117,0.0065,0.1381,0.0131,0.1652,0.2202
"RUNX3",0.2403,0.0455,0.5199,0.6374,0.7601,0.7573,0.2754,0.1129,1,0.1184,0.414,0.1352,0.0163,0.2187,0.0393,0.1834,0.0325,0.1533,0.1377,0.1345,0.1533,0.9269,0.7181,0.141,0.1692,0.0947,0,0.0869,0.2488,0.4742,0.5013
"ZNF683",7e-04,0.0344,0.5935,0.1782,0.4216,0.4081,0.228,0.0092,0.5432,0.0011,0,0.0126,0.001,0.0095,0.0084,0.0308,4e-04,4e-04,0.003,0,0.009,1,0.4673,0.0223,0,0,0.0019,0.0044,0.0048,0.6051,0.0549
"IFI44L",0.5706,0.1595,0.2791,0.6189,0.3389,0.5526,0.1739,0.1382,0.6126,0.6524,0.184,0.5439,0.1041,0.1587,0.1667,0.173,0.1863,0.0688,0.2945,0.6641,0.608,0.3747,0.1217,0.2508,0.3933,1,0.2089,0.2916,0,0.1714,0.2146
"S1PR1",0.0711,0.5859,0.3467,0.2817,0.2884,0.3649,0.8903,0.0448,0.3995,0.5774,0.001,0.8199,0.5654,0.5821,0.7115,0.6008,0.7107,0.4709,0,0.0439,0.7002,0.4724,0.3814,1,0.4471,0.422,0.5064,0.6519,0.424,0.7457,0.4637
"CD160",0.0041,0.0395,0.1836,1,0.6988,0.543,0.0243,0.0125,0.4252,0.0118,0.0267,0.0112,0.0038,0.0093,0.0028,0.0179,0.0067,0.0036,0.0073,0.0147,0.0086,0.2706,0.1593,0.0112,0,0.004,0.0069,0.0025,0.0048,0.0458,0.2049
"S100A9",2e-04,0.0061,0.0026,0.001,6e-04,0.001,8e-04,0.5628,3e-04,4e-04,1,3e-04,5e-04,4e-04,6e-04,6e-04,5e-04,2e-04,0.1053,3e-04,8e-04,3e-04,1e-04,4e-04,6e-04,6e-04,8e-04,6e-04,0,7e-04,6e-04
"S100A12",9e-04,0.0029,0.0048,5e-04,0.0011,5e-04,0,0.5464,0,2e-04,1,0,4e-04,2e-04,1e-04,2e-04,3e-04,3e-04,0.0723,0.0019,5e-04,2e-04,0,0,0,2e-04,7e-04,0,0,0,0.0013
"S100A8",5e-04,0.0081,0.0013,7e-04,9e-04,7e-04,2e-04,0.72,4e-04,5e-04,1,2e-04,3e-04,2e-04,4e-04,4e-04,3e-04,2e-04,0.1264,1e-04,7e-04,5e-04,1e-04,2e-04,0,2e-04,3e-04,3e-04,2e-04,3e-04,3e-04
"CD1C",1,0.003,0,0.0039,0,0.0052,0,0.2954,0,0.8532,0.1726,0,5e-04,0,0,0,0,0,0.3956,0.2878,0.1532,0,0,0,0.1875,0.9823,0,0,0,0,0
"MNDA",0.0476,0.0065,0,0.0047,0.0022,0.0048,0.0038,1,0.006,0.0451,0.2509,0.001,7e-04,1e-04,5e-04,4e-04,2e-04,5e-04,0.7662,0.1273,0.0354,0.0204,0.0555,0.003,0.0095,0.0319,6e-04,8e-04,0.0015,1e-04,0.0066
