"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",9.5033057680894e-191,8.22066282000864,0.55,0.012,2.13026102097492e-186
"ENSG00000280441",1.57417460913754e-153,8.34292047939993,0.477,0.065,3.52866980384271e-149
"MT-ATP8",7.41581542836407e-132,2.35364439991046,0.792,0.675,1.66232918642209e-127
"APOO",1.24366936196443e-103,4.72790372016287,0.409,0.035,2.78780924177947e-99
"ENSG00000257322",6.55880794872395e-87,6.51075294704513,0.301,0.005,1.47022238978596e-82
"PTPRCAP",3.52429258265173e-77,1.6974024322549,0.625,0.431,7.90005425327212e-73
"RPL41",1.60715761961239e-72,-0.465054001965814,0.999,1,3.60260452012313e-68
"LINC02446",1.04510765204499e-68,2.41345456021705,0.481,0.135,2.34271331282406e-64
"ENSG00000276241",6.13624994555818e-62,-1.96781424439604,0.208,0.549,1.37550178779632e-57
"HLA-C",1.66817424117548e-56,-0.362052663878382,0.999,1,3.73937937901895e-52
"RASGEF1B",1.556515542074e-52,-0.726320929719875,0.321,0.654,3.48908523911309e-48
"ENSG00000274767",4.96890456565585e-51,-3.01843152025318,0.037,0.276,1.11382964743741e-46
"MT-ATP6",1.7364894813558e-49,-0.29063045827809,0.816,0.985,3.89251482140716e-45
"LINC00486",1.05206707228047e-48,-1.32753836507457,0.148,0.443,2.35831354922389e-44
"RPS27",8.22028990745099e-48,0.38196443146715,1,1,1.84266018565421e-43
"CCL3L3",3.06067722252658e-46,-4.32601521237208,0.01,0.191,6.86081406201559e-42
"HEBP2",3.62768627444871e-45,-3.74229157370626,0.012,0.192,8.13182155280422e-41
"TRBV20-1",5.69691271585691e-44,-2.60422448071257,0.025,0.22,1.27701995438649e-39
"ENSG00000278996",7.2509366285537e-43,2.43402086413966,0.355,0.118,1.6253699546566e-38
"CCL4L2",2.33133484938897e-42,-1.88324705856693,0.122,0.394,5.22592019839031e-38
"FP236383.3",1.793729328091e-41,14.2957491164404,0.137,0,4.02082366184879e-37
"ENSG00000273149",8.1979740921054e-40,-0.980892337777629,0.21,0.491,1.83765787248635e-35
"MT-ND3",1.43036664572592e-39,0.629288669762141,0.94,0.89,3.20630987305923e-35
"MT2A",4.67153815637949e-39,1.31064282100986,0.669,0.477,1.04717199313403e-34
"H3F3A",3.84844255963009e-38,10.1183969413812,0.126,0,8.62666884166681e-34
"ANK2",3.92979960768038e-37,7.28304648484739,0.132,0.001,8.80903880057633e-33
"H3F3B",6.16095303799602e-37,10.2385131436403,0.123,0,1.38103923299719e-32
"RPS19",7.05568749052001e-37,0.376938001076306,1,1,1.58160290787497e-32
