"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STAT1",0,-2.47721744720193,0.434,0.624,0
"ENO1",3.1561780967947e-295,-1.26101852345601,0.881,0.96,7.07488882177501e-291
"GBP5",4.56786271871772e-288,-2.68104143746616,0.331,0.539,1.02393210702776e-283
"TCAF2",5.94243103031574e-274,-2.24262215125755,0.241,0.601,1.33205533975558e-269
"IGFBP2",2.87829939549088e-262,-1.68106051250707,0.242,0.694,6.45199592493236e-258
"TPI1",6.87408435333902e-257,-1.35976130789472,0.679,0.878,1.54089474864448e-252
"LDHA",1.53636265498174e-255,-1.17985181032731,0.828,0.944,3.44391052740706e-251
"PGK1",5.10382885190423e-255,-1.17886870751367,0.844,0.94,1.14407427544285e-250
"C4orf3",1.08594706872223e-213,-1.17880067451803,0.671,0.85,2.43425894924774e-209
"MIF",7.3480226087471e-211,-0.948068992313574,0.931,0.972,1.64713274797675e-206
"GBP2",4.93254145736902e-210,-1.3263816117869,0.662,0.795,1.10567849308384e-205
"BNIP3L",2.0392956697701e-204,-1.25694940826354,0.542,0.799,4.57128517335665e-200
"GBP1",1.00633488620934e-201,-2.34120226513342,0.193,0.44,2.25580028092685e-197
"PKM",4.54934745105966e-196,-1.0680639036293,0.687,0.886,1.01978172462953e-191
"IRF1",1.45139917015019e-195,-1.54876987422812,0.477,0.645,3.25345637980866e-191
"BNIP3",5.34502692645667e-188,-1.45641296144542,0.428,0.728,1.19814123583453e-183
"GAPDH",3.21354693304598e-179,-0.942025223018267,0.886,0.95,7.20348680511586e-175
"FAM162A",9.78937262029548e-171,-1.27313265321436,0.466,0.744,2.19438576656543e-166
"GBP4",2.37524724740567e-165,-1.5611381632787,0.364,0.521,5.32435422978456e-161
"GPI",1.00844951481122e-162,-1.18193504286208,0.533,0.774,2.26054043240084e-158
"ALDOA",1.78915445145732e-157,-0.940477348215259,0.708,0.881,4.01056861838673e-153
"P4HA1",1.34658941328262e-154,-1.43959595912834,0.284,0.608,3.01851482881432e-150
"PNRC1",1.41320828395274e-139,-0.623167804816447,0.972,0.989,3.16784768930846e-135
"KLF2",3.5536517218154e-136,0.879733851733703,0.874,0.636,7.9658656996214e-132
"MT-CYB",1.26885605631525e-129,0.63318735675799,0.986,0.948,2.84426773583627e-125
