"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGAX",2.77105776574826e-21,-2.93845705723196,0.168,0.744,3.79634913907512e-19
"CLEC12A",6.64290655392858e-21,-2.9666235908369,0.036,0.512,9.10078197888216e-19
"CD8A",1.54074141438602e-20,-6.61883429693974,0.309,0.814,2.11081573770884e-18
"CD7",2.8809330612477e-18,-5.80737410238969,0.209,0.674,3.94687829390935e-16
"CD45RA",6.41459879592782e-17,-4.63329320217355,0.623,0.919,8.78800035042112e-15
"CD4",9.88950191909612e-17,-1.30776441100772,0.55,0.058,1.35486176291617e-14
"CD33",2.10305749907848e-15,-4.25092846437419,0.05,0.442,2.88118877373752e-13
"CD45",2.31653165050124e-15,-4.58591965982538,0.868,0.977,3.1736483611867e-13
"CD244",4.35205936197788e-14,-2.119100733228,0.414,0.86,5.9623213259097e-12
"CR1",2.2655908182347e-12,-5.02080889081761,0.077,0.442,3.10385942098154e-10
"CD3D",2.53590520367937e-12,-3.94103883348349,0.791,0.988,3.47419012904074e-10
"CD5",7.09559798934003e-10,0.287694738083,0.65,0.244,9.72096924539584e-08
"KLRD1",1.27673254984784e-08,0.148594000673745,0.173,0.523,1.74912359329153e-06
"SIGLEC7",1.27426440743126e-07,-2.2952775095929,0.109,0.372,1.74574223818083e-05
"ITGB1",6.32690001388441e-07,3.22039825122214,0.45,0.244,8.66785301902164e-05
"ITGAL",7.61718476172193e-07,-3.18929466568143,0.945,0.988,0.00010435543123559
"ICAM1",2.3854515666326e-06,-1.86560385172744,0.186,0.419,0.000326806864628666
"ITGB2",8.89176985706551e-06,-2.33554973478163,0.859,0.988,0.00121817247041798
"FCGR1A",3.33384402236648e-05,-4.37843239840285,0.018,0.151,0.00456736631064207
"ITGA4",7.83439551774158e-05,0.431563603446357,0.723,0.895,0.010733121859306
"HLA-A",8.81314035963906e-05,1.78227424744864,0.505,0.581,0.0120740022927055
"B3GAT1",0.000152696335238534,11.4295673301473,0.855,0.64,0.0209193979276792
"ADGRG1",0.000157929107638437,-0.840689855171739,0.718,0.919,0.0216362877464659
"HLA-DRA",0.000517065802441931,-0.860721858638063,0.05,0.198,0.0708380149345445
"CD44",0.000528838344799302,-3.58292087811403,0.755,0.907,0.0724508532375043
"CD38",0.000566086270727115,-1.83453988638668,0.286,0.5,0.0775538190896148
