"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45",1.79834661813215e-32,-3.44890363467435,0.904,0.992,2.46373486684104e-30
"CD244",4.72780889461666e-26,-2.43690329003421,0.478,0.908,6.47709818562483e-24
"CD27",1.45219030331028e-17,-9.23045470320432,0.172,0.544,1.98950071553509e-15
"CD5",6.39597984742597e-16,-4.21930073641315,0.682,0.887,8.76249239097358e-14
"CD45RA",6.12278352599079e-15,-5.60411587585916,0.65,0.259,8.38821343060738e-13
"CLEC12A",9.80108218180654e-15,-6.02456376353725,0.064,0.377,1.3427482589075e-12
"FAS",2.51836458358153e-14,-2.64259666114362,0.223,0.594,3.4501594795067e-12
"CD7",4.90166148282796e-14,-3.69216960560633,0.586,0.799,6.7152762314743e-12
"CD38",5.70856667791867e-14,-1.89231626922525,0.414,0.736,7.82073634874857e-12
"CD3D",1.28412788660642e-13,-1.34536740509907,0.879,0.996,1.75925520465079e-11
"CD101",3.25597753705448e-13,4.67688688421037,0.178,0.527,4.46068922576464e-11
"CD33",5.67934754818307e-13,-2.38162987515488,0.045,0.339,7.78070614101081e-11
"ENTPD1",1.50388348046166e-12,-8.28638401883381,0.057,0.343,2.06032036823247e-10
"ITGAX",2.03110112348938e-12,-14.0872598801707,0.089,0.397,2.78260853918045e-10
"TIGIT",3.62285808752753e-12,-3.03672207486164,0.115,0.431,4.96331557991272e-10
"CD8A",1.65981692737859e-11,0.271796370798654,0.994,1,2.27394919050867e-09
"CD45RO",2.12234943114483e-11,-3.94714173482438,0.089,0.385,2.90761872066842e-09
"B3GAT1",3.51580441690127e-11,2.04936914568323,0.389,0.096,4.81665205115474e-09
"CD52",7.48568488742592e-11,-3.18076415897704,0.14,0.435,1.02553882957735e-08
"CD99",2.44358682200541e-10,-5.47743566020847,0.86,0.933,3.34771394614741e-08
"SELL",2.61837080333821e-10,-0.254885185138573,0.758,0.431,3.58716800057335e-08
"ITGAL",1.61630891821259e-09,-3.60923400439287,0.962,0.983,2.21434321795125e-07
"HLA-DRA",2.59051720818689e-09,-6.24730849423706,0.096,0.335,3.54900857521604e-07
"ICAM1",3.21585597807359e-09,-6.07926836344932,0.153,0.423,4.40572268996081e-07
"ITGB2",6.60944480380604e-09,-3.57585542607949,0.936,0.987,9.05493938121427e-07
"CD44",4.65056164602182e-08,-0.517285793746151,0.854,0.933,6.3712694550499e-06
"ADGRG1",5.98007257671459e-08,0.797946279777992,0.65,0.448,8.19269943009898e-06
"CD48",4.13190085566346e-07,-1.26264342416079,0.949,0.975,5.66070417225894e-05
"CD86",3.5404429337041e-06,-17.0726760189086,0.038,0.192,0.000485040681917462
"TCR-AB",1.00850247071505e-05,-2.22096805313463,0.573,0.69,0.00138164838487962
"CD58",4.24975927130744e-05,-2.27678571491973,0.051,0.197,0.0058221702016912
"ICOS",5.20864768440349e-05,-8.59145394702982,0.045,0.18,0.00713584732763279
"FCGR3A",7.82011153484173e-05,4.280462374101,0.146,0.033,0.0107135528027332
"SELP",0.000113342935078208,-4.17993510526428,0.019,0.117,0.0155279821057145
"CD2",0.000168974636326518,-1.30477384086756,0.955,0.983,0.0231495251767329
"ITGB7",0.00103142750090952,10.0998083567555,0.159,0.297,0.141305567624605
"ITGB1",0.00131812118884728,2.50583320313581,0.261,0.188,0.180582602872077
"SIGLEC7",0.00173785406964976,-0.98228327462832,0.089,0.213,0.238086007542017
"CR1",0.00182005874207705,-1.26594766513595,0.102,0.238,0.249348047664555
"KLRG1",0.00296765822999286,-2.48688046727462,0.439,0.607,0.406569177509021
"CCR5",0.0039774613251203,-0.523410162929858,0.038,0.126,0.544912201541482
"CD81",0.00423352957014324,-1.88155753872106,0.452,0.519,0.579993551109623
"SIGLEC1",0.00516075027622862,-1.67959823709638,0.013,0.079,0.707022787843322
"SLAMF6",0.00656638314705963,-0.774696294891069,0.624,0.762,0.899594491147169
"FCGR2A",0.0119298675791863,-2.65136847170263,0.006,0.059,1
"ANPEP",0.0167568280806221,-0.319467276533838,0.038,0.1,1
"PECAM1",0.0191560595466347,-0.552939722328168,0.051,0.117,1
"ITGA4",0.0195173539734446,0.140777720974171,0.783,0.874,1
"CD47",0.0204416127702488,-1.1222322055464,0.121,0.226,1
"IGHD",0.0208779023741688,16.5506345060571,0.064,0.013,1
"LAMP1",0.0227211233754506,-4.84753588050322,0.013,0.067,1
"CD19",0.0272446317810651,7.33646404600395,0.102,0.038,1
"CR2",0.0395617649883565,11.1917104524911,0.115,0.046,1
"CD1C",0.0640465552239086,6.55428959819912,0.038,0.075,1
"TFRC",0.0770614353412552,-2.89655238696484,0.038,0.088,1
"CD69",0.0794382954327927,1.50116530148468,0.07,0.134,1
"CD226",0.0959582576544708,-1.23675558104237,0.019,0.063,1
"HLA-A",0.119564446890257,0.122969307100184,0.42,0.523,1
"KIR3DL1",0.119725647368994,-10.0978589903162,0.045,0.079,1
"CXCR5",0.136677796476743,-0.783888201568164,0.064,0.038,1
"ITGA2",0.138021065067102,-2.74961420243439,0.025,0.054,1
"ITGAM",0.208234075971778,-1.38657108480207,0.019,0.05,1
"NT5E",0.242959476736264,1.0334097658694,0.083,0.042,1
"IFNGR1",0.31797717694298,-2.61097798956401,0.038,0.059,1
"IL3RA",0.353653493274313,2.29924095540469,0.032,0.059,1
"ITGAE",0.482234738824756,22.6932968736964,0.083,0.067,1
"ENG",0.486813640191778,0.307341781821279,0.057,0.033,1
"TCR-vD2",0.508117613753141,6.56204532164582,0.051,0.029,1
"CD22",0.568042872138796,1.34842594230017,0.096,0.067,1
"MCAM",0.6444394359533,-1.43610898042198,0.032,0.05,1
"CD40",0.657022766027055,-0.368155601508507,0.051,0.038,1
"FCGR1A",0.663075162307793,0.628371865074092,0.083,0.092,1
"LAG3",0.812741803735196,-0.419328033499027,0.038,0.05,1
"ITGA1",0.909815419577871,-7.21482443157799,0.089,0.1,1
"CD28",0.943351981931149,-0.408748580405465,0.045,0.05,1
