"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45",1.95235431824622e-88,-2.69116621065464,0.909,0.986,2.67472541599732e-86
"ITGB1",2.9871040204402e-66,3.95329489028519,0.403,0.249,4.09233250800307e-64
"CD3D",1.08278347711157e-65,-3.07337446784359,0.894,0.989,1.48341336364285e-63
"ITGAL",1.5580273654488e-63,-4.6297054906708,0.965,0.995,2.13449749066486e-61
"CLEC12A",3.80424166853854e-58,-8.11686754374356,0.032,0.285,5.2118110858978e-56
"CD8A",7.57610057930126e-52,-12.1539683505435,0.991,1,1.03792577936427e-49
"CD44",6.742507973253e-43,13.711192014961,0.865,0.944,9.23723592335661e-41
"TCR-AB",2.12602349078697e-40,2.50384055645534,0.564,0.758,2.91265218237814e-38
"ITGB2",2.16642288807578e-40,-2.94973012611475,0.907,0.989,2.96799935666381e-38
"CD33",6.90893869152685e-32,-13.4940292224017,0.05,0.235,9.46524600739178e-30
"ITGAX",3.19313923045082e-30,-5.20743874928369,0.138,0.353,4.37460074571762e-28
"CD5",1.1777789669955e-29,-3.31502178360149,0.707,0.729,1.61355718478384e-27
"CD52",6.70203613498567e-29,-4.20639666072782,0.115,0.322,9.18178950493037e-27
"CD7",2.03330684389241e-27,-4.46926899352116,0.433,0.605,2.78563037613259e-25
"CD45RA",6.16611498328822e-27,-2.44639890917256,0.759,0.59,8.44757752710487e-25
"CD2",4.64877378491324e-25,-3.32709771502782,0.921,0.973,6.36882008533114e-23
"FCGR3A",7.76513178399426e-24,5.91079382035426,0.233,0.076,1.06382305440721e-21
"CD48",4.51961776160178e-21,-0.578270541617774,0.928,0.957,6.19187633339444e-19
"CD244",1.29132217353269e-19,-0.526906371615012,0.564,0.764,1.76911137773978e-17
"HLA-A",6.90496196454248e-18,1.59889061723504,0.495,0.439,9.45979789142321e-16
"FAS",6.87946706825886e-15,-1.74961421324901,0.128,0.268,9.42486988351463e-13
"ICAM1",4.85882846672145e-14,-2.70961659116916,0.097,0.22,6.65659499940839e-12
"SELL",4.20739054929434e-13,4.38928839552504,0.301,0.165,5.76412505253324e-11
"ITGA4",6.56800915996882e-13,-2.01862882413675,0.838,0.942,8.99817254915728e-11
"CD101",1.01129016279571e-12,1.46646171551165,0.251,0.398,1.38546752303012e-10
"SIGLEC7",1.45103232895761e-12,-1.49891531632169,0.067,0.176,1.98791429067192e-10
"CD86",3.58361931386943e-12,-2.62042950992717,0.047,0.143,4.90955846000112e-10
"CR1",5.6861335695036e-12,-10.1022800904015,0.06,0.16,7.79000299021993e-10
"SIGLEC1",2.36567920102066e-11,-3.22299811669256,0.013,0.072,3.2409805053983e-09
"CD45RO",2.37206947490446e-11,-2.58575657936734,0.034,0.112,3.2497351806191e-09
"TIGIT",2.86893067528989e-11,-2.51529131425377,0.037,0.116,3.93043502514715e-09
"CD27",3.02115484781595e-11,-2.5326665376177,0.074,0.175,4.13898214150786e-09
"CD226",3.04219385682903e-08,1.97679564155755,0.093,0.031,4.16780558385577e-06
"IL3RA",5.1612044094506e-08,-2.84205698821624,0.017,0.064,7.07085004094732e-06
"CD47",8.58744065562535e-08,0.9911179580392,0.186,0.095,1.17647936982067e-05
"CD69",1.33835095767853e-07,2.86355761371917,0.128,0.066,1.83354081201958e-05
"CD81",6.30992614416422e-07,-0.9064542079294,0.447,0.526,8.64459881750499e-05
"B3GAT1",4.46091693616779e-06,8.79135789748985,0.757,0.654,0.000611145620254987
"CD99",6.21823163648208e-06,-0.715194663121958,0.859,0.916,0.000851897734198044
"KLRD1",1.99169890457863e-05,3.4414938566266,0.372,0.318,0.00272862749927273
"ITGAM",3.87992333020602e-05,0.439705873597594,0.033,0.079,0.00531549496238225
"HLA-DRA",9.13176886147405e-05,-10.4309257028968,0.043,0.089,0.0125105233402194
"CD58",0.000347705407048103,-1.5030741061509,0.078,0.133,0.0476356407655902
"ADGRG1",0.000873567391161837,-0.439994727011099,0.83,0.89,0.119678732589172
"SELP",0.00123703760461827,-2.19559597432079,0.03,0.058,0.169474151832702
"SLAMF6",0.00183961265625116,-0.428453051377056,0.636,0.7,0.252026933906408
"ANPEP",0.0037258859956184,-1.80275147969198,0.052,0.081,0.510446381399721
"LAG3",0.005226322416937,-1.53987071646698,0.025,0.052,0.716006171120368
"ICOS",0.00708820283264376,-2.5643133810659,0.041,0.074,0.971083788072195
"FCGR1A",0.00821736884872309,-0.144648788701629,0.045,0.079,1
"CR2",0.00822554485386731,-3.96958170501829,0.086,0.057,1
"KLRG1",0.0440297282210847,-0.276699767996443,0.44,0.497,1
"NT5E",0.0459507246674421,-0.91333104666137,0.034,0.053,1
"KIR3DL1",0.0855712874196546,3.47085178342613,0.051,0.076,1
"ITGA1",0.110876632223636,1.92787749354068,0.075,0.081,1
"KIR2DL1",0.169189919943901,-0.7797751260587,0.055,0.041,1
"ENTPD1",0.235680128603521,-0.443563236848118,0.075,0.094,1
"CD19",0.279557673429704,-1.5465906177902,0.08,0.062,1
"TCR-vA7.2",0.404184466410422,0.318856623228216,0.051,0.049,1
"CD1C",0.430197850092793,-0.83049838108712,0.048,0.061,1
"CD22",0.671573631917577,-5.71570496605043,0.059,0.052,1
"MCAM",0.750687209453247,-0.66750853269467,0.056,0.049,1
"LAMP1",0.802410490297679,-0.18183670360971,0.056,0.064,1
"ITGB7",0.840631523335348,0.807451014109145,0.093,0.092,1
