"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45RO",0,-11.7715154303218,0,1,0
"SELL",1.07212245147551e-321,-16.5013377814477,0.989,0.997,1.46880775852144e-319
"FAS",6.35858936575858e-155,-11.39382703207,0,0.235,8.71126743108925e-153
"HLA-A",1.75139489148348e-86,-0.853845498076684,0.425,0.668,2.39941100133237e-84
"IL7R",6.85480737427608e-78,-1.64156508664429,0.482,0.726,9.39108610275823e-76
"CD28",5.05887263928553e-73,-2.26487793631367,0.316,0.569,6.93065551582118e-71
"ICOS",8.88162111726512e-65,-3.62489130178758,0.499,0.697,1.21678209306532e-62
"CD5",8.50939547456634e-64,-0.954868435911667,0.998,1,1.16578718001559e-61
"CD3D",4.75567443336024e-60,-2.33484799153888,0.962,0.99,6.51527397370353e-58
"CD44",3.22974100406071e-58,-1.51147826750582,0.964,0.994,4.42474517556317e-56
"TNFRSF9",8.46877170814319e-58,-2.53237376284361,0.067,0.242,1.16022172401562e-55
"BTLA",3.47276900132777e-53,-2.43922784165277,0.061,0.225,4.75769353181904e-51
"PECAM1",3.61317424822218e-51,-2.35750494387435,0.366,0.558,4.95004872006439e-49
"TCR-AB",8.93090065579416e-51,-2.45930836045619,0.484,0.672,1.2235333898438e-48
"SLAMF6",1.18076478033692e-48,-1.56539357004028,0.332,0.527,1.61764774906159e-46
"DPP4",2.63472283684355e-44,-2.98296680266812,0.321,0.491,3.60957028647566e-42
"CD27",7.2708636436511e-42,0.39857360378624,0.834,0.909,9.96108319180201e-40
"CD99",6.44405905947303e-40,-10.5340461783726,0.233,0.41,8.82836091147806e-38
"CD45",4.2010311515236e-37,-1.44135288621283,0.992,0.995,5.75541267758734e-35
"CD52",1.08184057926944e-36,-1.61546689593236,0.367,0.518,1.48212159359914e-34
"CD2",1.3143893431245e-34,-1.82278299528706,0.998,1,1.80071340008057e-32
"CD47",5.11272214960458e-34,-1.3970715943333,0.203,0.371,7.00442934495827e-32
"TFRC",3.08793638155825e-31,-3.48686921799902,0.036,0.135,4.23047284273481e-29
"CD7",3.9259208695795e-30,-2.4469053772058,0.992,0.994,5.37851159132392e-28
"ITGA4",6.44172205582556e-29,-1.97310553670301,0.422,0.551,8.82515921648102e-27
"ITGB1",7.69335906788316e-29,-5.45015992628132,0.015,0.089,1.05399019229999e-26
"CD45RA",2.18300927910407e-28,-0.925428643797547,0.983,0.96,2.99072271237258e-26
"ITGA1",1.50267443316303e-27,-4.49461585623584,0.088,0.204,2.05866397343335e-25
"ITGB7",1.4178082795867e-26,-3.51008326840421,0.383,0.521,1.94239734303377e-24
"HLA-E",2.32458135102727e-25,-1.09596991361925,0.118,0.246,3.18467645090736e-23
"CD81",1.72321484760819e-23,-1.55707342491061,0.093,0.205,2.36080434122322e-21
"CD8A",6.39069362954548e-21,-3.64255249660334,0.999,0.98,8.75525027247731e-19
"ITGB2",2.72507419516248e-19,-3.87388876863173,0.682,0.78,3.7333516473726e-17
"KLRK1",6.28710636224621e-16,-2.23215766798152,0.041,0.107,8.61333571627731e-14
"NT5E",2.82666319409542e-12,-4.47294662097954,0.691,0.741,3.87252857591073e-10
"TNFRSF14",1.26420328087219e-11,-1.26604513999438,0.055,0.116,1.7319584947949e-09
"CD101",1.23589009499517e-10,-1.59424277389023,0.35,0.429,1.69316943014338e-08
"GGT1",3.18271126130803e-08,-1.56152308839351,0.033,0.074,4.36031442799201e-06
"ITGAL",5.1663347935289e-08,-2.12604733409732,0.783,0.847,7.0778786671346e-06
"IL3RA",2.08775305844036e-07,-3.75374222080472,0.02,0.052,2.8602216900633e-05
"CD38",1.32426161647537e-06,8.06466245340054,0.655,0.701,0.000181423841457126
"LAMP1",2.30655850454725e-06,0.619535538540283,0.033,0.068,0.000315998515122973
"ITGAM",1.10901888945276e-05,-13.5946371533577,0.024,0.05,0.00151935587855028
"CLEC12A",0.000502189290796295,-5.5045632703388,0.032,0.057,0.0687999328390924
"CD19",0.000525320169790494,0.887899675044892,0.082,0.052,0.0719688632612976
"CLEC4C",0.00133061144187366,-1.18724204469584,0.031,0.052,0.182293767536691
"CD33",0.00447181671564614,-22.0505965115511,0.047,0.071,0.612638890043521
"MCAM",0.00511620360965877,-4.55130519181871,0.058,0.085,0.700919894523252
"ITGAE",0.0132347101956725,-11.761073615186,0.094,0.12,1
"CD1C",0.0586661635366998,-0.217367764615202,0.056,0.046,1
"ICAM1",0.197715890613676,-1.03679251564507,0.066,0.081,1
"IGHD",0.220414429359507,0.555539198532926,0.062,0.053,1
"CR2",0.294200727560815,-4.43512563521551,0.489,0.468,1
"CR1",0.668923925732045,-0.570908515083006,0.282,0.294,1
