"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8A",0,17.5113355207733,0.999,0.41,0
"SELL",2.1527711195965e-181,-13.2406760472283,0.72,0.929,2.94929643384721e-179
"CD2",7.5081082909398e-114,2.79934707789035,1,0.903,1.02861083585875e-111
"ITGA4",8.84165128730463e-79,-0.189554987008417,0.811,0.37,1.21130622636073e-76
"CD4",2.82200181262009e-68,-4.82296109696159,0.018,0.286,3.86614248328952e-66
"CD5",1.54981471105956e-66,1.17779423332082,0.998,0.873,2.1232461541516e-64
"CD45RA",4.12866507017648e-65,1.39886005857829,0.992,0.942,5.65627114614177e-63
"CD7",5.34981653500846e-65,-3.54485486952771,0.996,0.778,7.32924865296159e-63
"ITGB2",2.69032184858047e-62,0.107684342851409,0.93,0.618,3.68574093255525e-60
"CD44",2.5765340051743e-50,-0.701269945307615,0.983,0.776,3.52985158708879e-48
"CD3D",1.44864077767312e-49,-0.394376302116341,0.98,0.812,1.98463786541218e-47
"ITGAL",3.79469953124189e-49,0.432860532801254,0.91,0.618,5.19873835780139e-47
"CD45",6.73778812283223e-40,0.875489452044744,0.988,0.857,9.23076972828016e-38
"NT5E",7.88045436478094e-35,-0.454770169356467,0.699,0.398,1.07962224797499e-32
"ITGB7",1.00415552343336e-33,0.265099292435544,0.522,0.23,1.3756930671037e-31
"CR2",3.53342378921987e-31,-1.65063533453853,0.577,0.311,4.84079059123123e-29
"CD101",8.81803659194018e-30,4.59058600666901,0.311,0.087,1.20807101309581e-27
"CD52",4.23217790323434e-27,0.264854329566615,0.548,0.285,5.79808372743105e-25
"TCR-AB",9.28783318445861e-26,-0.70020095983393,0.564,0.309,1.27243314627083e-23
"CD99",7.58176161811073e-20,-1.63553158210956,0.261,0.41,1.03870134168117e-17
"CD38",8.89424787008371e-16,-0.662615192126519,0.442,0.248,1.21851195820147e-13
"CR1",5.96768683950933e-15,-4.16055632270128,0.346,0.276,8.17573097012778e-13
"CLEC4C",8.47002448197184e-15,-11.0553438959865,0.017,0.092,1.16039335403014e-12
"CD48",1.99344553070827e-13,-0.583889055266062,0.999,0.972,2.73102037707034e-11
"CD28",1.85736286612097e-12,-2.76618831485533,0.265,0.248,2.54458712658573e-10
"DPP4",9.66926051638567e-11,0.504613684239641,0.264,0.133,1.32468869074484e-08
"SLAMF6",7.95205827527536e-09,0.406624800152444,0.413,0.275,1.08943198371272e-06
"CD81",1.53125202880662e-08,0.885291581913827,0.226,0.115,2.09781527946508e-06
"IL7R",3.08338726912875e-06,-0.442992088235855,0.336,0.314,0.000422424055870639
"ICOS",1.90072815996701e-05,0.278537262399775,0.338,0.253,0.00260399757915481
"HLA-A",6.55356948024288e-05,-0.535616907460248,0.45,0.345,0.00897839018793274
"ICAM1",0.000129823683285728,-6.51144308289126,0.073,0.127,0.0177858446101447
"CD69",0.000151507159939832,0.241644712212057,0.122,0.062,0.020756480911757
"LAMP1",0.000182295361425676,2.02984103640404,0.104,0.058,0.0249744645153175
"PECAM1",0.000186149433774934,0.549020233895974,0.345,0.255,0.025502472427166
"ENG",0.000276367619492929,-1.01042437471628,0.05,0.016,0.0378623638705313
"ITGB1",0.000329490621083206,-0.583867036267256,0.023,0.061,0.0451402150883993
"KLRG1",0.000640150468381012,-3.74396985988123,0.035,0.069,0.0877006141681987
"SIGLEC7",0.00255432750759072,-0.58235661142597,0.06,0.105,0.349942868539929
"TCR-vA7.2",0.0152036407728212,-0.808537946588226,0.039,0.071,1
"CD19",0.0287591973285828,2.07547633594962,0.057,0.066,1
"ADGRG1",0.0467947190790915,-0.620690813549574,0.031,0.054,1
"FCGR1A",0.0577562621772764,-1.0871691577831,0.034,0.054,1
"ITGAE",0.0638258105037563,-3.86241480745274,0.048,0.072,1
"ITGAX",0.0642661128606901,0.451060222636615,0.079,0.102,1
"ITGA1",0.0749819156580418,2.67400044584258,0.135,0.161,1
"CD47",0.0894759334175324,-1.08672464135825,0.27,0.224,1
"CD22",0.260082563912387,0.115544117305261,0.062,0.051,1
"KIR3DL1",0.377797914598821,1.5955976739627,0.043,0.054,1
"CD33",0.384473320954437,-0.366378953836737,0.061,0.062,1
"CD1C",0.434022573079715,10.2595333770285,0.047,0.058,1
"ENTPD1",0.672019311701684,0.483444791638453,0.051,0.053,1
"CLEC12A",0.679438560138535,-0.309242239912548,0.064,0.062,1
"IGHD",0.695788880930864,1.56265987708123,0.042,0.051,1
