"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HLA-B",3.10186122146246e-29,0.588685039251724,1,1,6.95313211403024e-25
"HLA-DRB1",5.47418294488368e-29,-2.09180252207274,0.478,0.908,1.22709284892513e-24
"MT-ATP8",1.31850598183319e-28,2.42753304814488,0.739,0.715,2.95556300887728e-24
"RBFOX2",9.74205921253805e-26,7.24471429386413,0.369,0.021,2.18377999308253e-21
"LINC02446",1.1488533884379e-23,3.47044747756072,0.497,0.088,2.57526975552239e-19
"COTL1",8.71467146287668e-23,-1.26972269390707,0.599,0.946,1.95348075511844e-18
"CMC1",1.43780444261945e-20,-1.29708943675232,0.255,0.732,3.22298243857576e-16
"HLA-DRA",1.38978377691898e-19,-1.96947489094808,0.204,0.669,3.11533931434158e-15
"ENSG00000280441",8.4112003251164e-19,8.17688482921711,0.338,0.067,1.88545466487809e-14
"APOO",1.06977319199015e-18,3.81293541889452,0.35,0.084,2.39800358716513e-14
"EPSTI1",8.00659259930319e-18,-0.99986295155398,0.197,0.594,1.7947577970598e-13
"CCL3L3",2.04707421668157e-17,-4.44045560541676,0.006,0.305,4.58872156411342e-13
"TIGIT",1.67257972853361e-16,-1.56018596582477,0.28,0.707,3.74925471948095e-12
"PPP1R16B",3.52820747868959e-16,-0.936137146970349,0.561,0.916,7.90882988423059e-12
"HLA-DQB1",3.90113114698872e-16,-1.88790146129123,0.146,0.552,8.74477557908992e-12
"SLFN12L",6.95521419017885e-16,-0.857430849460756,0.433,0.833,1.55908081287049e-11
"GNLY",9.33831777395365e-16,1.45691553085993,0.86,0.577,2.09327731220945e-11
"PTPRCAP",1.78268535980253e-15,1.10749932889824,0.516,0.632,3.99606750253335e-11
"ENSG00000257322",3.27889787267169e-15,7.8293299918047,0.204,0,7.34997747138087e-11
"SLFN5",1.97068494400676e-14,0.819084180167467,0.631,0.657,4.41748737048554e-10
"DUSP4",3.57659516597758e-14,-1.96842836024797,0.146,0.523,8.01729572405534e-10
"TANK",5.74479544054911e-14,-0.894623541542532,0.242,0.598,1.28775334595349e-09
"KLRD1",7.94897528338269e-14,1.3147797494464,0.752,0.506,1.78184229952306e-09
"GSPT1",1.61096299760047e-13,-0.906861919801011,0.42,0.795,3.61113465542122e-09
"MT-ND3",2.3928381853399e-13,0.71494336220365,0.949,0.937,5.36378607625792e-09
"ENSG00000234961",3.11967588499859e-13,-1.62534445428832,0.28,0.657,6.99306546381284e-09
"COX7B",4.96860117016837e-13,0.300885009124805,0.484,0.64,1.11376163830494e-08
"DNAJC15",5.44614000306279e-13,-0.795573674202141,0.21,0.54,1.22080674308655e-08
"PIK3R1",7.55876605613895e-13,-0.523210283866571,0.465,0.808,1.69437299914411e-08
"HNRNPH3",1.61360070212562e-12,0.585711086661874,0.452,0.485,3.61704733388478e-08
"ENSG00000273149",1.83989492886004e-12,-0.682508993995695,0.229,0.569,4.12430847253267e-08
"VPS28",1.91927112322298e-12,0.297651059636541,0.414,0.552,4.30223814981663e-08
"GZMB",2.42331369165608e-12,1.30056885992047,0.745,0.423,5.43209997121626e-08
"TRAC",3.16000357839229e-12,0.702818362845242,0.439,0.49,7.08346402132417e-08
"SLA2",3.16885074329351e-12,-0.413160449589125,0.516,0.837,7.10329582616674e-08
"ENSG00000274767",4.65254665444545e-12,-3.34004104641352,0.032,0.297,1.04291485806049e-07
"SIK3",4.99734795373287e-12,-0.641895218392232,0.427,0.77,1.12020551730876e-07
"FP236383.3",5.62631711413648e-12,13.1909723333136,0.159,0,1.26119524430483e-07
"RPS26",5.77365920971628e-12,-0.345481984550542,1,1,1.29422344845e-07
"BICDL1",5.82997890420169e-12,-1.5490943375294,0.178,0.527,1.30684807116585e-07
"EFHD2",5.90164605255796e-12,0.91593086982755,0.796,0.757,1.32291297914139e-07
"TOX",7.06481334928987e-12,-1.68810601656183,0.223,0.577,1.58364856037682e-07
"TNFSF10",7.73609975032669e-12,-1.4451580792191,0.134,0.452,1.73412412003323e-07
"IRAG2",8.05159397932079e-12,-2.04976193355039,0.115,0.439,1.80484530640455e-07
"TRPS1",8.84950915309973e-12,-1.80700484809343,0.076,0.36,1.98370597175883e-07
"MT-ND4L",9.64377384509966e-12,0.697949483495073,0.975,0.941,2.16174834511754e-07
"TXNIP",9.80189363535694e-12,1.83484991662955,0.439,0.247,2.19719247730161e-07
"PSPH",9.99485648435127e-12,-3.32669654948227,0.013,0.234,2.24044702953218e-07
"FGFBP2",1.0300220554416e-11,1.02268611101385,0.79,0.778,2.30889743947789e-07
"MT2A",1.22730832318758e-11,1.26386688013981,0.694,0.628,2.75113433725728e-07
"NDUFS3",1.33167248552428e-11,-0.31206516885775,0.178,0.381,2.98507704355122e-07
"ABI1",1.44472193401163e-11,-0.410541919558106,0.299,0.573,3.23848868728046e-07
"H3F3A",1.60147575493515e-11,8.66667684587555,0.153,0,3.58986805226264e-07
"H3F3B",1.60147575493515e-11,8.74800975013002,0.153,0,3.58986805226264e-07
"SLC25A3",1.79378727779458e-11,-0.472165837963999,0.573,0.874,4.02095356190433e-07
"B2M",1.92190498045158e-11,0.342999321248223,1,1,4.30814220418027e-07
"MRPL51",2.05215969145651e-11,0.356299300661743,0.376,0.49,4.60012116436892e-07
"UBE2R2",2.20087878166582e-11,-0.396032603706921,0.299,0.569,4.9334898769821e-07
"B4GALT1",2.40605214384893e-11,-0.591341949723912,0.217,0.502,5.39340648565177e-07
"CYSTM1",2.61524224565942e-11,-0.611764753409366,0.204,0.477,5.86232701787016e-07
"REEP5",2.6812026712541e-11,-0.493366993158873,0.433,0.745,6.01018390788318e-07
"ZC3H15",2.77463798173482e-11,-0.518014756636343,0.299,0.59,6.21962849985677e-07
"MARK3",2.84208617574383e-11,-0.567282441109602,0.248,0.519,6.37082037154736e-07
"IST1",3.06394364168264e-11,0.353392056069008,0.261,0.385,6.8681360671958e-07
"EMC7",3.30270998643301e-11,-0.273213007035008,0.338,0.594,7.40335470558822e-07
"RPL41",3.60914802119089e-11,-0.281768396120279,0.994,1,8.09026620430149e-07
"S100A4",4.24789710646961e-11,1.24530170290839,0.72,0.481,9.52208615386228e-07
"RB1CC1",4.73194433667645e-11,-0.337940529621324,0.255,0.49,1.06071264250939e-06
"SYTL2",4.91653122626974e-11,1.81184612888231,0.465,0.197,1.10208963968062e-06
"PKN1",5.02540514607233e-11,-0.323000579727111,0.204,0.435,1.12649481754357e-06
"CCNL1",5.47180861697272e-11,-0.684751849205753,0.274,0.573,1.22656061958061e-06
"FYN",5.81950101197419e-11,-0.678932033164503,0.854,0.975,1.30449934684413e-06
"CCNDBP1",5.87054513357105e-11,-0.32181008970656,0.344,0.607,1.31594139714129e-06
"TNFRSF1B",6.12806045696586e-11,-0.557061924276003,0.325,0.636,1.37366603203347e-06
"GTF2F1",6.82512587777327e-11,-1.35072824866819,0.115,0.393,1.52992021676166e-06
"SMC1A",7.02132809023171e-11,-0.456982342757205,0.166,0.393,1.57390090470634e-06
"CAPZA2",7.99791933148228e-11,-0.500576124261765,0.274,0.544,1.79281359734507e-06
"TMEM123",8.25637333435083e-11,0.269191422177612,0.331,0.469,1.85074864662808e-06
"RPS5",8.89771102814892e-11,-0.496779880128335,0.911,0.996,1.99451090406986e-06
"RBM3",9.92663851693028e-11,-0.82182006898409,0.427,0.762,2.22515528995509e-06
"RMND5A",1.07761272692617e-10,-0.515397049362255,0.248,0.506,2.41557668867771e-06
"RRP1B",1.09016624368754e-10,-1.47712067149994,0.102,0.377,2.44371665184998e-06
"OPA1",1.10633408413499e-10,-0.629633729715586,0.159,0.385,2.47995848299699e-06
"SARS1",1.21168078365689e-10,-0.612314426680272,0.242,0.519,2.71610364464529e-06
"PPP6R2",1.37088530678783e-10,-0.587207758052575,0.204,0.469,3.07297650369559e-06
"DDX17",1.40182495417576e-10,-0.268029092268528,0.42,0.686,3.14233081728038e-06
"CUL3",1.52567479010438e-10,-0.344694070834082,0.299,0.548,3.41995260949797e-06
"TOMM7",1.5790460475954e-10,0.493810521316237,0.815,0.874,3.53958962028985e-06
"CNIH1",1.59125764755199e-10,-0.544952601927955,0.274,0.556,3.56696314275254e-06
"HECTD4",1.61183316914986e-10,-0.930150680758128,0.134,0.381,3.61308523196632e-06
"MAP4K4",1.76850763238779e-10,-0.729210741500417,0.21,0.49,3.96428670876048e-06
"PRPF38B",1.81561499798107e-10,-0.413806460697802,0.274,0.54,4.06988257947437e-06
"FLT3LG",1.82046035097981e-10,0.735408481200902,0.318,0.343,4.08074392275634e-06
"RHOG",1.83969157855216e-10,-0.347677593240585,0.414,0.682,4.12385264248252e-06
"MYL12A",1.98312179633411e-10,0.909890737144862,0.726,0.644,4.44536581866254e-06
"TCEA1",2.08233338308307e-10,-0.377555464727133,0.369,0.632,4.66775851151901e-06
"SPPL2A",2.11733723323029e-10,-0.31838008437233,0.287,0.527,4.74622314200902e-06
"SETD2",2.17390922154147e-10,-0.34893548579096,0.465,0.745,4.87303491100736e-06
"CORO7",2.30208847869542e-10,-0.536117239553021,0.229,0.485,5.16036153384366e-06
