"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD8B",6.06107177282514e-188,1.75949136064,0.876,0.319,1.35864984859648e-183
"CD8A",2.5548243680264e-113,1.60786382913353,0.732,0.258,5.72689430336797e-109
"ARID5B",4.79325942413422e-70,-1.99259509362722,0.169,0.378,1.07445703251393e-65
"KLRK1",2.16953024239872e-62,0.771260220262276,0.824,0.5,4.86321899136096e-58
"CD4",1.74417912825606e-54,-6.11415803509725,0.002,0.11,3.90975193389878e-50
"NELL2",6.81691879697931e-49,0.705330829236219,0.824,0.544,1.52808051753088e-44
"THEMIS",4.85661857801168e-48,0.969310583710354,0.745,0.447,1.0886596204471e-43
"RTKN2",7.13681132200039e-47,-3.95908190387021,0.014,0.148,1.59978762593961e-42
"GPR183",5.6821279541309e-41,-1.98769846786793,0.133,0.316,1.27370580219798e-36
"IL7R",1.88912643639964e-39,0.598148787248439,0.971,0.882,4.23466581983343e-35
"LMNA",5.08798600930664e-38,-1.5858226704592,0.226,0.281,1.14052294384618e-33
"ADTRP",1.49691302401302e-34,-2.99316917747399,0.025,0.146,3.35548023462758e-30
"RAC2",3.49492286395674e-33,0.582852358981635,0.942,0.834,7.83421909184542e-29
"CD96",4.06511754391768e-32,0.739860463983931,0.79,0.581,9.11236748644588e-28
"SRGN",4.53170368970653e-29,-0.881652806940713,0.538,0.559,1.01582669908462e-24
"LINC02446",7.34353553089776e-29,0.870158752693193,0.575,0.332,1.64612692460604e-24
"PPP2R5C",1.62461887626173e-28,-0.701916120086518,0.518,0.554,3.64174567302829e-24
"TGFB1",3.29370542355096e-28,-0.830452329801556,0.624,0.641,7.38317007743183e-24
"RGS10",4.73927631906793e-27,0.561914019253251,0.873,0.732,1.06235617968227e-22
"ANK3",1.07647178385711e-26,-1.32598444080548,0.188,0.336,2.41301915069409e-22
"PASK",1.38175162302758e-26,0.720160896006726,0.626,0.395,3.09733443817862e-22
"S100B",1.8105680844693e-26,1.37453719683881,0.37,0.16,4.05856941814638e-22
"FGFBP2",4.41528858594567e-26,2.05403588824827,0.249,0.074,9.89731089425581e-22
"RORA",5.0396654439655e-26,0.707880929093388,0.564,0.334,1.12969140591931e-21
"PDE3B",6.22695952532578e-26,0.522837987959022,0.896,0.753,1.39583524719703e-21
"SERPINF1",1.31019642489833e-25,2.0257642104758,0.229,0.062,2.93693630605209e-21
"LRRN3",1.40583542944213e-25,0.976002394790752,0.514,0.289,3.15132069863748e-21
"FHIT",3.30328799085441e-25,-0.941182554489742,0.278,0.34,7.40465036029924e-21
"KLRC4",1.2828133948103e-23,1.84469518489944,0.234,0.071,2.87555450580678e-19
"LAPTM5",3.6005320136473e-23,0.314492287661439,0.961,0.867,8.07095256179179e-19
"CD99",4.64498132657166e-23,-0.683722807933289,0.458,0.485,1.0412190141643e-18
"ZFP36L1",3.93109573688211e-22,0.45541649582739,0.807,0.63,8.81194420379494e-18
"TGFBR2",6.62658335452615e-22,0.473904860122442,0.806,0.625,1.48541492475058e-17
"AC004448.2",2.53943099351131e-21,1.5875404009935,0.276,0.148,5.69238851505495e-17
"EVL",7.29579606242731e-21,0.373507302601187,0.915,0.786,1.63542564535371e-16
"CMTM8",1.38194597516848e-20,-1.22845526573652,0.134,0.229,3.09777009793765e-16
"ANXA1",1.55197340856274e-20,-1.17606508373741,0.446,0.424,3.47890359263424e-16
"IFITM1",4.68610225193132e-20,-0.491558444240999,0.961,0.961,1.05043668079292e-15
"FCER1G",1.09668298827863e-19,1.12720555563327,0.303,0.133,2.45832458652539e-15
"AP1M1",2.48058508387137e-19,0.655232160436348,0.535,0.337,5.56047952400607e-15
"EZR",2.86139180044056e-19,-0.602463395458513,0.723,0.661,6.41409585986756e-15
"ZNF800",8.53652490454205e-19,0.677940545352438,0.513,0.319,1.91354742260215e-14
"STK17A",8.73720657405942e-19,0.384896024134219,0.917,0.804,1.95853222564116e-14
"GRAP2",1.1987612195847e-18,0.733707798423099,0.5,0.308,2.68714314982106e-14
"ABLIM1",4.74110207377219e-18,0.37238126382519,0.864,0.722,1.06276544085677e-13
"LBH",5.15129610715758e-18,0.49757580626894,0.746,0.574,1.15471453538044e-13
"FAM177A1",5.35011029867516e-18,-0.676142052990685,0.371,0.39,1.19928072455102e-13
"AOAH",7.29566741701102e-18,0.339026794481921,0.389,0.234,1.63539680819719e-13
"IL32",1.23929029896584e-17,-0.35466950118395,0.848,0.78,2.77799313416183e-13
"CHI3L2",1.32016954580291e-17,1.13176226707231,0.288,0.13,2.95929205387181e-13
"LSP1",1.6537271980115e-17,0.461580435193065,0.859,0.743,3.70699488706257e-13
"H3-3B",5.56417599792512e-17,-0.46245747470165,0.395,0.372,1.2472656916949e-12
"NME2",7.76842132575491e-17,-0.281555964578795,0.82,0.773,1.74136932438122e-12
"ATP8A1",1.49091907840073e-16,0.581747955297697,0.609,0.428,3.34204420614307e-12
"CREM",2.69304178055267e-16,-1.18705391710279,0.169,0.219,6.03672245528687e-12
"SAT1",3.33001696811681e-16,-0.494118764263549,0.496,0.469,7.46456603573064e-12
"EFHD2",4.90825804806609e-16,-0.443713597730095,0.251,0.235,1.10023512405449e-11
"ESYT2",1.09766389049405e-15,-0.496379724685983,0.471,0.469,2.46052337693147e-11
"YPEL5",1.70446628141362e-15,-0.477405631671827,0.42,0.418,3.82073161641677e-11
"PRKX",1.92254013750111e-15,-0.897776766304144,0.203,0.294,4.30956597222248e-11
"APOO",2.06430312294184e-15,-0.539212205406929,0.588,0.714,4.62734188038642e-11
"UBE2L6",2.39001685336975e-15,-0.416330356914538,0.45,0.452,5.35746177851362e-11
"PSME2",2.51712593176322e-15,-0.445803376969329,0.616,0.66,5.64238948864043e-11
"GPCPD1",2.5562392157411e-15,-0.393954821846732,0.353,0.317,5.73006582600524e-11
"DUSP2",2.9866325573128e-15,-1.13903378363708,0.185,0.229,6.69483554047238e-11
