"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EEF1A1",5.88346569234735e-79,-0.791084141649472,0.999,1,1.31883766959658e-74
"MTRNR2L12",7.54978171727699e-73,-0.781198146564374,0.313,0.849,1.69235906974481e-68
"RPL10",1.14872909853388e-48,-0.70728892317002,0.998,1,2.57499114727355e-44
"RPLP0",4.90909184848134e-45,-0.862970875615461,0.881,0.954,1.10042202875558e-40
"HLA-C",2.60442154904938e-44,0.605407280165447,1,0.989,5.83807134434909e-40
"CD74",2.51218949318222e-40,1.30798195023495,0.958,0.852,5.63132396791725e-36
"HLA-DPB1",6.49392000964248e-40,3.85633793453777,0.423,0.056,1.45567710936146e-35
"HOPX",1.1069557679635e-39,-1.23743011261012,0.588,0.845,2.48135204946698e-35
"PTPRCAP",2.2336331791886e-39,1.90702478677893,0.676,0.408,5.00691213446917e-35
"RPS3A",2.08357861169701e-35,-0.648013995372838,0.988,1,4.67054981598001e-31
"RPLP1",1.35024153301526e-34,-0.494944856348849,0.998,1,3.02670142040701e-30
"RPL7A",3.95767104974172e-34,-0.594123772671774,0.988,1,8.87151542510103e-30
"HLA-A",6.43264707364706e-34,0.488026083456195,0.999,1,1.44194216802872e-29
"RPS4X",1.7370932350681e-33,-0.589765612414825,0.991,0.996,3.89386819572866e-29
"RBFOX2",2.43322537949758e-33,2.59081022919837,0.472,0.148,5.45431801068177e-29
"PNRC1",1.2286990745485e-31,-0.712010781922418,0.939,1,2.75425184550792e-27
"RPS26",8.62069133303441e-31,-0.520459150275314,0.999,1,1.93241416921299e-26
"EEF2",3.31330019354336e-30,-0.825115083575322,0.792,0.912,7.42709371384679e-26
"RPL5",6.09215322551593e-29,-0.661558595676709,0.922,0.989,1.36561706703165e-24
"GNAS",1.35926226625051e-28,-0.832650167453247,0.661,0.919,3.04692229602715e-24
"KLRB1",3.58714281417593e-26,-0.589829787763192,0.723,0.968,8.04093933225677e-22
"RPS27A",5.68202148777229e-26,-0.440127773066272,0.999,1,1.27368193669904e-21
"HLA-DPA1",1.08436878221553e-25,2.86902602491159,0.367,0.081,2.43072106221433e-21
"VEGFB",2.16588978001125e-25,-1.16766673173857,0.339,0.665,4.85505853087322e-21
"SPOCK2",3.91036340569984e-25,-2.21160712886568,0.09,0.345,8.76547061021676e-21
"PLAAT4",4.24869816338846e-25,0.780759427510297,0.935,0.863,9.52388180305156e-21
"GZMB",8.48773297233407e-25,0.689758398231012,0.969,0.926,1.90261022307841e-20
"RPL26",5.29386552512867e-24,-0.442254313930938,0.997,1,1.18667289611284e-19
"RPS3",1.14860974136761e-23,-0.428840758010732,0.999,1,2.57472359624964e-19
"HLA-DRB1",1.75294662024719e-23,4.41094403875461,0.248,0.018,3.92940514394609e-19
"GZMH",2.93185421144334e-23,1.18539610228853,0.788,0.567,6.57204440037138e-19
"GAPDH",5.27726649528192e-23,-0.59202949609482,0.988,1,1.1829520575824e-18
"LDHA",1.77898234322833e-22,-0.758011031145496,0.781,0.944,3.98776682058062e-18
"TPT1",2.73607697201821e-22,-0.482047419577063,0.991,1,6.13319014047602e-18
"RPL13",3.75205523117521e-22,-0.409584200483173,0.996,1,8.41060700620234e-18
"APOO",4.66470204343445e-22,2.90721228974291,0.303,0.056,1.04563961005627e-17
"KLRC2",6.83922681350252e-22,1.231892012618,0.759,0.63,1.53308108251472e-17
"ENO1",1.1195954197964e-21,-0.708056224504424,0.786,0.94,2.50968509301562e-17
"PIM1",1.72727171748653e-21,-1.22788434569505,0.318,0.518,3.87185228191781e-17
"CYBA",3.25187533695433e-21,0.524309706968311,0.981,0.961,7.28940375531683e-17
