"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",0,-1.97526713985261,0.13,0.931,0
"APOO",1.22131321633553e-201,4.60776936978026,0.656,0.115,2.73769570573774e-197
"RBFOX2",1.07296603646369e-195,3.46581104433037,0.702,0.275,2.405160667337e-191
"PTPRCAP",1.87933903433954e-124,2.19152956004752,0.739,0.375,4.21272637937551e-120
"AL138963.4",2.87440788598768e-122,-2.02481820361649,0.265,0.701,6.44327271722999e-118
"MT-ATP6",3.21718750276482e-95,-1.39993418000448,0.771,0.827,7.21164750619762e-91
"HLA-C",1.89566355523053e-89,0.617443985047181,0.996,0.969,4.24931942540475e-85
"MT-ATP8",5.73613743658916e-78,1.00838270023506,0.947,0.9,1.28581256778583e-73
"GNAS",1.13393667985922e-74,-0.775481602419729,0.778,0.969,2.54183246157242e-70
"EEF2",8.18321423423837e-74,-0.519457352325527,0.987,0.998,1.83434930274687e-69
"UBALD2",4.46612305784054e-70,-0.923590409582536,0.688,0.88,1.00112614464554e-65
"FP236383.3",7.71685522777125e-69,1.01418232752848,0.815,0.48,1.7298102678572e-64
"BNIP3",4.8657432152668e-61,-0.954138247638916,0.597,0.859,1.09070499913421e-56
"RPS3A",2.20928738019081e-59,-0.340977948989355,0.999,1,4.95233859143573e-55
"RPS4X",5.16294066158071e-57,-0.380473251627976,0.998,1,1.15732477869993e-52
"PNRC1",1.73175226555355e-56,-0.571560621999339,0.981,0.998,3.88189587846485e-52
"VEGFB",1.52579926210666e-53,-0.935189610677871,0.488,0.768,3.42023162593829e-49
"RPL9",2.93653996961679e-52,-0.352408250701918,0.997,1,6.58254799589299e-48
"RPS25",3.51107713058876e-51,0.32584229875976,0.999,0.998,7.87043049592776e-47
"PKM",1.10141714933085e-49,-0.65119847260184,0.854,0.959,2.46893668194002e-45
"SARAF",8.30727515580488e-47,-0.459926618753186,0.996,0.997,1.86215879892522e-42
"ANK3",8.80839821526736e-46,1.64458016537837,0.504,0.243,1.97449054393433e-41
"RPS3",3.88609571192655e-44,-0.277541419674021,0.999,1,8.71107214785456e-40
"IL4R",5.32444440573965e-44,-1.71376620272977,0.132,0.214,1.1935274579906e-39
"EEF1A1",1.86727967880748e-43,-0.26686230235206,1,1,4.18569412801485e-39
"LINC01578",8.82239181950633e-43,-0.602274200919369,0.782,0.929,1.97762735026054e-38
"AC138123.1",1.41410551123619e-42,0.435473724280269,0.687,0.413,3.16985891398705e-38
"IFITM3",2.50311260363303e-42,-1.40415064783103,0.221,0.416,5.6109772123038e-38
"RPS29",6.07651061319354e-42,0.428994753397555,0.995,0.993,1.36211061905347e-37
"ARHGAP15",1.02682667330396e-41,0.918267222578069,0.749,0.558,2.30173467087815e-37
"PABPC1",3.05040305655867e-41,-0.461181539587216,0.988,0.997,6.83778349158191e-37
"EIF1",2.39384620117621e-40,-0.456726176205768,0.988,0.995,5.36604564455659e-36
"PGK1",2.6742920810239e-40,-0.573461086460274,0.902,0.959,5.99469312882316e-36
"LDHA",5.9285652183526e-40,-0.532586894238595,0.907,0.965,1.32894717934592e-35
"AC105052.4",1.20548741932192e-39,3.38907782646777,0.204,0.02,2.702220599152e-35
"AC004448.2",3.43778926660298e-39,-1.28410755727502,0.289,0.457,7.70614842001723e-35
"SEPTIN9",1.12970220837059e-38,-0.595372832431497,0.841,0.936,2.53234047028352e-34
"PDE3B",2.27812958058738e-38,0.994335980338317,0.714,0.51,5.10665526784466e-34
"HLA-A",1.4482187816103e-37,0.3378125543153,0.997,0.995,3.24632722085766e-33
"IGFBP2",2.04802129640142e-37,-0.547832277458211,0.443,0.717,4.59084453801342e-33
"SOCS3",5.13110837103008e-37,-0.785333077832709,0.578,0.785,1.1501892524501e-32
"BNIP3L",1.34934128288545e-36,-0.58854724692968,0.724,0.901,3.02468341971603e-32
"GAPDH",1.84777970089655e-36,-0.459513030196957,0.957,0.995,4.14198297752971e-32
"GBP5",1.93093713749497e-36,3.39610570239063,0.237,0.043,4.32838868740872e-32
"LINC00861",2.31460525197579e-36,0.961057002648341,0.726,0.595,5.18841913282893e-32
"ENO1",6.2003728042729e-36,-0.464687310985134,0.941,0.985,1.38987556780581e-31
"RPS10",2.25970448840208e-35,1.98845399880352,0.673,0.469,5.06535358120211e-31
"H3F3B",2.94197186383378e-35,-0.47000180513578,0.884,0.984,6.5947241299698e-31
"RPL37A",2.62209729947533e-34,0.442452565496008,0.99,0.997,5.87769330650391e-30
"GBP4",5.83755638216998e-34,2.16097381055689,0.335,0.115,1.30854663862722e-29
"PFN1",2.39291241758838e-33,0.433697500319556,0.986,0.979,5.36395247526611e-29
"TPI1",2.27058963602204e-32,-0.435960122488062,0.868,0.97,5.089753728107e-28
"GPI",3.65065242082839e-32,-0.568657403864175,0.713,0.882,8.18330246652891e-28
"SNHG29",9.92459403032351e-32,-0.42919901146185,0.953,0.974,2.22469699783732e-27
"RPS15A",9.1901884843114e-31,-0.207807157454161,1,1,2.06007265064324e-26
"GRK2",5.95228222280508e-30,-0.812289602820043,0.381,0.612,1.33426358306399e-25
"RPS6",1.87322094432082e-29,-0.237977773373359,0.998,0.998,4.19901206878955e-25
"U2AF1",4.54094554994105e-29,5.4237837350671,0.117,0.002,1.01789835447478e-24
"ACTN1",4.6429839682364e-28,-0.678280485714602,0.613,0.771,1.04077128631987e-23
"GIMAP5",5.19273191372201e-28,0.594098082571935,0.859,0.734,1.16400278577993e-23
"CORO1B",6.11831667044031e-28,-0.816159697809518,0.469,0.622,1.3714818648459e-23
"RPS24",2.15275254893902e-26,-0.236881875756027,0.999,1,4.82561011370172e-22
"DIPK1A",2.35274982830108e-26,1.64637875968956,0.298,0.112,5.2739240151197e-22
"MYC",4.27414221396898e-26,-0.574460671842445,0.747,0.845,9.58091718683288e-22
"RPS27A",6.35662310172066e-26,-0.200206944683337,1,1,1.4249006344817e-21
"EEF1G",6.96104307303743e-26,-0.264123762249448,0.994,0.997,1.56038741525207e-21
"SNRPD3",8.63367834986567e-26,1.122080365346,0.39,0.183,1.93532533890589e-21
"RPL21",1.1328584681246e-25,-0.279766947540183,0.995,1,2.5394155421481e-21
"SGK1",1.15219508297106e-25,-1.79913004058077,0.058,0.192,2.58276049798792e-21
"AC097534.2",1.40030269847158e-25,-1.19612650302913,0.149,0.332,3.13891852889389e-21
"RAC2",1.65594781180041e-25,-0.381839194688479,0.937,0.964,3.71197261493179e-21
"JUND",1.73576306140014e-25,-0.551139836552145,0.609,0.798,3.89088647843455e-21
"MAL",5.73658590601746e-25,-0.876528242148931,0.611,0.674,1.28591309669287e-20
"CIRBP",5.7692928710889e-25,-0.518205150329132,0.79,0.893,1.29324468998329e-20
"RPL10",1.31108996918004e-24,-0.233941740530318,0.999,1,2.93893927491397e-20
"SNHG25",1.75409999872772e-24,1.39846819862793,0.294,0.109,3.93199055714807e-20
"MAML2",1.97663457093003e-24,0.850390484945999,0.639,0.487,4.43082405419676e-20
"BACH2",3.29694595627333e-24,0.967731121667357,0.558,0.373,7.39043405558229e-20
"SLC35F1",4.86310315776323e-24,1.97246134620451,0.206,0.054,1.09011320384421e-19
"GIMAP7",7.2032863663038e-24,0.43678198928331,0.945,0.896,1.61468867187066e-19
"HSPA5",1.18491561394134e-23,-0.753616698319193,0.432,0.594,2.6561068402109e-19
"STAT1",1.23862756696315e-23,1.57277663378677,0.485,0.301,2.7765075541046e-19
"CD74",1.41316464912218e-23,0.695203279557548,0.81,0.678,3.16774987747228e-19
"PSME2",1.42746526530691e-23,0.803677008949387,0.631,0.469,3.19980613871196e-19
"HFM1",1.83349592882858e-23,7.01365253432475,0.086,0,4.10996447406215e-19
"PIM1",2.00870513525266e-23,-0.622421136737069,0.582,0.714,4.50271343118235e-19
"IFITM2",2.68747718300327e-23,0.527217767093938,0.896,0.87,6.02424885342013e-19
"EEF1B2",4.77533445831356e-23,-0.278385918562275,0.986,0.997,1.07043897217557e-18
"IMMP2L",5.29142430083639e-23,1.32257856562576,0.336,0.153,1.18612567127548e-18
"SRSF5",2.64632251690992e-22,-0.385992519952101,0.915,0.962,5.93199655390529e-18
"ZBTB20",4.40116914737797e-22,0.841858489011275,0.522,0.321,9.86566076076246e-18
"TKT",4.4196605089194e-22,-0.524909789080758,0.662,0.789,9.90711099679372e-18
"AC079793.1",5.87709390094254e-22,2.37986676668064,0.166,0.036,1.31740936883528e-17
"C1orf112",9.75248825573e-22,1.82442781874464,0.2,0.054,2.18611776740444e-17
"PDCD4",3.69862237537963e-21,0.670721937983162,0.704,0.533,8.29083191665098e-17
"PSMB9",4.92345676602716e-21,0.701449816068136,0.672,0.516,1.10364206867265e-16
"SNHG7",5.03799395629506e-21,-0.500969616762143,0.676,0.812,1.1293167252431e-16
"GBP1",1.06015897647662e-20,1.89212553306535,0.241,0.092,2.37645236166999e-16
"PSME1",1.22042596716084e-20,0.511430510679764,0.844,0.776,2.73570684798774e-16
"ANP32B",1.93849673300146e-20,-0.415589491142907,0.888,0.938,4.34533427669608e-16
"RPL3",3.87374750862712e-20,-0.216564515258661,0.998,0.998,8.68339241533855e-16
"SELL",3.91894729115754e-20,0.445058987795676,0.946,0.923,8.78471224785875e-16
"MAZ",4.39679905327004e-20,-0.672170287938978,0.395,0.572,9.85586475781012e-16
"CFL1",4.95270733381114e-20,0.434922389968299,0.896,0.831,1.1101988759471e-15
"PLEKHA7",5.31911324191357e-20,0.998949020008449,0.352,0.169,1.19233242430734e-15
"NOG",6.3806305438226e-20,0.891906994974208,0.518,0.337,1.43028214270327e-15
