"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",5.68600487747073e-121,-3.58703143119499,0.056,0.968,1.27457485333384e-116
"HLA-C",2.66241191259577e-63,1.35953189067958,0.995,0.911,5.96806254327469e-59
"FOS",1.55796599662826e-57,-3.12865797878276,0.225,0.823,3.4923365780419e-53
"RBFOX2",2.73687801152494e-46,3.0864195980625,0.741,0.298,6.1349857506343e-42
"APOO",6.60018456918422e-44,4.2554447128924,0.688,0.097,1.47949737302833e-39
"GNAS",6.45138810690263e-40,-1.3056056719137,0.693,0.976,1.44614315804329e-35
"JUND",2.94607474859087e-38,-1.28094410366534,0.828,0.984,6.6039211564413e-34
"DUSP1",4.7706689626456e-36,-2.4536653687838,0.245,0.71,1.06939315466664e-31
"HLA-A",5.14503258931851e-36,0.78434663761937,0.999,0.992,1.15331050522164e-31
"CD69",9.09635880638388e-35,-1.8844662090298,0.536,0.879,2.03903979003901e-30
"AC004448.2",4.41130982695927e-34,-2.19398414594802,0.21,0.726,9.88839210811191e-30
"KLF6",1.60228470810264e-31,-1.79021860342114,0.394,0.855,3.59168140168287e-27
"RPL10",1.71328458077489e-29,-0.580992124929995,1,1,3.84049871626499e-25
"PTPRCAP",4.88483255954586e-29,2.02768888922872,0.839,0.548,1.0949840665478e-24
"EIF1",3.28869080161499e-28,-0.854409406529355,0.976,1,7.37192930090016e-24
"EEF1A1",3.55248379458986e-28,-0.506798917804855,1,1,7.96324767395264e-24
"PNRC1",7.42231212372958e-27,-0.819123146484607,0.957,1,1.66378548565522e-22
"H3F3A",9.37613410289751e-25,0.533766186978827,0.818,0.952,2.10175422050551e-20
"RPS4X",1.5842109693073e-24,-0.592812189215783,1,1,3.55116730879924e-20
"VEGFB",4.96857734173457e-24,-1.32841263300548,0.426,0.766,1.11375629692322e-19
"JUN",4.9807654357967e-24,-1.56676425572313,0.503,0.839,1.11648838008819e-19
"IFITM1",8.07927613002446e-24,1.96276959311165,0.79,0.379,1.81105053730628e-19
"CD79A",6.46232125008549e-23,0.868840840127444,0.992,0.944,1.44859393141916e-18
"RNASET2",7.88739611190746e-23,-1.12603993227198,0.72,0.911,1.76803871244518e-18
"EEF2",1.24027179136529e-22,-0.663343314790568,0.983,1,2.78019324752444e-18
"ENO1",1.65660476394522e-22,-0.965251910613949,0.76,0.976,3.71344523885961e-18
"RPS3",1.38944253326033e-21,-0.445623015561747,0.999,1,3.11457438255635e-17
"PKM",1.46945348423248e-21,-1.02779999772846,0.711,0.968,3.29392693025553e-17
"H3F3B",1.75205047084841e-21,-0.991540062951056,0.779,0.976,3.92739633545379e-17
"RPL13",2.01241955750941e-21,-0.418533710774915,1,1,4.5110396801131e-17
"RHOB",5.60457330121339e-21,-2.64762232184626,0.108,0.427,1.25632115119999e-16
"BNIP3L",3.36754928459056e-20,-0.984943298344154,0.617,0.944,7.54869847633819e-16
"RPL8",5.6755757549895e-20,-0.467795422050027,1,1,1.27223706123845e-15
"IER2",2.07438550377905e-19,-1.29784120816551,0.607,0.831,4.64994254527111e-15
"BNIP3",4.05076074147276e-19,-1.32749611870028,0.304,0.702,9.08018527808533e-15
"TPI1",4.68607850221548e-19,-0.858875076779759,0.763,0.96,1.05043135705662e-14
"PGK1",6.22628586026513e-19,-0.94014817360102,0.771,0.944,1.39568423843703e-14
"TSC22D3",1.17384117716174e-18,-1.27734519199122,0.538,0.831,2.63128238272575e-14
"AL138963.4",1.43505229878862e-18,-2.43806495331518,0.093,0.411,3.21681323296457e-14
"LDHA",1.49553068108578e-18,-0.92603565299841,0.713,0.96,3.35238157472187e-14
"GAPDH",2.41443315648249e-18,-0.79031092809584,0.95,1,5.41219336357116e-14
"JUNB",3.65703626229757e-18,-1.14258440584602,0.64,0.887,8.19761248556624e-14
"RPL37A",5.71696064644111e-18,0.57793208456684,0.99,1,1.28151389850624e-13
"RPS3A",6.1026630735549e-18,-0.441361363972035,1,1,1.36797295456807e-13
"RPS5",6.2986476418277e-18,-0.470803424578966,0.998,1,1.4119048553921e-13
"HLA-DQB1",1.31996374361627e-17,0.880558051923583,0.93,0.806,2.95883072769023e-13
"RPS18",1.70639134060105e-17,-0.44074928224064,1,1,3.82504682909132e-13
"RPS13",1.89888453863828e-17,-0.406890933953822,0.999,1,4.25653958181157e-13
"GAREM1",4.68635986941311e-17,-1.82890237866655,0.195,0.524,1.05049442832764e-12
"EGR1",5.32913977218936e-17,-2.12154308092012,0.077,0.371,1.19457997133397e-12
"RPS15A",1.61988103045677e-16,-0.405095164856307,0.999,1,3.6311253178719e-12
"IFITM2",5.19932054570308e-16,1.28189363531311,0.814,0.637,1.1654796935248e-11
"COL9A3",5.66260082367649e-16,-1.67208718864068,0.153,0.492,1.26932860063532e-11
"RPL32",6.46014816558388e-16,-0.355970254550324,1,1,1.44810681279728e-11
"HNRNPA1",9.19920186117665e-16,0.883722626660016,0.789,0.492,2.06209308920136e-11
"RPL19",2.20085362419218e-15,-0.329680242143668,1,1,4.9334334839892e-11
"RPS26",3.70162858031288e-15,-0.426534009281003,1,1,8.29757062562934e-11
"SNHG7",8.25125047003625e-15,-0.930406595801547,0.637,0.823,1.84960030536333e-10
"RPL13A",1.40433064870607e-14,0.635162663139256,0.951,0.919,3.14794758213954e-10
"CTSH",1.54253351929584e-14,-1.43780264283744,0.3,0.605,3.45774313685356e-10
"RPS29",1.55588540721966e-14,0.542329647618129,0.986,0.992,3.48767272882358e-10
"AL137857.1",3.02957021285851e-14,-2.49042916846744,0.055,0.29,6.79108458914364e-10
"MT-CO3",3.96926200036872e-14,0.409176368694518,0.999,1,8.89749770002653e-10
"AL133415.1",4.29365603320113e-14,-2.32156383709568,0.062,0.306,9.62465936402366e-10
"ALDOA",9.53625213047091e-14,-0.808274619423975,0.771,0.935,2.13764627756636e-09
"RPS23",1.06868366816849e-13,-0.334575579646534,1,1,2.39556131056648e-09
"RPS12",1.11201259220076e-13,-0.321697724035497,1,0.992,2.49268742667722e-09
"NFKBIA",1.69670244227168e-13,-1.13111791922346,0.527,0.758,3.8033281945962e-09
"MT-CYB",2.24538151916187e-13,0.5656051203598,0.992,0.96,5.03324721335325e-09
"RPL29",2.35133379622502e-13,-0.387582665079594,0.999,1,5.27074983761801e-09
"RPL7A",2.97392616634543e-13,-0.384001728822879,0.999,1,6.66635289447991e-09
"SGK1",3.23642047503513e-13,-2.93686933890555,0.044,0.25,7.25476013683874e-09
"PPP1R15A",5.23159133652116e-13,-1.24371815951774,0.287,0.621,1.17271351399458e-08
"HMGB1",5.37912547166833e-13,0.831656090646287,0.927,0.871,1.20578476572917e-08
"RPS10",5.95992468176495e-13,2.80829333639843,0.595,0.371,1.33597671666443e-08
"HLA-DPB1",9.11191876245967e-13,0.579078230156239,0.984,0.944,2.04252770979296e-08
"RPS7",1.07319678692503e-12,-0.363445069550424,0.999,1,2.40567791757114e-08
"RPS6",1.08145674381986e-12,-0.418702121933378,0.995,1,2.42419343694661e-08
"MIF",1.17100599037584e-12,-0.547241069128821,0.939,0.992,2.62492702802649e-08
"GBP1",1.68991500186906e-12,5.55970422898816,0.229,0.008,3.78811346818968e-08
"RPL18",1.69197827002536e-12,-0.308514309114498,0.999,1,3.79273849008884e-08
"U2AF1",1.74944836349378e-12,6.16537573491964,0.18,0,3.92156345160767e-08
"DLEU2",5.27375940859522e-12,1.37320747387824,0.608,0.347,1.1821659090307e-07
"RPLP0",5.51574711207941e-12,-0.397158861288308,0.999,1,1.23640987264372e-07
"IFI44L",5.54091227261758e-12,2.73697558038975,0.361,0.089,1.24205089502996e-07
"PFN1",1.34206292273129e-11,0.562595397027327,0.978,0.911,3.00836824759447e-07
"ID3",1.70921316663e-11,1.00312127997353,0.72,0.427,3.8313722343178e-07
"EVL",1.78480084415215e-11,-0.851132047203593,0.72,0.879,4.00080957225146e-07
"GPI",1.88516913533238e-11,-0.830525201933511,0.528,0.823,4.22579513376105e-07
"H3-3A",2.17394619966411e-11,8.45691352195978,0.157,0,4.87311780116707e-07
"H3-3B",2.85040910388173e-11,8.19229043396798,0.156,0,6.38947704726128e-07
"SLC15A4",2.957993648177e-11,-1.98212972078578,0.089,0.315,6.63063856175357e-07
"RPL30",3.12026955380517e-11,-0.288363963391306,1,1,6.99439623180967e-07
"TRBJ2-2P",3.23542800354055e-11,-2.76877016227507,0.028,0.194,7.2525354127365e-07
"DHRS13",3.79910759883751e-11,-1.64920818569102,0.142,0.395,8.51607959355416e-07
"RPL11",4.05690058802907e-11,-0.307336498587473,0.999,1,9.09394835812596e-07
"GBP4",4.20259534437439e-11,1.79922753926066,0.562,0.29,9.42053772394963e-07
