"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.33915308879996e-148,-2.63804775112679,0.113,0.931,3.00184556385398e-144
"FOS",8.92927458522477e-66,-2.31347832824117,0.266,0.81,2.00158619102398e-61
"APOO",3.78259628110338e-61,3.68657984214238,0.607,0.173,8.47906782372134e-57
"RBFOX2",5.581047411032e-58,2.73991084060843,0.674,0.338,1.25104758765693e-53
"AC004448.2",4.01203391195302e-52,-2.42354453210645,0.185,0.615,8.99337521703389e-48
"HLA-C",4.87104592173698e-50,0.824553245113403,0.998,0.987,1.09189365381656e-45
"PTPRCAP",2.79165691578793e-46,2.13083867127859,0.792,0.545,6.25777814243022e-42
"EEF2",4.8620521973053e-46,-0.751845672331086,0.986,1,1.08987762054796e-41
"GNAS",9.02595425360331e-43,-0.848033090259333,0.833,1,2.02325790548772e-38
"DUSP1",6.03114216339433e-41,-1.71562499258395,0.289,0.727,1.35194082734647e-36
"SNHG7",1.27046167671518e-39,-1.14010999394663,0.691,0.887,2.84786689452475e-35
"EEF1A1",2.95929531407412e-39,-0.504373856907955,1,1,6.63355637602854e-35
"RPS4X",3.86189462015631e-39,-0.638032508651114,0.998,1,8.65682298054237e-35
"JUN",1.15521701556091e-37,-1.68122333150464,0.38,0.792,2.58953446208134e-33
"DIPK1B",1.16085985068035e-37,-2.18397269083654,0.119,0.485,2.60218344128506e-33
"RNASET2",3.73094559549583e-35,-0.971304765102168,0.754,0.939,8.36328764686346e-31
"PNRC1",3.96723675285553e-35,-0.717006262567228,0.94,0.987,8.89295790520095e-31
"KLF6",1.02975008827488e-32,-1.47193797486411,0.445,0.736,2.30828779787696e-28
"HLA-A",4.35145024901102e-32,0.59011299186404,0.998,1,9.7542108781831e-28
"COL9A3",1.46156578375522e-31,-1.96512291992249,0.179,0.545,3.27624586086569e-27
"AL138963.4",2.13598948767532e-30,-1.9477949650517,0.167,0.519,4.788034035573e-26
"RPL10",3.96674947111209e-30,-0.440480410058854,1,1,8.89186561444486e-26
"RPS3A",1.53675894685561e-29,-0.473450338746829,1,1,3.44479885527155e-25
"MT-CO3",3.27747745745544e-29,0.459386499096609,0.996,1,7.34679346863211e-25
"VEGFB",1.3809707625971e-28,-1.0206586931078,0.519,0.835,3.09558406143766e-24
"JUND",3.04934854602965e-28,-0.725356821142809,0.912,0.983,6.83541970078007e-24
"IFITM1",1.7370158181205e-27,1.90717793118479,0.723,0.372,3.89369465789892e-23
"RPS3",4.00674583658887e-27,-0.430346301582929,1,1,8.98152146729761e-23
"BNIP3L",4.17057937297083e-27,-0.71423156622145,0.699,0.948,9.34877072245141e-23
"RHOB",4.25467663938828e-27,-2.47622231715937,0.079,0.364,9.53728315485276e-23
"IFI44L",7.30883051111901e-27,2.83706513834868,0.443,0.1,1.63834744737244e-22
"LDHA",8.65394830368046e-27,-0.753194441142135,0.85,0.991,1.93986905175301e-22
"RPL13",1.49367685711954e-26,-0.402958146980653,0.999,1,3.34822604291917e-22
"GBP1",2.73191172992149e-26,4.56176006608712,0.34,0.043,6.12385333379201e-22
"ENO1",6.81959899863183e-26,-0.812946569091551,0.879,0.974,1.52868131153331e-21
"EGR1",1.08486185617715e-25,-1.61627240591815,0.159,0.494,2.4318263368067e-21
"IFITM2",8.88537528989193e-25,1.45291340305343,0.824,0.632,1.99174572498218e-20
"PKM",1.39132599936983e-24,-0.764129542096437,0.882,0.987,3.11879636018742e-20
"HLA-DQB1",1.4684307408803e-24,0.91122663569056,0.904,0.714,3.29163434875728e-20
"RPS15A",6.15302419855918e-24,-0.395621019537316,0.999,1,1.37926190434903e-19
"RPL8",1.26765708103437e-23,-0.407606123380154,0.999,1,2.84158011284665e-19
"H3F3B",2.79755058012017e-23,-0.56932517181817,0.867,1,6.27098938039738e-19
"GBP4",3.06777882914865e-23,2.30112424853123,0.57,0.286,6.87673302341961e-19
"BNIP3",4.75247875669795e-23,-0.942825552529072,0.417,0.745,1.06531563810141e-18
"PSME2",3.58540715018464e-22,1.53784584889778,0.777,0.61,8.03704866785388e-18
"HILPDA",3.62835011037503e-22,-1.93102643400954,0.248,0.541,8.13330960741667e-18
"U2AF1",2.02811542293974e-21,5.71317864381132,0.188,0.004,4.54622353206172e-17
"ALDOA",2.07476688690572e-21,-0.713168870058009,0.883,0.97,4.65079745368787e-17
"JUNB",1.72094870184743e-20,-0.91887177298809,0.662,0.848,3.8576786100612e-16
"AL137857.1",2.42566246084481e-20,-2.30303999391736,0.06,0.277,5.43736497222973e-16
"ENO2",6.27103020720065e-20,-1.32543627530439,0.199,0.498,1.4057141312461e-15
"RPL7A",6.28805461650752e-20,-0.371844050366421,1,1,1.40953032283632e-15
"GBP5",7.93261177517232e-20,3.58642782796027,0.359,0.117,1.77817425552263e-15
"HLA-DQA1",9.62614064495072e-20,0.850007103146754,0.906,0.784,2.15779568697215e-15
"RACK1",1.67235870498449e-19,-0.35859161826842,0.999,1,3.74875927309324e-15
"FOSB",2.5471177250691e-19,-1.55499632165304,0.098,0.351,5.7096190925149e-15
"MKNK2",2.68231960997339e-19,-0.830381710147713,0.757,0.896,6.01268763771636e-15
"EEF1G",1.16216734312189e-18,-0.437991728536967,0.987,0.991,2.60511431634204e-14
"RPS13",1.37241418583097e-18,-0.31924254700398,1,1,3.07640363895871e-14
"RPS5",1.76176027383833e-18,-0.394390987607117,0.999,0.996,3.94916182983599e-14
"RPS7",1.89394276058795e-18,-0.370775049842507,0.999,1,4.24546209213395e-14
"PSMB3",3.72383080180509e-18,0.947702201171559,0.712,0.498,8.34733912532628e-14
"RPL9",3.99289366512677e-18,-0.463568017822508,0.988,0.996,8.95047043974816e-14
"GOLGA8A",5.85677490659862e-18,-1.72580587727824,0.14,0.377,1.31285466306315e-13
"RPS6",5.87046608614176e-18,-0.440796233255935,0.997,1,1.31592367786954e-13
"EIF1",5.91920452467583e-18,-0.520500642600498,0.979,0.991,1.32684888625133e-13
"DLEU2",7.66647516895829e-18,1.27927552065434,0.571,0.329,1.71851707387369e-13
"AL133415.1",8.70588424088485e-18,-1.70360311251703,0.117,0.368,1.95151101143675e-13
"PPP1R15A",1.21471736501433e-17,-1.21126855277266,0.319,0.619,2.72291044541612e-13
"RPL3",1.24590003059318e-17,-0.453876451824158,0.997,1,2.79280950857767e-13
"EEF1B2",1.41893408093278e-17,-0.54633804203907,0.96,0.983,3.18068263581892e-13
"RPS23",1.45184187212816e-17,-0.292000225807069,1,1,3.25444874056248e-13
"CD44",1.52715795681069e-17,-0.849508467610056,0.572,0.831,3.42327727598685e-13
"GPI",1.89333720406204e-17,-0.687398358083151,0.687,0.909,4.24410467662547e-13
"RPL13A",2.34059738545199e-17,0.510090316790985,0.961,0.944,5.24668309922918e-13
"EVL",3.886368667486e-17,-0.622382566985382,0.8,0.944,8.71168400503662e-13
"RPS18",6.49152718110164e-17,-0.411096626888451,1,1,1.45514073291574e-12
"GAPDH",6.96349111701917e-17,-0.536053583624321,0.979,1,1.56093616879102e-12
"DUSP2",7.28917191364791e-17,-1.6913995004525,0.151,0.411,1.63394077616332e-12
"GRK2",1.03945982306421e-16,-0.95347963689547,0.334,0.632,2.33005313938074e-12
"SNHG29",1.15116686087147e-16,-0.629824426970634,0.818,0.961,2.58045563532949e-12
"B2M",1.29338540363215e-16,0.349170601522161,1,1,2.89925272078182e-12
"WDR54",1.51578381904685e-16,-1.0195647647896,0.331,0.61,3.39778100877542e-12
"H3F3A",1.76312552627662e-16,0.116042922840929,0.861,0.978,3.95222217970168e-12
