"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",9.72973682132828e-60,8.97514320067642,0.944,0.023,2.18101780586895e-55
"RBFOX2",1.0248345207888e-49,-4.20236392814516,0.133,0.92,2.29726906180017e-45
"GAPDH",5.96403887526555e-45,1.63970673120678,1,0.989,1.33689895427953e-40
"ENO1",4.07905412204348e-44,2.76474012236503,0.978,0.655,9.14360771997266e-40
"PTPRCAP",3.23628533637262e-39,-2.569884515214,0.463,0.931,7.25445721001287e-35
"AOAH",9.41421600236757e-37,-2.20062717395071,0.711,0.931,2.11029065909071e-32
"TPI1",4.1064171091148e-35,2.10970674815002,0.981,0.816,9.20494459179175e-31
"APOO",5.95285084822968e-35,-4.33454839425815,0.093,0.724,1.33439104613917e-30
"MIF",5.18669447155373e-34,1.91113117112922,0.985,0.839,1.16264943274348e-29
"FP236383.3",3.267428795108e-33,-1.91989847333014,0.293,1,7.32426838711409e-29
"PKM",1.90564469401072e-29,2.35714318518839,0.948,0.54,4.27169314609443e-25
"LDHA",2.1503489518189e-29,2.31875842411914,0.952,0.632,4.82022221039724e-25
"HLA-B",4.70817194718061e-29,0.699762486880974,1,1,1.05538382368e-24
"PGK1",4.70159968845515e-24,2.03460189328306,0.956,0.747,1.05391058616411e-19
"FP671120.4",8.84590756640297e-24,-0.447811727574949,0.263,0.839,1.98289864008489e-19
"JUND",5.14646845060155e-23,1.75659024879812,0.952,0.494,1.15363236788684e-18
"MT-ATP6",1.00463550846485e-22,2.51356032699254,0.926,0.874,2.25199095577481e-18
"GNAS",4.03128060423525e-21,1.65506909998361,0.944,0.575,9.03651860245375e-17
"MT-ATP8",7.62696094873555e-21,-1.21608508971751,0.944,0.989,1.70965956626856e-16
"RPL9",9.52597352769494e-21,1.03293708264325,1,0.92,2.1353422259681e-16
"KLRC2",9.64483821203742e-21,-2.02832006190884,0.681,0.908,2.16198693361031e-16
"GPI",1.49848519851249e-19,2.47423285733808,0.87,0.391,3.3590044209856e-15
"HLA-C",1.67454060831959e-19,-0.79215997234119,0.996,1,3.75365022760919e-15
"AL138963.4",3.23764338897106e-19,4.48784657760557,0.626,0.069,7.25750142071754e-15
"FOS",8.19947232373079e-19,3.351182055685,0.637,0.08,1.83799371608749e-14
"ZBTB20",8.28394452630971e-19,-2.70781738593486,0.237,0.701,1.85692900501759e-14
"VEGFB",4.86097312890283e-18,2.68011549082646,0.7,0.138,1.08963573657486e-13
"ARHGAP15",9.77916430738632e-18,-1.64681008409456,0.63,0.908,2.19209747114372e-13
"SPRY2",1.02523485551833e-17,4.73890210148116,0.522,0.034,2.29816645212988e-13
"XCL1",1.53368116381926e-17,2.00872834769594,0.93,0.598,3.43789969681725e-13
"TAGLN2",1.77226646241829e-17,1.09292109998474,0.989,0.816,3.97271250215685e-13
"AC079793.1",5.80811648005563e-17,-4.06269354920738,0.03,0.402,1.30194739016927e-12
"RPS3A",1.20984902710664e-16,0.662243608825968,1,1,2.71199757916225e-12
"PDE3B",1.28278998122003e-16,-1.83659037229013,0.459,0.782,2.87550202190282e-12
"OGT",1.44748085963925e-16,-1.68499339811279,0.419,0.805,3.24467309496735e-12
"BNIP3",1.47064118706719e-16,6.97414448631034,0.415,0,3.2965892849298e-12
"CTSW",2.00703154746107e-16,1.28417652313018,0.989,0.793,4.49896191678873e-12
"LINC00861",2.38501074412201e-16,-2.35870587322891,0.241,0.69,5.34624008402389e-12
"DPYD",2.5329116643687e-16,-2.1921728830274,0.311,0.644,5.67777478684888e-12
"EIF1",2.76939329030683e-16,1.00081896874825,0.989,0.908,6.20787199955179e-12
"PICALM",4.12052298094577e-16,-2.06736235180618,0.27,0.678,9.23656431408803e-12
"IFITM3",1.31048512645933e-15,1.57547190045051,0.941,0.598,2.93758345947124e-11
"LINC01138",2.26289295613183e-15,-1.78535011039026,0.437,0.793,5.07250085046511e-11
"CBLB",5.68641478731449e-15,-1.58495474924204,0.615,0.828,1.27466673872442e-10
"CD96",5.71219430584574e-15,-1.32655924480074,0.752,0.931,1.28044547559838e-10
"RPL8",6.21384428118468e-15,0.685980034478014,1,1,1.39289533407036e-10
"AC244502.1",8.06297657527557e-15,-3.32391217389348,0.081,0.425,1.80739682911377e-10
"AC010894.3",2.9087084040636e-14,-3.27685075250978,0.059,0.437,6.52016075854896e-10
"MBNL1",5.21890444310743e-14,-1.04529840113911,0.87,0.966,1.16986961996696e-09
"PGAM1",6.94578976098312e-14,1.84373968566296,0.844,0.402,1.55696823282198e-09
