"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",2.59061206705178e-265,7.81722319696502,0.951,0.064,5.80711600950328e-261
"APOO",1.12128197787883e-251,-5.14466933413749,0.103,0.928,2.51346568161318e-247
"RBFOX2",1.31843912088472e-249,-3.98509378955267,0.19,0.979,2.95541313337518e-245
"LDHA",5.64519825382389e-206,2.75570335833941,0.972,0.668,1.26542764057716e-201
"MT-ATP8",3.79142451161256e-197,-1.88171903043029,0.917,1,8.49885718523072e-193
"TPI1",6.84958693424575e-181,2.36840565343529,0.97,0.662,1.53540340718053e-176
"ENO1",3.96553698445742e-176,2.23415556852181,0.981,0.808,8.88914770435976e-172
"PKM",4.52374807511679e-173,2.50487161888058,0.96,0.549,1.01404336851818e-168
"GAPDH",1.43442903914627e-172,2.38032595905555,0.993,0.867,3.21541613415028e-168
"PGK1",4.8925188560435e-162,2.43490642683279,0.96,0.729,1.09670702677071e-157
"IGFBP2",2.84129209080241e-158,4.64632069024513,0.781,0.078,6.36904035074267e-154
"FP236383.3",6.99863124641114e-158,-1.98022435814397,0.35,1,1.56881318019552e-153
"PTPRCAP",2.51477025613342e-137,-2.45335295262918,0.41,0.918,5.63710900614868e-133
"BNIP3",2.38563654228133e-133,3.016925301637,0.849,0.264,5.34764287317784e-129
"GPI",7.99893239618129e-131,2.700178929359,0.903,0.45,1.793040685928e-126
"LINC00861",1.14799535788777e-121,-2.47822096154925,0.391,0.895,2.57334639424122e-117
"PDE3B",2.67313859694137e-120,-1.74247663415429,0.762,0.957,5.99210747890377e-116
"EIF1",3.80673033669038e-120,1.09845093859544,0.998,0.97,8.53316672272516e-116
"PNRC1",2.69222377695059e-119,1.1847517169034,0.998,0.957,6.03488881841245e-115
"ALDOA",3.80447594797895e-118,2.02709173607824,0.937,0.665,8.52811328498962e-114
"MIF",4.58161398122852e-114,1.2978167070666,0.99,0.957,1.02701459003219e-109
"AL138963.4",4.9777396104863e-112,4.4200112186864,0.72,0.136,1.11581011108661e-107
"BNIP3L",2.40125342758609e-108,2.07044633382979,0.904,0.454,5.38264968327699e-104
"PGAM1",3.11001414653586e-106,2.1437819094521,0.883,0.442,6.97140771087479e-102
"VEGFB",5.10007409223936e-103,2.42543499648116,0.81,0.256,1.14323260851638e-98
"PCBP1",3.11517086446715e-102,1.0582172264318,0.993,0.944,6.98296700978956e-98
"FP671120.4",1.04863600043415e-100,-1.20814009623114,0.329,0.919,2.35062245857318e-96
