"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.46681220581326e-74,8.91449898638291,0.983,0.024,3.28800624055099e-70
"RBFOX2",2.05536652697697e-61,-4.28372867297343,0.157,0.963,4.60730960687158e-57
"APOO",1.89224147579225e-41,-4.32707413207568,0.082,0.793,4.24164849213591e-37
"KLF6",4.30453834895203e-39,1.62662418608607,0.997,0.976,9.64905316301086e-35
"JUND",6.50773764302778e-38,1.90857572071228,0.993,0.805,1.45877447006111e-33
"GNAS",1.43657686305676e-33,1.35723089828168,0.986,0.915,3.22023069622804e-29
"AOAH",1.78192917524492e-32,-2.16109922521429,0.577,0.89,3.994372439229e-28
"DPYD",1.64152558192593e-31,-1.77177755698579,0.72,0.963,3.67964374444517e-27
"FCHSD2",1.07046965218794e-30,-2.40628949903305,0.321,0.915,2.39956477234449e-26
"DLEU2",1.17536720066018e-30,-2.06153793822174,0.454,0.915,2.63470311699986e-26
"ZFP36",1.94668802346719e-30,2.45522975230635,0.976,0.78,4.36369587340406e-26
"DUSP1",7.87202744953426e-30,2.10712642965628,0.98,0.756,1.7645936730876e-25
"FP236383.3",1.09217014690834e-29,-1.00238578608915,0.406,1,2.44820860130973e-25
"MCTP1",1.71919585845378e-29,-2.25597672882413,0.433,0.902,3.85374943630999e-25
"MT-ATP8",6.69002025666721e-27,-1.4131007163114,0.962,1,1.49963494073452e-22
"ZEB2",1.85482608765929e-26,-1.32264071874207,0.928,0.988,4.15777815809707e-22
"SRGN",3.80733881228868e-26,1.24108800249258,0.99,0.976,8.53453068162631e-22
"FP671120.4",5.47552590418887e-26,0.431404128116838,0.406,0.89,1.22739388668298e-21
"RTN1",3.37690035575779e-25,-2.06087146260002,0.474,0.878,7.56965983746665e-21
"ITPR2",3.45349227653322e-25,-1.74112086780517,0.601,0.915,7.74134828707687e-21
"NAMPT",9.34584812152536e-25,1.99723678946631,0.952,0.585,2.09496531492112e-20
"GLUL",1.14202244363544e-24,1.64636292364527,0.966,0.854,2.5599575096532e-20
"ATG7",3.09323102453613e-23,-1.67698421035232,0.594,0.963,6.93378666460019e-19
"RPS29",3.13315147496471e-23,-1.09016353370858,0.911,1,7.0232723462809e-19
"DMXL2",9.81972815810058e-23,-1.33813233323257,0.792,0.939,2.20119026391983e-18
"SLC9A9",4.64269315875965e-21,-3.08651336093927,0.154,0.622,1.04070609846756e-16
"AL138963.4",1.56929066341e-20,4.25744134129919,0.587,0.061,3.51772195109985e-16
"UBE2E2",3.22044518466619e-20,-1.94016282143176,0.549,0.927,7.21894992594774e-16
"LRMDA",8.44966905742418e-19,-2.39220177568512,0.212,0.72,1.89407781591221e-14
"ACVR2A",1.26955756428689e-18,-2.59945516135439,0.154,0.634,2.84584023610549e-14
"KYNU",3.06854776980803e-18,-1.39312397283903,0.799,0.988,6.87845668080168e-14
"LTA4H",2.25124714690434e-17,-1.256458402632,0.802,0.951,5.04639560450078e-13
"NBPF26",2.45842575864913e-17,-1.80797199666431,0.304,0.793,5.51080718058789e-13
"TYROBP",3.68754672798745e-17,0.526460274916293,0.99,0.988,8.26600474545667e-13
"DAPK1",6.70607866935552e-17,-1.48607211712319,0.536,0.768,1.50323459452273e-12
"EGR1",8.22566518016805e-17,5.01304427628768,0.509,0.049,1.84386510678647e-12
"RPL37A",8.30659149108526e-17,-0.939998519082845,0.942,0.988,1.86200554864167e-12
"PDE4DIP",8.52016610655094e-17,-2.52882063263276,0.222,0.659,1.90988043444446e-12
"EIF1",8.75972112569108e-17,0.711625764862844,1,1,1.96357908753491e-12
"HFM1",2.26933958400238e-16,-6.48027432808355,0,0.256,5.08695161149974e-12
"EGR2",2.99966575440678e-16,2.84978187670259,0.666,0.195,6.72405075507825e-12
"MAML2",3.58332093131967e-16,-1.88116064582134,0.485,0.829,8.03237219964617e-12
"DDX5",7.53839683615757e-16,0.838046857575209,0.993,0.976,1.68980703479308e-11
"RPS2",8.66138077469477e-16,-0.775248152151005,1,1,1.94153511445558e-11
"CEBPD",9.65589172681768e-16,2.42846691165767,0.792,0.402,2.16446468948345e-11
"LRRC37A3",1.57688240995698e-15,-4.62875536654068,0.01,0.317,3.53473961015956e-11
"S100A6",1.58335535415357e-15,1.13172095160142,0.986,0.963,3.54924936187064e-11
"IL1B",2.46048598252125e-15,2.79891026543137,0.666,0.207,5.51542537841963e-11
"TFEC",5.71743468639956e-15,-2.19154020566613,0.311,0.671,1.28162015930332e-10
"HLA-C",5.87044550921553e-15,-0.778380484105783,1,1,1.31591906534575e-10
"RNF144B",5.93855991404851e-15,-1.57819595949779,0.539,0.878,1.33118759033311e-10
"TMEM176A",7.61014844386802e-15,-1.92445533196267,0.42,0.793,1.70589087517745e-10
"ARRB2",9.09940646872693e-15,0.923584652528571,0.962,0.915,2.03972295402983e-10
"CAMK1D",1.23314414983606e-14,-1.67751431130447,0.413,0.768,2.76421592627252e-10
"SNRPD3",1.28441413842967e-14,-1.59113146897028,0.331,0.78,2.87914273270396e-10
"MCOLN2",1.4152139329084e-14,-3.87693108128447,0.038,0.378,3.17234355200747e-10
"GSAP",1.5321803307644e-14,-1.80860874951781,0.348,0.744,3.43453542944148e-10
"HCST",2.28629474690843e-14,1.35832653244481,0.942,0.756,5.12495830466994e-10
