"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",2.02184780560101e-16,7.64715742576319,0.909,0.037,4.53217404103523e-12
"GAPDH",2.13956764176355e-14,2.18317111997988,0.955,1,4.79605482577718e-10
"ENO1",4.67269519089424e-12,3.09942645774816,0.939,0.63,1.04743135399085e-07
"APOO",5.81113049106485e-12,-5.64691581086303,0.03,0.63,1.3026230108771e-07
"RBFOX2",3.42208303546467e-11,-4.11898521600605,0.106,0.815,7.67094133229759e-07
"TPI1",4.84813077956298e-10,2.87618573131434,0.909,0.519,1.08675699554684e-05
"PTPRCAP",9.54966445061751e-10,-2.65468582438718,0.333,0.889,2.14065278325042e-05
"MIF",9.94544054760441e-10,1.8122908198666,0.985,0.815,2.22936995315101e-05
"ZBTB20",8.52738110482898e-09,-2.24415433829154,0.303,0.889,0.000191149774845846
"LDHA",8.80718146269203e-09,2.46312001387507,0.894,0.63,0.000197421779667704
"MT-ATP8",2.90240529962617e-08,-1.37924552007243,0.97,1,0.000650603171964202
"PDE3B",2.96978246373483e-08,-1.74877713837851,0.606,0.852,0.000665706437070801
"FP236383.3",3.1544391291201e-08,-1.31087145479986,0.424,1,0.000707099075183562
"BNIP3L",1.53174162666137e-07,2.31019341224353,0.864,0.333,0.00343355203032412
"PGK1",2.47182652278829e-07,2.38939046188262,0.894,0.778,0.00554084633348224
"SSH2",5.06548498929728e-07,-2.08105490210489,0.394,0.778,0.0113547911520088
"VEGFB",1.06147730512144e-06,2.42842900294313,0.758,0.222,0.0237940752716021
"PKM",1.12719297870563e-06,2.25390435532113,0.879,0.519,0.0252671578106653
"AOAH",1.48168569084674e-06,-1.89951960920794,0.621,0.815,0.0332134664460206
"JUND",1.85509375998488e-06,2.54214996361476,0.773,0.259,0.041583781723821
"GPI",1.87696911581638e-06,2.65679741083048,0.818,0.444,0.0420741397001399
"PGAM1",2.05531748645508e-06,1.96590411893788,0.894,0.519,0.0460719967763771
"NBPF26",3.09023958310048e-06,-2.47891994458993,0.076,0.556,0.0692708104947804
"DUSP1",3.58978566425558e-06,6.16574787194443,0.424,0,0.0804686354499532
"MT-ATP6",3.79679229320685e-06,2.14592947371943,0.788,0.778,0.0851088960445247
"RPLP0",5.18474586763645e-06,0.917157447172537,1,0.963,0.116221263368939
"IKZF1",7.40538735575984e-06,-1.46993079824875,0.545,0.889,0.165999162966713
"AC093865.1",8.2150801092566e-06,-5.11661493946694,0.015,0.37,0.184149235729096
"SLFN12L",1.07637926689621e-05,-4.43115213402456,0.03,0.444,0.241281176467454
"HLA-B",1.58876199522267e-05,0.650282297795181,1,1,0.356136888849113
"ALDOA",1.85461333150813e-05,1.93364762079794,0.848,0.63,0.415730124390863
"VRK2",2.00967317756387e-05,-3.98549663245868,0.03,0.333,0.450488339482716
"A2M",2.8516268035327e-05,-3.6355653576857,0.03,0.407,0.639220664279891
"KANSL1-AS1",3.58446551491683e-05,-5.64552887753076,0,0.259,0.803493789823758
"RPL10",3.6168489360296e-05,0.752413316757557,0.985,1,0.810752857500395
"IKZF2",3.92001974194565e-05,-2.12656343388192,0.348,0.63,0.878711625354536
"PCBP1",3.98818514629779e-05,0.838715044727487,0.97,0.889,0.893991582394113
"RPS3A",4.01514501423255e-05,0.826419642009807,1,0.963,0.900034906390369
"EIF1",4.30015679824413e-05,1.12790114890932,0.97,0.926,0.963923147894405
"FOS",4.45899752167258e-05,5.94186904361089,0.364,0,0.999528884458125
"HLA-C",4.75574572420285e-05,-0.916472657293194,0.97,1,1
"FAU",5.19248320051029e-05,0.596342481585185,1,1,1
"RPS9",5.44475413324173e-05,0.78863618725602,1,0.963,1
"TRANK1",5.45218191185487e-05,-1.80110433238575,0.182,0.593,1
"FP671120.4",5.74306686814026e-05,-0.6800345546508,0.364,0.852,1
"SRSF5",6.4296702798567e-05,1.00919911741294,0.939,0.593,1
"PPP2R5C",6.70393173060209e-05,-1.47214467066252,0.606,0.926,1
"NEAT1",8.16893382557034e-05,-1.59051217237438,0.424,0.667,1
"ANKRD44",8.22577510128411e-05,-1.5597252280711,0.455,0.815,1
"AC010894.3",8.65008652138098e-05,-2.55758173790057,0.03,0.333,1
"FUT8",9.52328748186612e-05,-4.43895427949737,0.015,0.296,1
"AC002463.1",9.64394011809013e-05,-5.3693088321369,0,0.222,1
"IGFBP2",0.000110652980987804,4.83386625570142,0.485,0.074,1
"DOCK8",0.00012301771425706,-1.86352068522569,0.333,0.667,1
"AL138963.4",0.000123783653307171,4.1188620197486,0.5,0.074,1
"AC079793.1",0.000129712918010584,-3.04743220631819,0.061,0.444,1
"ZDHHC13",0.000139882632539918,-5.42598860743719,0,0.222,1
"ST6GAL1",0.000154558909285523,-2.03914650464666,0.136,0.556,1
"RABGAP1L",0.000157009544291126,-1.72343779664008,0.364,0.778,1
"RPS26",0.000173482608293003,0.555004821345014,1,1,1
"RPL9",0.000186009714808733,0.810210432332629,0.955,0.926,1
"RFX7",0.000209429973288865,-3.42884914742651,0.061,0.407,1
"RPS23",0.000214737614511857,0.543779507848254,1,1,1
"RASA1",0.000215009301530264,-2.80283115761617,0.061,0.407,1
"EPS15",0.000217792902148841,-2.65091778206808,0.121,0.481,1
"PRKCA",0.000220114638898814,-2.27584659258927,0.136,0.519,1
"ZNF611",0.000235836291872349,-4.11921609203369,0.03,0.333,1
"TRAK1",0.000267098352124373,-4.95413996556989,0,0.185,1
"ARHGAP15",0.000277586366022673,-1.51194272588782,0.424,0.778,1
"PTPN22",0.000298046605924171,-2.08708828660683,0.212,0.63,1
"SLFN5",0.000319083332249952,-1.20990193427699,0.47,0.852,1
"GNAS",0.000319450488297494,1.01429060295772,0.909,0.667,1
"ING2",0.000321825618912842,4.4839930278692,0.273,0,1
"PDE6G",0.000322131365234894,-4.94041949324014,0,0.185,1
"MXI1",0.00033857086894514,2.98582131558434,0.424,0.037,1
"MECP2",0.000338876135478218,-3.03087838424826,0.061,0.407,1
"UBC",0.00037727287781609,1.04216913592172,0.924,0.852,1
"PNRC1",0.000383009954548519,0.857257668159392,0.955,0.926,1
"AC004448.2",0.000384117052768639,4.59878326165818,0.364,0.037,1
"SARAF",0.000397589314366996,1.00421585815348,0.97,0.963,1
"STK38",0.000414714001752817,-1.5440686425119,0.364,0.704,1
"NSF",0.000426651656629926,-2.46148121131521,0.167,0.519,1
"ZNF33B",0.000453326434386955,-2.59997776983059,0.061,0.296,1
"RPS13",0.000453923109098783,0.669306929726571,1,1,1
"FBXO34",0.000454638643585429,-2.23669210207656,0.136,0.481,1
"CENPP",0.000455943055849024,-5.45891919009439,0,0.185,1
"LRRC37A3",0.00045720439663854,-5.38474830114375,0,0.185,1
"SACM1L",0.000457632797589699,-2.14466822358801,0.121,0.481,1
"SNRPD3",0.0004855204394844,-2.25404704163613,0.136,0.519,1
"THSD4-AS1",0.000486372894049785,-5.22789955280375,0,0.185,1
"DBR1",0.000493739531790866,-4.44621097102983,0,0.148,1
"KANSL1",0.000516771534846427,-2.11716694894164,0.227,0.556,1
"DISP1",0.000546815472556072,-5.31335766291953,0,0.185,1
"RPL29",0.000554326262903124,0.598730108398769,1,1,1
"FAM210A",0.000576087000202463,4.25524999292146,0.273,0,1
"DNAJB1",0.000580085158392672,3.68502430984877,0.561,0.148,1
"AKT3",0.000584021030844773,-1.5558939383573,0.242,0.667,1
"NSMCE2",0.00059471262303597,-3.16083046629606,0.03,0.333,1
"IL12RB1",0.000595766757283548,-5.11069450875689,0,0.185,1
"RPL8",0.000628939183499346,0.609919357649129,1,0.963,1
"GIMAP7",0.000629042669751396,-1.01950148617055,0.727,0.815,1
"BTG1",0.000638163761175268,0.845062181856808,0.985,0.926,1
"LDLRAD4",0.00064429825204371,-2.53137436313035,0.106,0.37,1
"CD84",0.000662398579740143,-3.40748891341691,0.045,0.333,1
"UTRN",0.000681523976397971,-1.64007915070284,0.288,0.667,1
"NOL4L",0.00068256880268043,-4.59576221323071,0,0.148,1
"P4HA1",0.000701378673743075,2.65140225715774,0.53,0.111,1
"BNIP3",0.000703549959760379,2.9158570144515,0.576,0.185,1
