"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",1.32669590660689e-37,10.7713301526583,0.975,0,2.97392154425e-33
"RBFOX2",1.53495670168122e-25,-4.06748836142436,0.151,0.896,3.44075894248863e-21
"APOO",3.24820149233603e-20,-4.25682492646439,0.084,0.792,7.28116846522044e-16
"PTPRCAP",1.54530655335964e-17,-2.10839782300933,0.487,0.875,3.46395917001096e-13
"GAPDH",1.53363718000674e-16,1.74986770979399,1,0.979,3.43780110270311e-12
"FP236383.3",3.60976816617249e-16,-1.95133248898473,0.378,1,8.09165632129225e-12
"TPI1",6.26913315129669e-14,2.19742943595437,0.941,0.604,1.40528888719466e-09
"MIF",1.19503313121568e-13,1.55131331545747,0.992,0.875,2.67878626693307e-09
"ENO1",1.27713080457808e-13,2.15624586754773,0.983,0.75,2.86281641154222e-09
"MT-ATP8",7.17033032650421e-13,-1.37574953463115,0.891,1,1.60730124598918e-08
"JUND",1.9831730025493e-11,1.65747394638879,0.933,0.479,4.44548060251451e-07
"PGK1",1.43660683877887e-10,2.05153672686525,0.95,0.729,3.22029788980673e-06
"GPI",6.27803661506048e-10,2.29840331634858,0.882,0.417,1.40728468763196e-05
"AL138963.4",1.02142633340475e-09,4.75302964833136,0.571,0.042,2.28962926896009e-05
"PYHIN1",1.45275554438168e-09,-2.00606895046868,0.395,0.729,3.25649682828597e-05
"LDHA",1.64164045728043e-09,1.68539226260552,0.966,0.75,3.67990124903982e-05
"PKM",3.76630116855613e-09,1.62191037354784,0.941,0.708,8.44254069943541e-05
"CBLB",1.01037198738032e-08,-1.93547803206834,0.353,0.729,0.000226484984691172
"ATM",1.36367687734727e-08,-1.46173715154612,0.513,0.896,0.000305681808826163
"LINC00861",1.47497517590044e-08,-2.07468799018192,0.303,0.688,0.000330630435429843
"FP671120.4",1.66786237455733e-08,-0.810063915065419,0.345,0.854,0.000373868029880772
"MT-ATP6",4.49271573272779e-08,2.24737349788309,0.95,0.792,0.00100708715864826
"DIPK1A",4.87058647956032e-08,-2.67607978882715,0.118,0.458,0.00109179066525824
