"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",4.99965597964594e-180,3.12407549873154,0.963,0.547,1.12072288439743e-175
"H3-3B",2.24271235932166e-99,3.04216417388972,0.899,0.091,5.02726402465543e-95
"CRIP1",5.32042694274903e-99,2.14393152147167,0.986,0.895,1.19262690348662e-94
"H3-3A",4.0827654960586e-98,3.13433714812949,0.889,0.091,9.15192713596497e-94
"MIF",4.14076032091678e-93,-1.74255128020184,0.871,0.964,9.28192833536705e-89
"H3F3B",4.72778487016644e-92,-4.12460593435121,0.092,0.885,1.05978025649651e-87
"TPI1",4.28063588471758e-90,-2.26291947664509,0.636,0.895,9.59547339918294e-86
"TALAM1",1.01899727888177e-88,2.44435530810662,0.857,0.091,2.28418430034137e-84
"ENO1",6.4877509805858e-86,-2.07473018700753,0.747,0.921,1.45429425980811e-81
"ENSG00000280441",2.8572408435945e-81,12.7872067577758,0.737,0.01,6.40479107500143e-77
"ENSG00000289901",1.45293261959651e-77,3.26844486880438,0.802,0.077,3.25689376008753e-73
"RBFOX2",2.8688075889353e-74,1.77136414267908,0.816,0.638,6.43071909135738e-70
"VIM",6.16770382082577e-74,2.10940691077941,0.982,0.95,1.3825524884763e-69
"CHASERR",6.45626426651457e-73,3.32174917512642,0.779,0.077,1.44723619798191e-68
"H3F3A",3.03188175123526e-71,-3.51078203767929,0.088,0.857,6.79626613356896e-67
"ANXA1",5.86115417318058e-69,2.06488626782551,0.945,0.897,1.31383631946016e-64
"LINC01578",3.75290112905121e-65,-3.96084375802667,0.051,0.717,8.4125031708812e-61
"LMNA",9.22516434244713e-65,3.03417034975647,0.825,0.204,2.06791283900295e-60
"ATP5MK",6.07220207483567e-62,3.30438505069787,0.705,0.075,1.36114481709516e-57
"ENSG00000278996",1.87006366919389e-61,6.87650671359288,0.659,0.02,4.19193472086503e-57
"H4C3",4.24298044030421e-60,3.21058652651198,0.691,0.075,9.51106495498592e-56
"H2AZ2",8.82278934325346e-60,2.95030327225605,0.682,0.077,1.97771645918369e-55
"PGK1",1.54131063603187e-58,-1.2978661358409,0.894,0.939,3.45500192172905e-54
"ENSG00000257322",6.71066729096247e-55,10.5104864845547,0.608,0,1.50426317994215e-50
"ATP5MD",1.08606652198189e-54,-3.39507028441892,0.069,0.717,2.4345267156746e-50
"TAGLN2",2.30734825253344e-54,1.38616220281463,0.982,0.982,5.17215184287896e-50
"H1FX",6.39484047397944e-54,-5.71041629025483,0.032,0.628,1.43346744064723e-49
"DARS",6.83790589689125e-52,-3.48413037847276,0.051,0.568,1.53278498584714e-47
"LINC-PINT",2.41552137609525e-51,2.53950462973426,0.751,0.135,5.41463271665511e-47
"FP236383.3",2.25644822134894e-50,-2.27640700514203,0.092,0.792,5.05805433297579e-46
"GPI",9.61336605288247e-50,-2.76317714615281,0.286,0.675,2.15493213441414e-45
"GYPC",2.43310297555557e-49,-1.76004280327438,0.553,0.893,5.45404363000536e-45
"U2AF1",5.83826109510827e-48,2.74894732058047,0.696,0.143,1.30870460707947e-43
"TGFB1",4.56308935737319e-47,1.43399073782498,0.945,0.818,1.02286211034877e-42
"HIST1H4C",5.50130997448874e-47,-3.89510338984354,0.065,0.707,1.2331736438814e-42
"MATR3",1.5618954672715e-45,2.92656911793943,0.599,0.079,3.5011448794358e-41
"S100A11",8.60974101117139e-45,1.08502014085709,0.931,0.945,1.92995954506418e-40
"IDS",1.22436153515153e-44,1.86840659116824,0.848,0.491,2.74452881719566e-40
"H2AFZ",1.43671623676347e-44,-3.32700591598423,0.065,0.622,3.22054311632899e-40
"PKM",2.18203891078532e-44,-1.46756007475269,0.604,0.8,4.89125842241637e-40
"MYADM",2.73711473795345e-44,2.39999809054276,0.834,0.356,6.13551639659646e-40
"BNIP3L",3.63737446861806e-44,-2.30499828963039,0.235,0.596,8.15353860885424e-40
"ENSG00000234961",5.4770854232542e-43,1.75616772795892,0.553,0.083,1.22774346847666e-38
"UCP2",1.0584656625521e-42,1.54140040100951,0.862,0.59,2.37265662917678e-38
"IL32",1.78512850858077e-42,-2.2052595965558,0.774,0.962,4.00154406483465e-38
"C4orf3",5.57031551904826e-42,-1.38153882957072,0.488,0.762,1.24864192674986e-37
"H2AZ1",1.50546168692053e-41,3.19272649542532,0.516,0.05,3.37464291740105e-37
"TCAF2",2.79083791492404e-40,-3.22852673079405,0.074,0.402,6.25594227009373e-36
"EZR",1.04263456543841e-39,1.56415638496373,0.959,0.741,2.33716964188674e-35
"ALDOA",5.35251287476886e-39,-1.43185618305464,0.691,0.897,1.19981928600819e-34
"HIST1H1E",1.87272147087546e-38,-4.28365283207013,0.046,0.624,4.19789244911443e-34
"ZFP36",3.16359636203689e-38,1.27239528612957,0.94,0.804,7.09151760514189e-34
"GAPDH",9.57196526351115e-38,-1.14818786638573,0.931,0.996,2.14565173346866e-33
"LDHA",1.13126708791189e-37,-0.990294840631122,0.876,0.919,2.53584830426329e-33
"RGCC",1.51363218910681e-37,2.44282373084515,0.825,0.404,3.39295791510182e-33
"BNIP3",1.18424795146355e-36,-2.8925710385468,0.12,0.386,2.6546102080007e-32
"H2AFV",1.5243167690044e-36,-3.47824994293113,0.065,0.61,3.41690846940026e-32
"GPSM3",8.88513816112909e-35,-1.62421502325338,0.484,0.877,1.9916925701987e-30
"FP671120.4",9.13492417558274e-35,-2.71918117949479,0.088,0.699,2.04768460319863e-30
"RPS29",1.0535131877595e-34,0.943962569932927,0.995,0.99,2.3615551616817e-30
"NHERF1",1.4655643636702e-34,3.41905464417168,0.461,0.046,3.28520907760312e-30
"EEIG1",1.52200321441882e-34,2.89789800426465,0.456,0.055,3.41172240544122e-30
"BBLN",5.02981569203779e-34,3.33880203609778,0.429,0.044,1.12748348552719e-29
"CRIP2",1.00231083550694e-33,3.11774594115529,0.576,0.123,2.24677996887237e-29
"ATP5MJ",1.27594737584743e-33,3.22762651312087,0.438,0.046,2.86016363769959e-29
"IFITM2",1.73794907485533e-33,-1.82888571362271,0.71,0.943,3.89578664619571e-29
"AC138123.1",3.65042746398927e-33,-2.8874025988157,0.078,0.651,8.18279820327834e-29
"SLC9A3R1",4.1007865967474e-33,-3.66152208401335,0.051,0.614,9.19232323526897e-29
"MIR210HG",7.62237194428549e-32,-6.99076579811405,0,0.206,1.70863089503103e-27
"EEIG2",4.00225889763909e-31,3.00881936784968,0.419,0.055,8.97146354494779e-27
"CYRIB",5.50338517382093e-31,3.246932925187,0.396,0.05,1.2336388205637e-26
"IGFBP2",6.48434826917824e-31,-6.2809653380419,0.005,0.198,1.45353150801899e-26
"UBC",1.17033890839392e-30,0.819428148273466,1,0.95,2.62343169705581e-26
"SEPTIN9",4.7866477660033e-30,-1.73684501345451,0.415,0.816,1.0729749632273e-25
"TMSB4X",1.7932351312718e-29,-0.55113038115821,0.995,1,4.01971587025887e-25
"RAC2",1.91975464792823e-29,-1.17416485164128,0.747,0.943,4.30332201879592e-25
"H2AFY",3.19264040214619e-29,-3.87355044554053,0.032,0.457,7.1566227254509e-25
"LTB",5.71949948074304e-29,-1.56874465807116,0.751,0.859,1.28208300360336e-24
"FAM162A",7.67398712016186e-29,-1.6395333774768,0.244,0.507,1.72020095285548e-24
"B2M",8.93462793240842e-29,-0.553351606594127,1,1,2.00278619732867e-24
"PLAC8",1.77550063733481e-28,-1.77316426323099,0.281,0.651,3.97996222864971e-24
"VEGFB",2.11496230931842e-28,-2.57373995181835,0.143,0.495,4.74089951256817e-24
"ADSS2",2.26123552823679e-28,3.30732463143193,0.382,0.038,5.06878556009559e-24
"AHNAK",2.16504298510662e-27,1.0607326534971,0.802,0.634,4.853160355415e-23
"AL138963.4",5.21308275684179e-27,-6.25601616545844,0.005,0.315,1.16856463077366e-22
"LRRFIP1",9.28389964007907e-27,1.34890937884695,0.857,0.612,2.08107894332012e-22
"IFITM1",1.42017833531331e-26,-1.1549913983728,0.926,0.98,3.18347175643832e-22
"EFHD2",6.35554565083616e-26,1.1163764662048,0.696,0.388,1.42465911309143e-21
"MARCHF7",7.54473254523346e-26,3.55663458515846,0.336,0.03,1.69122724733953e-21
"P4HA1",1.67581790128106e-25,-2.74242575713914,0.078,0.343,3.75651340751162e-21
"IL16",2.06571553765966e-25,-1.77563277908081,0.309,0.766,4.63050794921789e-21
"SARS1",3.03924906838421e-25,3.01969648554665,0.341,0.053,6.81278071169005e-21
"ANP32B",4.22569068567051e-25,-1.13012698609997,0.53,0.8,9.47230824099901e-21
"LCK",5.14003363271363e-25,-1.32579341741046,0.558,0.865,1.15218993910909e-20
"GPX1",8.00755863054369e-25,2.96890970697161,0.35,0.05,1.79497434262267e-20
"PNRC1",1.71482941289585e-24,-0.554657070527405,0.88,0.95,3.84396161194735e-20
"MTRNR2L12",1.95999150449667e-24,-8.76186153578474,0.005,0.137,4.39351695647973e-20
"LDHB",2.35869052366719e-24,-1.25749102251848,0.728,0.952,5.28724067785236e-20
"C9orf16",2.80552586058116e-24,-3.32318555303442,0.06,0.576,6.28886676907872e-20
"SRGN",3.0844192560817e-24,0.899435158895175,0.926,0.802,6.91403420443273e-20
"ATP2B1",3.32584684521692e-24,1.41254509991806,0.654,0.323,7.45521828823825e-20
"H1-10",5.00062600052908e-24,3.09919679689179,0.336,0.038,1.1209403242786e-19
"ATP5MPL",5.80999082937343e-24,-3.026048265775,0.065,0.529,1.30236754431235e-19
"LINC00869",6.31913576420385e-24,3.0510911356365,0.327,0.034,1.41649747290394e-19
"ADGRE5",1.50437534627947e-23,1.66736850136635,0.756,0.424,3.37220777622005e-19
"ZNRD1",2.10490393913703e-23,-3.22793029704886,0.051,0.436,4.71835266996957e-19
"C5orf56",2.39100187892431e-23,-3.59765941012954,0.037,0.364,5.35966981179672e-19
"SARS",5.09693453776072e-23,-3.30755557922236,0.037,0.372,1.14252884598444e-18
"TSPAN2",5.47760778892692e-23,2.1614820411862,0.488,0.174,1.22786056196586e-18
"FAM107B",6.66698626219959e-23,1.29754768544205,0.876,0.739,1.49447164053466e-18
"POLR1H",1.03240901513983e-22,4.11321422073161,0.309,0.024,2.31424804833743e-18
"ENSG00000290823",2.15753573322668e-22,5.00551791164071,0.313,0.014,4.83633209960094e-18
"H1-4",1.09836606028839e-21,2.23008940108114,0.286,0.057,2.46209736074245e-17
"GMFG",1.40242278367177e-21,-1.43800768795399,0.507,0.869,3.14367091187865e-17
"HERC1",1.59635460215223e-21,0.968143996352758,0.668,0.436,3.57838847618444e-17
"EVL",2.00849572487081e-21,-1.22301980795965,0.622,0.877,4.50224401687042e-17
"GBP2",2.54740386482649e-21,-1.26024791770359,0.295,0.614,5.71026050339505e-17
"AC008105.3",3.66425631865869e-21,-3.50986781715937,0.037,0.398,8.21379696390532e-17
"MATR3.1",4.29625600894405e-21,-4.4341571336227,0.028,0.479,9.63048746964898e-17
"AKAP13",4.83478201689025e-21,1.04630403833606,0.811,0.594,1.08376473690612e-16
"ACAP1",6.34607886223337e-21,-1.60676061578702,0.267,0.687,1.42253703775823e-16
"DARS1",9.0911760048896e-21,2.6354342252801,0.295,0.048,2.03787801325605e-16
"ENSG00000283674",1.05440249700776e-20,2.73749073623037,0.281,0.038,2.3635486372926e-16
"FAM49B",1.5930977202576e-20,-3.90964463113404,0.023,0.39,3.57108784972945e-16
"MBNL1",1.60217227391124e-20,0.874300276178487,0.935,0.83,3.59142936919944e-16
"SERF2",3.93548236671235e-20,-0.794552532197705,0.94,0.992,8.82177727322239e-16
"ALDOC",4.30207192949031e-20,-3.40433797702958,0.018,0.214,9.64352443714549e-16
"GIMAP2",4.41388386720135e-20,-1.70442230479411,0.189,0.477,9.89416207671854e-16
"CD44",5.28438087284335e-20,0.912212301905218,0.968,0.889,1.18454681645656e-15
