"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",0,1.56015329681606,0.995,0.701,0
"H3-3B",1.24185784617569e-220,1.77347455440515,0.98,0.358,2.78374854798743e-216
"H3F3B",5.61877659248483e-217,-13.4481072789165,0,0.574,1.2595049609714e-212
"H3-3A",4.45390268553906e-214,1.50803194956088,0.97,0.35,9.98386825990436e-210
"FP236383.3",2.23559481448315e-210,-16.0350575718246,0,0.491,5.01130933614542e-206
"H3F3A",3.1504794138244e-199,-12.336772565354,0,0.53,7.06211465402877e-195
"LINC01578",1.17120939886775e-170,-12.5043862047661,0,0.499,2.62538298850194e-166
"ENSG00000280441",1.24017207311226e-168,11.4056719263571,0.811,0.034,2.77996971908843e-164
"CHASERR",1.08245372494e-167,1.96311268024624,0.918,0.348,2.42642826982551e-163
"TALAM1",4.10464600348059e-158,0.977992782094902,0.889,0.353,9.20097448140209e-154
"FP671120.4",1.31028870362617e-153,-12.3647354350079,0,0.399,2.93714315804841e-149
"MIF",4.46163492061484e-153,-1.83648195678342,0.707,0.869,1.00012008380502e-148
"ENSG00000289901",3.40179274099578e-149,1.51776701930036,0.875,0.331,7.62545860821614e-145
"AC138123.1",7.20416035712775e-147,-10.9427168710228,0,0.343,1.61488458565376e-142
"ENO1",1.22491897974572e-145,-2.23616525135212,0.58,0.754,2.74577838499801e-141
"GAPDH",1.76441719087679e-144,-2.40666277851501,0.627,0.876,3.95511757506941e-140
"TPI1",3.71284275869452e-141,-3.16816941078722,0.298,0.63,8.32270832788964e-137
"H2AFZ",3.96263225377737e-131,-11.3642279027997,0,0.394,8.88263646006735e-127
"ATP5MD",7.45707670123387e-124,-10.7345085383843,0,0.365,1.67157831334858e-119
"HIST1H4C",6.32498764497525e-121,-11.4488858049467,0,0.372,1.41780923049765e-116
"IL32",5.56080373585969e-117,-2.16851829998315,0.492,0.689,1.24650976543031e-112
"H1FX",2.44557108506974e-113,-11.508771263178,0,0.35,5.48199214429234e-109
"H4C3",1.2645132039731e-109,2.36162843697361,0.764,0.236,2.8345327980261e-105
"PGK1",2.38983373672345e-107,-1.46762915960904,0.692,0.796,5.35705130423929e-103
"MATR3.1",9.44751719757146e-103,-10.6956773873433,0,0.321,2.11775545500762e-98
"ENSG00000278996",2.06323261650877e-102,4.84545485750858,0.712,0.088,4.62494223316606e-98
"GBP5",3.06789188833274e-102,-3.10202608648353,0.196,0.377,6.87698645688666e-98
"MATR3",1.13892495173486e-101,1.61564008177986,0.745,0.297,2.55301417180886e-97
"DARS",5.13614016082626e-100,-10.3854473006979,0,0.29,1.15131717845081e-95
"H2AZ1",1.79095913859008e-95,2.41542215259315,0.706,0.217,4.01461400506352e-91
"H2AZ2",2.47448988554705e-93,1.51910946862897,0.685,0.273,5.54681652744226e-89
"H2AFV",4.56875712049637e-90,-10.5358977831872,0,0.299,1.02413259613047e-85
"ATP5MPL",5.52015043012901e-90,-10.3633773371023,0,0.299,1.23739692041772e-85
"C4orf3",1.42542354344664e-86,-2.0018767252298,0.308,0.596,3.19522941498999e-82
"ENSG00000257322",1.86291192601384e-84,10.1315075311653,0.597,0,4.17590337335263e-80
"STAT1",1.05791882237335e-83,-1.38596044357866,0.493,0.535,2.37143083223211e-79
"RBFOX2",5.34488260558703e-80,2.3248471970571,0.763,0.348,1.19810888486839e-75
"CD44",1.57657145856465e-79,0.514574245678614,0.951,0.732,3.53404258151852e-75
"U2AF1",4.64795005476575e-79,1.62482057816733,0.682,0.263,1.04188448427629e-74
"C5orf56",6.43219654405318e-76,-9.91993286826421,0,0.234,1.44184117731496e-71
"IGFBP2",1.16149350141923e-75,-10.5523149536863,0,0.219,2.60360383278135e-71
"CALM1",2.02601656740203e-75,0.999809459168431,0.97,0.81,4.5415187374884e-71
"ATP5MK",8.40196351000922e-75,0.867045563556407,0.575,0.307,1.88338414040367e-70
"TAGLN2",2.8758544726741e-74,0.515925075200637,0.954,0.827,6.44651538594626e-70
"C9orf16",5.23454704801337e-68,-9.54295702865108,0,0.212,1.17337606628268e-63
"PYURF",8.36540439080247e-68,-9.32127621963203,0,0.204,1.87518904824228e-63
"AL138963.4",1.65298921579726e-67,-10.3608874509695,0,0.219,3.70534062613114e-63
"TCAF2",1.58335683097878e-66,-3.14638513678693,0.064,0.302,3.54925267232203e-62
"ANXA1",1.72597267813866e-65,0.732130441625623,0.761,0.472,3.86894035531561e-61
"CRIP1",2.94418058969341e-63,-0.710813441618247,0.798,0.547,6.59967520985675e-59
"HIST1H1E",2.51735297485348e-62,-10.2005502316046,0,0.224,5.64289842843156e-58
"GPI",1.01387252320743e-60,-2.19072858326685,0.19,0.445,2.27269664802178e-56
"GPR183",2.81233495524302e-60,1.18833165653741,0.76,0.416,6.30413003567274e-56
"BNIP3L",6.42815787238532e-60,-1.3635448279649,0.389,0.567,1.44093586867389e-55
"ALDOA",1.69642616694608e-59,-1.33271426273271,0.436,0.613,3.80270889582634e-55
"AC078883.1",2.91499590236918e-59,-9.35282539858206,0,0.178,6.53425481475074e-55
"EIF1",3.36625881315487e-58,0.851353492401554,0.998,0.971,7.54580575556796e-54
"AC243960.1",4.30113062140465e-58,-9.25967335534101,0,0.17,9.64141440094065e-54
"ATP5MJ",2.32093296860481e-57,1.65938579930159,0.481,0.192,5.20260334242454e-53
"ZNRD1",3.0111893946639e-57,-9.48824659960579,0,0.192,6.74988214707859e-53
"LSP1",4.3790518593965e-57,-1.81490419331364,0.369,0.723,9.8160826480232e-53
"MIR210HG",2.79928287761686e-56,-7.64148251543161,0.001,0.175,6.27487249846595e-52
"FAM49B",2.69751835576496e-55,-9.63891625134677,0,0.19,6.04675714628273e-51
"RPS10-NUDT3",3.11306381531635e-55,-9.14215690273291,0,0.153,6.97824384841312e-51
"MYADM",6.92463562553029e-55,0.772527345147498,0.707,0.423,1.55222632181887e-50
"HIST1H1D",2.07753590549455e-54,-9.6921076576029,0,0.175,4.65700448575657e-50
"TSC22D3",4.50791648319321e-54,0.930780496110989,0.815,0.55,1.01049455887259e-49
"LDHB",2.46222444972339e-53,-0.923292064577514,0.747,0.818,5.51932232649995e-49
"AC245297.3",5.32996234901044e-53,-9.35115926195095,0,0.168,1.19476436015418e-48
"MARCH7",2.45624787391646e-52,-9.65796738015535,0,0.187,5.50592523417114e-48
"MALAT1",3.57643610034865e-52,0.242989618599268,1,1,8.01693916254153e-48
"VIM",4.59475177757148e-52,0.21770956296042,0.884,0.691,1.02995955846042e-47
"PSME1",5.94175091811038e-51,-0.965740119612138,0.622,0.723,1.33190288580362e-46
