"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3-3A",0,3.16706922419374,0.671,0.072,0
"H3-3B",0,3.40792196414914,0.669,0.071,0
"H3F3B",0,-1.97511456778216,0.267,0.859,0
"LINC01578",0,-2.41828410222637,0.206,0.785,0
"TALAM1",0,2.65362016330129,0.643,0.07,0
"IGFBP2",0,-9.03796303683186,0.006,0.514,0
"TPI1",0,-2.68073872313669,0.51,0.858,0
"RPS10",0,2.80859743459455,0.902,0.671,0
"GAPDH",0,-2.28890910469581,0.76,0.963,0
"MIF",0,-1.74733202548616,0.81,0.981,0
"PGK1",0,-2.1630374440998,0.728,0.895,0
"ENO1",0,-2.1634241315382,0.765,0.925,0
"LDHA",0,-1.84538398460173,0.734,0.88,0
"CHASERR",7.41794102737162e-309,3.37814060811241,0.599,0.066,1.66280566069562e-304
"B2M",6.93858373314159e-305,-0.482524259175344,1,1,1.55535292962102e-300
"ENSG00000289901",7.54645687602102e-301,3.32395112616093,0.596,0.066,1.69161377332887e-296
"ENSG00000280441",2.27832110349391e-295,13.031296874839,0.474,0.008,5.10708458559195e-291
"GPI",2.06972659856017e-291,-3.0353776743223,0.294,0.714,4.63949914333249e-287
"H3F3A",3.80564013959172e-290,-1.49030921565051,0.294,0.868,8.53072293690881e-286
"BNIP3L",5.03207846030869e-275,-2.32028367903179,0.323,0.717,1.1279907076628e-270
"PKM",3.50218802914785e-269,-1.91753395064496,0.534,0.804,7.85050468613781e-265
"RBFOX2",5.68921692100434e-257,0.883621342330896,0.729,0.676,1.27529486501233e-252
"BNIP3",5.21975407957733e-249,-3.02881310001968,0.214,0.603,1.17006007447805e-244
"H4C3",2.09216876623825e-247,3.76600547504334,0.532,0.051,4.68980550639966e-243
"C4orf3",7.3861582586722e-244,-1.75596900135044,0.46,0.798,1.65568123526396e-239
"ALDOA",1.57593311033176e-227,-1.90325100012282,0.572,0.833,3.53261166011967e-223
"ENSG00000278996",5.4627814748929e-224,6.67855191383392,0.433,0.015,1.22453709541199e-219
"SEPTIN9",2.00009131351651e-221,-1.72699544811228,0.444,0.846,4.48340468837861e-217
"DARS",9.06681802263276e-219,-2.68257671745573,0.121,0.584,2.03241792795336e-214
"H1FX",4.39341958868109e-210,-3.49681309398141,0.093,0.582,9.84828934998753e-206
"TMSB4X",3.94584895991787e-208,-0.552387415327188,0.999,1,8.8450150285519e-204
"GYPC",4.32048747579823e-204,-1.03183621271072,0.71,0.914,9.6848047257493e-200
"FAM162A",1.57491258392301e-201,-2.44941926964607,0.26,0.609,3.53032404812182e-197
"P4HA1",6.23340186845151e-196,-3.28004881274207,0.085,0.466,1.39727936283209e-191
"RAC2",5.87633116576585e-192,-1.20458246496378,0.8,0.96,1.31723839411807e-187
"VIM",4.64123780554658e-190,1.52510389233927,0.912,0.885,1.04037986649132e-185
"H2AZ2",1.10932655543275e-188,3.28464262859119,0.451,0.051,2.48666640665805e-184
"MATR3",5.28312835429246e-188,3.07192169854974,0.478,0.066,1.1842660518982e-183
"CRIP1",1.1227460492246e-185,1.81425916214414,0.813,0.607,2.51674754394187e-181
"EVL",5.3337941283307e-181,-1.00084630989756,0.762,0.94,1.19562329180661e-176
"ENSG00000257322",7.17977775140214e-179,12.0735763345086,0.35,0,1.6094189807543e-174
"H2AZ1",1.67749632225934e-174,3.79095827644075,0.415,0.042,3.76027575597654e-170
"ATP5MK",2.13266951936059e-174,3.06541402124294,0.428,0.058,4.78059199459871e-170
"MT-CYB",2.72580992767488e-167,0.478976698470617,0.996,0.963,6.11017553387602e-163
"IL16",4.65087804080613e-167,-1.6788946154785,0.337,0.776,1.0425408216271e-162
"LINC-PINT",5.75079148547385e-166,2.47217780847803,0.491,0.094,1.28909741938382e-161
"VEGFB",2.15003836602393e-161,-2.16213849984884,0.159,0.503,4.81952600127925e-157
"SIT1",3.75415717350495e-160,-2.88853883505893,0.071,0.434,8.4153187201287e-156
"FTL",3.89095306680056e-159,-0.594037420346998,0.976,0.994,8.72196039454015e-155
"LCK",1.13880806803104e-157,-1.14256468485826,0.581,0.908,2.55275216529838e-153
"MTRNR2L12",9.46517971989327e-157,-7.96997578294325,0.015,0.162,2.12171468601127e-152
"H2AFZ",2.42522344093629e-156,-1.7485893596774,0.194,0.63,5.43638086520279e-152
"TCAF2",1.99964784804318e-153,-2.45793264949469,0.116,0.431,4.48241061617359e-149
"MIR210HG",1.46645063486048e-151,-5.60749173606708,0.009,0.302,3.28719574310324e-147
"HPCAL1",1.80354342377697e-151,-2.06941377830608,0.212,0.587,4.04282293873846e-147
"ANP32B",1.17994835443537e-145,-1.04471274925502,0.63,0.875,2.64497223130232e-141
"PGAM1",1.79878686238773e-145,-1.30511278667093,0.513,0.741,4.03216063072833e-141
"U2AF1",3.19139767535298e-144,2.4923755100428,0.507,0.12,7.15383702907125e-140
"RPS29",4.33734580651345e-140,0.539253865394437,0.993,0.994,9.72259435988054e-136
"LSP1",5.01890568610296e-140,-1.08685115305341,0.618,0.909,1.12503789859684e-135
"IL32",3.33013030446394e-138,-1.10099567835974,0.683,0.931,7.46482009048638e-134
"NUCB2",4.04064166560726e-138,-1.55025328136733,0.388,0.792,9.05750235762524e-134
"TAGLN2",4.95180241319765e-134,1.22522138913772,0.947,0.914,1.10999602894238e-129
"MYADM",6.67709225700703e-134,2.11361336550273,0.562,0.255,1.4967370003307e-129
"RPL6",5.83986267202376e-131,0.394410222845508,0.996,0.99,1.30906361656085e-126
"LDHB",7.12026277364947e-131,-0.840836056746413,0.777,0.967,1.59607810334126e-126
