"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",0,2.19334106284032,0.917,0.595,0
"TMSB10",1.01432353174436e-254,-1.12515065601665,0.987,0.999,2.27370762875817e-250
"MIF",3.6560742717327e-246,-1.8824158248141,0.735,0.939,8.19545608751602e-242
"GAPDH",8.88027575702602e-235,-1.93285456161932,0.797,0.95,1.99060261369495e-230
"H3-3B",7.45143247873978e-224,2.25589019494839,0.812,0.156,1.67031310443431e-219
"TPI1",1.84962679658242e-219,-2.36473349781266,0.549,0.763,4.14612342721915e-215
"H3-3A",3.81276969030202e-218,2.07932403066969,0.815,0.157,8.54670453778101e-214
"H3F3A",3.34858880677632e-211,-2.48415629603778,0.166,0.818,7.50619666926981e-207
"H3F3B",6.23948056353753e-200,-2.56701670820859,0.149,0.779,1.39864196312257e-195
"TAGLN2",9.68175688029478e-200,1.62803134312723,0.978,0.952,2.17026262228688e-195
"ENSG00000280441",2.31742704197004e-197,11.9272235929374,0.411,0.01,5.19474445728004e-193
"NCF1",6.74755515307456e-178,-2.36933653669112,0.313,0.824,1.51253196311319e-173
"B2M",2.96720236704836e-172,-0.376491501133096,1,1,6.65128082597561e-168
"TALAM1",5.12391963595345e-164,1.97101031974184,0.727,0.148,1.14857782559533e-159
"ENSG00000289901",2.63265902411922e-163,2.07868763092301,0.694,0.147,5.90136846846564e-159
"WARS",1.42588211916015e-157,-2.96396569580142,0.073,0.393,3.1962573583094e-153
"FP236383.3",2.77305038503017e-157,-1.25842197607684,0.172,0.817,6.21606974308363e-153
"CRIP1",7.62964156271439e-156,1.84018666876534,0.824,0.578,1.71026045269806e-151
"EMP3",6.15601284334537e-151,1.43526364983047,0.963,0.819,1.3799318389643e-146
"LMNA",1.6766151571182e-145,2.49893222008334,0.628,0.126,3.75830053619615e-141
"PGK1",1.91241302208883e-134,-1.47684808502715,0.622,0.771,4.28686503031432e-130
"LINC01578",1.19665267001424e-130,-2.81693890560788,0.093,0.613,2.68241662510391e-126
"IFITM1",1.15208589159324e-129,-1.32057582114522,0.4,0.79,2.58251573459541e-125
"U2AF1",3.20243093344523e-124,2.39233185119472,0.655,0.18,7.17856918041084e-120
"DARS",1.37379615600032e-122,-2.86973725317899,0.072,0.484,3.07950146329032e-118
"ENSG00000278996",4.93510969469709e-122,5.2464810450445,0.357,0.025,1.1062541891633e-117
"CD52",4.90814297521385e-118,-1.3069164844738,0.743,0.955,1.10020932932394e-113
"LDHA",1.88842048611251e-117,-1.61386559221682,0.559,0.713,4.23308336166979e-113
"TCL1A",5.72553061071349e-117,-1.81847016296591,0.368,0.823,1.28343494169754e-112
"ENSG00000257322",6.0176995907254e-116,10.983799232466,0.272,0,1.348927540257e-111
"BNIP3L",3.9884641978376e-115,-1.79370621491419,0.303,0.617,8.94054134587277e-111
"H4C3",1.17023881783256e-114,2.05789325549853,0.551,0.135,2.62320733405346e-110
"CD83",3.86420607497479e-114,1.58149413714236,0.855,0.659,8.6620043376635e-110
"CHASERR",6.09927698601554e-113,2.2898652627302,0.607,0.136,1.36721392918524e-108
"PSMB9",8.87261439114827e-112,-1.03731018854818,0.63,0.869,1.9888852419198e-107
"FTH1",6.49831080927027e-111,1.14601221129165,0.996,0.998,1.45666135100602e-106
"WARS1",2.54993343153527e-110,2.50449037076093,0.456,0.095,5.71593078012946e-106
"GPI",2.17264691939149e-104,-2.185815672281,0.207,0.528,4.87020533450796e-100
"SERF2",6.0244371944212e-104,-0.811111072314397,0.903,0.986,1.35043784150146e-99
"ATP5MK",3.44627671757164e-103,2.80426285141776,0.507,0.096,7.72517389010859e-99
"VIM",3.95235933813128e-103,1.50100423354332,0.881,0.801,8.85960869235509e-99
"ENO1",4.59883916121495e-103,-1.31974883276682,0.648,0.76,1.03087578637794e-98
"H2AZ1",1.10938322058239e-102,2.81291687527014,0.527,0.101,2.48679342725748e-98
"IFITM2",8.19889331615581e-100,-1.64574379543071,0.345,0.814,1.83786392574949e-95
"GBP4",2.56545525762144e-99,-1.2738069594691,0.368,0.562,5.75072450548422e-95
"RBFOX2",1.39124526131492e-97,0.316674268718843,0.529,0.741,3.11861537776352e-93
"ALDOA",2.0943238211621e-97,-1.33869159055532,0.549,0.771,4.69463627751697e-93
"LINC-PINT",2.09819095256079e-97,1.69747031254354,0.619,0.209,4.70330483926028e-93
"PSME1",2.16978667334603e-96,-0.754493407676011,0.756,0.911,4.86379380697247e-92
"EVL",1.08602637136678e-92,-1.12220619536816,0.451,0.72,2.43443671405578e-88
"FP671120.4",2.22166972792748e-92,-1.32651332159802,0.147,0.656,4.98009486212224e-88
"NFKB1",3.42264526774567e-92,1.80811878100679,0.665,0.352,7.6722016321787e-88
"GBP5",2.95127078510556e-91,-2.10559965037786,0.105,0.295,6.61556859189262e-87
"MARCH1",7.62035437765412e-91,-3.13464118659564,0.053,0.472,1.70817863729495e-86
"MT-CO1",7.68806275497069e-91,-0.527565956347411,1,1,1.72335614715423e-86
"HIST1H1E",2.71908298658066e-90,-3.43700179410175,0.05,0.485,6.0950964227192e-86
"HIST1H4C",2.72077870312055e-90,-2.65753998455863,0.1,0.586,6.09889754091503e-86
"C5orf56",3.48706388316691e-89,-2.54834179122107,0.055,0.339,7.81660240050694e-85
"EZR",3.11019424804245e-88,1.13751228041154,0.923,0.828,6.97181142641196e-84
"H1FX",5.14314125117848e-88,-4.1922390876644,0.034,0.402,1.15288654286417e-83
"CD44",5.17706052799503e-88,1.24869758689565,0.849,0.654,1.16048988795537e-83
"GBP2",2.45763222024835e-87,-1.05635791800044,0.302,0.489,5.50902838490871e-83
"MATR3",1.38618702802556e-86,2.32943231186024,0.517,0.124,3.1072768420221e-82
"H2AFZ",3.93875315005588e-86,-2.2742186159336,0.093,0.513,8.82910906116527e-82
"TGFB1",7.74381659228824e-86,1.37888592620649,0.875,0.665,1.73585392732733e-81
"AC138123.1",1.8308501587392e-84,-2.07875777851895,0.122,0.586,4.10403371582979e-80
"NAPSB",2.52183079522234e-84,1.91534301918791,0.421,0.109,5.6529359105704e-80
"PKM",4.59686489755481e-84,-1.3582058315472,0.51,0.711,1.03043323543589e-79
"IGHM",8.45325230164811e-84,-0.671212419097571,0.732,0.948,1.89488103593744e-79
"PLAC8",5.11737311896367e-83,-2.19081592735523,0.166,0.543,1.1471103583469e-78
"C4orf3",4.15642797994453e-82,-1.07758179401551,0.463,0.698,9.31704895984366e-78
"STAT1",9.7063124383056e-82,-1.05603059631692,0.35,0.495,2.17576699617058e-77
"GARS1",7.1358319785996e-80,2.95367970273702,0.359,0.064,1.59956809632289e-75
"CD82",1.14147665851123e-79,1.96096120393697,0.61,0.287,2.55873407771877e-75
"FAM162A",1.69128942777884e-78,-2.62213693848681,0.123,0.378,3.79119438130905e-74
"ATP5MD",2.01624645237876e-78,-2.30508528352733,0.077,0.449,4.51961804765222e-74
"H2AZ2",7.06054768841253e-78,2.36189997080939,0.416,0.098,1.58269236983455e-73
"MARCH3",1.40424299902641e-77,-2.72172075968365,0.063,0.484,3.14775110661761e-73
"CYRIB",1.7780436314788e-77,2.36546700944921,0.469,0.108,3.98566260432287e-73
"BANK1",2.63259388729326e-77,-1.36905121418812,0.524,0.853,5.90122245775656e-73
"CALHM6",3.74652429706612e-75,-2.36953605668755,0.134,0.533,8.39820886430343e-71
"SOCS1",4.15679486050001e-75,-1.29064524868406,0.283,0.486,9.31787135929682e-71
"GBP1",1.79178865898681e-74,-1.63033190843659,0.079,0.229,4.01647345798484e-70
"NFKBIA",2.16175971718998e-73,1.48749813390003,0.767,0.527,4.84580058205307e-69
"UBE2L6",5.42046399346913e-73,-1.03817019299524,0.356,0.596,1.21505120877604e-68
"MIR210HG",8.98780282435887e-73,-5.22348245930599,0.008,0.235,2.01470588110829e-68
"AC078883.1",1.20916225937891e-72,-4.63959043307867,0.011,0.235,2.71045812062376e-68
"TMSB4X",9.55795055337914e-72,-0.289704733666292,0.995,0.997,2.14251019604547e-67
"AC004687.1",4.71094495888629e-70,-2.89460693428735,0.051,0.396,1.05600542198395e-65
"BNIP3",4.93385129825603e-70,-2.65280197661323,0.077,0.304,1.10597210701707e-65
"GNG2",2.53829068418537e-69,1.90908755598876,0.531,0.255,5.68983239766993e-65
"MARCHF3",7.07989265342324e-69,2.44269253986454,0.408,0.088,1.58702873719135e-64
