"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",5.78713460396442e-181,-1.0366741382755,0.297,0.707,1.29724409282466e-176
"ENSG00000280441",8.81807343080864e-133,7.94380022535124,0.474,0.163,1.97665934025007e-128
"RBFOX2",1.10866573502599e-123,7.86827509690576,0.729,0.028,2.48518511163425e-119
"APOO",4.35981187527599e-78,5.66411841836255,0.73,0.073,9.77295429961865e-74
"RPL41",7.5361022581271e-78,-0.78793374386127,0.999,1,1.68929268218177e-73
"MT-CYB",1.59288292323495e-60,0.716933434164091,0.996,0.98,3.57060636072345e-56
"ENSG00000257322",1.50675687916569e-58,7.98793994534004,0.35,0.003,3.37754622033781e-54
"RPS14",9.65449734829843e-52,0.456411958550775,0.996,0.999,2.16415212559458e-47
"SOCS3",1.22074339445401e-46,-1.43174802184495,0.269,0.549,2.73641839300811e-42
"C12orf57",7.23581653314431e-46,0.499900916942622,0.857,0.804,1.62198063406963e-41
"MT-ND1",1.3929055109547e-45,0.868387687779313,0.964,0.897,3.12233699335606e-41
"UTY",4.65373333399979e-44,-2.19704415775556,0.072,0.288,1.04318086414939e-39
"DDX3Y",1.15943180884607e-43,-2.03447878443544,0.075,0.285,2.59898234270935e-39
"MT-ATP8",1.32644928523834e-43,2.62975938568903,0.916,0.816,2.97336871779027e-39
"CTSW",2.12328062775277e-42,1.28536385010903,0.254,0.102,4.75954585517061e-38
"ENSG00000278996",3.864115879728e-36,2.28830732234079,0.433,0.221,8.66180215599828e-32
"RPS4X",1.22409725375225e-35,0.535774959999649,0.997,0.999,2.74393640401104e-31
"USP9Y",4.26954204573726e-35,-2.61189942612283,0.053,0.244,9.57060544972464e-31
"UBC",1.4698195760637e-34,0.17212700722222,0.951,0.962,3.29474756170438e-30
"MT-ND2",3.18561775262329e-33,0.56106233080009,0.914,0.853,7.14088075428037e-29
"IL7R",1.9215480050261e-31,-1.09044417066358,0.872,0.912,4.3073420080665e-27
"RPL34",2.1233002630054e-29,0.119642362452861,0.999,1,4.75958986955291e-25
"MT-ND3",8.0041783680914e-29,0.680756662805931,0.994,0.973,1.79421662299137e-24
"TXLNGY",3.24739379588097e-28,-1.9319661880567,0.051,0.194,7.27935793284678e-24
"EIF1AY",6.4680061540153e-23,-1.49067321711016,0.057,0.163,1.44986825948407e-18
"ARHGDIB",7.25408867972775e-22,0.431018541754534,0.973,0.936,1.62607651844777e-17
"PASK",1.49007942885189e-21,-0.227177739427927,0.313,0.405,3.34016204771439e-17
"ANK2",9.57895826332925e-21,7.33414068149565,0.172,0.001,2.14721928430788e-16
"ENSG00000273149",1.36893249062952e-19,-1.86594280658404,0.201,0.719,3.06859907099514e-15
"EPSTI1",2.62592202795178e-19,-1.30133919846354,0.193,0.429,5.8862668178567e-15
"SCGB3A1",1.07154024250249e-18,5.86647675043632,0.031,0,2.40196460759359e-14
"RPL6",1.4332144101238e-18,0.561054551178101,0.996,0.993,3.21269342173351e-14
"LSP1",2.32552815539384e-18,-0.533941177742896,0.618,0.742,5.21290391313084e-14
"IFITM1",3.37904450644861e-18,0.439083185712921,0.898,0.901,7.5744661656552e-14
"IKZF1",6.09391201353161e-18,-0.534871035074895,0.657,0.786,1.36601131695325e-13
"GPRIN3",1.19536216791206e-17,-1.11796164104754,0.261,0.459,2.67952383559168e-13
"RASGEF1B",1.6486079131392e-17,-1.37307435484454,0.285,0.771,3.69551949809283e-13
"XIST",1.70783334700082e-17,0.367990758953096,0.107,0.094,3.82827923063704e-13
"HSPA1B",4.02229366176883e-17,-3.35620243575527,0.038,0.216,9.016373472221e-13
"NEAT1",1.06756539722042e-16,-1.33339054397737,0.403,0.693,2.39305459440929e-12
