"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000280441",1.2881676903404e-85,8.87022959902203,0.659,0.117,2.88755669466704e-81
"RPS4Y1",1.89576321720079e-69,0.171988545123082,0.455,0.463,4.24954282767728e-65
"RBFOX2",1.82306921636272e-56,8.28305848114925,0.674,0.018,4.08659195539867e-52
"MT-ATP8",4.20224720299449e-48,2.17611900514542,0.858,0.855,9.41975733023245e-44
"RPS14",4.61252857250256e-46,0.469329556294564,0.999,1,1.03394440481217e-41
"RPS27",5.09502859280656e-41,0.5046964685794,1,1,1.14210160936352e-36
"RPS4X",2.35704826291821e-35,0.336667131443536,0.997,0.997,5.28355938615747e-31
"ENSG00000257322",5.61481872145302e-35,8.38011496641895,0.461,0.003,1.25861776460091e-30
"APOO",3.90226400417567e-30,5.24697870326784,0.621,0.051,8.74731499176019e-26
"RPL41",2.8067885197557e-28,-0.609346191258923,1,1,6.29169714588437e-24
"ENSG00000278996",5.03155641467038e-28,2.92230836220026,0.575,0.186,1.12787368591251e-23
"RPS26",3.65037104220742e-27,0.140423209052916,1,1,8.18267172821215e-23
"UTY",5.60626230212127e-25,-1.11949563127541,0.121,0.234,1.2566997576435e-20
"C12orf57",3.17956562851049e-23,0.854295303346357,0.579,0.461,7.12731431286911e-19
"RPS27A",1.63178960442299e-22,0.512141366567076,1,1,3.65781957727457e-18
"RPS3",2.37038061794536e-22,0.482477512371195,1,1,5.31344519318632e-18
"ANK2",2.57007591326425e-20,8.6137433699643,0.252,0,5.76108216717315e-16
"DDX3Y",4.55820688483237e-20,-1.11417463582368,0.103,0.193,1.02176765530402e-15
"RPS24",9.44964734276051e-19,0.489498519612829,1,0.995,2.1182329483532e-14
"MT-ND4L",2.83472040879577e-18,0.346605813721471,0.979,0.98,6.3543092683566e-14
"IFI44L",2.90993135127514e-18,-1.65931528230451,0.091,0.344,6.52290211701835e-14
"USP9Y",1.73422073233202e-17,-1.05164451324864,0.097,0.17,3.88742919359545e-13
"MT-CYB",3.12256555007046e-17,0.356030031204438,0.996,0.982,6.99954293703794e-13
"RGCC",5.20425177684531e-17,1.04641743352403,0.851,0.733,1.16658507829764e-12
"RPS21",5.03887129591047e-16,0.441706187698736,1,1,1.12951338969129e-11
"MT-ND1",2.63644341496142e-15,0.503486658150818,0.96,0.921,5.90985155897753e-11
"UBC",3.17048761176306e-15,0.268795306123795,0.989,0.98,7.10696503052808e-11
"IL7R",1.59861147080094e-14,-0.514752818178011,0.734,0.768,3.58344747294738e-10
"PTPRCAP",7.23406798802149e-14,1.73836274004247,0.655,0.399,1.6215886801949e-09
"MT-ND3",1.8883110399282e-13,0.500094284737391,0.989,0.959,4.23283802710305e-09
"RPS10",6.46927086025648e-13,0.379515280484883,0.961,0.997,1.45015175603509e-08
"MT-ATP6",1.79235561280005e-12,-0.732927446274399,0.891,0.997,4.0177443416526e-08
"IFI6",2.73527267841461e-12,-0.436206925212283,0.272,0.468,6.13138723593419e-08
"CTSW",3.04560796960455e-12,0.545661559437237,0.666,0.585,6.82703482466555e-08
"APOBEC3G",4.31767925859061e-12,0.589290446698842,0.875,0.83,9.67850982605672e-08
"XAF1",5.2671997305137e-12,-1.0562028898277,0.188,0.412,1.18069549159195e-07
"RPL10",1.59532414967544e-11,0.342205123244748,0.999,1,3.57607861391246e-07
"RPLP1",3.86720033842121e-11,0.375484367643953,1,1,8.66871627860498e-07
"EEF1B2",5.05314958779017e-11,0.500775272665983,0.958,0.926,1.13271401159904e-06
"RPL7A",8.64651776842115e-11,0.424637448451803,0.999,1,1.93820342296929e-06
"CCL4",2.90869272877171e-10,-1.52851676164582,0.44,0.565,6.52012562081466e-06
"ALOX5AP",5.43277148339963e-10,-0.620555758540522,0.382,0.598,1.21781005571886e-05
"OAS1",6.33456051838241e-10,-0.242277989275216,0.132,0.201,1.4199550858006e-05
"EPSTI1",9.04273480383176e-10,-1.53260877285444,0.202,0.517,2.02701943362693e-05
"EVL",9.36624445124295e-10,-0.828813843525418,0.447,0.679,2.09953735619062e-05
"MYADM",9.79043684224176e-10,0.410960594819218,0.818,0.728,2.19462432255691e-05
"IKZF1",1.0304155520831e-09,-0.815597742877523,0.318,0.499,2.30977950154947e-05
"CCL3L3",1.1576436773842e-09,-3.80174538970832,0.026,0.204,2.59497406722442e-05
"RPS28",2.08085321214687e-09,0.36966100271529,0.999,1,4.66444056034843e-05
"RPL30",2.19172684003746e-09,0.394070498818001,1,1,4.91297488462797e-05
"RASGEF1B",2.3846382818688e-09,-0.936918687011566,0.315,0.735,5.3454051726371e-05
"RPS25",3.08401775571888e-09,0.347733012991762,0.999,0.992,6.91313420121944e-05
"ENSG00000273149",3.20368478209989e-09,-1.52521951931382,0.258,0.684,7.18137980755512e-05
"PBXIP1",3.34993553853805e-09,-0.228128566062339,0.727,0.814,7.5092155031869e-05
"RABGAP1L",3.43116986364166e-09,-0.776086893848123,0.419,0.621,7.69131036633915e-05
"RPS7",3.52104113026822e-09,0.34818396117144,0.999,1,7.89276579760925e-05
"RPS19",3.86919137592719e-09,0.397284750909756,1,1,8.67317938827839e-05
"RPS29",3.90358753414255e-09,0.410206047048926,0.999,0.99,8.75028181653394e-05
"LINC00486",6.14932946615538e-09,-1.58466764370541,0.138,0.542,0.000137843369313339
"RPL13",6.5893899780564e-09,0.388948431969464,1,1,0.000147707765748112
"EEF1A1",7.34470983309356e-09,0.372919887290238,0.999,1,0.000164639015618625
"H1-2",7.53223670818622e-09,-1.24715963647609,0.22,0.405,0.000168842618050702
"PLSCR1",8.09575462307025e-09,-0.401964553431262,0.237,0.433,0.000181474435630743
"RPS9",1.07529451019979e-08,0.355856994661281,0.999,0.997,0.000241038017406386
"ZFY",1.20365961726271e-08,-0.825637407231894,0.049,0.084,0.000269812339805609
"MX1",1.24340461817234e-08,-0.347518703440363,0.247,0.425,0.000278721579209512
"RPS23",1.52553847602483e-08,0.460198049974304,0.999,1,0.000341964704785725
"OOEP",1.90014623316065e-08,4.2178672238743,0.111,0.008,0.00042593677962529
"RPL18",2.80872284824497e-08,0.358622173981359,0.999,0.997,0.000629603313662592
"RPL37A",2.99597440643221e-08,0.378614866986625,0.994,0.977,0.000671577622945844
"ST3GAL5",3.30803077642622e-08,-0.993759481149499,0.177,0.382,0.000741528178843701
"H2AC6",4.11241034447457e-08,-1.62999591813599,0.146,0.361,0.00092183790281742
"RPS12",4.20485690354081e-08,0.288348536523332,1,1,0.000942560723497708
"MT-ND2",5.83167560559442e-08,0.33141311924,0.898,0.906,0.00130722840375005
"TUBA1B",8.32654428640381e-08,0.463491039419691,0.461,0.427,0.00186647816724028
"RPL5",9.82186641986155e-08,0.374369549445141,0.99,0.992,0.00220166957667617
"VIM",1.04851080846767e-07,0.666355004895234,0.955,0.964,0.00235034182826113
"ZNF331",1.40310349101319e-07,-0.53848693171408,0.198,0.288,0.00314519678545518
"WIPF1",1.66950381746326e-07,-0.486579824118814,0.73,0.822,0.00374235975722564
"IFI44",1.74266919542278e-07,-0.755467545623018,0.136,0.275,0.00390636726845971
"TXLNGY",1.82613443998596e-07,-1.07308118284685,0.036,0.071,0.00409346296067253
"RPLP0",2.08406442120951e-07,0.34152891605271,0.987,0.997,0.00467163880658325
"TAGLN2",2.1424190901143e-07,0.632128000181221,0.974,0.985,0.00480244663240021
"TRIM22",2.32215909908836e-07,-0.59301062359082,0.301,0.478,0.00520535183651646
"FEZ1",2.4791833654511e-07,0.832444535135721,0.318,0.214,0.00555733743199519
"RPS5",2.49790488683551e-07,0.217328430787843,0.987,0.98,0.00559930359433047
"LY6E",2.73241141384112e-07,-0.371473278621307,0.411,0.555,0.00612497342526625
"ENSG00000274767",2.81213652016757e-07,-4.34725061333604,0.01,0.186,0.00630368522360762
"RPS8",3.17175465868587e-07,0.271969299507436,0.999,1,0.00710980524291025
"PCED1B",3.19451799339369e-07,-0.878003694093568,0.276,0.501,0.00716083153399131
"EIF1AY",3.43180091504169e-07,-0.331070019807405,0.06,0.069,0.00769272493115744
"CCL3",3.61399034686163e-07,-1.27140146450524,0.054,0.109,0.00810112076152502
"SP140",3.77131094280795e-07,-0.876651028764198,0.238,0.427,0.0084537706093983
"RPL32",4.64006437859234e-07,0.331423919247082,1,1,0.0104011683110526
"MLLT3",4.80841635396414e-07,-1.21120289079705,0.214,0.44,0.010778546099046
"RPS2",5.02999760050469e-07,0.294806284224988,0.994,0.995,0.0112752426212913
"RPL35A",5.04617017818697e-07,0.287242799181641,0.997,0.992,0.0113114950714239
"ACTG1",5.49958475716713e-07,0.107459639053355,0.836,0.847,0.0123278691916658
"TPT1",6.39496488971309e-07,0.197184759698355,1,1,0.0143349532967809
"TRBC1",1.0300996558592e-06,-0.219002279820896,0.663,0.646,0.0230907138857399
"OAS2",1.11450119237021e-06,-0.348130213413207,0.152,0.224,0.0249826587281707
"BOLA2",1.17175905373221e-06,5.43396955489333,0.047,0,0.0262661509484613
"ORAI1",1.17502827100891e-06,0.215604323656313,0.787,0.791,0.0263394337229358
"KDM5D",1.65143772905632e-06,-0.812498123006912,0.038,0.061,0.0370186281345265
"MIR23AHG",1.7122571218223e-06,0.562641907380339,0.351,0.252,0.0383819556427686
"CD96",2.07457559189797e-06,-0.517515369239435,0.748,0.873,0.046503686467985
"RASGRP1",2.4186761684108e-06,-0.70156693248196,0.269,0.425,0.0542170449910966
"RPL26",2.85765029302756e-06,0.287661652800548,1,1,0.0640570889685059
"RPL24",3.09083139826668e-06,0.343352731854776,0.989,0.977,0.0692840766235459
"RPSA",3.16619253586679e-06,0.471816918978935,0.972,0.952,0.0709733718839899
"OSTF1",3.29635792994281e-06,-0.571263871784375,0.376,0.529,0.073891159357598
"CDKN1B",3.32021233654498e-06,-0.640511967972943,0.469,0.667,0.0744258797359922
"ADAM10",3.99093169206206e-06,-1.0418604684438,0.262,0.486,0.0894607248092631
"SCAF11",4.1455568954225e-06,-0.612953474958015,0.526,0.735,0.0929268033677907
"HSPA1B",4.2613984782313e-06,-3.18461734173714,0.081,0.135,0.0955235082880328
"RPL6",4.76012688713285e-06,0.375378583015102,0.996,0.995,0.10670300430197
"LYST",5.85780675794057e-06,-0.635031872409229,0.519,0.705,0.131308596285996
"SP110",5.99377744257614e-06,-0.429237850267661,0.311,0.453,0.134356515152787
"HSPA1A",6.63419972426245e-06,-2.98178342490603,0.118,0.196,0.148712221019067
