"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LINC01578",3.4671905835023e-26,-11.6573242917895,0,0.499,7.77205441197876e-22
"MTRNR2L12",2.15067541603031e-25,-11.9912919641838,0,0.141,4.82095401257354e-21
"H3F3B",2.42535697605101e-23,-12.6010453659399,0,0.574,5.43668019751594e-19
"H3F3A",1.6753529771744e-21,-11.4897106523774,0,0.53,3.75547123363415e-17
"HIST1H4C",3.7743722561714e-18,-10.6018238919701,0,0.372,8.46063284943381e-14
"H2AFZ",8.48964481874518e-17,-10.5171659898231,0,0.394,1.90303878256992e-12
"SARS",2.05958235627906e-15,-8.67201109398023,0,0.182,4.61675980983514e-11
"MATR3.1",3.3296427127862e-14,-9.84861547436667,0,0.321,7.46372710498156e-10
"H2AFV",4.09888928989614e-14,-9.68883587021058,0,0.299,9.18807023223118e-10
"AL138963.4",5.09349049845118e-14,-9.51382553799287,0,0.219,1.14175683013282e-09
"ATP5MPL",5.4077395066811e-14,-9.5163154241257,0,0.299,1.21219888781763e-09
"MARCH5",2.3853772136243e-13,-8.5470709011576,0,0.156,5.34706156206023e-09
"H1FX",9.51160202331091e-13,-10.6617093502014,0,0.35,2.13212070954537e-08
"RPS10",1.93039279982535e-12,1.18131364162233,0.991,0.701,4.3271685000885e-08
"H3-3A",1.99615058674602e-12,1.28179967352631,0.955,0.35,4.47457115524987e-08
"ATP5MD",3.86724439663211e-12,-9.88744662540765,0,0.365,8.66881503949054e-08
"HIST1H1E",1.03679386570376e-11,-9.35348831862804,0,0.224,2.32407712936154e-07
"FAM102A",2.39752791764846e-11,-8.60043250909518,0,0.165,5.37429858020078e-07
"YARS",8.26812634651509e-11,-9.03544601048628,0,0.185,1.85338320183482e-06
"RALA",1.5640987122833e-10,-0.558376814578626,0.516,0.63,3.50608367345424e-06
"NARS",2.23056522693978e-10,-8.01854459298821,0,0.127,5.00003501270822e-06
"AC026979.2",3.82109404329005e-10,-9.35212890951673,0,0.127,8.56536440743896e-06
"AC044849.1",4.32418861616226e-10,-8.11604542078945,0,0.078,9.69310120198933e-06
"FAM126B",4.34492144329291e-10,-7.90714241946447,0,0.097,9.73957590728539e-06
"CBWD2",8.72881719692531e-10,-7.68234011012076,0,0.097,1.95665166286278e-05
"CCT4",1.06025611911272e-09,-0.825387995825394,0.478,0.54,2.37667011660308e-05
"RHOA",1.81649821697459e-09,-0.589680308798888,0.717,0.796,4.07186240317023e-05
"MARS",2.71818491379128e-09,-7.66820538491691,0,0.105,6.09308330275454e-05
"AC008105.3",5.41282248641237e-09,-8.18857782326979,0,0.156,0.00012133382885542
"C16orf72",6.27273097859e-09,-7.36479817209308,0,0.073,0.000140609537616074
"AL135905.2",7.27659826723338e-09,-8.23338523626712,0,0.129,0.000163112226758303
"MATR3",9.10311915814231e-09,1.51551560426143,0.733,0.297,0.000204055519048918
"SQSTM1",1.22548149180554e-08,-0.458225355308501,0.633,0.652,0.000274703931203129
"RASSF1",3.62871336930891e-08,-0.902404953094432,0.124,0.19,0.000813412388864286
"LRMP",5.43975841646292e-08,-7.80752528800384,0,0.083,0.00121937624663433
"DARS",6.76727958224413e-08,-9.53838538772129,0,0.29,0.00151695339115584
"AL118516.1",7.46641967589957e-08,-8.19112922066574,0,0.097,0.00167367263454965
"MARCH7",1.20115214932874e-07,-8.81090546717875,0,0.187,0.00269250265793531
"H3-3B",1.72444937615843e-07,1.52302344531673,0.965,0.358,0.00386552572159673
"AL450998.2",1.92399650298326e-07,-6.88822992315615,0,0.073,0.00431283056108727
"MTRNR2L8",1.99811333342341e-07,-5.16623603833048,0,0.015,0.00447897084820191
"GARS",2.38467982625301e-07,-7.86836751634759,0,0.119,0.00534549829852875
"AARS",2.68665609719392e-07,-6.42813079940631,0,0.051,0.0060224083074699
"CBWD5",3.0637325596112e-07,-6.57182810029197,0,0.061,0.00686766290562447
"TALAM1",3.56929875230742e-07,1.57257630411147,0.937,0.353,0.00800094008317232
"HIST1H1C",4.63890994956313e-07,-8.26335185661001,0,0.134,0.0103985805429407
"KARS",4.9338815315366e-07,-7.86035120159694,0,0.136,0.0110597888410924
"ZNRD1",5.29760401161212e-07,-8.64118468662918,0,0.192,0.0118751091524297
"TAGLN2",5.39790253459422e-07,0.41393949105115,0.966,0.827,0.0120999383215464
"C12orf65",5.67844970912476e-07,-8.27661206590666,0,0.151,0.0127288128679741
"PKM",7.09886032744957e-07,-1.65025387537682,0.415,0.676,0.0159128053100109
"AL133415.1",9.32398462387516e-07,-6.88582783209432,0,0.056,0.0209006439328786
"AC092821.3",1.01525632490347e-06,-8.1812419339778,0,0.139,0.0227579857790361
"FAM49B",1.06430710927388e-06,-8.79185433837016,0,0.19,0.0238575081614832
"RPL30",1.10713260541103e-06,0.221143536874711,1,0.985,0.0248174844828936
"AC078883.1",1.21180628049303e-06,-8.50576348560545,0,0.178,0.0271638495835317
"AC127502.2",1.26949253548575e-06,-6.20693564838534,0,0.044,0.0284569446754485
"AC010642.2",1.32887938607449e-06,-7.12420374413062,0,0.058,0.0297881603182458
