"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",0,2.74077249775099,1,0.738,0
"MTRNR2L12",2.59186352611531e-184,-12.236910153199,0,0.117,5.80992128014008e-180
"H3F3B",5.72056448712693e-182,-12.3257428414268,0,0.84,1.28232173543437e-177
"H3F3A",1.62228725324175e-170,-12.3986211664685,0,0.871,3.6365191068667e-166
"LINC01578",2.00254741906721e-169,-11.6354042635443,0,0.777,4.48891029458105e-165
"H3-3A",1.6707486600636e-160,3.16161586581505,0.983,0.097,3.74515019639856e-156
"H3-3B",4.29750114315242e-160,3.47839792839487,0.983,0.096,9.63327856249046e-156
"IGFBP2",9.2016170281701e-152,-9.14251463106969,0.008,0.55,2.06263447303461e-147
"HIST1H4C",1.42050448971719e-151,-11.1961775778845,0,0.672,3.18420286415006e-147
"TPI1",1.46804370527556e-150,-3.36169023291773,0.498,0.867,3.29076676974569e-146
"GAPDH",2.10270398422081e-148,-2.67352773533453,0.834,0.971,4.71342125102937e-144
"H2AFZ",4.04744499857702e-146,-10.9728259448831,0,0.667,9.07275270881024e-142
"TALAM1",1.51699743991248e-142,3.12808787058855,0.964,0.095,3.40050146130782e-138
"DARS",3.58312109200101e-136,-11.0440154583166,0,0.641,8.03192423982948e-132
"AL138963.4",1.60565635261763e-134,-10.4441188452428,0,0.306,3.59923928002769e-130
"ALDOA",1.57790154157677e-120,-2.6123690200819,0.531,0.869,3.53702409559849e-116
"ATP5MD",5.2580739271348e-117,-10.8208002143288,0,0.651,1.17864985150654e-112
"H1FX",3.75021696296274e-113,-11.5529114575546,0,0.577,8.40648634417728e-109
"ENSG00000289901",3.74026223245423e-108,3.44762663594501,0.934,0.093,8.3841718202694e-104
"MIF",4.18750319354389e-106,-1.94319432273647,0.884,0.985,9.38670715864798e-102
"GPI",4.37955241155066e-103,-3.50804066943285,0.312,0.761,9.81720468573195e-99
"HIST1H1E",3.22531481325037e-96,-10.5959207717396,0,0.467,7.22986568538204e-92
"AC008105.3",6.82724404739804e-94,-10.2916915180164,0,0.493,1.53039502566474e-89
"LDHA",5.34849240294809e-92,-1.7305446471526,0.827,0.912,1.19891805704484e-87
"H2AFV",2.19658375311936e-91,-10.2547153883103,0,0.53,4.92386214099235e-87
"C9orf16",2.35495574580099e-89,-10.4056024129461,0,0.545,5.2788687997875e-85
"YARS",9.93642403795632e-89,-9.14611910313011,0,0.289,2.22734881234829e-84
"ENO1",4.44952497310913e-86,-2.13169768156934,0.846,0.936,9.97405517972142e-82
"SLC9A3R1",4.02157442793901e-85,-10.1433725275143,0,0.502,9.01476123766809e-81
"CHASERR",1.93315861135288e-84,2.95445306244237,0.865,0.091,4.33336834320861e-80
"BNIP3L",4.81576858150354e-82,-2.72837897472297,0.323,0.763,1.07950268522983e-77
"PKM",1.03746679664109e-81,-1.82836560181696,0.613,0.84,2.32558557135067e-77
"PGK1",3.30609963312819e-79,-2.15314976389282,0.839,0.918,7.41095293762015e-75
"GYPC",3.96342455352084e-78,-1.95052651964841,0.593,0.941,8.88441247917231e-74
"FAM49B",1.25189194472978e-77,-9.62712634483786,0,0.398,2.80624098330628e-73
"AC245407.2",2.66372931446543e-77,-8.55665718446023,0,0.195,5.97101563130571e-73
"VEGFB",4.1556425125027e-76,-2.43473513104028,0.169,0.519,9.31528825602606e-72
"SEPTIN9",8.73164175471318e-76,-2.16372427848589,0.417,0.86,1.95728481573651e-71
"ATP5MPL",1.7485183066659e-74,-10.291579922921,0,0.537,3.91947863622227e-70
"RASGEF1B",1.34101562002728e-69,2.19211460456278,0.829,0.158,3.00602061385315e-65
"PYURF",1.55122337691144e-68,-9.62685412715062,0,0.406,3.47722232168469e-64
"ZNRD1",7.02411731648786e-67,-9.49615235828306,0,0.385,1.57452613766392e-62
"BNIP3",7.16488214148204e-67,-3.07647505425627,0.253,0.651,1.60607998083461e-62
"FTH1",4.20537082574211e-65,1.73606248714966,0.993,0.989,9.42675924298351e-61
"SIT1",7.12031511248256e-65,-4.13235562401948,0.049,0.491,1.59608983561409e-60
"SARS",2.13866046192181e-64,-9.49049609664349,0,0.364,4.79402129144393e-60
"FGF11",2.03962386411117e-63,-8.74382279581423,0,0.202,4.57202085379159e-59
"MATR3.1",2.12586867754846e-63,-10.1457260916933,0,0.49,4.76534722759262e-59
"ATP5MK",4.33018839700076e-63,3.40564419231485,0.757,0.072,9.70655031071691e-59
"ADSS",1.63699835914812e-62,-9.18397895304358,0,0.308,3.66949552186643e-58
