"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNLY",4.06168476278495e-26,0.879794378529189,0.802,0.498,9.10467256425874e-22
"H3F3B",4.02361620746286e-23,-12.0862551186212,0,0.72,9.01933809064876e-19
"MTRNR2L12",4.61198164063449e-23,-10.4883157255062,0,0.115,1.03382180456463e-18
"HIST1H4C",2.34362325300296e-21,-9.8339687478019,0,0.463,5.25346588393144e-17
"H3-3B",1.51740504839493e-19,1.82915417670961,0.995,0.268,3.40141515648208e-15
"LINC01578",9.53699816054544e-19,-9.79635720846603,0,0.489,2.13781350766787e-14
"H3F3A",2.03387302872285e-18,-11.2625192076808,0,0.687,4.55912978118515e-14
"SLC9A3R1",4.43508347547582e-18,-9.5226010757597,0,0.446,9.94168311862661e-14
"KLRB1",1.47226385624559e-15,-1.68386535097064,0.707,0.933,3.30022666016011e-11
"HIST1H1E",3.78164799252724e-15,-10.5501000675209,0,0.498,8.47694214004906e-11
"H2AFZ",5.48466357497447e-15,-9.19263970003518,0,0.38,1.22944218696628e-10
"DARS",6.69164138804207e-15,-8.79316605963355,0,0.307,1.49999833354351e-10
"AL138963.4",3.10267458858781e-13,-7.69543655762043,0,0.137,6.95495535777844e-09
"COTL1",3.18891168778673e-13,-0.436566467592896,0.382,0.475,7.14826443934274e-09
"H1FX",7.91186304377229e-13,-10.5182225492781,0,0.41,1.773523219892e-08
"C5orf56",1.4659258507531e-12,-9.33798381415225,0,0.395,3.28601938704814e-08
"C9orf16",3.57404778762954e-12,-9.23406721789491,0,0.402,8.01158552075038e-08
"ATP5MD",7.3640190580133e-12,-9.69842979364583,0,0.499,1.65071851204426e-07
"H2AFV",1.60741237496227e-11,-9.18338247007033,0,0.411,3.60317557971542e-07
"H3-3A",1.83424313056027e-11,1.63916560563264,0.969,0.261,4.11163940146391e-07
"PYURF",2.67312284864614e-11,-8.67927381994487,0,0.311,5.99207217752518e-07
"RPS10",1.00855287361982e-10,1.57811083992002,0.997,0.544,2.2607721215062e-06
"RACK1",1.08391978343394e-10,-0.395831949871518,0.982,0.994,2.42971458654552e-06
"ANXA2",1.40744482599036e-10,1.68420532914725,0.496,0.219,3.15492832193998e-06
"MBNL1",8.27662789416158e-10,0.535519624975904,0.868,0.821,1.85528890875526e-05
"YARS",8.91789777248729e-10,-8.05869204077295,0,0.218,1.99903596468075e-05
"SARS",1.32444029040342e-09,-7.99725560361147,0,0.222,2.9688653549683e-05
"FEZ1",3.21097590958657e-09,2.70739697958143,0.214,0.036,7.19772359892925e-05
"RPS4X",9.67277930503483e-09,-0.442117817761689,0.997,0.997,0.000216825020901661
"ATP5MPL",2.02831526989953e-08,-9.14101288716323,0,0.401,0.00045466715090068
"ADSS",2.36163106025941e-08,-8.25961382843401,0,0.255,0.000529383218467748
"AC078883.1",2.56749783515713e-08,-7.30680570862277,0,0.142,0.000575530314728822
"GYPC",2.79299621849468e-08,-1.59504239118295,0.504,0.811,0.000626078032337768
"ENSG00000234961",2.98458843168152e-08,2.44821934909853,0.712,0.194,0.00066902534284573
"TARSL2",3.14713418404794e-08,-6.8542336987902,0,0.103,0.000705461598696187
"HIST1H1D",3.30320191608314e-08,-9.38896428283259,0,0.34,0.000740445741509196
"KIF21A",3.31568191705081e-08,3.51505075945514,0.145,0.007,0.00074324325852611
"AC004687.1",3.38922164265413e-08,-9.17963815688327,0,0.353,0.00075972792341735
"AC008105.3",3.62374037808708e-08,-8.40705802141188,0,0.256,0.000812297643152001
"RPS24",4.41580820986416e-08,-0.229343155233713,0.995,0.999,0.00098984756832315
"TMEM173",4.67694530424266e-08,-5.37447551848383,0,0.039,0.00104838405939903
"ANXA1",7.38703747981664e-08,0.992988797801483,0.898,0.879,0.0016558783214757
"PNP",1.31681860986429e-07,0.596826326529831,0.496,0.414,0.0029517805958718
"PRXL2C",1.43027325183576e-07,2.28257723459491,0.145,0.028,0.00320610052131504
"RPL10A",1.79490326595673e-07,0.115811701947818,0.964,0.933,0.0040234551609686
"LINC-PINT",2.01509738646907e-07,2.03865962338911,0.85,0.261,0.00451704230150907
"CD27",2.29333036983495e-07,-2.1256455983987,0.216,0.59,0.00514072935702202
"LMNA",3.12375500977621e-07,2.02810802927146,0.794,0.228,0.00700220922991435
"ENSG00000289614",4.19262044074635e-07,3.42526375818062,0.366,0.049,0.00939817797997703
"MYADM",5.66076843877603e-07,1.67319561490635,0.728,0.35,0.0126891785323603
"AL133415.1",5.83629335216303e-07,-6.16759307285633,0,0.063,0.0130826351782086
"RPL29",5.92902804639762e-07,-0.277442568481368,0.997,1,0.0132905092688049
"AOAH",7.24919562844771e-07,-0.773448810061738,0.534,0.76,0.0162497969207284
"VIM",7.48276266832158e-07,1.87252010040415,0.964,0.687,0.0167733607973097
"RPL26",7.74088898454903e-07,-0.211041520651935,1,1,0.0173519767477651
"TARS",7.76896199447933e-07,-7.12894090268007,0,0.131,0.0174149052068249
"H2AFJ",9.32592756255502e-07,-7.81831803378973,0,0.194,0.0209049992242233
"KLRD1",9.52965438446056e-07,1.32877063100537,0.639,0.313,0.0213616732682068
"PHB",9.8025177256334e-07,-7.93804604406375,0,0.219,0.0219733237337798
"HIST1H1C",1.03234726701825e-06,-9.03403594957916,0,0.308,0.0231410963374812
"MARCH5",1.09711489347108e-06,-7.33571927339356,0,0.156,0.0245929274520477
"AC006369.1",1.2684340256517e-06,-8.23315493098459,0,0.221,0.0284332171190084
"AC245297.3",1.33967675329858e-06,-8.2292842753301,0,0.228,0.0300301941019409
"C12orf10",1.37010830960642e-06,-7.49174480659301,0,0.162,0.0307123478681376
"C12orf65",1.3781922980218e-06,-7.40305435015796,0,0.155,0.0308935585524566
"CALM1",1.39243266085297e-06,0.501650470406611,0.959,0.9,0.0312127705256802
"H2AZ2",1.407145149577e-06,2.18993828725067,0.748,0.204,0.031542565672918
"CDC37",1.52613973778971e-06,0.418611721209163,0.753,0.633,0.0342099483622941
"PSMB10",1.59385535778169e-06,-1.3768800106,0.415,0.636,0.0357278617000343
"MARCH7",1.60486057492799e-06,-7.95577233287904,0,0.212,0.0359745546475859
"AC007384.1",1.61554290751491e-06,-7.4102060208271,0,0.136,0.0362140098148542
"AC025159.1",1.73026321040252e-06,-6.8448760892775,0,0.097,0.0387855801243828
"SLC25A6",1.78899992528735e-06,-0.48122407348641,0.784,0.805,0.0401022223252412
"PRNP",1.8859072939238e-06,1.18260453203079,0.628,0.364,0.0422744979005959
"TLE5",2.01329864948545e-06,-1.07594678832457,0.794,0.954,0.0451301025268659
"TSC22D3",2.3199609988442e-06,1.49962805584316,0.725,0.463,0.0520042457500915
"TCTEX1D2",2.34792780613078e-06,-6.93919054514081,0,0.106,0.0526311497022275
"PIM1",2.46309103759945e-06,0.1565844252848,0.519,0.465,0.0552126486988292
"S100A6",3.28017149571526e-06,-0.365506463388035,0.791,0.832,0.0735283242479533
"AHNAK",4.45815625343689e-06,0.83521945425965,0.796,0.642,0.0999340305770413
"RPL13",5.18299289697371e-06,-0.169353573730879,1,1,0.116181968778563
"MED25",5.30463619206558e-06,1.43114168763139,0.384,0.159,0.118908724881342
"AQP3",7.50253622312691e-06,1.30984664633692,0.392,0.283,0.168176851977613
"CD82",7.61653377278413e-06,1.34307482689043,0.331,0.152,0.170732221050729
"EZR",8.18709755982888e-06,1.1414466334495,0.921,0.681,0.183521978901124
"TRGV9",1.02863951282152e-05,-0.657300999526202,0.529,0.766,0.230579833194072
"SIT1",1.3021388861521e-05,-2.65929127013223,0.074,0.294,0.291887452719856
"PVRIG",1.46806517410802e-05,0.358519147989455,0.41,0.247,0.329081489428053
"LDHB",1.50361322494935e-05,-1.14969841044764,0.506,0.678,0.337049940504646
"VEGFB",1.70365031205691e-05,-2.30014892427634,0.102,0.347,0.381890253950678
"IL16",1.84551241241158e-05,-1.79334116551933,0.288,0.62,0.413690062366179
"SAT1",1.9179199296422e-05,1.38127799315089,0.776,0.51,0.429920931428595
"MICAL2",1.98725565428224e-05,-1.2103606007047,0.181,0.311,0.445463227463907
"WARS",2.12956113405031e-05,-6.73113581915997,0,0.083,0.477362423808718
"RPL18A",2.28920211390383e-05,-0.103265188597153,1,1,0.513147545852682
"HIST1H3D",2.428584265762e-05,-6.78041413022847,0,0.097,0.54439144901321
"AC068587.4",2.6089139046968e-05,-8.62776996325139,0,0.264,0.584814140876835
"ZNRD1",2.74178637059465e-05,-8.5031341938339,0,0.294,0.614598832832497
"IDS",2.79832405285958e-05,1.33751022481325,0.885,0.551,0.627272319689004
"OVCA2",2.80005678794421e-05,-6.98115017920411,0,0.125,0.627660729585575
"FAM207A",2.87829395494882e-05,-6.35258054664819,0,0.08,0.645198372941326
"FAM102A",2.97448106656791e-05,-8.07859307245484,0,0.219,0.666759675881863
"MARCH2",3.05632410536356e-05,-6.50420919518953,0,0.088,0.685105611458297
"FAM49B",3.24907033554351e-05,-8.99022694720511,0,0.358,0.728311606415433
"TMEM8A",3.54201042462512e-05,-6.43174142231086,0,0.086,0.793977056783966
"EPRS",3.54874220257833e-05,-7.80987349163799,0,0.197,0.795486052129959
"RMRP",3.56644489605202e-05,-6.53945506268376,0,0.058,0.799454287899022
"FAM160B1",3.76725432873719e-05,-6.90651606289768,0,0.106,0.844467730329729
"ADPRHL2",3.79266214309631e-05,-7.34003918287921,0,0.146,0.85016314599647
"MARCH9",3.8221261574125e-05,-7.68826054197556,0,0.17,0.856767799445587
"TAZ",3.90557515434175e-05,-7.45464127682246,0,0.159,0.875473726597247
"RPL13A",4.30503127725787e-05,0.132988701733249,0.977,0.946,0.965015811110123
"CCDC130",4.42706135428349e-05,-7.37451730196712,0,0.149,0.992370073176187
"RASGEF1B",4.92534726913012e-05,1.16011208905497,0.735,0.237,1
"MTRNR2L8",5.00985564310617e-05,-3.58801944274549,0,0.01,1
"AC005332.4",5.38712316855416e-05,-6.32293657957048,0,0.076,1
"SEPTIN6",5.40726889635696e-05,-1.20641843212668,0.499,0.702,1
"GAPDH",5.45354905196894e-05,-0.53033512979346,0.997,0.988,1
"EIF3E",5.454855262845e-05,-0.459738208890853,0.552,0.626,1
"SFPQ",5.79133632484992e-05,0.728767208792671,0.725,0.514,1
"AC100810.1",6.03621538965229e-05,-6.25696946881455,0,0.069,1
"HLA-E",6.28300545084306e-05,-0.140160388744621,0.985,0.993,1
"RPS19",6.70747347951868e-05,-0.371226582118691,1,1,1
"RPL23A",6.80314886632603e-05,-0.135148251170243,0.987,0.987,1
"NHERF1",7.39397392510451e-05,2.81024162848197,0.427,0.07,1
"S100A11",8.27106420908991e-05,0.542733207027369,0.863,0.83,1
"RALGAPA1",8.54528747910392e-05,0.819350483300767,0.73,0.419,1
"ME1",9.09495487478501e-05,1.01911392167592,0.125,0.048,1
"RPL41",9.53266974353352e-05,0.524980675877313,1,1,1
"IER3",9.76071578100196e-05,1.44688739196237,0.183,0.054,1
"KIF5C",0.000103254850428644,2.58546273444156,0.046,0.006,1
"R3HDM4",0.000132849232461092,-0.473579749665584,0.443,0.531,1
"MAPRE3",0.000137944107998108,4.04429030547487,0.064,0.003,1
"RPL7A",0.000138227620109888,-0.217487433802519,1,1,1
"CCNH",0.000140049465984542,0.295280165566512,0.748,0.607,1
"RELB",0.000150095134175394,1.01471904533082,0.585,0.352,1
"DKC1",0.000162695127971686,0.132683148650862,0.163,0.119,1
