"Comparison","Module","Cluster","n_g1","n_g2","mean_g1","mean_g2","cohens_d","p_value","p_adj","sig"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive 1 CD8",1410,2957,0.0758,-0.0688,0.546,7.0245902258848e-08,1.98477808740802e-07,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive Intermediate CD8",185,1823,-0.0336,-0.0509,0.093,0.000427607192236509,0.000865326716721854,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive 3 CD4",1358,3563,0.0403,-0.0544,0.416,1.23547555807391e-06,3.18987008313048e-06,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Th2/Th17 EM CD4",1174,1570,0.1249,-0.0094,0.388,0.00132291592387192,0.0025296939773321,"**"
"Suppressed_vs_PreART","MS_IFN_Memory","CD56dim CD122hi NK",1276,4122,0.2619,-0.0065,0.669,1.23573685891093e-44,1.44430512875638e-43,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Classical Monocyte",450,1180,0.1531,0.0246,0.338,1.0321315203706e-05,2.46068370428653e-05,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive 1 CD4",1897,9575,0.0324,-0.0519,0.428,0.000404564710247189,0.000821472072671411,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive 2 CD4",2780,5781,0.0201,-0.0506,0.317,9.4361969732663e-06,2.25865414065395e-05,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","CD8+ MAIT cell",217,505,0.1215,-0.0257,0.457,0.508727339700724,0.57550080544048,"ns"
"Suppressed_vs_PreART","MS_IFN_Memory","Transitional Memory CD4",410,3224,0.0914,-0.0187,0.514,0.340873814072228,0.407551725806916,"ns"
"Suppressed_vs_PreART","MS_IFN_Memory","Treg",331,949,0.13,0.0202,0.302,0.0139279763395533,0.0228884988405828,"*"
"Suppressed_vs_PreART","MS_IFN_Memory","Tscm CD8",6,312,-0.039,-0.0894,0.319,0.140865386357839,0.186781109968667,"ns"
"Suppressed_vs_PreART","MS_IFN_Memory","pDC",75,75,0.0679,-0.1176,0.526,0.00418129098490782,0.00741003934899345,"**"
"Suppressed_vs_PreART","MS_IFN_Memory","Activated B cell",937,599,0.1917,-0.0711,0.665,5.21740485837325e-34,4.6995872333317e-33,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Naive 2 CD8",1112,2765,0.035,-0.0658,0.447,3.81029313477134e-09,1.16745042850539e-08,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","TEMRA/CTL CD8",2871,1881,0.2054,-0.0012,0.468,9.50916994074242e-26,6.49115987977745e-25,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Follicular B cell",1911,3015,-0.0411,0.0278,-0.244,9.8427954464788e-89,2.84136601081484e-87,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","ISG+ CD4 T cell",1234,411,0.1846,0.033,0.329,0.000952421070043036,0.00184478648651828,"**"
"Suppressed_vs_PreART","MS_IFN_Memory","Transitional B cell",684,1895,0.0245,0.0691,-0.138,1.82645191566923e-26,1.28333688854647e-25,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","CD56bright NK",179,605,-0.0054,-0.0525,0.192,0.772929966407361,0.815832687009708,"ns"
"Suppressed_vs_PreART","MS_IFN_Memory","Vd1 gd T cell",992,752,0.0565,-0.0599,0.35,0.000328302643983581,0.000675204407712155,"***"
"Suppressed_vs_PreART","MS_IFN_Memory","Tex CD8",170,429,0.0592,0.0466,0.039,0.0109833556345141,0.0184286555324201,"*"
