p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
1.3900376725125348e-234,3.74872952358592,0.436,0.032,3.115908446704098e-230,TRBV7-3
1.924693561550893e-70,2.4687063334006307,0.206,0.025,4.3143930875724814e-66,TRAV12-1
3.208544864561106e-65,3.384155471830833,0.175,0.02,7.192274168400176e-61,TRAV26-2
6.002397445340788e-60,3.526445077654743,0.181,0.024,1.3454974113475911e-55,TRBV4-2
2.005413225370434e-29,1.6771719189578727,0.381,0.164,4.495334285990365e-25,ENSG00000276241
4.684812568444634e-28,1.6400496219004332,0.131,0.025,1.050147585342549e-23,TRBV21-1
2.4489972470525026e-24,-1.439551388224573,0.219,0.494,5.48967222899289e-20,TRBC1
5.6147925783776516e-21,-2.588903275528999,0.075,0.306,1.2586119043691344e-16,KLRC2
3.435743534106763e-17,-0.6961562112243289,0.897,0.881,7.70156270605372e-13,GNLY
1.8367478476405395e-14,1.904002754723309,0.103,0.029,4.1172539752710335e-10,ANKRD20A11P
2.2427533642696324e-13,-0.7305679249017292,0.664,0.782,5.027355941346808e-9,IFITM2
4.464601223087985e-13,0.6492750853258278,0.708,0.561,1.0007850101674028e-8,BCL11B
1.206774553847854e-12,-0.7392065825976497,0.469,0.637,2.7051058399053498e-8,CTSW
2.105182003081529e-12,1.1612326972304254,0.128,0.045,4.718975978107555e-8,TRBV7-9
3.3563619329298323e-12,0.7145298300911359,0.5,0.33,7.523620908855513e-8,RASGEF1B
3.4466280642104854e-12,-2.1642804908436384,0.028,0.165,7.725961468734224e-8,TYROBP
9.687117767488772e-12,0.7272904633729715,0.503,0.336,2.1714643187602832e-7,CD5
1.235797508634508e-11,1.6422076898619955,0.217,0.107,2.770163695355113e-7,TRGV9
3.567925235966764e-11,0.6357649603079678,0.606,0.444,7.997861208943098e-7,THEMIS
1.4016540290736291e-10,0.7048130059910999,0.517,0.37,3.141947671571447e-6,DLEU2
2.286164282322932e-10,-10.005652378727277,0,0.101,5.1246658552550846e-6,TRBV3-1
5.747176167705792e-10,-0.676209658982303,0.756,0.828,1.2882870097529303e-5,MT-ATP8
7.463661950733859e-10,-0.45054327576948694,0.861,0.923,1.6730544628765017e-5,IL32
2.0570279256152595e-9,1.1254942530845575,0.178,0.086,4.611033798059166e-5,ENSG00000274767
5.224979941221793e-9,-1.486024837223675,0.111,0.24,1.171231503624277e-4,IKZF2
1.5936090387175948e-8,0.5300943313325033,0.786,0.689,3.5722340211893607e-4,NR3C1
1.678453716585297e-8,0.6376121615810596,0.417,0.279,3.762421851097602e-4,TRGV2
2.2811885134584803e-8,-0.9797168069716118,0.25,0.388,5.11351217176853e-4,RBFOX2
2.6822654988922153e-8,0.9215159870350453,0.369,0.265,6.01256634231679e-4,CSGALNACT1
3.090914927271436e-8,-1.1846539819018873,0.131,0.256,6.928594900971651e-4,HOPX
3.404092187455724e-8,-0.3285052406089912,0.842,0.921,7.630613047400751e-4,EMP3
4.464351767778076e-8,1.035993968383525,0.189,0.099,0.0010007290922651334,PDCD1
4.6978202320240126e-8,0.4256930512316732,0.686,0.561,0.0010530633832105027,CD6
6.995680625578849e-8,-0.44483483821862135,0.664,0.761,0.0015681517690297546,MYL12A
9.88329791435502e-8,-1.9401442545325516,0.067,0.171,0.0022154400604818213,KLRC3
1.0559594911582343e-7,1.285502267786083,0.161,0.082,0.002367038795380298,HSPA1B
1.3433737008398156e-7,0.7950540655268641,0.264,0.159,0.0030113064878025306,YBX3
1.586858547443018e-7,0.6606616387589008,0.439,0.32,0.003557102119948269,IRF1-AS1
2.2601442100461828e-7,0.599321077091707,0.633,0.555,0.0050663392612395235,RASA3
2.645523454828573e-7,0.8186703093994587,0.311,0.203,0.005930205376343729,MAN1A1
3.470261746392361e-7,-0.2905249220585624,0.983,0.954,0.007778938730713117,CCL5
5.872211959509747e-7,0.8022777221196778,0.317,0.213,0.013163150328437049,SKI
7.418253110271302e-7,0.4388568666206445,0.394,0.261,0.01662875617198415,RPS4Y1
7.465644268513706e-7,-0.40838420969165634,0.636,0.738,0.016734988192300324,S100A11
8.285835056357327e-7,-0.34104723733071385,0.711,0.808,0.018573527862330585,CLIC1
1.1412613885897593e-6,1.3832920359748415,0.106,0.048,0.025582515286628044,PALS2
1.2410102517312584e-6,0.3347310976312059,0.875,0.808,0.02781848580280789,TNFAIP3
1.4212547527716689e-6,-1.8409103119870152,0.025,0.104,0.03185884653812973,ENSG00000257322
1.4619298221616701e-6,-1.3615495607582309,0.069,0.166,0.032770618893576,CD300A
1.5319115030760204e-6,0.26532218316362854,0.925,0.852,0.03433932825295207,MT-ATP6
