"snn.louvianmlr_1","cloneSize","n"
"0","Medium (5 < X <= 20)",2
"0","Small (1 < X <= 5)",16
"0","Single (0 < X <= 1)",8863
"1","Small (1 < X <= 5)",35
"1","Single (0 < X <= 1)",6882
"2","Hyperexpanded (100 < X <= 500)",1
"2","Large (20 < X <= 100)",5
"2","Medium (5 < X <= 20)",6
"2","Small (1 < X <= 5)",8
"2","Single (0 < X <= 1)",186
"3","Small (1 < X <= 5)",18
"3","Single (0 < X <= 1)",6786
"4","Large (20 < X <= 100)",3
"4","Medium (5 < X <= 20)",3
"4","Small (1 < X <= 5)",13
"4","Single (0 < X <= 1)",5962
"5","Large (20 < X <= 100)",3
"5","Medium (5 < X <= 20)",8
"5","Small (1 < X <= 5)",22
"5","Single (0 < X <= 1)",5869
"6","Large (20 < X <= 100)",1
"6","Medium (5 < X <= 20)",5
"6","Small (1 < X <= 5)",6
"6","Single (0 < X <= 1)",23
"7","Small (1 < X <= 5)",7
"7","Single (0 < X <= 1)",5338
"8","Hyperexpanded (100 < X <= 500)",118
"8","Large (20 < X <= 100)",850
"8","Medium (5 < X <= 20)",1341
"8","Small (1 < X <= 5)",1101
"8","Single (0 < X <= 1)",1133
"9","Hyperexpanded (100 < X <= 500)",221
"9","Large (20 < X <= 100)",174
"9","Medium (5 < X <= 20)",426
"9","Small (1 < X <= 5)",333
"9","Single (0 < X <= 1)",382
"10","Single (0 < X <= 1)",50
"11","Small (1 < X <= 5)",3
"11","Single (0 < X <= 1)",3859
"12","Large (20 < X <= 100)",1
"12","Medium (5 < X <= 20)",7
"12","Small (1 < X <= 5)",55
"12","Single (0 < X <= 1)",3197
"13","Hyperexpanded (100 < X <= 500)",3
"13","Large (20 < X <= 100)",16
"13","Medium (5 < X <= 20)",50
"13","Small (1 < X <= 5)",31
"13","Single (0 < X <= 1)",52
"14","Hyperexpanded (100 < X <= 500)",5
"14","Large (20 < X <= 100)",71
"14","Medium (5 < X <= 20)",160
"14","Small (1 < X <= 5)",157
"14","Single (0 < X <= 1)",2082
"15","Medium (5 < X <= 20)",1
"15","Small (1 < X <= 5)",1
"15","Single (0 < X <= 1)",37
"16","Large (20 < X <= 100)",1
"16","Medium (5 < X <= 20)",2
"16","Small (1 < X <= 5)",10
"16","Single (0 < X <= 1)",1031
"17","Large (20 < X <= 100)",3
"17","Medium (5 < X <= 20)",3
"17","Small (1 < X <= 5)",6
"17","Single (0 < X <= 1)",120
"18","Hyperexpanded (100 < X <= 500)",4
"18","Large (20 < X <= 100)",20
"18","Medium (5 < X <= 20)",28
"18","Small (1 < X <= 5)",25
"18","Single (0 < X <= 1)",34
"19","Medium (5 < X <= 20)",3
"19","Small (1 < X <= 5)",15
"19","Single (0 < X <= 1)",275
"20","Hyperexpanded (100 < X <= 500)",4
"20","Large (20 < X <= 100)",23
"20","Medium (5 < X <= 20)",37
"20","Small (1 < X <= 5)",86
"20","Single (0 < X <= 1)",1060
"21","Medium (5 < X <= 20)",1
"21","Small (1 < X <= 5)",4
"21","Single (0 < X <= 1)",38
"22","Small (1 < X <= 5)",1
"22","Single (0 < X <= 1)",1239
"23","Large (20 < X <= 100)",3
"23","Medium (5 < X <= 20)",6
"23","Small (1 < X <= 5)",5
"23","Single (0 < X <= 1)",33
"24","Single (0 < X <= 1)",1118
"25","Hyperexpanded (100 < X <= 500)",5
"25","Large (20 < X <= 100)",55
"25","Medium (5 < X <= 20)",146
"25","Small (1 < X <= 5)",215
"25","Single (0 < X <= 1)",508
"26","Large (20 < X <= 100)",1
"26","Medium (5 < X <= 20)",2
"26","Small (1 < X <= 5)",2
"26","Single (0 < X <= 1)",175
"27","Single (0 < X <= 1)",780
"28","Hyperexpanded (100 < X <= 500)",1
"28","Large (20 < X <= 100)",6
"28","Medium (5 < X <= 20)",11
"28","Small (1 < X <= 5)",28
"28","Single (0 < X <= 1)",409
"29","Hyperexpanded (100 < X <= 500)",2
"29","Large (20 < X <= 100)",8
"29","Medium (5 < X <= 20)",11
"29","Small (1 < X <= 5)",9
"29","Single (0 < X <= 1)",22
"30","Single (0 < X <= 1)",6
"31","Medium (5 < X <= 20)",1
"31","Single (0 < X <= 1)",8
"32","Hyperexpanded (100 < X <= 500)",1
"32","Large (20 < X <= 100)",4
"32","Medium (5 < X <= 20)",4
"32","Small (1 < X <= 5)",2
"32","Single (0 < X <= 1)",24
"33","Single (0 < X <= 1)",4
"35","Single (0 < X <= 1)",6
"36","Small (1 < X <= 5)",1
"36","Single (0 < X <= 1)",108
"37","Single (0 < X <= 1)",3
"38","Single (0 < X <= 1)",2
"39","Single (0 < X <= 1)",1
"40","Single (0 < X <= 1)",2
"41","Large (20 < X <= 100)",1
"41","Small (1 < X <= 5)",1
"42","Single (0 < X <= 1)",2
"43","Single (0 < X <= 1)",2
"45","Single (0 < X <= 1)",2
