gene,avg_log2FC,padj
H3-3A,4.60380115411533,0
H3-3B,4.76990801095262,0
H3F3B,-3.82649748426412,0
H3F3A,-3.11627079575777,0
LINC01578,-4.4088513747211,0
TALAM1,4.2713994044457,0
CHASERR,4.8984703871857,0
ENSG00000289901,4.99770001327443,0
H1FX,-5.23277343558845,0
FP236383.3,-2.80894178603636,0
ENSG00000280441,14.6698021396666,0
HIST1H4C,-3.79907516830973,0
H4C3,4.97323107159403,0
ATP5MD,-3.76976485313062,0
H2AFZ,-3.79842868816482,0
H2AZ1,5.02245045610167,0
MATR3,4.36302789431149,0
ENSG00000278996,8.35925337681915,0
DARS,-4.39069027193901,0
IGFBP2,-10.6464585159476,0
AC138123.1,-2.90714223885598,0
FP671120.4,-2.7414490219325,0
H2AZ2,4.79956541719907,0
ATP5MK,4.33918709129149,0
GPI,-3.80559130665963,0
ENSG00000257322,14.5528773500479,0
TPI1,-3.71791472153246,0
ATP5MPL,-3.41771602555655,0
U2AF1,3.11713450565203,0
VEGFB,-3.06790136852385,0
CALHM6,-4.0971041654666696,0
SLC9A3R1,-3.6520174157669,0
HIST1H1E,-5.01134822894051,0
MATR3.1,-3.54684729984162,0
ATP5MJ,4.68064047609687,0
P4HA1,-3.96696243665918,0
BNIP3,-3.22614039630393,0
LINC-PINT,4.01732120902992,0
IL16,-1.78044574632186,0
SEPTIN9,-2.18555738266737,0
MIR210HG,-7.25140753774214,0
IFITM2,-2.01244889709284,0
C4orf3,-2.29461344753782,0
SIT1,-3.06087001769246,0
BNIP3L,-2.36933435087106,0
CCDC107,-2.6912754846729,0
AL138963.4,-7.16629089329371,0
BBLN,4.44662647117503,0
EEIG1,3.99876788513333,0
PKM,-2.46075410631748,0
FAM162A,-2.59955170647323,0
ANXA1,2.81257234518212,0
TCAF2,-3.17178179057162,0
LCK,-1.47971763026301,0
LINC00869,3.66844159856696,0
IDS,2.22726824964739,0
CYRIB,4.30621896697266,0
RPS10,3.77206544115526,0
H1-10,4.31308732541092,0
ENSG00000290823,7.18761169722024,0
IL32,-1.98453949478728,0
ALDOA,-2.27970822273889,0
OSBPL8,1.69875427511176,0
LSP1,-1.21104700918519,0
ENSG00000234961,3.629232149534,0
CD55,1.36908262709231,0
SFPQ,1.5285199086455,0
PGAM1,-1.4788860568805,0
ENO1,-3.12672062359544,0
S1PR1,1.51028121008595,0
TGFB1,1.7151713429089,0
KLF3,1.8405789672149,0
BACH2,1.66243375175019,0
GYPC,-1.32445357377434,0
PGK1,-2.84731500447354,0
MIF,-2.56717227596831,0
MTRNR2L12,-10.3604982520619,0
APOO,0.651981039793106,0
GAPDH,-3.12053228677662,0
LDHA,-2.03972920875883,0
CRIP1,2.59909786934481,0
GNAS,-1.06766684570303,0
IL2RG,-1.07060180433063,0
EVL,-1.10695142629698,0
S100A11,1.61504808426286,0
LDHB,-1.2032867891434,0
RBFOX2,1.51724821106502,0
TCF7,-1.02693516383511,0
IFITM1,-1.25762366324426,0
CALM1,1.2997078191121,0
NPM1,-0.798229817922187,0
PCBP1,-0.845406682838804,0
MT-CYB,0.749850821687315,0
TAGLN2,1.29565200305244,0
VIM,1.56225203797088,0
FTL,-0.964160230053083,0
RPS29,0.656348178552962,0
FTH1,1.58055886587513,0
B2M,-0.58772553154181,0
CD27,-1.45802082628526,1.0411908258003e-294
HNRNPA1,0.709231597587839,1.36084243202325e-293
POLD4,-1.79903855584216,1.89613528071795e-293
VEGFA,-6.86523539924727,2.47577672832784e-293
H2AFV,-3.59687061970491,2.77247241988276e-293
PCBP2,-1.28440764049366,3.70277384811089e-293
BICDL1,2.63478564560687,4.10108644061118e-293
GAREM1,-3.92778992147409,4.37512499965837e-293
RAC2,-0.979204259338336,5.42673800341692e-293
BIRC2,1.99271000036542,5.76073959591495e-293
ANP32B,-1.04316364204986,6.01981401733728e-293
LRRFIP1,1.53342776395383,7.290516702541751e-293
MYADM,2.26394944794018,1.8051514519272197e-292
WDR54,-2.70505812446733,2.3640685898460695e-292
NUCB2,-1.99276215033893,4.9589445279977e-286
AC078883.1,-4.64698153748274,1.40963604024653e-282
EZR,1.54685373642768,2.16186787745115e-282
UBB,1.02962619951342,2.1088777363888598e-280
C9orf16,-3.35146757547427,6.42119717050034e-280
CD44,1.11268388139625,6.508829382260519e-279
HPCAL1,-1.65599831581458,7.66042129515893e-278
SARS1,4.83217185396058,4.0530625982284503e-277
MGAT1,-2.1334198184303,7.1446035598653694e-276
ENO2,-2.15395228979657,2.55576229481592e-273
CD3E,-0.839581900414994,3.05764507579385e-272
MARCHF7,4.47820091601976,9.52431016171242e-272
ARL4C,1.33416378960568,2.32347993708863e-270
LTB,-0.744619240943488,2.94060941651834e-269
ENSG00000291099,4.65898363911165,3.27105434136163e-268
THEMIS,-1.55278334821379,2.46569711624057e-266
PDK1,-2.23355718481055,3.75797510514925e-266
HIST1H1D,-4.61079932155649,3.70750223494123e-265
FAM177A1,2.31682765214378,5.507731699237671e-265
PFKP,-3.1129619894524,6.02914468138056e-263
FAM49B,-3.95117894516129,2.47327161816256e-262
GPSM3,-1.1451312455417,1.80911783643992e-261
YPEL3,-1.18913713525657,4.31497774512881e-261
CXCR4,1.58918387689309,5.8844414652598995e-261
GPX1,4.25671496765799,3.9843885236911195e-259
SEC61G,-1.43431909358561,6.03833672802743e-256
PLAC8,-1.4942056281949,6.29805162001534e-255
