gene,avg_log2FC,padj
H3-3B,5.11173321611889,0
H3-3A,4.64291470376852,0
H3F3B,-13.4032797340618,0
TALAM1,4.7521964070339,0
H3F3A,-12.8068550986494,0
LINC01578,-12.5993515440222,0
HIST1H4C,-11.9096107201703,0
H1FX,-12.5213259031062,0
IGFBP2,-9.23037265045247,0
TPI1,-3.71455440850903,0
AL138963.4,-11.4791706401082,0
ALDOA,-2.62477994039854,0
RPS10,3.49994307761683,0
ENO1,-2.99977179292243,0
MTRNR2L12,-13.2809264668077,0
GAPDH,-3.14600875347199,0
MIF,-2.3478308720623,0
GPI,-3.74802643261391,1.47094414080493e-293
FTL,-1.37384759471144,2.34964465577332e-293
H2AFZ,-11.6380594065291,3.10431563746482e-293
PGK1,-2.68786721697353,3.30197072551989e-293
ATP5MD,-11.5658251508865,4.83976430100652e-293
ENSG00000289901,5.38717077988256,6.74653679208181e-293
PKM,-2.18118608541263,2.01670389007072e-290
CHASERR,4.67781466599372,4.61836973748308e-261
DARS,-11.4448410789695,7.811960000522189e-249
FTH1,1.66721769810483,6.62738469968021e-246
ENSG00000273149,4.85752862990281,3.1788692587108598e-245
SEPTIN9,-2.22905933925797,1.2619431866592198e-226
LDHA,-1.78602206476263,1.0087983052941997e-224
HIST1H1E,-11.3066507229192,2.00813279704265e-216
VEGFB,-2.59716334461084,6.201027347610149e-216
PCBP1,-1.30737153991784,1.06935576707354e-214
BNIP3L,-2.45622452151959,5.105472359161049e-213
BNIP3,-3.2802762497657,8.561895653830209e-210
MATR3,4.58109682953932,8.371710775721219e-206
ATP5MK,4.5492276714015,8.481633324223059e-206
H2AZ1,5.00331759979541,2.1417342118662798e-204
H4C3,4.83842147797059,4.694490690949099e-200
MBNL1,1.23576887381036,1.41033365789297e-192
CRIP1,2.36553111729478,1.48960521575137e-189
ATP5MPL,-10.9804547001679,9.303893727150641e-189
RASGEF1B,3.75995929481983,2.0933985686042897e-184
SLC9A3R1,-10.8684680810435,4.9973539356899294e-182
GYPC,-1.77609088582192,3.6968355138582597e-177
H2AFV,-10.6248033545898,5.0990061971447596e-172
C9orf16,-10.9047281878879,3.06926694310005e-167
RPL13A,0.619358938998635,4.6286892332045294e-166
U2AF1,3.07572226054751,2.1658054568231798e-159
BACH2,1.59173982165898,8.234383713024319e-158
ZFP36L2,-0.909899179277879,2.6247097548094e-156
SARS,-10.2763534285057,2.18375983355387e-155
CALHM6,-4.32797676447365,1.23857789329185e-152
PYURF,-10.3515270561477,9.297082380440129e-152
SSH2,1.57554190666168,3.3323555731013195e-151
H2AZ2,4.66403582819674,4.4126657047227893e-150
AC008105.3,-9.98328995047867,6.052883032984019e-149
PDCD4,1.26664899824835,1.1891222763511098e-148
RAC2,-0.980533779724462,2.3871220539297897e-148
ZNRD1,-10.044382172917,2.77377877435603e-147
P4HA1,-3.28298742210371,2.9114707406843096e-146
FAM49B,-10.3382418995398,1.0727278037103499e-145
