"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",3.45371995788095e-100,1.00753249236164,0.916,0.929,7.74185865758595e-96
"MTRNR2L12",3.0468591019689e-92,-2.86871084765855,0.096,0.963,6.82983936297348e-88
"FP236383.3",2.49329618501613e-85,0.713694823766798,0.526,0.388,5.58897272833216e-81
"RBFOX2",2.24412776014691e-83,3.37088442633588,0.57,0.241,5.03043678714532e-79
"RPS4Y1",8.44564832910949e-81,0.223015231392539,0.304,0.233,1.89317652945318e-76
"MT-ATP6",4.14126672479879e-72,-0.806945992869801,0.863,0.865,9.28306349030897e-68
"FP671120.4",7.86629650013568e-70,-0.375547993131864,0.452,0.367,1.76330902347042e-65
"RPL41",3.38239508345811e-62,-0.513716559313344,0.999,0.998,7.5819768190797e-58
"AC138123.1",4.88275804812509e-57,0.187911057152644,0.413,0.349,1.09451904406772e-52
"APOO",1.98390707396923e-55,4.14734743125093,0.51,0.116,4.44712609700942e-51
"PTPRCAP",1.24126448395497e-48,1.94164172841353,0.665,0.461,2.78241846723346e-44
"ENO1",8.64376272060661e-45,-1.36140067652816,0.829,0.986,1.93758585145118e-40
"LDHA",1.07844397528208e-41,-0.842227623465975,0.86,0.98,2.41744001499231e-37
"TPI1",1.31815240010277e-41,-1.14969068281566,0.725,0.982,2.95477042007037e-37
"GNAS",2.2001706920759e-41,-0.837024625297923,0.787,0.976,4.93190262335733e-37
"RPS4X",1.15893445597815e-40,-0.671991672348837,0.996,1,2.59786747652063e-36
"ARHGAP15",2.76508916448228e-39,0.862365458691041,0.71,0.598,6.19822387110348e-35
"RPS14",5.59707428036273e-38,-0.328676121395088,0.997,0.998,1.25464017068611e-33
"PGK1",3.67366115394917e-34,-1.28670514817393,0.816,0.969,8.23487884269246e-30
"BNIP3",8.88477662224256e-33,-1.74272717217494,0.352,0.822,1.99161152764189e-28
"IGFBP2",2.51161723941105e-32,-1.81537470670198,0.219,0.688,5.63004120386381e-28
"AC079793.1",1.2289025337978e-30,1.9384338559465,0.115,0.037,2.75470791976114e-26
"PNRC1",2.94160059489132e-30,-0.72249443069516,0.947,0.994,6.59389189350838e-26
"EIF1",3.0206648020221e-30,-0.324234638672994,0.982,0.998,6.77112222021274e-26
"GPI",1.75252012496513e-28,-1.43760309842258,0.513,0.884,3.92844911212183e-24
"VEGFB",1.87312112251816e-27,-1.47542144922792,0.329,0.788,4.19878830823672e-23
"PKM",3.66598410513153e-27,-1.20285822102153,0.696,0.957,8.21766997006285e-23
"MIF",5.0388469313931e-27,-0.959574883226713,0.877,0.988,1.12950792814108e-22
"UTY",1.01678419345114e-26,1.59242712205262,0.105,0.053,2.27922344804008e-22
"AL138963.4",1.27279931152212e-26,-2.74867257261063,0.167,0.737,2.85310693670798e-22
"GAPDH",1.79935928545941e-26,-0.908400896850031,0.932,0.994,4.03344377428582e-22
"JUND",1.88425378890571e-25,-0.265218965949862,0.678,0.829,4.22374329321105e-21
"RPL9",3.84320428884372e-24,-0.6341488200081,0.978,0.994,8.61492673387209e-20
"P4HA1",4.34875503519688e-24,-1.25670308360859,0.26,0.641,9.74816928689733e-20
"IFITM3",1.88803856548801e-23,-0.83399335743548,0.26,0.484,4.23222724839793e-19
"BNIP3L",8.57814742831096e-23,-1.13913657383441,0.538,0.882,1.92287752753018e-18
"AL157402.2",9.21481909700239e-23,0.777224638751656,0.062,0.039,2.06559384878406e-18
"PRKY",9.2971606244239e-23,-0.483982926904717,0.037,0.063,2.08405152557086e-18
"SNRPD3",3.55863477913543e-22,1.4501351059126,0.417,0.196,7.97703572090998e-18
"RPS10-NUDT3",8.56702397194477e-22,0.858484282766606,0.182,0.124,1.92038409355114e-17
"DIPK1A",1.63829184129026e-20,1.51688044303723,0.295,0.129,3.67239499143624e-16
"ZBTB20",1.63997511894643e-20,1.04541875882795,0.469,0.333,3.67616822663032e-16
"FTX",1.68487562373191e-20,0.99758448988492,0.275,0.157,3.77681719815746e-16
"OOEP",4.56969016064356e-20,0.421886447684769,0.213,0.155,1.02434174640986e-15
"FHIT",4.86162144893095e-20,0.475965598170189,0.353,0.31,1.08978106399236e-15
"AC105052.4",1.03325778943766e-19,2.62863510392564,0.12,0.027,2.31615066080346e-15
"SNHG25",1.03766047378077e-19,0.833746206070484,0.215,0.114,2.32601971802697e-15
"USP9Y",4.83730759546153e-19,0.786372790067671,0.081,0.051,1.08433087059866e-14
"TSC22D3",2.1211508319944e-17,0.225196063174867,0.548,0.659,4.75477170499865e-13
"PDE3B",3.51662103028179e-17,1.0295091226132,0.709,0.578,7.88285770147965e-13
"CALHM6",4.34862854015564e-17,-0.879502817161679,0.193,0.402,9.74788573561289e-13
"RPS9",6.30029587345272e-17,-0.181281069095603,0.992,0.998,1.41227432299316e-12
"SARAF",6.80568608822973e-17,-0.491579659830254,0.968,0.994,1.52556259353758e-12
