"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BABAM2",2.93183611546825e-13,0.724002694549465,0.137,0.103,6.57200383643363e-09
"MTURN",1.79944524649147e-11,-0.103352124717797,0.067,0.093,4.03363646453528e-07
"R3HCC1",1.05356553431795e-09,-0.261793076847601,0.113,0.121,2.36167250172712e-05
"KMT5B",1.9975797637703e-09,-0.395545399161134,0.197,0.243,4.47777479846751e-05
"VPS13B",1.70548265228896e-08,0.346423307722125,0.227,0.131,0.000382300991337093
"PDXDC1",3.55184533040632e-08,0.65222913207392,0.284,0.159,0.000796181649263881
"MTRNR2L12",6.20381513103502e-08,-4.8865869424306,0.024,0.944,0.00139064719977281
"ACSF3",1.52375304209887e-07,0.85114202316886,0.103,0.065,0.00341564481916882
"PSMA3",4.2992466996886e-07,-0.343194499841277,0.356,0.411,0.00963719140202197
"IQGAP2",6.390948593107e-07,0.853351070245971,0.231,0.178,0.0143259503663087
"PCSK7",7.30173786306949e-07,-0.656795784957562,0.135,0.159,0.0163675755938566
"RPS15A",9.12609906730072e-07,-0.134627664958882,0.997,1,0.0204570636692613
"PHYKPL",1.23453417780612e-06,0.130013530373537,0.247,0.206,0.027673318129702
"ABR",1.6605641609064e-06,-0.825358612049939,0.058,0.075,0.0372232062308778
"ARMCX6",1.99368690881222e-06,-1.26417284093202,0.092,0.187,0.0446904857479348
"CUX1",2.79330306705287e-06,-0.550298495624341,0.183,0.206,0.0626146815510571
"DOCK9",2.93512543813807e-06,-0.137554891836237,0.203,0.187,0.0657937718213031
"PLRG1",3.92822323462613e-06,0.456420007764671,0.132,0.103,0.0880550520273793
"ZCCHC7",4.03436317460546e-06,0.369822629108717,0.241,0.206,0.0904342849219561
"RPLP1",4.65792819021558e-06,-0.100284657332792,0.997,1,0.104412118311872
"DAAM1",8.7763634763259e-06,0.677298404531153,0.149,0.131,0.196730963685321
"NDUFB7",8.95450304502347e-06,-0.643337093287016,0.194,0.29,0.200724140257246
"ACLY",9.16404539723823e-06,0.137627726625901,0.089,0.065,0.205421241624492
"DLEU2",9.39531167928389e-06,1.93519344233159,0.258,0.056,0.210605306602828
"NAT9",1.41882931168189e-05,-0.479812580113074,0.095,0.121,0.318044778506612
"BRD9",1.45108767692676e-05,0.92156720570675,0.152,0.075,0.325275813659902
"GCN1",1.6209462300371e-05,0.859803133288071,0.114,0.047,0.363351306925116
"TPT1",1.97152289352041e-05,-0.134656392063095,0.998,1,0.441936571811535
"MEA1",2.50858867821194e-05,-0.541283697064307,0.201,0.28,0.562325238107989
"PTDSS1",2.55981663634562e-05,-1.13644995198109,0.191,0.402,0.573808497203233
"EIF6",2.94445196817627e-05,-0.257627972313022,0.214,0.271,0.660028353186393
"ECI2",3.16748044641496e-05,-1.12385810582735,0.101,0.187,0.710022416868378
"ELMOD3",3.28268494034165e-05,-0.326764581946974,0.057,0.047,0.735846656226984
"PLCB2",3.37927196602797e-05,0.468818543472925,0.043,0.028,0.757497603904831
"KDM3B",3.81140033869206e-05,0.63247876511019,0.151,0.112,0.854363499921212
"CDIPT",3.89140154719008e-05,0.673087891097878,0.166,0.112,0.872296570818127
"ZNF195",4.57070840068292e-05,0.340367222437072,0.089,0.056,1
"ARHGAP15",4.82940184263967e-05,1.24687112382929,0.708,0.402,1
"OGDH",6.04730370903853e-05,1.71893869610796,0.204,0.075,1
"EAF1",6.20380594649474e-05,-0.459419898184088,0.084,0.093,1
"GNAQ",6.74918445169644e-05,-0.198295057251936,0.166,0.159,1
"AC118549.1",6.84027231109566e-05,-2.88396086934798,0.02,0.196,1
"GLYR1",6.97832975860222e-05,0.743766546301468,0.176,0.103,1
