"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",4.09676716696384e-08,-2.15366498396176,0.083,0.929,0.000918331328146615
"PTPRCAP",1.83481364665477e-07,2.99454125324126,0.685,0.321,0.00411291827034134
"CCL5",1.47362428902013e-06,5.45139139038303,0.937,0.125,0.0330327620626752
"NKG7",2.49014868414893e-06,6.01109575883237,0.922,0.179,0.0558191729038824
"RPL41",2.73875566734564e-06,-0.342282461679205,0.998,1,0.0613919470392199
"RPL32",1.0601918458845e-05,-1.18205425205442,1,1,0.237652604173469
"DYNLL1",1.34738478430433e-05,2.2294019694103,0.685,0.286,0.302029773249659
"APOBEC3G",1.45046393270777e-05,3.53063150661339,0.806,0.196,0.325135995155774
"ACTN1",2.51305151318195e-05,-4.89843960081885,0.046,0.857,0.563325627194867
"CFL1",3.33434985125129e-05,1.12224179653091,0.959,0.929,0.74742786265649
"RBFOX2",5.97157590262819e-05,3.05062654045931,0.327,0.179,1
"RPS13",6.05683268999204e-05,-1.34364198612399,0.991,1,1
"COTL1",6.15656049589988e-05,2.62486118464986,0.862,0.625,1
"HLA-DRB1",7.07183476136739e-05,8.6679776223445,0.735,0,1
"FP236383.3",7.40125709792646e-05,-0.22371720859543,0.305,0.411,1
"MT-ATP8",7.94467314097704e-05,0.268178007786533,0.837,0.964,1
"RPS14",9.72023049759236e-05,-0.754819251448652,0.994,1,1
"GZMH",9.75232968276465e-05,8.54279387719315,0.602,0,1
"GZMA",0.00010538862697288,3.46951233104428,0.579,0.161,1
"LTB",0.000131716622038267,-2.74008175545209,0.191,0.982,1
"RAB1B",0.000143523961325097,0.913031817545367,0.478,0.357,1
"PPP1CA",0.000147232607812379,0.894084243512739,0.769,0.696,1
"EEF1A1",0.000148826516027668,-1.14606146273866,0.998,1,1
"GZMB",0.000151150795344927,9.05988699051356,0.537,0,1
"LDLRAP1",0.000165234276288189,-3.28160136547115,0.102,0.804,1
"CCL4",0.000168081651120823,6.77975557653161,0.512,0.018,1
"TCF7",0.000187552454073993,-2.11106181098393,0.518,0.964,1
"HLA-DPB1",0.000188910459409675,6.80026296229893,0.754,0.018,1
"RPS18",0.000199237476773984,-1.02011665504841,1,1,1
"PSMB8",0.000207470291082347,0.627088172955736,0.796,0.804,1
"PABPC1",0.000219771111582611,-1.37779679160371,0.927,1,1
"CCR7",0.000232686065955062,-1.94171766390052,0.339,0.857,1
"TMEM123",0.000258585835242994,-1.97344161874912,0.375,0.893,1
"AL138963.4",0.000275070229751746,-3.89503749924068,0.102,0.732,1
"RPS23",0.00029244113699394,-1.18671627482352,0.999,1,1
"IGFBP2",0.00032449475375522,-4.69384707472637,0.052,0.786,1
"LAG3",0.000329719620382002,6.60979015971294,0.502,0,1
"LCP1",0.000342514605404838,1.55584440448648,0.865,0.786,1
"SRSF9",0.000378846903545921,0.511518098823545,0.671,0.589,1
"RPL36A",0.000380691916873815,-0.973199207908518,0.958,1,1
"TPT1",0.000386012876379735,-1.34165472177445,0.999,1,1
"RPS12",0.00041918836856061,-1.11314278391047,0.999,1,1
"RPL8",0.000430042102596916,-1.04027602540479,0.992,1,1
"RPS27A",0.000452675630280916,-0.930498321967856,0.999,1,1
