"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",7.72328805978988e-143,1.05505641199008,0.964,0.921,1.7312522514825e-138
"MT-ATP6",1.7828564898571e-120,-1.49471261755588,0.847,0.892,3.99645110766368e-116
"RPL41",7.23767408825784e-104,-0.647308475379909,1,1,1.62239702362388e-99
"APOO",5.61481598127337e-98,4.70957303872531,0.668,0.14,1.25861715036224e-93
"RBFOX2",3.41631743755605e-93,4.02069211213651,0.722,0.247,7.65801716802565e-89
"MTRNR2L12",3.20937427454708e-92,-2.16693971236788,0.165,0.94,7.19413337382473e-88
"FP236383.3",2.08810943182312e-89,0.851493430066232,0.606,0.399,4.6807061023747e-85
"RPS4Y1",3.2701441155396e-88,1.35031908018029,0.439,0.189,7.33035504939356e-84
"FP671120.4",4.58661642323944e-81,-0.184718434409218,0.528,0.382,1.02813593743335e-76
"AC138123.1",2.70534779759201e-69,0.329464501645382,0.533,0.367,6.06430762308226e-65
"PTPRCAP",5.32428351060379e-54,1.96774849214692,0.75,0.45,1.19349139173695e-49
"RPS4X",3.28912915489261e-49,-0.397787092658402,0.999,1,7.37291191360727e-45
"RPS14",1.54589119797123e-48,-0.104103293259891,0.999,0.999,3.4652697093723e-44
"OOEP",1.34081978464124e-40,1.00807026151594,0.34,0.178,3.00558162925181e-36
"LDHA",3.0679203641263e-37,-0.355100883173343,0.944,0.987,6.87705028822551e-33
"IFITM3",1.24546459774371e-35,-1.33687517854421,0.272,0.518,2.7918334423023e-31
"LINC00861",7.87783802492401e-35,0.325553756381372,0.706,0.715,1.76589617166697e-30
"ARHGAP15",1.22517027449318e-34,0.75051640180075,0.758,0.629,2.7463416873039e-30
"ANK3",1.00661860775469e-33,1.2907923759384,0.561,0.371,2.25643627114292e-29
"UTY",2.04637379306222e-33,1.87064154246214,0.144,0.044,4.58715149452827e-29
"TPI1",4.39297136959374e-33,-0.415141416700131,0.829,0.979,9.84728462208133e-29
"GNAS",1.37814537466404e-31,-0.619919122802756,0.878,0.991,3.0892506718469e-27
"RPL9",1.7975253882175e-31,-0.357731272426571,0.999,0.999,4.02933291022836e-27
"PRKY",3.09308602246763e-30,0.337347338806843,0.07,0.06,6.93346162796344e-26
"ENO1",4.50208002087735e-30,-0.458888206555839,0.931,0.996,1.00918625747987e-25
"UBALD2",1.1865031718866e-29,-0.837220347189682,0.779,0.922,2.659665510101e-25
"GAPDH",1.47019421206465e-29,-0.470068121372102,0.953,0.996,3.29558734576412e-25
"PNRC1",2.2995558601256e-29,-0.360865593704428,0.991,0.999,5.15468441605755e-25
"FHIT",3.71737239021933e-28,0.44503932495271,0.611,0.52,8.33286194991565e-24
"AL157402.2",9.57806258789378e-28,0.579313708216442,0.058,0.039,2.14701850970227e-23
"GPI",5.73029117216863e-27,-0.56402250383529,0.727,0.918,1.28450206915332e-22
"IRF1",9.22382943037822e-27,-0.258417272400508,0.655,0.753,2.06761360511358e-22
"SNRPD3",9.62264134364683e-27,1.26038335535107,0.425,0.211,2.15701128359187e-22
"SLC35F1",1.52467237687395e-26,1.7726130371269,0.193,0.062,3.41770560000065e-22
"USP9Y",1.54048664159973e-26,1.46848088555609,0.121,0.048,3.45315485580996e-22
"C1orf112",1.83277270199187e-26,2.0912073582197,0.218,0.059,4.10834328878498e-22
"JUNB",2.40940651993674e-26,-0.170968331814013,0.813,0.873,5.40092565509021e-22
"SNHG25",4.53405833486884e-26,1.02061752937488,0.278,0.135,1.0163545163442e-21
"ANK2",9.52347391924709e-26,1.41777976373804,0.228,0.092,2.13478191373843e-21
"AL138963.4",1.2389904306702e-25,-2.00980384903988,0.293,0.754,2.77732094939032e-21
"MAML2",2.00710730311611e-25,0.65560181778976,0.674,0.569,4.49913173066508e-21
"ZBTB20",2.89146541849602e-25,0.856582548310971,0.512,0.364,6.48150888210068e-21
"RPS10-NUDT3",4.81842560896992e-25,0.840973190478283,0.252,0.158,1.0800982845067e-20
"ZFP36",1.04446354803815e-23,-0.373254842975063,0.802,0.858,2.34126948928232e-19
"IGFBP2",2.16918963680636e-23,-0.560124087941882,0.455,0.689,4.86245548986514e-19
"BAIAP2L1",2.62551490636622e-23,3.30467279369084,0.161,0.018,5.88535421411052e-19
"EIF1AY",3.0089315830535e-23,1.35203593807797,0.107,0.047,6.74482103657273e-19
"PGK1",8.82070842959137e-23,-0.556399257955494,0.915,0.98,1.9772500015772e-18
"SARAF",1.03860170658683e-22,-0.321735988136815,0.999,1,2.32812958548503e-18
