"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",3.89366272746042e-137,-1.77303444461304,0.929,0.996,8.72803436987529e-133
"MTRNR2L12",6.18941636416593e-95,8.49522393099216,0.963,0.045,1.38741957219143e-90
"FP236383.3",1.65144916942004e-89,-1.26876949789155,0.388,1,3.70188845817197e-85
"RBFOX2",9.5947755408209e-81,-3.79785667042689,0.241,0.964,2.15076488523041e-76
"MT-ATP6",3.99337291996257e-80,1.65612149095498,0.865,0.903,8.95154473738809e-76
"RPL41",4.71631490747713e-80,0.802801338952626,0.998,1,1.05720914966007e-75
"FP671120.4",2.91573496483374e-75,-0.70883357648092,0.367,0.862,6.53591149717131e-71
"APOO",5.92496852662964e-75,-4.96228591704493,0.116,0.935,1.3281409449293e-70
"RPS26",7.59201794261809e-64,0.429780308959982,0.996,1,1.70182674201727e-59
"TPI1",1.73990768092872e-59,2.20454218558137,0.982,0.733,3.90017705756981e-55
"AC138123.1",2.82437839926058e-59,-0.870148708261648,0.349,0.733,6.33112661978252e-55
"ENO1",5.05737276626859e-44,2.27378278252166,0.986,0.879,1.13366067928677e-39
"LDHA",2.92227215960417e-43,2.28722615002899,0.98,0.802,6.55056527296871e-39
"PTPRCAP",3.87225141381748e-43,-2.36381232183788,0.461,0.935,8.68003876921327e-39
"GAPDH",6.78499290088172e-41,2.10382264499329,0.994,0.951,1.52092400866165e-36
"PGK1",4.76078454281586e-39,2.54435586612553,0.969,0.761,1.0671774631176e-34
"PKM",9.17789204678424e-39,2.19025462428085,0.957,0.619,2.05731628120716e-34
"PDE3B",1.34110817835173e-37,-1.96100445461982,0.578,0.866,3.00622809259323e-33
"IGFBP2",7.73529275233943e-37,4.75661822458393,0.688,0.073,1.73394322336441e-32
"IFITM3",8.61360282410798e-37,3.66314580515255,0.484,0.069,1.93082520905205e-32
"MIF",3.59183148972811e-36,1.22847212066036,0.988,0.96,8.05144946737453e-32
"HLA-E",5.41074405719444e-34,0.641814812904582,0.992,0.968,1.2128723878607e-29
"BNIP3",1.45218126864159e-33,3.34098808304724,0.822,0.287,3.25520953178699e-29
"PNRC1",4.69497939466164e-33,1.04995232622487,0.994,0.976,1.05242658110735e-28
"AL138963.4",4.79489574968208e-31,4.8924481753744,0.737,0.101,1.07482383124873e-26
"EIF1",1.80474162185398e-30,1.04123752955176,0.998,0.98,4.04550881954787e-26
"ANK3",3.06613446323375e-30,-2.59249650886521,0.204,0.571,6.87304701278477e-26
"ZBTB20",8.03781401374541e-30,-2.09386854454149,0.333,0.769,1.80175638932117e-25
"GPI",3.45899829811001e-29,2.63754921624807,0.884,0.49,7.75369058504339e-25
"PCBP1",3.91918516755817e-29,0.95467804606155,0.98,0.939,8.7852454715984e-25
"RPS10-NUDT3",2.81546870736385e-28,-1.97742440190646,0.124,0.437,6.31115465442681e-24
"BNIP3L",6.82561133483142e-28,1.90927209621333,0.882,0.502,1.53002903681581e-23
"AC079793.1",1.03992838702659e-27,-3.76764676581893,0.037,0.372,2.3311034723588e-23
"AC105052.4",5.63714163291287e-27,-4.00065750245709,0.027,0.332,1.26362166843375e-22
"IMMP2L",1.02717133322976e-26,-2.16095909621841,0.192,0.555,2.30250726056783e-22
"OOEP",8.03345038055242e-25,-1.29116963559673,0.155,0.393,1.80077823730463e-20
"CD27",1.9684832457914e-24,1.17773985357368,0.88,0.664,4.41255204376601e-20
"RAC2",4.17418064421762e-24,0.896761815331506,0.988,0.899,9.35684333207821e-20
"FAAH2",9.02527452922058e-24,-1.72809187396996,0.239,0.462,2.02310553847009e-19
"DIPK1A",6.47337950235806e-23,-2.30394188171653,0.129,0.474,1.45107274924858e-18
"SNRPD3",1.12752171646366e-22,-1.27425607024522,0.196,0.413,2.52745267962494e-18
"SLC35F1",3.39211680166762e-22,-2.53986248941342,0.049,0.287,7.60376902261815e-18
"TXNIP",2.23278957926314e-21,0.556440145576486,0.694,0.538,5.00502112087626e-17
"ARHGAP15",2.55012112631971e-21,-1.53857677763844,0.598,0.915,5.71635151675826e-17
"NPEPPS",7.1720896940747e-21,1.84072469979131,0.545,0.239,1.60769562582379e-16
"FHIT",1.24926373068895e-20,-1.93265793168968,0.31,0.672,2.80034957871234e-16
"BACH2",3.02378523470444e-20,-1.67968267057659,0.414,0.733,6.77811698211346e-16
"LINC01578",4.50248322900021e-20,0.977185721093276,0.939,0.757,1.00927664061269e-15
"P4HA1",6.03494222081241e-20,2.01610099626759,0.641,0.194,1.35279264821731e-15
"PLCL1",6.2694490222351e-20,-1.63663933204397,0.286,0.518,1.40535969282422e-15
"BTG1",1.08555759020583e-19,0.669675689162703,0.98,0.943,2.4333858942054e-15
"PDCD4",1.13789715726042e-19,-0.94173494722643,0.635,0.773,2.55071026771497e-15
"LINC00861",1.26271691713458e-19,-1.81352873708242,0.555,0.891,2.83050624144887e-15
"AC010894.3",1.4420245764993e-19,-2.75895202471339,0.051,0.304,3.23244229068083e-15
"OCIAD2",1.66190200982528e-19,-0.744943057721696,0.663,0.717,3.72531954522435e-15
"RPS10",3.58071129669568e-19,-1.10833457379235,0.549,0.761,8.02652244267303e-15
"CTSL",3.80981945073365e-19,-1.8038615254536,0.067,0.211,8.54009128076455e-15
