"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",8.72321272480179e-73,-1.28075395076528,0.873,0.992,1.95539536439157e-68
"MTRNR2L12",1.31791007697735e-58,8.0220353520031,0.889,0.038,2.95422722855244e-54
"FP236383.3",1.97057602871408e-57,-1.66303475066498,0.463,1,4.41724322596548e-53
"FP671120.4",9.67725129985436e-52,-0.83582047459423,0.397,0.857,2.16925265137535e-47
"RBFOX2",1.96101150959066e-47,-3.62379535914644,0.193,0.955,4.39580339989842e-43
"MT-ATP6",1.18109744163244e-45,1.58427389659882,0.884,0.925,2.64754802516329e-41
"RPL41",1.74568864015753e-42,0.644270073840079,0.993,1,3.91313565577711e-38
"PDE3B",1.80553562409443e-39,-1.84464544102596,0.596,0.85,4.04728865497006e-35
"AC093865.1",1.53090208348005e-34,-2.97934650023972,0.143,0.571,3.43167011032887e-30
"RPS26",2.50729047382764e-34,0.50555939370256,1,1,5.62034232613205e-30
"ZBTB20",9.16296071014058e-33,-2.02202305182477,0.408,0.805,2.05396927278511e-28
"ARHGAP15",1.09241797687141e-31,-1.72634333395418,0.583,0.917,2.44876413695495e-27
"APOO",7.21489986130741e-31,-4.27442904583682,0.088,0.782,1.61729195291067e-26
"PTPRCAP",3.66258281729779e-30,-2.52959900767617,0.44,0.902,8.21004564325472e-26
"AC138123.1",3.60242309191271e-29,-0.101501844329764,0.354,0.564,8.07519160283154e-25
"GAPDH",2.38520359296616e-25,2.16123041475944,0.995,0.91,5.34667237399294e-21
"TPI1",5.41638686283177e-25,2.25398240846348,0.925,0.677,1.21413727917237e-20
"AOAH",1.3703913981659e-24,-1.66850450342601,0.569,0.827,3.07186935812868e-20
"EIF1",1.62599278636171e-23,1.28769112844967,0.998,0.97,3.6448254299084e-19
"AC079793.1",3.33837379590812e-22,-3.93580941542048,0.045,0.489,7.48329870090765e-18
"AL138963.4",1.06931148613664e-21,4.04887556948637,0.644,0.083,2.39696862732389e-17
"LDHA",1.46918606059223e-20,2.39795258971033,0.923,0.669,3.29332747342354e-16
"PKM",9.25039186253183e-19,2.23133111752144,0.932,0.541,2.07356783990514e-14
"IGFBP2",9.53382553335029e-19,4.78280367484334,0.644,0.038,2.1371023315558e-14
"MIF",2.66504823797118e-18,1.54211088803617,0.984,0.895,5.97397213023619e-14
"AC010894.3",3.81894169009977e-18,-2.66506488411564,0.073,0.353,8.56053969252763e-14
"FTX",1.50875049922994e-17,-2.52601466567662,0.17,0.571,3.38201511907382e-13
"ENO1",1.71746511396916e-17,2.29822643645308,0.955,0.774,3.84986979947328e-13
"CDC42SE2",4.6584410385155e-17,-0.842798407721058,0.503,0.632,1.04423614319363e-12
"IMMP2L",4.96079447628438e-17,-2.42461512853397,0.136,0.496,1.11201168980391e-12
"LINC01138",1.68349916081001e-16,-1.09422726683103,0.333,0.556,3.77373171887172e-12
"AKT3",3.24946569138763e-15,-1.21561427135896,0.444,0.617,7.28400229381452e-11
"BNIP3",3.25901586430206e-15,2.78696869528771,0.694,0.188,7.30540996141949e-11
"GPI",5.1883910158151e-15,2.90694215803264,0.812,0.383,1.16302973010511e-10
"DIPK1A",5.57888481110455e-15,-2.67398617144232,0.098,0.429,1.2505628192572e-10
"PGK1",1.22073888112706e-14,2.18518721965493,0.959,0.744,2.73640827593441e-10
"HLA-C",1.68658592083409e-14,-0.843095529704631,0.982,1,3.7806510001417e-10
"RABGAP1L",7.58314195443495e-14,-1.68876471602419,0.304,0.632,1.69983710050614e-09
"DNPH1",1.43189756060498e-13,-1.37597308655833,0.229,0.421,3.20974157185213e-09
"TXNIP",1.88688668995221e-13,0.529672415333794,0.803,0.669,4.22964520419687e-09
"LDLRAD4",3.28837645621694e-13,-2.1594074769435,0.193,0.534,7.37122466425588e-09
"PNRC1",3.79755647020901e-13,1.18914490587058,0.991,0.925,8.51260258362051e-09
"ANKRD44",8.3575033193043e-13,-1.44005338401814,0.524,0.835,1.87341794405525e-08
"STXBP5",9.70968257878847e-13,-2.36533833150334,0.077,0.353,2.17652244686122e-08
"RPL10",9.74110657401586e-13,0.545333170434823,1,1,2.18356644963139e-08
"PCBP1",1.27275378825883e-12,0.793980237683003,0.989,0.925,2.85300489176099e-08
"DPYD",1.47775370749252e-12,-1.64193910965262,0.356,0.707,3.31253271071524e-08
"BNIP3L",1.80663048959969e-12,2.07327619678516,0.812,0.406,4.04974290548666e-08
"NBPF26",2.902333279495e-12,-1.73513687901659,0.095,0.308,6.505870279316e-08
"KLF6",2.9404609339155e-12,2.00845956356229,0.803,0.376,6.59133722946499e-08
"MBNL1",2.95561135164968e-12,-0.951272295876738,0.83,0.925,6.62529840585793e-08
"IFNG-AS1",3.93214805725884e-12,-2.3850988313911,0.245,0.534,8.81430308515141e-08
"FAAH2",4.85920040914063e-12,-1.6055981907039,0.19,0.361,1.08923836371296e-07
"SNRPD3",7.14138619184356e-12,-0.99890458468338,0.175,0.323,1.60081312876365e-07
"ADK",8.58747333696639e-12,-1.86310725638683,0.197,0.496,1.92496802321439e-07
"RPS3A",1.19966913059947e-11,0.635919101218175,1,1,2.68917832315176e-07
"AC105052.4",1.29184337889456e-11,-3.38605744877674,0.025,0.256,2.89579611813004e-07
"HIVEP2",1.77013798973992e-11,-1.05501724604753,0.306,0.481,3.967941317801e-07
"SNHG25",3.0503722274042e-11,-1.54068503241641,0.077,0.203,6.83771438494925e-07
"SLC35F1",3.13347886488422e-11,-2.72798565838512,0.027,0.195,7.02400622352446e-07
"LINC00861",3.76049318113883e-11,-2.67367293005532,0.197,0.586,8.4295215148408e-07
"A2M",5.35239016514592e-11,-3.64465493405098,0.016,0.218,1.19979177941911e-06
"SAXO2",6.79485303810552e-11,-1.85458517188882,0.036,0.12,1.52313425702173e-06
"SOS1",9.06472573044299e-11,-1.27174406928703,0.138,0.293,2.0319489197361e-06
"RPL36AL",9.95850388187296e-11,0.732237923652622,0.966,0.857,2.23229823016064e-06
"VPS13B",1.30505925159514e-10,-1.83884024004795,0.168,0.459,2.92542081837567e-06
"OOEP",1.7687680255756e-10,-1.00056892094635,0.102,0.226,3.96487040613027e-06
"RAC2",1.79600507778839e-10,0.557462945777769,0.98,0.947,4.02592498237045e-06
"LINC01578",1.83656889786885e-10,0.646765839323456,0.859,0.684,4.11685284146282e-06
"CCDC91",1.94246704751006e-10,-1.4300963000467,0.245,0.519,4.35423413369855e-06
"STAG1",2.32011243036393e-10,-1.33212639534603,0.272,0.496,5.20076402390379e-06
"CASK",2.64323226080147e-10,-1.42568744008842,0.338,0.602,5.92506943581258e-06
"DENND2D",2.67386003828633e-10,-1.57750974972076,0.295,0.624,5.99372466182264e-06
"MAML2",2.8834776614485e-10,-1.93315190697512,0.354,0.699,6.46360352590295e-06
"SPIDR",3.11378169476228e-10,-1.87483477100062,0.082,0.218,6.97985304697913e-06
"IKZF2",3.27296536549592e-10,-1.28821485616252,0.644,0.812,7.33667916329566e-06
"EEF2",3.58845568931928e-10,0.412632363526874,0.998,0.955,8.04388227317811e-06
"COA1",4.06606561374434e-10,-1.337625845488,0.213,0.414,9.11449267976932e-06
"AC027097.2",4.08928321841469e-10,-3.58783616793615,0.011,0.165,9.16653726239836e-06
