"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DCAF6",1.32805093992383e-10,-0.918031170269704,0.187,0.268,2.97695898693326e-06
"MAP3K4",3.39022270959487e-10,-0.811943403183456,0.21,0.28,7.59952322582786e-06
"ATP11B",7.21886296645936e-08,-0.566460465119823,0.281,0.317,0.00161818032256153
"PPIF",1.79244615125065e-06,0.502547010948862,0.474,0.305,0.0401794729264345
"MAP3K8",5.05471331286858e-06,0.267879541999072,0.671,0.585,0.113306453621262
"MAP2K5",5.55674197562289e-06,-1.5194945149165,0.116,0.305,0.124559928125563
"ZC3H12A",2.05330692305281e-05,-0.642980481236747,0.152,0.183,0.460269279871518
"MKLN1",5.30480147879957e-05,-0.733864888034571,0.329,0.415,1
"ROCK2",5.89445993593257e-05,-0.113346247409197,0.284,0.256,1
"HEBP2",7.61823758566047e-05,0.363231735178532,0.171,0.122,1
"ZFX",8.75078030950115e-05,-0.299357092748409,0.297,0.378,1
"NSMCE2",0.000126605815296346,-1.74765273243055,0.194,0.451,1
"ATXN1",0.00014556181449067,-1.71364690288306,0.4,0.768,1
"PDE7A",0.000156939075423077,-1.46340321664365,0.139,0.268,1
"SLC7A11",0.000181838261107257,-1.1345221675038,0.126,0.146,1
"FGGY",0.000189272275336235,-1.20345925340691,0.106,0.268,1
"KIF1B",0.00021724559226817,-0.351178769431283,0.316,0.427,1
"PLP2",0.000251100192835503,0.839292659551988,0.571,0.317,1
"GFPT1",0.00025846890933268,-0.668808398711253,0.2,0.256,1
"CD93",0.00027351825910305,-0.394599193448149,0.065,0.049,1
"TNFSF13",0.000273816048887135,-0.125297105276695,0.403,0.439,1
"SNHG32",0.000281721511149126,-0.598963163932492,0.123,0.159,1
"SOCS1",0.000310616875409759,0.410656621695873,0.155,0.098,1
"HBEGF",0.000364515009127265,1.02143786343643,0.284,0.159,1
"SAMSN1",0.000404653262048224,-0.507713666042264,0.839,0.89,1
"MPHOSPH6",0.000467404066329953,-0.239811474304311,0.245,0.256,1
"KIAA1109",0.000490484417052606,-0.150159009308834,0.371,0.378,1
"TP53BP1",0.000509414398507957,-0.764919904217534,0.1,0.146,1
"MSC",0.000523956097278978,-0.673218388454244,0.042,0.049,1
"EML4",0.000537370950750102,0.270914137112497,0.713,0.671,1
"VPS13B",0.000562883521412928,-1.19805298064199,0.358,0.634,1
"CHKB",0.000597688684613355,-0.232294206871109,0.513,0.524,1
"ZFAND3",0.00061882339130589,-1.19054469580521,0.587,0.854,1
"CXCL8",0.000650395750789379,1.22973279008244,0.529,0.195,1
"TBC1D5",0.00079550603500454,-1.21290612794033,0.516,0.817,1
"SPPL3",0.00112789409468513,-0.768110885654049,0.332,0.5,1
"ZNF44",0.00114533040984804,-0.929322174599946,0.077,0.134,1
"SGMS1",0.00114847803471869,-0.708301238633677,0.258,0.378,1
"ITGB8",0.00123132018549372,-1.96691091320962,0.029,0.061,1
"CXCL1",0.00124821772205457,-2.37060893624025,0.016,0.012,1
"C9orf85",0.00128480851714943,-1.4170364018201,0.09,0.232,1
"FP236383.3",0.00129869265152959,-1.01162972398459,0.4,1,1
"CYP1B1",0.00134592002894682,-0.212192686984183,0.126,0.061,1
"SEMA6B",0.00175375349995346,0.542825333504818,0.084,0.037,1
"COX17",0.00182406174785782,-0.588205115547949,0.752,0.878,1
"ZNF655",0.00194073107222324,0.145267596143082,0.406,0.354,1
"TAF4",0.00194655552052849,-1.04889982873708,0.081,0.134,1
"SOGA1",0.00209820316873154,-1.22059052515266,0.084,0.183,1
"PDE4DIP",0.00211754487702144,-2.57235764332505,0.213,0.659,1
"DNAJC16",0.00216518833534424,-1.14898888612389,0.074,0.159,1
"PLAUR",0.00221662801127665,0.708188468724647,0.868,0.683,1
"MTRNR2L12",0.00221724593340347,8.9252442387815,0.981,0.024,1
"PGD",0.00222178013331639,-0.144693401224574,0.648,0.744,1
"RBFOX2",0.00244767144935012,-4.33379275180212,0.152,0.963,1
"SERPINB9",0.00279591635430928,0.112032506168096,0.468,0.451,1
"AGO3",0.0028908809165553,-0.830178591544871,0.326,0.488,1
"CNEP1R1",0.00295503440641933,-0.639334955793815,0.148,0.232,1
"PHC2",0.00297648611426353,0.939222030994614,0.468,0.268,1
"PCSK5",0.00299097548410488,-1.31485773221461,0.032,0.061,1
"PDCD2",0.00299114664955912,-0.23436262575104,0.377,0.463,1
"PROCR",0.00317079575867721,-0.927177566703308,0.052,0.085,1
"AGER",0.00318536709379407,-0.747642678067365,0.074,0.085,1
"KDM3B",0.00333852308720437,-0.472483524188024,0.358,0.5,1
"MIR4435-2HG",0.00401825946329598,-0.57807668082646,0.097,0.11,1
"NBPF26",0.00404448016994285,-1.78662773853435,0.313,0.793,1
"FP671120.4",0.00420407537182964,0.417108062092725,0.4,0.89,1
"AC138123.1",0.00458231726060135,-1.19831610681867,0.261,0.659,1
"AC010894.3",0.0045858820200956,-1.70165147488082,0.174,0.537,1
"HFM1",0.00461126530239279,-6.56164187893554,0,0.256,1
