"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP6",2.03643020726949e-33,1.74998076551013,0.971,0.986,4.56486195261529e-29
"MT-ATP8",8.85237495032087e-32,-0.779755102130142,0.99,1,1.98434836886393e-27
"RBFOX2",9.75964705739802e-18,-3.65145716975373,0.371,1,2.18772248438634e-13
"MTRNR2L12",1.0687800960354e-17,8.71346570903099,0.971,0.048,2.39577746327296e-13
"APOO",3.26018190909478e-15,-4.45365587190372,0.305,0.959,7.30802376742687e-11
"FP236383.3",1.30998160707797e-13,-0.770239188737566,0.543,0.986,2.93645477042598e-09
"RPL41",1.69069996106892e-13,0.422352869387825,1,1,3.78987303273209e-09
"TPI1",9.96515048228183e-13,1.41908696546765,0.981,0.979,2.23378813210829e-08
"FP671120.4",6.45888346987409e-12,0.462816916450703,0.533,0.781,1.44782331860698e-07
"RPS26",2.20313303127824e-09,0.12021526606688,1,1,4.93854300291331e-05
"BOLA2",5.72886960261411e-09,-1.03198235204193,0.314,0.521,0.000128418341012198
"SNHG25",6.09586973923303e-09,-0.405723471648529,0.429,0.747,0.000136645016074648
"IFITM3",6.92336911798521e-09,6.5166862420413,0.352,0,0.000155194242148757
"RPS10-NUDT3",7.15047914309577e-09,-1.2547856790522,0.343,0.616,0.000160285140471635
"EBF1",8.2761657285064e-09,-1.41352675022639,0.343,0.548,0.000185518530970199
"GAPDH",1.2287266322778e-08,1.34836811835693,1,0.993,0.000275431361891392
"TRIO",1.6029137698132e-08,-1.40174276034477,0.229,0.466,0.000359309150641326
"DYNLRB1",5.90548371189418e-08,-0.771380608234217,0.381,0.575,0.0013237732288582
"HLA-C",8.74233976500449e-08,-0.944431156326993,0.971,1,0.00195968288172341
"AC089983.1",1.01147955785945e-07,-1.39921663390084,0.124,0.336,0.00226733257689775
"RPL9",1.22013746781292e-07,0.585143628120358,1,1,0.00273506014784945
"GPI",2.06187735511484e-07,1.51367203178002,0.99,0.815,0.00462190427922542
"RHEX",2.47031680706763e-07,-1.11158142279642,0.238,0.493,0.00553746215472279
"U2AF1L5",2.64073529158806e-07,-1.14437224362027,0.343,0.63,0.00591947222962379
"STEAP1B",2.78061904256288e-07,-1.13027019850227,0.105,0.329,0.00623303564580894
"SNRPD3",3.19288677971413e-07,-0.714750375186569,0.6,0.788,0.0071571750054072
"AL138963.4",7.68164010510226e-07,4.40184779879702,0.771,0.089,0.0172191644595972
"C1orf112",7.70115860029074e-07,0.11572539925541,0.095,0.205,0.0172629171184117
"U2AF1",8.06720023229555e-07,-3.82995524325432,0,0.103,0.0180834360407137
"MATR3.1",8.65246350518989e-07,-0.523497821548516,0.648,0.788,0.0193953621932336
"DIPK1A",1.08489747256406e-06,-2.09464953102867,0.295,0.753,0.0243190617449961
"BABAM2",1.17775968004363e-06,-1.29295854749491,0.267,0.527,0.026400660987858
"RPS10",1.90202723218913e-06,-1.3516549537797,0.562,0.877,0.0426358424367516
"NAA10",3.00326928264274e-06,-1.03721770227778,0.514,0.753,0.0673212842397196
"PLEKHA7",3.52219108092797e-06,-0.260133963268466,0.39,0.486,0.0789534352700815
"NSF",4.12378928636562e-06,-1.32537785105357,0.61,0.842,0.0924388606431717
"CD58",4.63186734022147e-06,-0.389531687230132,0.619,0.678,0.103827938298404
"DLEU1",5.86481500314805e-06,-1.1867975657029,0.267,0.411,0.131465693110567
"EVL",8.39192085881287e-06,1.1775824270198,0.829,0.733,0.188113297971149
"PLEKHG1",9.2412478614487e-06,-1.66293967900601,0.4,0.692,0.207151812062234
"STAG1",1.14370285792012e-05,-1.21291555012194,0.486,0.644,0.256372432631373
"PGK1",1.39585543063053e-05,1.60460066665999,0.99,0.952,0.312894953330141
"GAREM1",1.46890074577244e-05,1.92313167739872,0.514,0.527,0.32926879117235
"C11orf98",1.50447232137148e-05,-0.801797540708231,0.524,0.767,0.337242515558631
"SLC35F1",1.56578238773007e-05,-1.17416373224312,0.133,0.308,0.350985780033574
"ENO1",1.87141259043658e-05,1.12628238240643,1,0.979,0.419495846272265
"THSD4-AS1",2.44582620356596e-05,-3.22149267465411,0.038,0.267,0.548256401791345
"BNIP3",2.4729702998304e-05,2.99530587553457,0.533,0.096,0.554341022409983
"ANK2",2.57161503329804e-05,-0.675551807143529,0.162,0.24,0.576453225864088
"PNRC1",2.59946521375422e-05,0.971057292027504,0.876,0.795,0.582696122315146
"FKBP2",2.81310011241601e-05,-0.700554339896327,0.486,0.644,0.630584521199174
"AC105052.4",2.84432689768156e-05,-2.09418738526199,0.067,0.295,0.637584317384298
"CCDC91",3.15904452481308e-05,-2.01054009566093,0.257,0.671,0.7081314206821
"AP000787.1",3.47932509107788e-05,-2.57997142736761,0.038,0.158,0.779925512416017
"MIF",3.58627659726346e-05,0.840229871338266,1,0.986,0.803899762042578
"OOEP",4.29815431544352e-05,-0.36276930387384,0.286,0.404,0.96347427134982
"AC010894.3",4.93235180924063e-05,-1.63873452494444,0.162,0.432,1
"SCFD2",5.12774959428675e-05,-1.30425483937032,0.371,0.589,1
"SOX5",5.49868200020795e-05,-2.7198142628723,0.057,0.151,1
"EIF4G3",5.7224416014513e-05,-0.942008044009691,0.486,0.664,1
"NLK",5.74500439012272e-05,-2.57235863621162,0.029,0.178,1
"AC023424.3",5.80716043787173e-05,-2.32413666043819,0.038,0.192,1
"DLEU2",5.92855774153264e-05,-1.60425648811166,0.371,0.623,1
"PRKCSH",6.52924027482169e-05,0.718054010688709,0.448,0.26,1
"MAZ",6.53297295121425e-05,1.48021616831948,0.819,0.452,1
"LINC00910",6.60927382514717e-05,-4.77491352745493,0,0.233,1
"BCL2",6.95971394445853e-05,-0.881813667082471,0.79,0.856,1
"RABGAP1L",7.42670853604238e-05,-1.85138678368016,0.4,0.685,1
"TRIM52",7.63306255827677e-05,-0.562292468208661,0.086,0.116,1
"RNF141",7.7799975663942e-05,0.559092113694867,0.286,0.158,1
"BAIAP2L1",8.39138413780597e-05,-2.87706384884174,0.029,0.171,1
"DENND4A",9.65197856653177e-05,-1.13300776377624,0.362,0.473,1
"PAN3",9.71611529038107e-05,-2.03560334957047,0.21,0.507,1
"RGCC",9.88262493268149e-05,2.83184178354249,0.286,0.075,1
"CENPP",0.000102207837959092,-1.62909245155688,0.086,0.274,1
"AC093512.2",0.000103558761091564,0.210419094588698,0.476,0.445,1
"BICRAL",0.000107684912243227,-1.21705343031472,0.152,0.288,1
"DOCK10",0.000108937304633541,-1.10988155392696,0.419,0.596,1
"RNASET2",0.0001103418693126,1.67562059948857,0.857,0.644,1
"AC058791.1",0.000112638117775716,-1.90484035039523,0.029,0.116,1
"CBWD5",0.000113718728066126,-1.34376166130864,0.257,0.486,1
"LBH",0.000117065655827379,1.5103720770356,0.467,0.233,1
"SRGAP2",0.000121878919276524,-1.14706540452589,0.133,0.295,1
"EIF3CL",0.000125099708678224,-4.54315285910201,0,0.192,1
"ADK",0.000125637454303029,-0.83910649497558,0.657,0.747,1
"EIF2B3",0.000134266319377067,-0.559386071733933,0.295,0.404,1
"LDHA",0.000137891790219483,1.55113131022573,0.99,0.952,1
"SIPA1L1",0.000140315665664199,-0.926382850566164,0.638,0.671,1
"NSMCE2",0.000165457458172756,-2.62648615816131,0.152,0.582,1
"BNIP3L",0.000177760031229482,1.42154727011637,0.714,0.39,1
"SPOPL",0.000189797351200742,-1.8970889189131,0.114,0.363,1
"SYNGR2",0.000190079736637727,-0.221740231488778,0.981,0.986,1
"KCNQ5",0.000190346508309211,-1.55723108730278,0.486,0.692,1
"NCOA1",0.000190535914056002,-1.69027917757528,0.095,0.274,1
"PPP1R15A",0.000207743494596624,1.54896041534463,0.81,0.384,1
"GALNT2",0.000208041176889471,-0.23680671113363,0.486,0.521,1
"RFX7",0.000209692423598629,-1.5501439934635,0.133,0.322,1
"COP1",0.000217789521091134,-1.24394465275559,0.314,0.568,1
"ATAD3B",0.000223304236127841,-0.353507389588973,0.248,0.329,1
"TTC27",0.000225263881958499,-1.03927274492961,0.238,0.404,1
"AC016831.7",0.000226754142817958,-0.762998737382627,0.105,0.144,1
"RFTN1",0.000247514868666465,-0.321724262631565,0.714,0.795,1
"CD81",0.000255867145653928,1.01588263677408,0.924,0.733,1
"KLF12",0.000260258989025813,-1.01590906090312,0.152,0.205,1
"TMEM267",0.000269684476331703,-1.4065213348362,0.076,0.247,1
"UBE2E2",0.00026980625340108,-1.33686702440665,0.619,0.849,1
"HES1",0.000270338435249183,1.42830333093404,0.238,0.096,1
"RABL2B",0.000271752237812112,-1.41674106818841,0.162,0.349,1
"SPATA5",0.000272227307917218,-1.67750564777605,0.095,0.26,1
"NPC1",0.000277687029974726,-0.768218896515981,0.076,0.123,1
"AK4",0.000294643222084918,2.27003211459257,0.438,0.13,1
"DDX20",0.000329157200124605,-1.12855439813848,0.124,0.226,1
"FCHSD2",0.000340598152634726,-1.82033761371178,0.429,0.733,1
"FBXO22",0.000340751735308131,-1.34167630839533,0.124,0.315,1
"NBPF12",0.000343473221386514,-1.04555843986167,0.124,0.185,1
"IMMP2L",0.000352344498430269,-0.996878293491368,0.476,0.644,1
"RAB27A",0.000352820803295874,-0.246678526347651,0.2,0.205,1
"PTRH1",0.000357922335724714,-0.379733635345979,0.219,0.253,1
"RPS5",0.000379737574260502,0.15517259363827,0.99,1,1
"ATXN1",0.000381248099412,-1.6080471620718,0.181,0.404,1
"SCLT1",0.000386542391027224,-1.47053045054143,0.171,0.342,1
"AC083837.1",0.000397607541688783,-1.50978547078991,0.076,0.144,1
"GNG11",0.000429357824283832,1.57733298439216,0.448,0.288,1
"AC105402.3",0.000451139923523948,-5.08716267421015,0,0.247,1
"CCSER1",0.000458773719414109,-1.35278499204619,0.162,0.301,1
"NBPF26",0.000462487453352314,-1.20992115109433,0.171,0.349,1
"SPRY1",0.000464733531367858,-0.329932309413996,0.229,0.178,1
"NAPSA",0.000469540314408916,4.17130883711265,0.181,0.014,1
"CDK14",0.000470907274267877,-0.781663947872194,0.524,0.589,1
"CARM1",0.000473314466730538,2.77197552623106,0.448,0.082,1
"SNUPN",0.000489273388085688,-0.499760222558534,0.238,0.349,1
"TSTD1",0.00052456557973604,0.310353737655507,0.743,0.699,1
"ZNF48",0.000525766124648803,0.359225204403386,0.267,0.24,1
"C22orf34",0.000535219786470812,-0.482113128986131,0.229,0.336,1
"ARMH4",0.000569815207290589,-1.780080386069,0.029,0.171,1
"CISD2",0.000579508241384535,0.420377527725382,0.514,0.411,1
"DARS2",0.000613008073627439,-0.849951656687304,0.095,0.164,1
"ANKUB1",0.000623587813864298,-3.23708048347184,0.01,0.137,1
"BACH2",0.000627727154367035,-1.19461487660144,0.781,0.836,1
"CC2D1A",0.000662928491953019,-0.550369725812616,0.114,0.178,1
"IRF3",0.000679875072263415,0.283383713835247,0.305,0.288,1
"NUTM2B-AS1",0.000687048082670909,-1.44496584558796,0.286,0.562,1
"CAMKMT",0.000700058656002247,-1.37266252529043,0.238,0.432,1
"HIST2H2AA4",0.000700165433508717,-3.29091133740415,0.01,0.137,1
"RAC2",0.000714633018106281,0.482438153330659,1,0.945,1
"MAP7D1",0.000722638954642182,0.995641197028014,0.41,0.212,1
"NUP155",0.000736155548246405,-0.598026062738664,0.181,0.219,1
"STK17B",0.000753135293133844,0.549684131410699,0.695,0.575,1
"SV2C",0.000756024341836802,-0.256066834150524,0.057,0.096,1
"JAZF1",0.000771999434767716,-1.27204763900939,0.61,0.712,1
"GTF2H2",0.000776815131155034,-1.19650337417309,0.133,0.288,1
"ZEB1",0.000779919786941651,-1.31292124131964,0.229,0.404,1
"SPIDR",0.000795201288289278,-2.07454456164301,0.229,0.589,1
"ZCCHC7",0.000819342108604592,-1.69767470008298,0.533,0.877,1
"MX1",0.000822889039701064,0.23753281667886,0.152,0.185,1
"LINC00624",0.000824262270207814,-2.10848849409905,0.038,0.158,1
"SNX2",0.0008333677583304,-0.201646915131161,0.619,0.699,1
"ELP4",0.000845346856893423,-1.23953525293264,0.181,0.329,1
"TRAF3",0.000853253878770053,-0.64903914849986,0.429,0.473,1
"DOCK2",0.000865136368064135,-1.25932953874662,0.381,0.623,1
"PRDX5",0.000868041530740578,-0.309967732978831,0.8,0.856,1
"HIGD1A",0.000870572323660786,-0.792001938015335,0.21,0.322,1
"TSPOAP1-AS1",0.00090274073396501,-1.96263293757264,0.105,0.274,1
"HMCES",0.000914952522414254,0.688208009685058,0.324,0.192,1
"XPO4",0.000918404196246926,-0.954170806921179,0.2,0.404,1
"ZBTB20",0.000937054844539714,-2.05953182134611,0.181,0.514,1
"SLC25A13",0.000940109260693346,-1.15401817025438,0.352,0.459,1
"WDR12",0.00094186920645825,-0.807195294018455,0.352,0.493,1
"EXOC6B",0.000947932385156076,-2.67007302671555,0.019,0.144,1
"GFOD1",0.000961628911351394,-0.916117310866519,0.143,0.192,1
"CDC42SE2",0.000984810628393964,-1.41466833112693,0.343,0.61,1
"AMBRA1",0.000992258744724278,-1.60517600629821,0.181,0.445,1
"LRCH1",0.00100360612746685,-1.24686904815413,0.343,0.596,1
"AC093865.1",0.00100486971250569,-2.50193861133159,0.029,0.158,1
"ZNF341",0.00106417635487752,-0.87632886418613,0.019,0.068,1
"FXYD2",0.0010777945814745,-1.1563921592972,0.181,0.281,1
"AC027097.2",0.00111415827948861,-2.54010670461649,0.067,0.336,1
"YIF1A",0.00112242952818497,-0.159800187066102,0.648,0.63,1
"XKR6",0.00113556782580918,-1.97120919506533,0.067,0.226,1
"RPL26",0.0011658450882941,0.338924641919977,1,1,1
"ALDOA",0.00120124536162528,1.39301351227743,0.99,0.945,1
"ABCC1",0.00120541378008438,-0.62403035965401,0.276,0.322,1
"DPH6",0.00122215246394005,-0.777778619321877,0.162,0.267,1
"GRK2",0.00123218412256634,1.86552670707235,0.524,0.192,1
"ZNF486",0.0012631348717633,0.356855238176199,0.076,0.096,1
"EGR3",0.00127760357620314,-0.328717941477261,0.219,0.164,1
"PKM",0.00129432953301308,0.916684891927816,0.981,0.973,1
"RAD51B",0.00129537675691508,-1.47686099473649,0.21,0.404,1
"BATF",0.00129968394940087,0.44531347268702,0.267,0.24,1
"MED13L",0.0013093311030009,-0.698789677600676,0.39,0.514,1
"FAM172A",0.00132146865509697,-1.59094960343339,0.219,0.493,1
"AC079921.1",0.00132735881778982,-4.1358260513518,0,0.13,1
"VTI1A",0.00133886195546578,-1.19194265626478,0.381,0.637,1
"RBBP5",0.00134426475519342,-0.578097116783955,0.238,0.315,1
"ULK3",0.00135084495330462,0.821897366935644,0.267,0.144,1
"RANBP2",0.00136037887306445,-0.898450516423693,0.438,0.534,1
"NUP50-DT",0.00141377520303234,-2.33400928850953,0.038,0.144,1
"RPL38",0.00148209511462931,0.129720247919406,0.99,0.979,1
"VEGFB",0.00148704397379299,2.12080677045545,0.829,0.377,1
"MTRNR2L8",0.00149204682802969,4.12634640848322,0.181,0.007,1
"GPR180",0.00151319252425463,-0.229575681369041,0.095,0.123,1
"AC007952.4",0.00153911851245905,0.428441926226411,0.171,0.13,1
"LINC00513",0.00154298072203299,-2.7476990786058,0.019,0.13,1
"UBR3",0.00156803701292099,-2.11984646293446,0.095,0.342,1
