"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",3.04353050059451e-19,-2.02535252305001,0.84,1,6.82237797013265e-15
"MTRNR2L12",7.93621382991588e-13,7.07865902569517,0.972,0.154,1.77898169211394e-08
"APOO",2.09974044541236e-11,-5.64439317691054,0.105,0.962,4.70677818243636e-07
"FP236383.3",8.60047857531448e-11,-3.10918136758342,0.182,1,1.92788327744249e-06
"LDHA",4.47686199825379e-10,2.51138346937248,0.978,0.654,1.00353338552857e-05
"RBFOX2",1.40896365540663e-09,-4.96382464164012,0.144,1,3.1583329299595e-05
"GAPDH",2.44932086255952e-09,2.60853024566852,1,0.923,5.49039764551341e-05
"PTPRCAP",3.62740995772277e-09,-2.44113211870459,0.47,0.962,8.13120216123136e-05
"FP671120.4",4.5713384646877e-09,-2.99741460057557,0.166,0.885,0.000102471123024439
"RPL41",7.15649232612539e-09,1.10574492324354,0.994,1,0.000160419931982427
"MT-ATP6",1.64845215829438e-08,2.15542943600577,0.961,0.808,0.000369517035803269
"LINC00861",2.38095085560134e-08,-2.50059807029519,0.519,0.962,0.000533713943791596
"PGK1",3.77013702926767e-08,2.5669580794348,0.983,0.846,0.000845113916480641
"BNIP3L",5.37710481655158e-08,1.6280637754069,0.89,0.423,0.0012053318156782
"TPI1",7.34315363232274e-08,2.30514856721893,0.978,0.692,0.00164604131822147
"ENO1",8.21983190419994e-08,2.11091747992256,0.983,0.808,0.00184255751964546
"RPS10",5.66891383444583e-07,-1.13093634414128,0.602,0.808,0.0127074372512938
"SMYD3",2.31234708815494e-06,-2.82028897567184,0.149,0.5,0.0518335723280811
"EIF1",2.33823994966734e-06,1.08477070480203,0.994,1,0.0524139867117431
"PKM",2.53788986544443e-06,2.38940082803436,0.961,0.538,0.0568893392238024
"AC138123.1",2.64921652336083e-06,-1.66309897178551,0.166,0.769,0.0593848375876563
"BCAS3",3.25607079601577e-06,-2.96003989060915,0.066,0.346,0.0729880829634894
"BACH2",3.27768884985774e-06,-2.22129491745324,0.326,0.846,0.0734726732584112
"IGFBP2",4.4878314097966e-06,5.11062006977331,0.74,0.038,0.100599228882001
"PCNX1",5.2277918399971e-06,-1.42787044060885,0.188,0.308,0.117186181885375
"GPI",5.26649902458098e-06,2.57038149321432,0.895,0.5,0.118053842135007
"ARHGAP15",5.88026205526286e-06,-2.25913419521949,0.564,0.923,0.131811954230772
"CSGALNACT1",8.58617227824822e-06,-1.89561938766594,0.26,0.538,0.192467637789212
"LINC01578",1.12933932774815e-05,1.18484310821396,0.912,0.731,0.253152703708026
"RPS10-NUDT3",1.34742787159057e-05,-2.22785719609107,0.061,0.346,0.302039431695743
"FUT8",1.35021740190988e-05,-3.01979386749082,0.077,0.385,0.302664732812119
"TXNRD1",1.6868863625679e-05,-1.2648998492029,0.188,0.462,0.378132447033221
"DNPH1",1.92182243104648e-05,-0.786916255041092,0.453,0.5,0.430795716143378
"MIF",2.18241042018096e-05,1.2121673282732,0.989,1,0.489209119787764
"ESF1",3.09231188595857e-05,-1.87522775167206,0.16,0.423,0.693172632356472
"SATB1-AS1",3.51329804259056e-05,-0.950825761866822,0.392,0.5,0.787540889227099
"CTSL",3.86489548983294e-05,-3.05118352870737,0.055,0.231,0.866354973000953
"NHP2",4.61485978341649e-05,-1.66869301080609,0.326,0.577,1
"AC105052.4",4.7443366196408e-05,-5.63545109460743,0.006,0.269,1
"KAT6A",5.89018427792672e-05,-2.07119311588465,0.315,0.654,1
"FBXL17",6.5290081518286e-05,-2.24783340644544,0.116,0.385,1
"PNRC1",6.79561224593328e-05,1.03026145648368,0.994,0.962,1
"ALDOA",6.88162320325936e-05,2.06893540545859,0.95,0.692,1
"HLA-B",7.19237816522084e-05,0.64859568902776,1,1,1
"STK39",7.67657713033006e-05,-0.815490306654572,0.11,0.077,1
"ZC3H8",8.07254022077219e-05,-0.784992909739991,0.215,0.192,1
"NUTM2B-AS1",8.8244546013233e-05,-1.88678754049279,0.315,0.538,1
"PLEKHA7",9.47362450251357e-05,-3.39314866380145,0.055,0.538,1
"PGAM1",0.000120446743051222,1.72941065385045,0.923,0.346,1
"CLTC",0.000125760872938066,-1.11196769567711,0.232,0.269,1
"AC079447.1",0.000127608518145908,-3.46870007778543,0.006,0.192,1
"BNIP3",0.000127886600128654,2.93004234095826,0.823,0.269,1
"IL2RG",0.000127899847839182,1.18811384563715,0.961,0.769,1
"SNRPD3",0.00013222209913201,-2.5576786602598,0.105,0.5,1
"STEAP1B",0.000138200579117974,-4.22816438701562,0.017,0.346,1
"FABP5",0.000162853122977955,-1.54268627326325,0.039,0.154,1
"EVL",0.000167345405390254,0.856048351064141,0.961,0.885,1
"SLC35F1",0.000179397543468995,-4.09499126690634,0.022,0.308,1
"AC010609.1",0.000186768315627858,-4.44479429291547,0.017,0.346,1
"DIDO1",0.000191747038013562,-0.39197333120812,0.232,0.192,1
"AL138963.4",0.000203615824984674,4.72570161251986,0.779,0.115,1
"ABHD15-AS1",0.000212402891549585,-5.13445545078068,0.006,0.192,1
"ENTPD1-AS1",0.000219218633020103,-2.6354442959003,0.028,0.154,1
"LDLRAD4",0.000222938662270912,-3.0044948589115,0.094,0.5,1
"ACTN1",0.000242713100972711,1.13618017041029,0.68,0.577,1
"S100A11",0.000262289112939645,-0.778497049457018,0.652,0.808,1
"NCOA1",0.000270895335548243,-1.87781120940552,0.105,0.192,1
"YPEL2",0.000275289997819207,-1.25840395422542,0.177,0.231,1
"SEPTIN9",0.000291603961930175,0.475218018384767,0.939,0.846,1
"CSRNP1",0.000298790854002299,0.312296728195012,0.204,0.038,1
"DEF6",0.000328373359603064,-0.559230389450012,0.503,0.538,1
"UBAP2L",0.00033121930605776,-0.988091839096028,0.232,0.269,1
"FASTKD2",0.000340085406320107,-1.45967971008556,0.11,0.154,1
"DNAJC24",0.000368009126218489,-2.79472953775,0.022,0.154,1
"ZBTB20",0.000369730048604467,-2.66581163073088,0.26,0.846,1
"AC023389.1",0.000386066149567047,-6.00567681154111,0,0.192,1
"HERPUD1",0.000396045758065405,1.11594444798083,0.497,0.231,1
"ZCCHC17",0.000415796956726758,0.259180132608723,0.127,0.038,1
"MBD5",0.000454394314632294,-2.32301068971645,0.188,0.462,1
"PIK3CD",0.000476117433787823,-1.14408870332072,0.453,0.615,1
"FLI1",0.000478050871903972,0.356936296246457,0.525,0.308,1
"IKZF1",0.000513968919817796,-0.749055159880351,0.912,0.885,1
"IMMP2L",0.000522022920262852,-2.28025503131723,0.199,0.5,1
"MT-ND6",0.000542897745096169,-1.12027648417396,0.624,0.615,1
"SFMBT2",0.000567955935661372,-0.897165113465638,0.348,0.423,1
"CERS6",0.000582198151750082,-1.19036429398786,0.26,0.423,1
"AC105402.3",0.000603780733707961,-7.22867094440945,0,0.231,1
"WDR54",0.000627589007888949,2.1143341054965,0.619,0.115,1
"DHX38",0.000643054895786205,-0.646084372361237,0.127,0.115,1
