"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",7.38527087055702e-11,-2.32004435692797,0.982,1,1.65548231834406e-06
"MTRNR2L12",1.37790364374449e-09,7.73587341253637,1,0.091,3.08870880781765e-05
"RBFOX2",8.27429316594733e-08,-5.72857217036755,0.105,1,0.00185476555607875
"FP671120.4",4.33809135170177e-07,-2.98819185641237,0.158,1,0.00972426557397469
"FP236383.3",4.33809135170182e-07,-3.29611521012841,0.158,1,0.00972426557397479
"DYNLRB1",6.36486781441153e-06,-2.39045801592598,0.193,0.909,0.142674876927849
"MIR4435-2HG",8.55381629051958e-06,-2.47911235699467,0.228,0.545,0.191742345968287
"CBWD5",1.52543940914387e-05,-2.11029046502763,0.404,0.909,0.34194249795369
"SOX5",1.78558598757838e-05,-6.26177614421257,0.018,0.455,0.40025695497557
"AC244131.2",2.19336862342268e-05,-4.61653854391708,0.053,0.545,0.491665510626428
"ZBTB38",2.28937251411178e-05,-1.73531724616652,0.316,0.364,0.513185742763296
"L3MBTL4",2.49310821453264e-05,-4.82269474396292,0.035,0.455,0.558855137369636
"RPL41",3.44213791527183e-05,0.755263931796515,1,1,0.771589635087333
"C11orf98",9.7562507105346e-05,-2.54640585416704,0.211,0.909,1
"TSPOAP1-AS1",0.000100295940910406,-1.9009375198467,0.263,0.636,1
"HIGD2A",0.000104781779496481,0.67019200281476,0.965,0.636,1
"SNRPD3",0.000123333147261667,-1.19912195738986,0.263,0.636,1
"STEAP1B",0.000178325178940471,-4.50090000674288,0.018,0.455,1
"MIR155HG",0.000211442519774543,-1.14769129283371,0.614,0.818,1
"FTX",0.000244758909072612,-2.26552224602682,0.386,0.909,1
"AC083837.1",0.000251547350977642,-4.77110707451198,0.053,0.545,1
"AC105402.3",0.0002665578878294,-6.10245367938338,0,0.545,1
"U2AF1L5",0.000285248012141487,-1.55192506925634,0.158,0.727,1
"PTPRK",0.0002894512477658,-2.66241009951862,0.14,0.455,1
"RNF19A",0.000294399178326013,-1.58657719757009,0.351,0.636,1
"WNT5B",0.00030397284763814,-3.14843884841878,0.035,0.364,1
"ATP11C",0.000325713942057439,-1.60320242694957,0.298,0.818,1
"AGBL3",0.000352116806943689,-4.88185274596702,0,0.364,1
"ANK2",0.000416811179664809,-3.17259024310519,0.053,0.636,1
"CD86",0.000419963341654567,-1.28836480916753,0.421,0.636,1
"HNRNPH1",0.000462726928365414,-0.893933449065124,0.702,0.727,1
"MT-ND3",0.000522671528632407,-0.731530587908269,1,1,1
"AC138123.1",0.000574236391889059,-2.59224582233308,0.158,0.818,1
"MT-ND4L",0.000610397552969694,-1.09856129864661,1,1,1
"WDPCP",0.000612123592283222,-3.54303514244992,0.035,0.818,1
"FLT3",0.000622472469038192,4.19986308988553,0.561,0,1
"APOO",0.000676039930086425,-4.16523032408265,0.14,0.818,1
"LAT",0.000713112328559323,-3.60088723722481,0.018,0.273,1
"NFKB1",0.000714083111345285,-0.692687626214551,0.719,0.909,1
"DTX3L",0.000761025786135236,-1.02632015599229,0.263,0.091,1
"TGIF1",0.000925876508685466,-1.24368814941617,0.281,0.273,1
"ATP6V1E1",0.000961028816564617,-0.529791475848076,0.544,0.364,1
"SAMSN1",0.00106292249105939,-1.16796465132722,0.386,0.636,1
"ATP5ME",0.00107047791018438,-0.364952823755047,0.895,0.727,1
"IQCB1",0.00110020791817695,-2.31828514794897,0.298,0.545,1
"BCAT1",0.00117249539831338,-2.32313978396094,0.263,0.455,1
"ADGRG5",0.0011913353311487,-0.967068323109248,0.316,0.273,1
"IL2RA",0.00119344491472662,-3.02511340685827,0.105,0.364,1
"DBNL",0.00127848882506454,1.15302848334365,0.93,0.727,1
"MGAT1",0.00137370421846083,0.807866355047929,0.667,0.455,1
"ALDH1B1",0.00139983208336711,-4.4651691575405,0.018,0.364,1
"SRSF5",0.00148796150315732,1.14362525330399,0.895,0.818,1
"KIF3B",0.00150752985267989,-2.21973989476031,0.123,0.273,1
"STX17-AS1",0.00159728393235983,-2.96910451253504,0.053,0.455,1
"STX8",0.00182526258669306,-1.35059966526357,0.404,0.636,1
"AIMP2",0.00190015196172565,-1.70188016597361,0.316,0.545,1
"ALG5",0.00197645921918916,-0.574857532591187,0.421,0.364,1
"AP4S1",0.0020207902477639,-3.89265927378112,0.018,0.273,1
"AC015871.4",0.00206380566904099,-3.77314213206341,0.018,0.364,1
"ATP5MPL",0.00213501946566033,0.452499493723795,0.789,0.909,1
"U2AF1",0.0021619820804452,-3.75787536582906,0.018,0.364,1
"RABGEF1",0.00219174010284225,-2.66870211491617,0.158,0.727,1
"PRH1",0.00219365567504658,-2.18971578164677,0.246,0.545,1
"MT-ATP6",0.00219988711639285,1.62955923880957,1,1,1
"TXN",0.00226792837701251,-0.708766272194412,1,1,1
"TRABD2A",0.00229956029616413,-2.20460804276796,0.053,0.364,1
"FERMT3",0.00246561872975646,-0.406813279646691,0.737,0.545,1
"AL138963.4",0.00247999012501638,4.45798260820743,0.702,0,1
"TLK2",0.00249095006111979,-1.36690936079684,0.263,0.636,1
"MARF1",0.00253676641749277,-0.684884592544732,0.368,0.273,1
"PRKCD",0.00259834891216291,1.06028488484665,0.754,0.455,1
"AL138895.1",0.00287614451304542,-3.3246107170972,0.035,0.364,1
"VAMP8",0.00292169386675584,0.76869064351108,0.877,0.727,1
"C11orf49",0.002990807692518,-1.57954731814595,0.123,0.455,1
"HNRNPUL1",0.00300065099800058,0.725999327106386,0.614,0.727,1
"FKBP2",0.00308557635757385,-0.78473753292807,0.439,0.273,1
"LINC00894",0.00315413430001589,-1.72991931430512,0.07,0.273,1
"PDCL3",0.00317014668813274,-0.848660054331393,0.404,0.273,1
"GRK3",0.00319259726197727,-1.87434794408228,0.404,1,1
"ZFP36",0.00320192551815689,1.70807256552308,0.877,0.727,1
"PPP1R15A",0.00333246126211462,1.14831137896057,0.86,0.545,1
"SRGAP2",0.00337943628182248,-2.51107028226713,0.193,0.636,1
"SOCS2",0.00359970777682162,-0.591319767225596,0.404,0.636,1
"PDZD2",0.00370009656856702,-3.06564553162727,0.053,0.273,1
"AL021707.1",0.00370825639026653,-4.32934215772291,0,0.182,1
"LNX1",0.00370825639026653,-3.66872384923619,0,0.182,1
"NCALD",0.00370825639026653,-3.66872384923619,0,0.182,1
"SLC9C1",0.00370825639026653,-3.66872384923619,0,0.182,1
"P2RY6",0.0037952358117348,-0.615765431810565,0.404,0.364,1
"IDH3A",0.00399249587270692,-0.123793821409781,0.526,0.364,1
"ANXA1",0.00404468532197641,-0.319979002550116,0.386,0.455,1
"DIPK1A",0.00404894780813908,-3.17463294700859,0.281,0.909,1
"MPG",0.00408353222884647,0.627422066123534,0.667,0.273,1
"PLEKHA5",0.00409104908252105,-2.35637049239212,0.246,0.364,1
"PHACTR1",0.00423467471471952,2.68646466972926,0.491,0.091,1
"CSF2RA",0.00437272465337605,-1.25680646343857,0.754,0.818,1
"HFM1",0.00445380399788853,-4.66901020958638,0,0.273,1
"MT-CYB",0.00447693581698676,-0.867919564613512,1,1,1
"ECPAS",0.00449448608731152,-1.00844052904996,0.491,0.545,1
"TMEM185A",0.0045103062600964,-1.71171321775416,0.211,0.182,1
"SLC48A1",0.00451222981454155,-4.47756783199365,0,0.273,1
"CWC15",0.00454652112062435,1.82059883031115,0.561,0.182,1
"KTN1",0.00460250742559803,0.531492959369255,0.737,0.727,1
"MSC-AS1",0.00464978821801875,-3.8191358875057,0.123,0.455,1
"AL078604.4",0.00468384769606483,-4.48723580205391,0,0.273,1
"AL049869.3",0.00477630870949518,-4.70683053988241,0,0.273,1
"CEP41",0.00480953417666669,-3.71812684398624,0,0.182,1
"NAPSA",0.00485850384383002,3.13559980381052,0.544,0.182,1
"PCMTD1",0.00491390472648536,0.236150148749898,0.579,0.455,1
"GSAP",0.00492189402041034,-2.2380001647285,0.14,0.182,1
"USF2",0.00493549498595838,2.60352902452221,0.526,0.091,1
"SQLE",0.0049381625681742,-0.780860758900652,0.474,0.727,1
"POLR2H",0.00494792341535627,-0.558019080562401,0.316,0.273,1
"RPS10-NUDT3",0.00496854094544012,-4.1141460109388,0.035,0.455,1
"FP671120.6",0.00498813657953204,-4.4049219378268,0,0.273,1
"TMEM256",0.00499838311132103,0.950997379693093,0.649,0.273,1
"CD8B",0.00519664453057422,-5.22959215704791,0,0.182,1
"GZMK",0.00519664453057422,-4.16380750395967,0,0.182,1
"SKAP1",0.00519664453057422,-4.16380750395967,0,0.182,1
"THEMIS",0.00519664453057422,-4.63099322775774,0,0.182,1
"TRBV7-9",0.00519664453057422,-4.16380750395967,0,0.182,1
"CCT8",0.00538171181628882,0.553549238511921,0.86,0.545,1
"B4GALT5",0.00543322822108247,-2.30817492677589,0.228,0.636,1
"LRCH3",0.00557847110834056,-2.08052972545913,0.281,0.727,1
"FSD1L",0.00559288934493107,-1.76424660538151,0.263,0.455,1
"MAP1A",0.00560116135352655,1.60506134505148,0.526,0.273,1
"DENND3",0.00568136125806435,-1.61093621893757,0.088,0.273,1
"NPIPB4",0.00577704987432389,-2.32356716080807,0.123,0.818,1
"TRPS1",0.00581473968991012,-2.62572285816989,0.158,0.545,1
"AL355574.1",0.00595308762643661,-2.82300044697005,0.035,0.182,1
"NUP43",0.00605654600297286,-2.11105371480659,0.105,0.364,1
"PTPN6",0.00620692371648634,0.6910903199006,0.474,0.182,1
"MT-ND1",0.00624988716411365,-0.487433214037853,1,1,1
"VPS8",0.00649547551304574,-1.62839424834417,0.386,0.727,1
"RPS26",0.00660318366281278,0.165052666116578,1,1,1
"AC002463.1",0.00661840537458365,-3.13039179842519,0.018,0.273,1
"AC104699.1",0.00663927013955828,-4.36808367057303,0,0.182,1
"IGFBP4",0.00663927013955828,-3.88385897360004,0,0.182,1
"IL23A",0.00663927013955828,-3.88385897360004,0,0.182,1
"AL606489.1",0.00679734227802993,-4.22919457144593,0,0.182,1
"LINC00243",0.00679734227802993,-4.22919457144593,0,0.182,1
"SSRP1",0.00694019773932192,-0.658334793804528,0.456,0.364,1
"FP236383.4",0.0069907811332774,-3.98902348624285,0,0.182,1
"AC139887.2",0.00701780027896457,-4.55518651555692,0.018,0.364,1
"ZNF620",0.00704652370540066,-1.65964950239604,0.07,0.182,1
"CCDC107",0.00705793949281441,0.641446327780879,0.544,0.182,1
"UXT",0.00743707615155252,0.452479323813455,0.93,0.636,1
"SV2C",0.00751437147227383,-2.57028398998942,0.035,0.182,1
"SHARPIN",0.00769150267890722,0.137840479420685,0.509,0.727,1
"ASAP1",0.00778585748588711,-2.3894431932463,0.316,0.909,1
"MRTFA",0.00789815453110558,-1.31434841161102,0.649,0.909,1
"NT5E",0.00791187241209915,-3.43023255680036,0.035,0.182,1
"CEP128",0.00792605635140112,-3.41016159008134,0.175,0.818,1
"SAT1",0.00796596726414433,-1.15696935131763,0.947,0.909,1
"ATXN2L",0.00797383884569592,0.86478104844037,0.825,0.545,1
"CCDC50",0.00804062824578392,0.731108587454265,0.965,1,1
"AC005944.1",0.00829965822393145,-2.84494833594998,0.035,0.182,1
"SLC22A23",0.00832872932494608,-1.78903095410508,0.298,0.636,1
"RER1",0.00832911892871259,0.20942184365958,0.772,0.545,1
"POLR2I",0.0084584835475782,-0.670212823551816,0.421,0.364,1
"AL117336.2",0.00845987799303406,-2.84225857692702,0.035,0.273,1
"FBH1",0.00852275083928205,2.5743978365874,0.404,0,1
"CYBRD1",0.00853717599013526,-2.50677161371416,0.07,0.273,1
"CCL22",0.00863749929386762,0.179007650815749,0.351,0.636,1
"CSNK1D",0.00863809729431138,1.15505587210214,0.632,0.273,1
"SSH2",0.00865408237522587,-1.39804779954474,0.456,0.727,1
"RAD51B",0.00868095943238176,-3.87634852039338,0.053,0.455,1
"CST3",0.00874614450905851,0.240279572227764,0.86,0.636,1
