"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ATP8",1.58101006669199e-322,-1.61219624005671,0.901,0.997,3.54399216549676e-318
"MTRNR2L12",1.23671576814931e-196,8.69110919531403,0.914,0.025,2.77222206588348e-192
"FP236383.3",9.30317896446317e-189,-1.21474496671096,0.488,1,2.08540059667406e-184
"RPS26",2.29837782956381e-186,0.476235693676662,1,1,5.15204374275024e-182
"RPL41",4.09456772348717e-179,0.471898631914911,1,1,9.17838300896884e-175
"RBFOX2",3.44091570265485e-178,-3.90516910331417,0.24,0.99,7.71315663907111e-174
"MT-ATP6",1.1609259688128e-173,1.47607768752776,0.79,0.889,2.60233165169078e-169
"APOO",2.92290777875167e-173,-5.10697995795506,0.117,0.975,6.55199007684975e-169
"FP671120.4",2.30096992775506e-167,-0.60818422664406,0.443,0.887,5.15785419005575e-163
"TPI1",2.54956333870413e-141,2.1076462732376,0.963,0.744,5.71510118003919e-137
"AC138123.1",2.20373670632438e-128,-0.423086212688804,0.437,0.796,4.93989620089673e-124
"PGK1",1.26914217411838e-119,2.45076461624987,0.961,0.779,2.84490909750376e-115
"LDHA",1.03929295901581e-113,2.24536620173233,0.976,0.782,2.32967909692984e-109
"PKM",1.45358881975152e-104,2.20195939290829,0.957,0.672,3.258364698355e-100
"GAPDH",2.25741053762605e-103,2.18210527961252,0.986,0.928,5.06021146114256e-99
"BNIP3",5.76667502886195e-100,3.31897407443863,0.877,0.296,1.2926578744697e-95
"ENO1",4.3437059829542e-98,1.88936038310023,0.977,0.893,9.73685133139014e-94
"IGFBP2",2.12185184576501e-97,4.17312543567586,0.764,0.091,4.75634309746684e-93
"GPI",6.39899619725954e-92,2.69665457875257,0.888,0.479,1.4343989875777e-87
"AL138963.4",9.31076376576455e-84,4.20178988498442,0.685,0.137,2.08710080573378e-79
"PTPRCAP",1.53428393060596e-83,-2.48614813355604,0.355,0.906,3.43925085884631e-79
"EIF1",1.21867911512841e-82,1.13092767590286,0.993,0.986,2.73179110447184e-78
"PDE3B",4.39047629203857e-80,-1.64072424314721,0.581,0.9,9.84169165623365e-76
"IFITM3",2.38667593340908e-78,3.34864653181231,0.381,0.072,5.3499727723298e-74
"MIF",2.16636805917503e-77,1.10460973382502,0.991,0.971,4.85613064144675e-73
"RAC2",2.59708849878603e-75,1.06679471924348,0.981,0.906,5.82163357887877e-71
"PNRC1",6.87516329977492e-75,1.12862580104633,0.994,0.978,1.54113660527755e-70
"BNIP3L",4.71721235054249e-71,1.92428327150248,0.91,0.576,1.05741032049761e-66
"SARAF",2.30704616281988e-69,1.14527903024212,0.998,0.998,5.17147467857705e-65
"PCBP1",1.62289145069404e-68,0.974900467827287,0.981,0.932,3.63787347587577e-64
"HLA-E",5.19061263706959e-68,0.687872565540811,0.987,0.97,1.16352772872552e-63
"UBALD2",4.83929832725209e-66,1.60767461945297,0.875,0.589,1.08477711303683e-61
"RPS3A",3.84448877064406e-61,0.416583283940403,0.998,1,8.61780602827573e-57
"RPS10-NUDT3",2.82339377863908e-60,-1.96583084343891,0.128,0.467,6.32891949419736e-56
"P4HA1",1.70743293862569e-59,2.16797759856101,0.654,0.196,3.82738167522335e-55
"ANK3",3.89594760439851e-58,-2.69761832251818,0.209,0.736,8.73315615001971e-54
"SLC35F1",1.61190874206007e-56,-2.61884343046342,0.064,0.358,3.61325463620186e-52
"LINC00861",2.00028398378113e-55,-1.84888806493577,0.618,0.959,4.48383657804379e-51
"SNRPD3",2.02626468893038e-54,-1.25862893356113,0.167,0.42,4.54207492670634e-50
"SEPTIN9",2.92466268000345e-54,1.11542276953556,0.954,0.823,6.55592386349574e-50
"AC079793.1",7.2488557888382e-54,-3.94197094815142,0.027,0.379,1.62490351362597e-49
"CD27",2.68675177750387e-53,1.02192119654894,0.88,0.691,6.02262278445267e-49
"TXNIP",3.18605912784304e-53,1.11882870313677,0.697,0.446,7.14187014097297e-49
"FHIT",3.2855675399225e-53,-1.4115661958386,0.524,0.823,7.36492819749029e-49
"DNPH1",1.53365200508831e-52,-1.1891321395908,0.347,0.568,3.43783433460596e-48
"DIPK1A",2.98072721902305e-52,-2.27013946151994,0.123,0.481,6.68159813416206e-48
"ACTN1",4.2372428375249e-52,1.36454222300193,0.816,0.553,9.49820354459582e-48
"ZBTB20",1.7480568866483e-51,-1.69800341024062,0.327,0.721,3.91844431711082e-47
"MIR210HG",2.25421044412217e-51,2.40859538940953,0.553,0.104,5.05303813154426e-47
"IMMP2L",3.73973089942094e-48,-1.66639532598833,0.204,0.521,8.38298078414198e-44
"SNHG25",6.91664020582069e-48,-1.35946054587155,0.132,0.406,1.55043406853677e-43
"HLA-C",1.04749655972595e-47,-0.833982375532508,0.973,1,2.3480682882817e-43
"FAAH2",5.07003377337407e-46,-1.60986225996992,0.257,0.513,1.13649877063953e-41
"C1orf112",7.42656869691769e-46,-3.48755226460501,0.037,0.344,1.66473963910107e-41
