"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",7.9226538711842e-166,1.54768665666463,0.971,0.601,1.77594209176465e-161
"H3F3B",9.36387373010561e-163,-3.91280202463805,0.063,0.682,2.09900593534047e-158
"H3F3A",1.61586730486966e-151,-3.52918599351071,0.063,0.672,3.62212815059583e-147
"H3-3B",1.53716271083443e-150,1.75770357986611,0.932,0.298,3.44570393260647e-146
"H3-3A",1.81587138576615e-135,1.57184015400587,0.914,0.296,4.0704572983334e-131
"LINC01578",1.14974843803044e-128,-4.11032887934708,0.039,0.553,2.57727609868903e-124
"VIM",2.38032176486514e-121,1.84415411639923,0.973,0.848,5.33572926812169e-117
"LMNA",2.4770004705718e-120,2.23888592561158,0.862,0.254,5.55244425483374e-116
"IGFBP2",1.33594304744531e-116,-9.16544721965343,0.003,0.324,2.9946499351534e-112
"H1FX",4.1030796094916e-114,-4.66932562267801,0.026,0.522,9.19746325263637e-110
"TPI1",2.12350326160695e-113,-2.12463739283037,0.593,0.773,4.76004491121815e-109
"CRIP1",3.58050725497603e-111,1.82533101292233,0.964,0.641,8.02606506275428e-107
"ENO1",1.29435051946507e-106,-2.1901699048617,0.674,0.848,2.9014161244329e-102
"TAGLN2",3.74260200589734e-104,1.19618834175005,0.98,0.95,8.38941665641947e-100
"MIF",2.46048477841749e-103,-1.65340140044249,0.826,0.926,5.51542267930064e-99
"SLC9A3R1",2.30485062002155e-95,-3.51534264075693,0.039,0.482,5.16655314984032e-91
"TALAM1",5.6692394886042e-91,1.47096431646199,0.861,0.285,1.27081672376552e-86
"ENSG00000280441",6.70353303932109e-91,1.90687407736645,0.591,0.177,1.50266396609422e-86
"ANXA1",6.26525002486159e-87,2.32190572199167,0.799,0.395,1.40441844557297e-82
"HIST1H1E",5.75837938873964e-85,-4.96181789859203,0.016,0.425,1.29079832377988e-80
"DARS",1.41441012532236e-84,-4.01952301476536,0.028,0.367,3.1705417369226e-80
"LTB",1.37944967831154e-82,-2.11732520546821,0.566,0.87,3.09217439890314e-78
"GPI",6.31856686082166e-81,-2.93350404703409,0.268,0.574,1.41636994752178e-76
"H2AFZ",1.38836162142071e-80,-3.65831290721777,0.038,0.455,3.11215141057666e-76
"LINC-PINT",1.9881176177933e-80,1.7147038730673,0.811,0.253,4.45656445204547e-76
