"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3F3B",1.35936698684793e-42,-1.55885118518969,0.361,0.882,3.04715703771833e-38
"H3-3B",2.09174289036233e-40,3.54662321212681,0.585,0.069,4.68885086303619e-36
"RPS10",2.97094780269243e-40,2.24419288444808,0.765,0.552,6.65967659451536e-36
"FP236383.3",2.37028300409502e-39,-0.473318278365278,0.401,0.847,5.31322638197941e-35
"H3F3A",4.35532259811137e-38,-1.26104444836514,0.378,0.873,9.76289113592645e-34
"MIF",7.86278076702784e-37,-1.71708032351402,0.713,0.905,1.76252093673696e-32
"ENO1",3.00136974045652e-35,-2.04004351155407,0.633,0.828,6.72787041020734e-31
"LINC01578",8.49791415793174e-33,-1.32144710095846,0.241,0.681,1.90489243764198e-28
"H3-3A",4.22208905304628e-30,2.96447895783393,0.542,0.071,9.46423482130854e-26
"ENSG00000280441",9.21848131766518e-30,2.23000951453028,0.249,0.035,2.06641477216783e-25
"H1FX",1.09587936056419e-29,-2.32697210791097,0.12,0.571,2.45652317464068e-25
"TALAM1",6.55917145880077e-27,3.56381761626393,0.49,0.056,1.47030387420478e-22
"H2AFZ",1.00920104209847e-26,-1.19228645281849,0.195,0.592,2.26222505596792e-22
"ENSG00000289901",3.64601034164696e-26,3.56461739098094,0.501,0.066,8.17289678183583e-22
"FP671120.4",8.95891166530999e-26,-0.473553592653798,0.347,0.686,2.00822963889589e-21
"AC138123.1",1.34298396062859e-25,-1.12015160301694,0.226,0.582,3.01043284614504e-21
"IGFBP2",3.52142256663167e-25,-9.75332121628681,0,0.227,7.89362082536156e-21
"CRIP1",2.23061157850942e-24,2.24904941992039,0.777,0.658,5.00013891438672e-20
"ATP5MD",5.48264907978114e-24,-1.38453841844529,0.203,0.625,1.22899061772374e-19
"DARS",4.46752374745265e-23,-2.23757896389485,0.095,0.436,1.00144012322899e-18
"TAGLN2",1.29865215100891e-22,1.1124783876874,0.877,0.847,2.91105866170157e-18
"TPI1",2.36209171578093e-22,-1.66571004762181,0.602,0.835,5.29486479009453e-18
"ANXA1",1.68357837344362e-21,2.30063394316941,0.65,0.382,3.77390928191121e-17
"GPI",2.3607036078843e-21,-2.34322380143918,0.266,0.592,5.29175320743344e-17
"PGK1",5.20532083998899e-21,-1.65435901655743,0.625,0.799,1.16682471949193e-16
"PKM",7.01826816760464e-20,-1.48217456877787,0.47,0.762,1.57321499245026e-15
"GAPDH",7.74242589467309e-19,-1.04871917230421,0.88,0.967,1.73554218854992e-14
"H2AFV",1.06570470679497e-18,-1.17999427824869,0.152,0.47,2.3888836707516e-14
"BNIP3",1.26900300435449e-18,-2.69439257527151,0.106,0.375,2.84459713456103e-14
"CHASERR",1.37895198986399e-18,3.83817886014154,0.453,0.054,3.09105878047911e-14
"VEGFB",1.50954156554381e-17,-1.46823098072456,0.126,0.365,3.383788373323e-13
"ENSG00000278996",2.80243134282651e-17,1.73105413320966,0.252,0.036,6.2819300980799e-13
"MIR210HG",4.77241604098601e-17,-5.0711569684093,0.003,0.224,1.06978477974742e-12
"HIST1H4C",7.63986910064242e-17,-1.35217532233117,0.244,0.63,1.71255305760000e-12
"IDS",8.24942782785902e-17,1.55761338206134,0.53,0.349,1.84919174189288e-12
"MYADM",1.14310762270296e-16,2.47823691419021,0.424,0.186,2.56239004705096e-12
"C4orf3",1.79925273452849e-16,-1.22557680372602,0.413,0.701,4.03320492971906e-12
"TGFB1",7.5363155398473e-16,1.73978186149764,0.779,0.559,1.68934049141217e-11
"EZR",1.17218903347661e-15,1.38234525762894,0.693,0.552,2.62757893744118e-11
"TSC22D3",3.32154779662113e-15,1.83408700981094,0.556,0.424,7.44558154090593e-11
"AL138963.4",4.82109766418038e-15,-4.73574124100003,0.017,0.172,1.08069725240267e-10
"ATP5MPL",4.95318619245191e-15,-1.30900089854198,0.152,0.486,1.11030621690002e-10
"H2AZ1",5.10518878706237e-15,3.67903368887451,0.37,0.043,1.1443791185079e-10
"HIST1H1E",2.18595142008895e-14,-1.75086568843753,0.14,0.495,4.9000287032714e-10
"SERF2",6.98933402409073e-14,-0.537727218951211,0.883,0.967,1.56672911484018e-09
"ALDOA",7.12675243025478e-14,-1.14298451431172,0.585,0.783,1.59753282476591e-09
