"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"H3-3A",0,2.5951084912831,0.926,0.158,0
"H3-3B",0,2.67697390454092,0.915,0.154,0
"H3F3B",0,-4.62352309198901,0.044,0.803,0
"H3F3A",0,-3.98786118581312,0.044,0.773,0
"TALAM1",0,2.4867570940541,0.865,0.15,0
"LINC01578",0,-5.48532655984505,0.032,0.731,0
"CHASERR",0,2.74942840646686,0.834,0.141,0
"TPI1",0,-3.65659407387593,0.321,0.836,0
"IGFBP2",0,-10.1374280294145,0.003,0.485,0
"RPS10",0,2.31396212715222,0.985,0.671,0
"ENO1",0,-2.77415021702864,0.643,0.931,0
"GAPDH",0,-3.09313289256176,0.677,0.95,0
"MIF",0,-2.35460380454255,0.733,0.962,0
"PGK1",0,-2.47105696932175,0.707,0.9,0
"H1FX",4.94065645841247e-324,-6.22043954812043,0.016,0.6,1.10749755171774e-319
"PKM",1.24672289739034e-308,-2.08910579102227,0.507,0.856,2.79465404679018e-304
"LDHA",2.98454292361043e-308,-1.77591201011985,0.732,0.919,6.69015141756514e-304
"GPI",7.96929521758385e-295,-3.51548883302934,0.229,0.724,1.7863972159736e-290
"RBFOX2",2.75918876472127e-288,0.747710338768029,0.606,0.652,6.18499753499921e-284
"ENSG00000289901",8.14018234858614e-281,2.86952562974012,0.791,0.136,1.82470327525907e-276
"SEPTIN9",2.39205898511199e-261,-2.06836007646203,0.409,0.842,5.36203942102704e-257
"H2AFZ",1.80221194730202e-257,-4.72489353298977,0.029,0.585,4.0398383010722e-253
"FP236383.3",5.48202926090513e-255,-3.33476295519879,0.045,0.671,1.22885167912449e-250
"BNIP3L",1.06277416503026e-251,-2.14273853931441,0.37,0.738,2.38231456833183e-247
"BNIP3",6.17138317582895e-246,-2.78221193626587,0.26,0.623,1.38337725269382e-241
"HIST1H4C",3.00928797013156e-244,-4.43186565224783,0.033,0.637,6.74561991384691e-240
"ENSG00000280441",4.27717501424831e-244,2.83835302351476,0.61,0.103,9.58771551193901e-240
"ATP5MD",2.28379083107778e-241,-4.54131340798931,0.027,0.594,5.11934552694395e-237
"LSP1",7.56877268617479e-240,-1.49089560782466,0.478,0.9,1.69661608533294e-235
"VEGFB",1.41555080155444e-234,-2.84873506112248,0.123,0.522,3.17309867676444e-230
"GNAS",3.98345482434028e-230,-1.11621459569717,0.624,0.84,8.92931233424117e-226
"MIR210HG",1.59043678556465e-229,-7.5504779179055,0.003,0.341,3.56512309852172e-225
"B2M",2.16467226619579e-229,-0.595268800143138,1,1,4.85232935190448e-225
"IL32",8.70141459154312e-228,-2.31862803348977,0.544,0.93,1.95050909484031e-223
"DARS",2.47198818726482e-226,-5.12266667697281,0.017,0.502,5.54120872057282e-222
"H4C3",1.6686535870116e-221,2.81156523368892,0.708,0.12,3.74045388064521e-217
"MATR3",6.5919104204002e-221,2.84818682094775,0.691,0.121,1.47764263983691e-216
"LTB",1.93656516599829e-212,-1.02493477552263,0.915,0.991,4.34100447610176e-208
"BACH2",1.29227533699699e-210,1.67986925438671,0.887,0.59,2.89676439541246e-206
"P4HA1",4.47864249519592e-209,-3.58454243561274,0.063,0.444,1.00393250172312e-204
"ALDOA",1.1028037678421e-207,-2.00627585942828,0.512,0.835,2.47204492599486e-203
"C4orf3",1.71251882229554e-207,-2.05515534199262,0.376,0.778,3.83878219205769e-203
"RPS29",2.68639743199424e-198,0.468160303214758,0.999,0.995,6.02182848355828e-194
"AC138123.1",3.06525345359315e-194,-3.68977640469195,0.038,0.578,6.87107214157441e-190
"CALM1",8.64626138912056e-194,1.24079168414681,0.972,0.86,1.93814595298527e-189
"SIT1",8.05100213034977e-189,-3.06823964725812,0.07,0.444,1.8047126375392e-184
"CALHM6",2.0657692631297e-187,-3.69156524937454,0.05,0.429,4.63062838023153e-183
"LCK",1.40394010311035e-184,-1.60106616275574,0.457,0.877,3.14707213513217e-180
"HIST1H1E",2.43136091087957e-184,-6.18999623035852,0.006,0.405,5.45013861782765e-180
"FP671120.4",3.10042520706153e-180,-3.54511027499312,0.042,0.577,6.94991314414912e-176
"MTRNR2L12",2.24123013966816e-179,-10.1305219485005,0.003,0.181,5.02394148108014e-175
"LDHB",1.29738274190671e-173,-1.21320546496826,0.835,0.977,2.90821315425808e-169
"GYPC",9.09273080527334e-169,-1.1656817346196,0.665,0.901,2.03822653731007e-164
"RPL6",1.47633091584339e-168,0.365901501528016,1,0.986,3.30934338095454e-164
"CD55",5.5413765785638e-168,1.47821796273697,0.845,0.52,1.24215497385086e-163
"SLC9A3R1",2.43636894029332e-167,-4.67623291240147,0.02,0.43,5.46136461656151e-163
"CCDC107",1.07879449525073e-165,-2.48481722413566,0.112,0.463,2.41822574055404e-161
"FAM162A",2.5540105759245e-164,-2.3111558517335,0.233,0.584,5.72507010699235e-160
"IFITM2",3.23930186452106e-164,-2.03038010535743,0.43,0.87,7.26121905951041e-160
"IL16",2.07792159466346e-163,-1.70743821434229,0.332,0.747,4.65786904659761e-159
"AL138963.4",5.85089747419757e-162,-7.25091987043334,0.005,0.302,1.31153717781613e-157
"ATP5MPL",1.45488778252826e-161,-3.99826614803651,0.028,0.484,3.26127645331534e-157
"YPEL3",2.19039487224753e-161,-1.31694519124856,0.516,0.845,4.90998914563007e-157
"H2AZ2",4.77220808280663e-158,2.89473657666323,0.579,0.091,1.06973816384193e-153
"RAC2",2.58367172258166e-154,-0.963662004225708,0.795,0.954,5.79155853333905e-150
"ENSG00000278996",2.92958145422866e-153,2.16135281852651,0.559,0.099,6.56694978779896e-149
"H2AZ1",2.41159882724293e-151,2.61745226024785,0.612,0.116,5.40583993114776e-147
"MT-CYB",5.78908278175477e-150,0.507076213473446,0.994,0.942,1.29768079635815e-145
"MATR3.1",1.35733479791958e-147,-4.26813793294126,0.024,0.432,3.04260168301652e-143
"VIM",8.10662017695408e-147,1.30787607469327,0.964,0.904,1.81717997886603e-142
"IL2RG",2.32735774239185e-146,-0.974095218819621,0.71,0.921,5.21700511534557e-142
"H2AFV",1.24884138472447e-144,-3.90601983084339,0.023,0.404,2.79940284799836e-140
"HIST1H2AC",1.19024226203292e-143,-5.89445629040382,0.007,0.305,2.66804705457299e-139
"TCF7",2.45368218069175e-143,-0.843152464484406,0.878,0.982,5.50017397623863e-139
"ATP5MK",7.07883927422358e-143,2.32732755173023,0.602,0.12,1.58679261170996e-138
"TMSB4X",1.2624666124237e-142,-0.506866465374995,0.999,1,2.82994515840897e-138
"EVL",8.24967036122957e-140,-0.840324496539596,0.797,0.946,1.84924610817322e-135
"U2AF1",1.90368902224624e-135,2.26445424254289,0.617,0.167,4.26730931226716e-131
"FTH1",6.04724845859755e-135,1.51746665152587,0.998,0.989,1.35555121447923e-130
"CD27",6.74685544936825e-135,-1.3472430847961,0.437,0.79,1.51237511753039e-130
"FTL",9.0295880984572e-135,-0.774869237658268,0.97,0.993,2.02407246815017e-130
"FAM49B",2.17707647137943e-134,-4.83497933234045,0.012,0.345,4.88013461824413e-130
"ENSG00000257322",2.32742107748205e-134,2.52509104479217,0.452,0.078,5.21714708728377e-130
"ANP32B",5.21584267865299e-133,-0.947816242812327,0.673,0.883,1.16918329484685e-128
"RPL37",1.18578602042031e-132,0.240755466120413,1,0.999,2.65805794337417e-128
"S1PR1",1.69131267413041e-131,1.35746192254328,0.821,0.542,3.79124649033072e-127
"SFPQ",7.68820924001755e-129,1.46533349736559,0.763,0.478,1.72338898324233e-124
"IFITM1",5.07776688863911e-128,-1.27238591063847,0.871,0.974,1.13823222575734e-123
"FAM102A",1.29222461347313e-127,-4.74325988245083,0.013,0.335,2.89665069356138e-123
"CD3E",3.0926140524506e-127,-0.799143568785254,0.847,0.95,6.93240365997327e-123
"RPS27",1.50364464626443e-124,0.272102761723584,1,1,3.37056983906635e-120
"WDR54",1.69336141335915e-124,-2.83727621889788,0.072,0.4,3.79583894418587e-120
"VEGFA",2.13883223496184e-123,-5.72173958145867,0.004,0.209,4.79440633789046e-119
"TCAF2",3.7732404649032e-123,-2.85415448116879,0.074,0.371,8.45809582612702e-119
"HPCAL1",5.12569615265973e-123,-1.65293587870891,0.238,0.58,1.14897604958021e-118
"SARS",5.58706733006945e-123,-4.53542895870319,0.015,0.324,1.25239701270837e-118
"PGAM1",6.43982253059238e-123,-1.41996803324847,0.446,0.725,1.44355061845759e-118
"AC008105.3",2.26427504731582e-117,-4.7324628607528,0.01,0.294,5.07559894606314e-113
"POLD4",6.69075460060489e-117,-1.65078717787262,0.252,0.606,1.49979955127159e-112
"C9orf16",7.03119988075442e-117,-4.09049475056897,0.028,0.429,1.57611376526991e-112
"MARCH7",1.3731628409214e-116,-4.71972050985564,0.012,0.272,3.0780818242094e-112
"LINC-PINT",4.89226104023806e-113,2.71481054860952,0.479,0.097,1.09664923477976e-108
"GAREM1",2.35774743112587e-112,-3.4694191547481,0.056,0.336,5.28512664161176e-108
"RPS7",1.48843196361334e-111,0.334260153909738,1,0.998,3.33646908963565e-107
"ZNRD1",1.00113183081294e-110,-4.63373336048666,0.014,0.328,2.24413711195028e-106
"ACTN1",1.05522334378876e-109,-1.31094530668534,0.352,0.666,2.36538864743688e-105
"HIST1H1D",4.11037219034665e-108,-5.42824763776664,0.009,0.31,9.21381030188104e-104
"AC078883.1",3.4580676975886e-107,-5.19438917643812,0.008,0.272,7.7516045509146e-103
"GPSM3",3.69757710615705e-107,-1.14627619226646,0.569,0.857,8.28848884116164e-103
"CD44",1.14977929542126e-105,1.06449023927971,0.946,0.837,2.57734526861631e-101
"RPL5",6.89843751585231e-105,0.268517847985844,1,0.998,1.54635375355345e-100
"AC097534.2",9.77770909901577e-105,-9.36248314403717,0,0.171,2.19177127163538e-100
"CORO1B",1.92211707203055e-104,-1.96377589675525,0.182,0.491,4.30861762866368e-100
"ATP5MJ",3.30547712318931e-102,2.52739624860452,0.488,0.093,7.40955751934116e-98
"MT-CO3",3.94156665694415e-101,0.293240176982299,0.995,0.971,8.835415818206e-97
"C5orf56",9.5344974495976e-101,-4.48320537650932,0.011,0.246,2.1372529483018e-96
"RPL38",1.07918164581926e-100,0.31788561786219,0.999,0.991,2.41909357726845e-96
"TAGLN2",3.60017011029647e-100,1.01909682342212,0.943,0.895,8.07014131924057e-96
"PYURF",1.85081863053027e-99,-4.20320826792205,0.019,0.355,4.14879504219666e-95
"H2AFY",2.38327257124794e-99,-4.40557990290325,0.015,0.336,5.34234379570938e-95
"MGAT1",2.89840918127923e-99,-1.75362801791261,0.16,0.456,6.49707402075553e-95
"C12orf65",3.65979694454671e-98,-5.21746897390461,0.006,0.237,8.20380083089591e-94
"ENSG00000273149",1.88738532323192e-97,2.54434276475241,0.334,0.054,4.23076294055667e-93
"ENO2",4.3766183776046e-97,-1.79321162662154,0.169,0.388,9.81062775523848e-93
"PCBP2",1.47501165092486e-96,-1.06810971994712,0.565,0.829,3.30638611671316e-92
"KLF3",4.04197178106551e-96,1.6304975440738,0.702,0.427,9.06048394443645e-92
"PFKP",5.1438060587971e-94,-3.03437576807374,0.048,0.301,1.15303556613996e-89
"YARS",6.01929874376776e-94,-4.29703285019731,0.013,0.256,1.34928600640298e-89
"MT-ND1",1.70471886163168e-93,0.613593767577464,0.956,0.895,3.82129780023358e-89
"RPS6",1.32694637677529e-92,0.145345157335093,1,0.999,2.97448299817948e-88
"PDK1",1.76606335237855e-92,-1.99528443876922,0.154,0.494,3.95880761069175e-88
"MARCH5",1.86689887538628e-92,-4.75106577005866,0.009,0.217,4.18484051906588e-88
"RPS24",4.77808308421515e-92,-0.259088190136663,1,0.999,1.07105510415767e-87
"PAICS",1.40263397451943e-91,-2.28174001510995,0.099,0.411,3.14414431728276e-87
"SRGN",5.73434029040547e-91,1.62571566978031,0.651,0.386,1.28540971949729e-86
"CXCR4",2.50589945320616e-90,1.3100169689491,0.821,0.598,5.61722421430692e-86
"NUCB2",1.47253173499608e-89,-1.64118895490887,0.27,0.638,3.30082713716722e-85
"AC243960.1",2.31922247239074e-89,-4.34284344011983,0.02,0.356,5.19876909411107e-85
"GZMA",1.11707062470087e-88,-4.03476872540806,0.016,0.206,2.50402551232946e-84
"CRIP1",1.37827609095577e-88,1.21203203241557,0.875,0.698,3.08954368548646e-84
"EPRS",4.05815587386216e-86,-4.60092937862764,0.012,0.26,9.09676220684942e-82
"HSPB11",6.80806439819665e-86,-5.30089905098271,0.005,0.228,1.52609571549976e-81
"NPM1",9.86690669615416e-86,-0.734078461297314,0.928,0.982,2.21176580500992e-81
"EEIG1",1.21767446652058e-85,2.49952377182966,0.457,0.091,2.72953908415254e-81
"ANXA1",1.83697472756763e-85,1.88867567706505,0.668,0.346,4.11776254931561e-81
"EGLN1",9.68478293164844e-85,-1.95823501160945,0.113,0.367,2.17094094195831e-80
"SERF2",1.19541535391729e-83,-0.783035206759411,0.887,0.974,2.679643057341e-79
"PFKFB4",3.27156779566077e-83,-5.68657317101199,0.003,0.163,7.33354637075319e-79
"PCBP1",1.04716108473475e-82,-0.651012669599386,0.905,0.965,2.34731628754142e-78
