"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS10",0,2.52071431696921,0.995,0.705,0
"RBFOX2",9.88131291682493e-324,1.19159211228833,0.845,0.732,2.21499510343548e-319
"H3-3A",1.20902869738021e-294,2.93785502738339,0.963,0.131,2.71015872804747e-290
"H3F3B",5.16815413227139e-290,-6.64136593516675,0.009,0.84,1.15849343028995e-285
"MIF",9.25348573568068e-282,-2.67380497276556,0.771,0.982,2.07426136251018e-277
"H3-3B",3.27679714742397e-275,3.00222532242263,0.942,0.13,7.34526848566557e-271
"ENSG00000280441",7.76870057304315e-261,2.93020260507875,0.855,0.128,1.74143192045335e-256
"FP236383.3",1.57469786713874e-255,-5.68396405106816,0.009,0.697,3.5298427389782e-251
"TALAM1",3.50878605806818e-250,2.98409686901669,0.91,0.123,7.86529482776563e-246
"TPI1",2.72956977594851e-238,-4.05378363113135,0.319,0.903,6.11860360976619e-234
"CHASERR",1.1314505812279e-231,3.38709428440905,0.882,0.117,2.53625962288046e-227
"H3F3A",5.81758744318474e-225,-5.89529336794338,0.009,0.822,1.30407040126429e-220
"LINC01578",3.88067723291345e-219,-7.12351085923137,0.007,0.745,8.6989260852988e-215
"GAPDH",1.66117625874085e-215,-2.64043563232278,0.76,0.979,3.72369270159349e-211
"ENO1",2.44616806504368e-214,-3.0950077919062,0.691,0.965,5.48333033460191e-210
"H4C3",7.82055765460915e-193,3.15303885592366,0.822,0.112,1.75305620385719e-188
"ENSG00000289901",3.82190503549987e-188,2.99221440467708,0.824,0.118,8.5671823275765e-184
"ENSG00000257322",7.98937360585518e-182,2.79756345783063,0.73,0.109,1.7908979874885e-177
"AC138123.1",1.24395952225702e-179,-6.46505509866292,0.007,0.613,2.78845966509134e-175
"ENSG00000278996",4.08352185859607e-174,2.11500865488238,0.755,0.12,9.15362259822894e-170
"FP671120.4",8.15103438148885e-169,-6.64649425561167,0.007,0.607,1.82713586695454e-164
"IGFBP2",2.61509107205079e-160,-11.1264253894592,0,0.524,5.86198814710905e-156
"H1FX",8.57051249254441e-156,-9.1634680898864,0.002,0.642,1.92116608032875e-151
"LDHB",1.10979505736319e-151,-1.40078639035826,0.868,0.99,2.48771660058533e-147
"H2AZ2",6.9753840580027e-151,3.52675763987645,0.7,0.083,1.56360209044189e-146
"PGK1",3.94836012082249e-149,-2.55539002540415,0.746,0.939,8.85064404683569e-145
"IL32",4.8763049498385e-149,-2.25902621433601,0.587,0.954,1.0930725175558e-144
"MATR3",2.6547288281175e-148,3.43963969905071,0.7,0.101,5.95084014110819e-144
"FTH1",1.06040695644831e-143,1.62317939660113,0.993,0.995,2.37700823357453e-139
"PKM",1.3630504259491e-142,-2.24401677389441,0.545,0.906,3.0554138348075e-138
"GPI",1.8733996835717e-141,-3.4952292924171,0.273,0.794,4.19941273069432e-137
"ATP5MD",1.61640682025892e-136,-5.90909952618,0.009,0.654,3.62333752829239e-132
"H2AFZ",2.12792036738148e-136,-6.68044129275606,0.005,0.618,4.76994629552231e-132
"H2AZ1",6.25590564392326e-136,3.12517421675106,0.695,0.097,1.40232380914184e-131
"CALM1",9.73623566417753e-136,1.37301862413428,0.988,0.868,2.18247458648203e-131
"ATP5MK",5.10564368593579e-135,2.72243736224865,0.688,0.102,1.14448108863937e-130
"FTL",1.01069317920187e-134,-1.0149522362706,0.986,0.996,2.2655698304989e-130
"HIST1H4C",2.66931592753849e-134,-7.39895444919553,0.005,0.652,5.98353858317028e-130
"DARS",1.10561874406906e-130,-7.73191873384147,0.002,0.594,2.4783549767052e-126
"IFITM1",7.39113242451718e-128,-1.39041023505431,0.896,0.99,1.65679624427977e-123
"RPS29",1.21720973365297e-125,0.540311615941137,1,0.999,2.72849733895649e-121
"TAGLN2",3.58330195014587e-122,1.26561450243966,0.986,0.936,8.03232965144699e-118
"C4orf3",5.38185561210445e-118,-2.23496673126685,0.448,0.853,1.20639675400933e-113
"IFITM2",1.87695289570291e-116,-1.95874266385831,0.515,0.926,4.20737761100764e-112
"ANXA1",5.75254407632429e-114,2.47057181086541,0.813,0.345,1.28949028014885e-109
"BNIP3L",5.82736917928293e-114,-2.29535165339607,0.39,0.799,1.30626307522806e-109
