"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",8.12717568588479e-185,-3.36676941875124,0.075,0.702,1.82178770174793e-180
"RBFOX2",1.48597179702241e-163,-1.54005643193844,0.512,0.987,3.33095438020543e-159
"APOO",2.17291852236674e-114,-1.50933768458742,0.427,0.89,4.87081415973728e-110
"ENSG00000280441",2.19184394641327e-112,-10.6744668293995,0.015,0.226,4.91323739027999e-108
"ENSG00000257322",5.02922995105346e-67,-10.0835365749372,0,0.18,1.12735218582814e-62
"UTY",4.26608135128677e-63,-3.62294177186048,0.022,0.27,9.56284795704443e-59
"MT-CO3",5.92002708383237e-62,-0.611255305389491,0.978,0.998,1.32703327111186e-57
"RPL6",6.97275485699338e-61,-0.603984336120617,0.987,0.998,1.56301272874364e-56
"STAT1",1.6745858195682e-59,-1.88790967075397,0.471,0.545,3.75375157314407e-55
"PTPRCAP",4.14263352689186e-51,-0.816864662367584,0.653,0.903,9.28612731388079e-47
"MT-ATP8",7.32920740765024e-51,-0.6671956022764,0.939,1,1.64291513249888e-46
"ENSG00000278996",4.75734072855699e-50,-5.18135538837002,0.03,0.211,1.06640549771333e-45
"RPS16",9.00374139630887e-50,-0.561804333823076,0.975,0.985,2.0182786713966e-45
"RPS29",3.40246050811594e-44,-0.535298915430258,0.987,0.989,7.62695547499269e-40
"AL138963.4",3.19253757029463e-43,3.36788231087133,0.336,0.079,7.15639221757245e-39
"AC004448.2",1.2703358043786e-41,4.25775813549311,0.258,0.056,2.84758473909508e-37
"EIF1AY",3.09333111559813e-40,-3.98986373069095,0.014,0.17,6.93401102872476e-36
"USP9Y",1.51653301722207e-39,-3.05080011766179,0.02,0.196,3.399460411405e-35
"MTRNR2L12",4.50081636061933e-38,6.44977475995975,0.187,0.049,1.00890299539643e-33
"GBP5",2.58064375838894e-37,-1.92467711017906,0.333,0.417,5.78477104880466e-33
"RPL4",1.86403173530527e-35,-0.540480102465045,0.948,0.961,4.17841353786029e-31
"GAPDH",1.33820269116525e-34,0.851979879500735,0.976,0.941,2.99971515251603e-30
"RPS3A",1.6149915174494e-34,-0.509121979928662,0.999,1,3.62016498551458e-30
"RPL37A",9.02413246771764e-34,-0.438138121291543,0.983,0.995,2.02284953396359e-29
"GAREM1",9.80932966395921e-34,1.93425042387903,0.385,0.198,2.1988593374731e-29
"HLA-G",1.52712989752779e-33,-4.00960376343331,0.012,0.146,3.42321437829829e-29
"DDX3Y",1.9263385029024e-33,-2.81940949757631,0.025,0.19,4.31808038810601e-29
"RPL13A",2.85545834972779e-33,-0.553256122561307,0.956,0.977,6.4007954367498e-29
"RPL27A",1.35700122543116e-30,-0.520761008233632,0.921,0.954,3.0418539469265e-26
"RPLP2",3.2772069879317e-29,-0.404264746710671,0.991,0.998,7.34618718414771e-25
"MT-CO1",3.74674076088946e-29,-0.333704543786895,0.999,1,8.39869408960981e-25
"RPS2",4.48867345095558e-29,-0.468973076142199,0.988,0.979,1.0061810407662e-24
"SARAF",1.19896045652721e-28,0.52706772180023,0.982,0.961,2.6875897593514e-24
"PRKY",3.33723267508044e-27,-3.11872146657897,0.021,0.151,7.48074076446032e-23
"RPSA",8.23468207987484e-26,-0.379376499817384,0.98,0.989,1.84588633502474e-21
