"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",9.7482442990857e-208,-5.00426024610984,0.007,0.703,2.18516644208305e-203
"RBFOX2",2.00589050859615e-116,-1.65522696520297,0.501,0.989,4.49640416406913e-112
"LINC00278",1.65325028647618e-110,-9.2212401653553,0,0.391,3.70592584216501e-106
"UTY",2.45176458372097e-98,-7.57461309992461,0.001,0.384,5.49587549086892e-94
"DDX3Y",5.04450048748137e-95,-7.42708481776971,0.001,0.371,1.13077522927382e-90
"ENSG00000280441",7.73387265480295e-95,-10.5380120353302,0.015,0.231,1.73362489430063e-90
"APOO",1.36226054640937e-64,-1.65121265879194,0.412,0.873,3.05364324083124e-60
"MT-CO3",4.04323229618817e-64,-0.687039586371182,0.981,1,9.0633095151354e-60
"IFITM3",2.61577728460146e-60,2.05062451780636,0.783,0.631,5.86352636116262e-56
"ENSG00000257322",5.69313836809492e-57,-8.49068094314715,0,0.186,1.27617389659216e-52
"LY6E",4.68339000294959e-54,1.81373173970271,0.716,0.45,1.04982870306118e-49
"H3F3B",7.20312121398806e-54,0.882365245222794,0.913,0.763,1.61465165132756e-49
"TYMP",1.73992214655502e-53,0.839342555182176,0.908,0.927,3.90020948371774e-49
"IFI6",4.3075231273059e-51,1.37333048148684,0.726,0.559,9.65574384216891e-47
"XIST",1.63250235008815e-50,2.45518078808001,0.433,0.099,3.65941726795761e-46
"MTRNR2L12",2.42228813394628e-50,7.07787679948164,0.309,0.065,5.42980108105398e-46
"ENSG00000287979",7.28008995161136e-50,-9.48044265916239,0,0.167,1.6319049635532e-45
"HLA-DRB5",4.15665753843439e-49,1.33453706090342,0.638,0.676,9.31756353815452e-45
"ENSG00000278996",1.99065095981694e-48,-4.80023592760847,0.023,0.211,4.46224319152566e-44
"EIF1AY",2.84556299056888e-48,-6.23030791927055,0.001,0.204,6.3786139996592e-44
"IFI27",1.59628950813549e-45,4.62888059066001,0.285,0.025,3.5782425614365e-41
"PSMB9",1.17621335482831e-44,1.09334445057276,0.783,0.64,2.63659985618314e-40
"ZFY",3.57078414820865e-44,-7.40850543623675,0,0.177,8.00426974662452e-40
