"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000280441",2.58931137394838e-68,-11.1097998408927,0.006,0.215,5.8042003758427e-64
"RPS4Y1",2.36456857081441e-64,-2.14032581147273,0.116,0.532,5.30041690833759e-60
"RBFOX2",4.65314980338804e-40,-1.14368055018635,0.479,0.821,1.04305005992746e-35
"MTRNR2L12",2.52016783975895e-39,8.32567137998908,0.222,0.015,5.64920822960367e-35
"HLA-G",4.1980684284047e-38,-4.69319464117188,0.009,0.194,9.41039018911198e-34
"ENSG00000257322",2.03384196210785e-33,-9.31469035648332,0,0.118,4.55906014226096e-29
"ENSG00000278996",3.61877261350441e-32,-4.98018025194044,0.014,0.16,8.11184069043149e-28
"AC004448.2",4.33963093014167e-27,4.5617940008197,0.181,0.011,9.72771669300558e-23
"RPS2",1.06394442904963e-25,-0.672283868761303,0.771,0.88,2.38493783215764e-21
"MT-ATP8",1.60667239721285e-25,-0.520758461060356,0.924,0.989,3.60151684559232e-21
"MT-CO3",1.49928567973561e-24,-0.443451051128346,0.971,0.996,3.36079877969534e-20
"STAT1",6.0806692580761e-24,-1.68995067724948,0.259,0.414,1.36304282089034e-19
"HAPLN3",1.82299714169847e-22,-5.33388918743136,0.006,0.112,4.08643039283129e-18
"RPS3A",1.9045419274523e-20,-0.413248411632436,0.975,0.987,4.26922118457708e-16
"UTY",2.24295597455782e-20,-2.65510941936303,0.031,0.175,5.02781011256881e-16
"PPDPF",3.81262260005225e-20,0.774080636045913,0.829,0.665,8.54637482027713e-16
"RPS29",1.0391735605274e-19,-0.473946622493203,0.876,0.932,2.32941145327821e-15
"APOO",1.37043382604948e-19,-1.03232928552878,0.323,0.544,3.0719644644725e-15
"CTSW",2.25582852859246e-19,-0.691688110631057,0.647,0.795,5.05666522969285e-15
"GBP5",2.71751603488407e-18,-1.07018544041418,0.48,0.532,6.09158394379614e-14
"RPS10",6.77420064305598e-18,-1.18637122556354,0.302,0.388,1.51850481614743e-13
"SYNGR1",7.18789759896116e-18,1.5508245771143,0.343,0.135,1.61123912578313e-13
"H3-3A",1.59113719648604e-17,-1.53895490459374,0.098,0.209,3.56669313964311e-13
"TPT1",1.87896245701175e-17,-0.360418255476447,0.992,0.987,4.21188224363753e-13
"EIF1AY",6.53564321859781e-17,-3.44690992548326,0.01,0.103,1.46502978388089e-12
"HSPA8",7.30720537279387e-17,-0.755761697691735,0.672,0.783,1.63798315636547e-12
"APOBEC3G",9.24859245506996e-17,-0.669179917629104,0.589,0.732,2.07316448472848e-12
"NFKB1",1.16903033800868e-15,-0.972447258067755,0.324,0.454,2.62049840568026e-11
"GAPDH",1.210930552993e-15,0.625124020875517,0.986,0.958,2.7144219275891e-11
