"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000280441",1.16474398140887e-106,-11.3064504961096,0.026,0.548,2.61089010872613e-102
"RPS4Y1",1.06096780857787e-98,-5.09644322863297,0.019,0.701,2.37826543970815e-94
"RBFOX2",1.20006550992609e-73,-1.980442285466,0.49,0.959,2.69006684705033e-69
"UTY",1.06170736838439e-54,-6.53304025852371,0.002,0.405,2.37992323697045e-50
"ENSG00000257322",2.3321957035221e-54,-8.70809592765571,0,0.381,5.22784988901514e-50
"ENSG00000278996",2.01333950757279e-52,-5.02499515732296,0.051,0.493,4.51310184017516e-48
"LINC00278",4.99267170515559e-46,-7.56288274474651,0.002,0.344,1.11915728942768e-41
"PELATON",1.23784150893637e-43,-2.62197898164997,0.238,0.548,2.77474552643177e-39
"DDX3Y",7.55841754501932e-39,-4.87628131452582,0.009,0.333,1.69429487689153e-34
"GNG2",4.3148282695541e-37,-2.50835583824367,0.285,0.667,9.67211904903248e-33
"ATP6V0C",1.67652589597834e-35,0.79041896549729,0.989,0.983,3.75810044842505e-31
"RPL41",5.65789986701795e-34,0.974919419192864,1,1,1.26827483419074e-29
"HLA-G",2.46499480332495e-33,-5.1039872967718,0.013,0.31,5.52553235113322e-29
"EIF1AY",1.18531402792727e-31,-5.96544118685299,0.002,0.255,2.65699992500177e-27
"APOO",7.38291838188601e-31,-1.00873970647361,0.418,0.782,1.65495498448357e-26
"HLA-DRB5",7.64453213990357e-30,1.78009177069991,0.805,0.588,1.71359832448078e-25
"MT-CO3",8.95376605029305e-30,-0.586086630770636,0.996,1,2.00707619783369e-25
"NPEPPSP1",2.74815816045015e-27,-3.67286989980331,0.036,0.327,6.16027133246507e-23
"SUCNR1",5.2086900751758e-26,-3.58461286967851,0.058,0.364,1.16757996725141e-21
"ENSG00000290823",1.00387094480737e-25,-2.95704526841698,0.058,0.364,2.2502771098802e-21
"CXCR4",1.44683109433552e-25,1.7743333767559,0.687,0.306,3.2432165810625e-21
"MT-ATP8",2.89869815581587e-25,-0.383465480050268,0.923,1,6.49772178607686e-21
"ZNF385A",1.44764639792531e-24,1.24148234089285,0.803,0.442,3.24504416558938e-20
"IFITM1",4.28743963444088e-24,2.36422935457738,0.561,0.323,9.61072468456268e-20
"ENSG00000287979",4.43935884520332e-24,-7.56513141940231,0,0.18,9.95126678740775e-20
"ZFY",5.36307767550667e-24,-5.14171258797514,0.002,0.194,1.20218749174158e-19
"GBP5",8.77152619084991e-24,1.93271749433804,0.715,0.395,1.96622531094092e-19
"TNFSF10",4.31222231669497e-23,2.02554922172685,0.627,0.32,9.66627754510344e-19
"IDO1",5.33256491733513e-23,0.141417262591663,0.31,0.058,1.19534775186984e-18
"PSMB9",6.78987309621701e-23,1.11853335274254,0.921,0.806,1.52201795324801e-18
"LINC00486",1.88294120411094e-22,7.01852883518339,0.184,0,4.22080100313508e-18
"GIMAP4",4.94556931946793e-22,1.3539949183653,0.73,0.381,1.10859881865193e-17
"BCL2A1",1.32265863333917e-21,-1.04742475447288,0.794,0.755,2.96487159249308e-17
"MTRNR2L12",1.50983405888412e-21,7.0283039061886,0.182,0.034,3.38444402639464e-17
"RNF144B",6.41297392373129e-21,-1.40293899737687,0.726,0.871,1.43753223474361e-16
"ENSG00000290039",9.72320495706421e-21,-5.22037308307044,0.013,0.207,2.17955362317551e-16
"STAT1",1.28134092208778e-20,1.46059292358541,0.829,0.622,2.87225381095196e-16
"PELI1",1.41778233480512e-20,-1.80584770085611,0.548,0.724,3.17810088169915e-16
"XIST",1.47962813266594e-20,2.77207076129788,0.366,0.068,3.31673442218397e-16
"ENSG00000288755",2.54901786074267e-20,-2.88624240219145,0.105,0.361,5.71387843664077e-16
"MIR3945HG",6.92993466528794e-20,-2.94516810504292,0.182,0.425,1.55341415457094e-15
"SLFN5",9.18062560588841e-20,-1.61274780288793,0.396,0.619,2.05792903581595e-15
"CCL4",1.1535075873365e-19,-2.56713878086037,0.454,0.656,2.5857026077735e-15
"UBC",1.45772288144329e-19,0.516964053348066,0.998,1,3.26763161104329e-15
"CALHM6",1.60645295079983e-19,1.50791134761209,0.67,0.357,3.6010249345129e-15
"IL4I1",1.61769146511809e-19,1.77586551920121,0.63,0.313,3.62621718820871e-15
"RPS3A",1.69623159894894e-19,-0.544781037101101,0.987,1,3.80227275220395e-15
"FGL2",2.62843918382765e-19,1.13402068579028,0.848,0.667,5.89190927446807e-15
"UBE2L6",2.79914180588866e-19,1.1873261565814,0.764,0.486,6.27455627208002e-15
"XAF1",4.2219994304889e-19,1.55893788527861,0.593,0.293,9.46403392338393e-15
"TYROBP",6.46087287994673e-19,0.41776071713942,0.994,0.997,1.44826926476886e-14
"NOTCH2NLB",8.98207150777652e-19,-2.33718489571827,0.071,0.323,2.01342114918318e-14
"TMSB10",1.19064302226168e-18,0.533940258077018,1,1,2.66894539870178e-14
"MT2A",1.88851438125649e-18,0.94005618464471,0.901,0.697,4.23329383702455e-14
"ACSL1",2.27389248158319e-18,-1.25648926897904,0.683,0.741,5.09715738671688e-14
"MNDA",3.07967938081668e-18,1.54652759346557,0.58,0.241,6.90340930003868e-14
"WARS1",5.03959884092217e-18,-0.171474471383172,0.259,0.503,1.12967647618111e-13
"APOL6",5.19115481485209e-18,1.56614574054183,0.589,0.286,1.16364926329724e-13
"DRAP1",8.54702859013194e-18,0.678938649755814,0.955,0.833,1.91590192876398e-13
"ADA",9.71408440296248e-18,-1.09488002529121,0.728,0.878,2.17750915976807e-13
"LY6E",1.03033394108271e-17,1.06978483552522,0.816,0.687,2.30959656233101e-13
"RIN2",1.59872708491731e-17,-1.53395415760582,0.495,0.721,3.58370663355065e-13
"PPP1R17",2.9163489455458e-17,-7.41895564005422,0,0.129,6.53728779633546e-13
"TNF",3.82868565479123e-17,-2.21785193658561,0.392,0.575,8.58238176378002e-13
"ENSG00000290053",5.79234594217834e-17,-6.498229864716,0,0.126,1.2984122663987e-12
"RPS8",8.47494902456438e-17,-0.505668817066993,1,1,1.89974457334635e-12
"LINC00910",8.52687570207607e-17,-2.49626717790455,0.092,0.34,1.91138445737737e-12
"KMO",8.92863174031733e-17,-1.26683281178837,0.612,0.789,2.00144209090953e-12
"GIMAP7",1.67792949770616e-16,1.58879634533766,0.473,0.17,3.76124676205812e-12
"C1orf162",2.25820663344328e-16,0.869482692409754,0.807,0.51,5.06199598952646e-12
"SLC2A6",2.44093889594517e-16,-0.974385414060689,0.655,0.82,5.4716086291507e-12
"IL1A",3.87521355496634e-16,-3.57414366460497,0.051,0.262,8.68667870481256e-12
"NBPF26",4.38789457587663e-16,-1.16836289780658,0.351,0.629,9.83590448128506e-12
"SERPING1",4.5239671576506e-16,2.53481315610938,0.353,0.092,1.01409247805896e-11
"IFI44L",6.33732554133579e-16,2.29485440618782,0.34,0.082,1.42057489334583e-11
"RPL5",1.21779790991984e-15,-0.55564130579896,0.951,0.986,2.72981579487632e-11
"PTPRJ",1.32841245512593e-15,-0.933764107487554,0.803,0.929,2.97776935941028e-11
"VAMP5",1.51963587938335e-15,1.5117666470202,0.589,0.33,3.40641578722571e-11
"TMEM176B",2.29606111793745e-15,0.42810810897695,0.642,0.34,5.1468506019686e-11
"ENSG00000290087",4.59438687379284e-15,-2.47117525175968,0.064,0.289,1.0298777616294e-10
"IL2RG",6.12828956241273e-15,0.777003306707171,0.859,0.609,1.37371738831044e-10
"SMPDL3A",6.16495376874283e-15,-1.5436105119801,0.368,0.578,1.38193603680139e-10
"MAILR",8.38881774658961e-15,-2.51339207349462,0.054,0.262,1.88043738607553e-10
"FOXP1",1.05036445285369e-14,-1.13727034695177,0.647,0.81,2.35449695751684e-10
"H3-3A",1.46660441606274e-14,-1.21202469603846,0.276,0.548,3.28754045904625e-10
"VMO1",1.62159961983952e-14,1.49311238646702,0.741,0.514,3.63497770783228e-10
"BMT2",1.85972253282806e-14,-1.22450891409335,0.467,0.663,4.16875402958738e-10
"CD300E",2.16292883459586e-14,0.96374180470589,0.747,0.622,4.84842127563007e-10
"PSME2",2.37927140841982e-14,0.772058052989792,0.927,0.799,5.33337478911388e-10
"RPL10A",2.55559668451292e-14,-0.495543256143493,0.942,0.99,5.72862552800417e-10
"MT-CO1",2.75936240237e-14,-0.380309774154838,1,1,6.1853867611526e-10
"IFITM3",3.08571137729456e-14,0.999082612818839,0.906,0.915,6.91693062334349e-10
"ENSG00000289474",3.30572666267534e-14,-4.57250514720769,0.006,0.143,7.41011688705304e-10
"TPTEP1",3.85495141552826e-14,-3.47978906784118,0.017,0.177,8.64125909304815e-10
"RPS10",5.76686286355678e-14,-1.16938808815445,0.606,0.823,1.29269997949489e-09
"RDUR",7.52113516995402e-14,-6.04968299148231,0,0.102,1.68593765969689e-09
"NFKB1",8.54994108485063e-14,-1.0078900717292,0.889,0.949,1.91655479358012e-09
"IFI6",8.57550562949028e-14,1.01675144404974,0.775,0.531,1.92228534190654e-09
"OLIG1",8.63336528690054e-14,-2.01823157529079,0.122,0.364,1.93525516271163e-09
"PDLIM5",1.23930988417293e-13,-0.892589509660709,0.743,0.864,2.77803703636203e-09
"SOD2",1.25407734205048e-13,-0.841659135049069,0.981,0.99,2.81113976994035e-09
"CD63",1.79777427626522e-13,0.574448603023891,0.919,0.724,4.02989081767612e-09
"MT-ATP6",2.26157083975944e-13,0.799475822673134,0.994,0.98,5.06953719440476e-09
"EIF1",2.51209652469527e-13,-0.686009477734991,0.998,1,5.63111556975692e-09
"ENSG00000273149",2.56075732013436e-13,3.8292778069307,0.188,0.037,5.74019360881319e-09
"SDCBP",2.87035806262031e-13,-0.530394707420484,0.929,0.99,6.43419463316969e-09
"EPSTI1",2.88479111305652e-13,0.895096693649082,0.801,0.592,6.46654775902749e-09
"ENSG00000273320",3.12656421553392e-13,-2.98913384163715,0.043,0.204,7.00850634554084e-09
"GIMAP1",3.58270949585778e-13,1.2750461064247,0.531,0.252,8.0310016059148e-09
"SERPINB1",4.18463678153527e-13,-1.11035012968135,0.743,0.813,9.38028180948946e-09
"TNFSF13B",4.38343115793729e-13,1.00019424073545,0.758,0.605,9.82589928363222e-09
"CXCL16",4.40392657987877e-13,0.533870366847137,0.953,0.963,9.87184182145625e-09
"TCF12",4.66436578436811e-13,-1.03402667254722,0.555,0.731,1.04556423422396e-08
"H3F3B",4.8120440503356e-13,0.835398915489513,0.722,0.449,1.07866779432323e-08
"GBP1",5.14933619208298e-13,1.64502740562943,0.69,0.592,1.15427520081732e-08
"CKB",5.28388018946756e-13,-1.8589400713188,0.195,0.418,1.18443458327105e-08
"PIK3AP1",5.51673574147182e-13,-0.688242277308638,0.884,0.939,1.23663148380832e-08
"CYRIA",5.84581589617615e-13,-0.940962768955521,0.259,0.541,1.31039809128684e-08
"MS4A4A",5.87008999094366e-13,1.54956927305649,0.445,0.18,1.31583937236993e-08
"IL1B",5.93161164086263e-13,-2.02710361817947,0.507,0.694,1.32963006541577e-08
"VAMP8",8.36165987027397e-13,0.35308493093165,0.82,0.565,1.87434967652061e-08
"DLD",8.53449569408168e-13,-1.27948596001129,0.36,0.561,1.91309255478535e-08
"GBP4",1.03201867229341e-12,1.17774650451669,0.647,0.401,2.31337305581292e-08
"CD55",1.04276689804047e-12,-1.22026626202517,0.503,0.667,2.33746627864752e-08
"ATP1B3",1.05373110557173e-12,-0.818512700864463,0.869,0.942,2.36204364624958e-08
"RPL6",1.23757490907796e-12,-0.410125806110686,0.989,1,2.77414791618915e-08
"HCK",1.58410536482757e-12,-0.571824852738932,0.921,0.969,3.55093058579748e-08
"AL138963.4",1.69140110583067e-12,4.04253058013421,0.216,0.041,3.79144471883003e-08
"ZFP36L1",1.89423002351998e-12,0.921165222456887,0.916,0.806,4.24610602072239e-08
"MEG3",2.25659545570311e-12,-6.11544290645211,0.002,0.109,5.05838437350408e-08
"CD47",2.60832857056471e-12,-0.633547288102952,0.775,0.901,5.84682932377785e-08
"CHASERR",3.46248213631493e-12,-0.285422438430133,0.246,0.449,7.76149995676355e-08
"BHLHE40",3.48409277576244e-12,1.93518581746927,0.37,0.163,7.80994236614909e-08
"RHOC",3.75234242602342e-12,-1.19671411484066,0.533,0.69,8.4112507821741e-08
"HLA-DQA1",4.29338508126919e-12,-0.637026143123626,0.636,0.789,9.62405199817302e-08
"H3-3B",4.32766838331014e-12,-1.11524566760573,0.276,0.548,9.70090144802801e-08
"ENSG00000234961",4.52630184153248e-12,1.53635906843407,0.218,0.201,1.01461582079792e-07
"ENSG00000283633",5.0719235433652e-12,-5.68280220009725,0,0.088,1.13692238148074e-07
"TAP1",5.2819045257007e-12,0.895526356750496,0.775,0.571,1.18399171848107e-07
"LYSMD2",5.7849784981086e-12,0.800227726633239,0.788,0.585,1.29676078013602e-07
"NAPSB",6.31289120431821e-12,-1.73780795711898,0.171,0.401,1.41509769235997e-07
"TNFAIP8",7.60217853053303e-12,-0.7241450773734,0.743,0.874,1.70410433940428e-07
"RPS2",1.06925637199271e-11,-0.350348502872028,0.996,0.997,2.39684508345885e-07
"H3F3A",1.09565918753453e-11,0.776072666956902,0.722,0.452,2.45602963477741e-07
"GIMAP5",1.35901705984061e-11,1.55442625170544,0.437,0.184,3.04637264133871e-07
"EVL",1.40742276811369e-11,0.896567363110311,0.794,0.616,3.15487887700366e-07
"LINC01578",1.64086334134782e-11,1.12765533910267,0.623,0.367,3.67815926596526e-07
"IRF1",1.7971469693534e-11,0.691000587330903,0.767,0.527,4.02848464650259e-07
"INHBA",2.1445230845468e-11,-0.439540239857375,0.242,0.102,4.80716294632011e-07
"ENSG00000289901",2.15330450812342e-11,-1.32640672623223,0.272,0.537,4.82684738540945e-07
"ATP2B1",2.19906250018096e-11,-1.15232314180659,0.732,0.806,4.92941850040564e-07
"TALAM1",2.4099437140403e-11,-0.371631865588733,0.266,0.51,5.40212982939273e-07
"DNAAF1",2.58948704089028e-11,-2.6580673872644,0.032,0.184,5.80459415085965e-07
"SGK1",2.77329665260368e-11,1.2360381840176,0.653,0.446,6.2166217764764e-07
"PTX3",2.96060222734146e-11,-4.23177285869219,0.028,0.16,6.63648595280863e-07
"SPN",3.14760009860242e-11,-1.09208801249056,0.488,0.687,7.05566038102717e-07
"RPS6",3.30378753824751e-11,-0.359092870109462,0.987,1,7.40577014573561e-07
"LGALS2",3.65729841387413e-11,1.60744157756034,0.435,0.18,8.19820012454026e-07
"SMIM3",3.76955157472221e-11,-2.00514345652566,0.156,0.306,8.44982680989732e-07
"ENSG00000286256",3.80148687833664e-11,-5.8187245081494,0,0.078,8.52141298647941e-07
"GCH1",4.42010375695819e-11,-1.03107570265253,0.58,0.745,9.90810458159747e-07
"ADA2",4.71785232367263e-11,0.757364994633631,0.794,0.571,1.05755377687446e-06
"ENSG00000248223",5.39308762251272e-11,5.48871139146438,0.09,0,1.20891452146245e-06
"LINC03076",5.68064304056419e-11,-2.82871590194996,0.032,0.18,1.27337294397287e-06
"GPX4",6.53506166695922e-11,0.567465468762636,0.953,0.867,1.46489942326558e-06
"IL6",7.99510519075161e-11,-2.66901594797737,0.051,0.201,1.79218277955888e-06
"TMA7",8.03662728293696e-11,-0.408903302508534,0.942,0.99,1.80149037174315e-06
"LYN",8.81526813306609e-11,-0.568850904877586,0.981,0.997,1.97603050470809e-06
"ENSG00000289139",9.27755693532909e-11,-5.77907756243383,0,0.078,2.07965716262337e-06
"RPL7A",1.03253689648149e-10,-0.356937020963332,0.994,1,2.3145347071529e-06
"RPL3",1.07336295731014e-10,-0.320515383235378,0.987,0.99,2.40605040510642e-06
