"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",5.85828520737817e-98,-4.79312614615634,0.023,0.697,1.31319321208589e-93
"ENSG00000280441",1.80088787015332e-74,-10.0217039553014,0.031,0.352,4.03687024973568e-70
"RBFOX2",1.13418084690922e-66,-2.05368914575562,0.375,0.951,2.54237978643171e-62
"APOO",4.88091023945046e-42,-1.79770381480094,0.301,0.807,1.09410483927522e-37
"ENSG00000257322",4.70189689589526e-41,-9.35784816101289,0,0.27,1.05397720818388e-36
"MT-ATP8",1.66080127278266e-25,-0.789580523331891,0.908,0.996,3.72285213306962e-21
"ENSG00000278996",1.72936298422206e-25,-4.13670748809217,0.076,0.316,3.87654006543217e-21
"DDX3Y",3.06323023051385e-25,-5.63737431060613,0.005,0.205,6.86653688471985e-21
"HLA-G",2.79178884370288e-22,-4.17956876925607,0.016,0.221,6.25807387204437e-18
"MT-ATP6",6.56766377880601e-22,1.88738860711582,0.843,0.742,1.47220751265716e-17
"USP9Y",1.41967181063539e-20,-4.61266055519628,0.009,0.193,3.1823363307203e-16
"RPSA",2.00996453753465e-20,-0.490007389913822,0.951,0.992,4.50553650733768e-16
"PTPRCAP",2.06069257897777e-20,-0.888109273031349,0.618,0.906,4.61924848503657e-16
"RASGEF1B",1.70582193493577e-19,4.33493231163284,0.306,0.029,3.82377044935202e-15
"GZMB",7.03812383277684e-19,1.35932621372923,0.618,0.287,1.57766583835526e-14
"PIK3R1",5.54792978687002e-18,1.14539265043191,0.741,0.488,1.24362394102478e-13
"EIF1AY",6.18852266250831e-18,-5.4321594294131,0.002,0.135,1.38721924002786e-13
"ENSG00000273149",9.83806366428992e-18,5.49146671107553,0.259,0.02,2.20530035098723e-13
"LITAF",1.21257739966907e-17,1.18111811868801,0.773,0.5,2.7181134990982e-13
"RPS3A",6.66482703141029e-16,-0.395465131236801,1,1,1.49398762736093e-11
"UTY",2.46278520899586e-15,-4.9159106921287,0.005,0.143,5.52057932448511e-11
"LINC00486",2.54664901764294e-15,5.69136629762989,0.198,0.004,5.7085684379484e-11
"RPS8",1.50342510596706e-13,-0.308230040804387,0.995,1,3.37007771753576e-09
"ALOX5AP",2.30238995703994e-13,1.0317969708708,0.694,0.463,5.16103732770072e-09
"RPLP2",3.46621046223989e-13,-0.380796079069682,0.995,0.996,7.76985737215694e-09
"PRKY",3.54832323792852e-13,-5.16401454319101,0.004,0.123,7.95392137014056e-09
"HAPLN3",1.44649586035131e-12,-3.81507786372112,0.02,0.139,3.24246512056349e-08
"RPS21",2.25419004548611e-11,-0.320997334160274,0.998,1,5.05299240596166e-07
"RPL27",2.27735448919154e-11,-0.399637125830916,0.942,0.971,5.10491782297176e-07
"RPS24",5.39722165574599e-11,-0.323935643015249,0.998,1,1.20984120635202e-06
"RPL4",5.44487967195416e-11,-0.368594107391554,0.915,0.918,1.22052422726524e-06
"ENSG00000257732",8.00737650236761e-11,-6.38268966792851,0,0.066,1.79493351677072e-06
"GBP1",2.04888339737722e-10,-1.99220625588286,0.133,0.25,4.59277702356078e-06
"RPS29",2.12352066223872e-10,-0.348555518682363,0.971,0.988,4.76008391647431e-06
"MTRNR2L12",2.63247664936814e-10,6.36080329574714,0.132,0.02,5.90095965722362e-06
"NPEPPS",3.58013717236832e-10,-1.11205292487544,0.324,0.496,8.02523548558082e-06
"RPS27A",4.02930456029777e-10,-0.312936471037183,1,1,9.03208910236349e-06
"RPL41",5.1277696273467e-10,0.804789387180726,1,1,1.14944083966604e-05
"XIST",5.92479920038082e-10,2.43065663570954,0.193,0.029,1.32810298875736e-05
"RPL13",8.58458237502674e-10,-0.234014555012259,1,1,1.92431998518599e-05
"RPS4X",1.06583704337375e-09,0.292242150942558,0.998,0.996,2.38918031642659e-05
"PRKX",1.07290249892425e-09,1.13505856170614,0.571,0.361,2.40501824158861e-05
"CXCR3",1.07941686569228e-09,-1.12202364234707,0.371,0.57,2.41962084613582e-05
"ANK2",1.2038456780924e-09,-1.37011642526822,0.121,0.316,2.69854047201192e-05
"TSC22D3",1.6212384533298e-09,0.802412007848191,0.557,0.287,3.63416811698409e-05
"RPS28",4.51966729893845e-09,-0.235715834285823,0.996,1,0.000101312862173004
"EEF1B2",4.94613360356132e-09,-0.373946557621499,0.89,0.918,0.000110872530857431
"STAT1",5.14131535530758e-09,-1.2475964103262,0.355,0.447,0.000115247725004575
"ISCU",5.35204795221523e-09,-0.767884805369167,0.463,0.623,0.000119971506896857
"KDM5D",6.04921559936162e-09,-3.72260960335229,0.005,0.082,0.00013559921687529
"ENSG00000290823",2.31445199427854e-08,-2.28179105712558,0.036,0.148,0.000518807559037477
"ZFY",2.36929669931768e-08,-3.9084511349301,0.004,0.078,0.000531101548119051
"AL137857.1",2.41778789517675e-08,5.80850098353113,0.077,0,0.000541971334582819
"SLC7A5",2.62431161030485e-08,1.65748407565733,0.377,0.209,0.000588265690565935
"DNAJB1",3.04566316034568e-08,1.61651045674751,0.533,0.316,0.000682715854023088
"BTG1",3.73941323052832e-08,0.285154189269188,0.989,0.98,0.000838226869755227
"ATP5IF1",4.23623307406506e-08,0.650167606832297,0.759,0.57,0.000949594005882424
"MT-ND5",4.28403499989224e-08,-0.4359209181313,0.903,0.943,0.000960309285575845
"RPS2",4.42929713377726e-08,-0.25558680495887,0.964,0.984,0.000992871245507511
"GRK2",7.02773927641477e-08,0.967502604627757,0.483,0.266,0.00157533803620113
"SRSF5",7.17575601537242e-08,0.520710607167833,0.832,0.734,0.00160851746840588
"CCR7",1.12088245913208e-07,-1.14387359799937,0.202,0.316,0.00251257012039048
"DUSP2",1.16476999455666e-07,0.760314410547184,0.766,0.648,0.0026109484197982
"MT-CO3",1.3569483677227e-07,-0.280374001145439,0.986,0.996,0.00304173546108721
"FAM118A",1.54599741213399e-07,1.37570046898632,0.281,0.098,0.00346550779903956
"DUSP1",1.6793230407647e-07,0.905309000696233,0.476,0.254,0.00376437052817816
"SEPTIN6",1.8475218002595e-07,0.550135624427911,0.723,0.541,0.00414140486746169
"EFHD2",2.18725685730242e-07,0.694431365074305,0.755,0.652,0.0049029549713291
"RPS23",2.3078497169e-07,-0.278657212380246,1,1,0.00517327592540303
"PRF1",2.3532380948739e-07,0.459646289736361,0.771,0.602,0.00527501851346933
"EEF1A1",2.49843742989635e-07,-0.169057559599712,1,1,0.00560049734285565
"LINC00278",3.33909226187427e-07,-6.28311637998743,0,0.049,0.00748490921421736
"IFITM3",3.72031215213664e-07,1.28862563883081,0.402,0.201,0.00833945172022949
"TXLNGY",4.12550435216225e-07,-5.78179559256542,0,0.041,0.00924773055580689
"ZBTB20",4.23101501098124e-07,-0.972218797603209,0.346,0.467,0.00948424324861556
"NOTCH2NLB",4.31431944678934e-07,-3.88447764939205,0.004,0.061,0.00967097847192299
"IDI1",4.3216573838801e-07,1.09692826802223,0.44,0.27,0.00968742719170563
"SYTL3",4.4397874388159e-07,1.40071735525193,0.308,0.119,0.00995222752284973
"GAREM1",4.49828153226109e-07,1.54317208370155,0.238,0.148,0.0100833478827165
"GAPDH",4.86828407426426e-07,0.547700001911825,0.987,0.98,0.0109127455808708
"SLC2A3",4.92569258379168e-07,0.861970590443389,0.643,0.443,0.0110414324958274
"VPS37B",5.02978412897493e-07,1.16782430317958,0.477,0.262,0.0112747641035102
"NME2",5.32739366626553e-07,-0.485914681950961,0.557,0.594,0.0119418856423008
"HSP90AB1",7.18157852795432e-07,-0.42440390497525,0.677,0.709,0.0160982264282624
"TENT5C",7.49986192025818e-07,1.23368961060793,0.393,0.197,0.0168116904804507
"RPL6",1.01323411999756e-06,-0.249457031449942,0.995,0.996,0.0227126560338654
"TSPYL2",1.12578280890215e-06,1.80578158911432,0.263,0.094,0.0252355474443506
"PPP1R14B",1.22323040314412e-06,-0.641648040617021,0.467,0.529,0.0274199327168786
"H3F3B",1.22697770899686e-06,0.383768273429324,0.638,0.631,0.0275039323248737
"ENSG00000287979",1.26925490965108e-06,-6.23962210828745,0,0.041,0.0284516180547385
"TRAF1",1.32071709262196e-06,-1.33552670809043,0.119,0.242,0.0296051943482139
"ZNG1E",1.42919965073366e-06,-3.3895507058087,0.009,0.07,0.0320369393708458
"GBP5",1.46443506619601e-06,-1.01616665372698,0.45,0.5,0.0328267764438497
"ADGRE2",1.52357066222974e-06,5.11333265764593,0.068,0,0.034152359964542
"AL138963.4",1.60285868627856e-06,2.40488453899278,0.155,0.041,0.0359296803116201
"HNRNPA1",1.93432611371971e-06,-0.239232099012742,0.814,0.898,0.0433598541651409
"THSD4-AS1",2.09199637055619e-06,-2.05604178774034,0.025,0.115,0.0468941906423876
"ORMDL2",2.12800775293834e-06,-1.22197769823409,0.155,0.262,0.0477014217898658
"LTB",2.17652360908229e-06,-0.538005428160417,0.623,0.77,0.0487889532211885
"GZMH",2.33544432606115e-06,0.909525248857005,0.348,0.168,0.0523513200129867
"ENSG00000289474",2.50809051783825e-06,-4.28358331639384,0.004,0.057,0.0562213570478622
"IL2RA",2.57140887817755e-06,-6.21111641118359,0,0.029,0.0576407014132279
"YPEL3",2.63713383585031e-06,0.334497215206564,0.84,0.762,0.0591139920644204
"IGLV2-14",2.6994416878576e-06,-2.36510022026618,0.047,0.18,0.060510684875016
"CCL3L3",3.00476509497195e-06,5.43474635706781,0.063,0,0.0673548143688913
"SH2D2A",3.01138813522633e-06,0.445684715702233,0.838,0.766,0.0675032764392333
"TSPAN2",3.02101497843297e-06,-2.09850964232207,0.043,0.115,0.0677190717565535
"HLA-E",3.03866325602669e-06,0.243526634927309,0.995,0.984,0.0681146755470943
"GPR183",3.10926691095422e-06,-0.594999749837019,0.495,0.598,0.0696973270759497
"PTPRC",3.19409795554403e-06,0.266079919580712,0.984,0.967,0.071598899771475
"RPL7A",3.26276261788001e-06,-0.227057168623491,0.998,1,0.0731380868423983
"TLE1",3.86051724908342e-06,1.48034702189337,0.259,0.094,0.0865373546554539
"NR4A2",4.01370796331769e-06,2.27292615489058,0.196,0.053,0.0899712777057294
"CLIC1",4.1670745655483e-06,0.421194836925612,0.874,0.73,0.0934091434613307
"HLA-A",4.86433564387105e-06,-0.185513464130418,0.998,1,0.109038947793013
"FOSL2",4.87155357878386e-06,1.22250135240805,0.362,0.176,0.109200745022019
"RPS13",5.18924632331531e-06,-0.222117366430298,0.998,0.992,0.116322145583436
"AC004448.2",5.19699790566945e-06,2.99830576145491,0.108,0.02,0.116495905053487
"CMIP",5.78752150674176e-06,0.989388750949996,0.497,0.291,0.129733082095123
"TESPA1",6.24972974626763e-06,-1.00064665999667,0.162,0.221,0.140093941992335
"SARAF",7.37222243905579e-06,0.365297964423052,0.96,0.898,0.165255738193875
"TCF25",7.46837812030783e-06,0.607514350316923,0.627,0.418,0.16741116394482
"IL1B",8.23448718644858e-06,-4.74261906202857,0.002,0.053,0.184584264771431
"GAS5",9.18980759442906e-06,-0.484247189295809,0.604,0.635,0.205998727036722
"RPS5",1.02766037161418e-05,-0.188114331098276,0.975,0.971,0.230360348901035
"KLF3",1.09296227178452e-05,0.747382745639673,0.501,0.299,0.244998422843218
"PKIA",1.09506615063535e-05,-1.27804261641381,0.099,0.197,0.245470028326419
"FKBP2",1.15697302617709e-05,-0.834956580173893,0.27,0.434,0.259347073547857
"RPLP1",1.18827722914431e-05,-0.136748892642902,1,1,0.26636422368499
"RPL37A",1.30751365427075e-05,-0.147611189877437,0.959,0.98,0.293092260741332
"CCNG2",1.35095758147604e-05,-0.751493384080696,0.166,0.143,0.302830651463669
"CD82",1.43276100577612e-05,-1.10806396430093,0.146,0.242,0.321167707054776
"SYAP1",1.49036673893559e-05,1.20618688974429,0.409,0.225,0.334080608199802
"ID3",1.55100780288678e-05,-1.49473111024362,0.068,0.16,0.3476739090951
"RPL3",1.60288054199012e-05,-0.195725101083693,0.996,1,0.359301702292504
"TPT1",1.63111025603644e-05,-0.166899753115994,1,1,0.365629674993127
"NKG7",1.84133834458729e-05,0.301085516316667,0.939,0.902,0.412754403322687
"AOAH",2.05970774399455e-05,0.314328871693061,0.771,0.631,0.461704087893817
"TRBJ2-2P",2.26623736972953e-05,5.37749457188774,0.049,0,0.507999768798572
"MAN1B1",2.4099963320575e-05,1.37467272680757,0.177,0.057,0.54022477779401
"RPL28",2.46711650033244e-05,-0.122907091806335,1,1,0.553028834714521
"GPI",2.5252856827727e-05,1.03225765060549,0.587,0.463,0.566068038650329
"GYPC",2.53625158693634e-05,0.404641897320821,0.805,0.758,0.568526155727649
"RPS10",2.59776030474638e-05,-0.378657593948871,0.562,0.668,0.582313949911949
"CSGALNACT2",2.78458644023374e-05,1.16044432582154,0.346,0.168,0.624192896442796
"ENSG00000291099",2.87540236764841e-05,-2.92323917762339,0.013,0.061,0.644550194732067
"PXN",2.87770759495908e-05,1.11617069517423,0.297,0.131,0.645066934486027
"TBL3",2.90759683512383e-05,-1.26153736119853,0.085,0.184,0.651766906561357
"S1PR5",2.96423502055513e-05,0.5205173520387,0.395,0.225,0.664462922207639
"DDX3X",3.04134649235525e-05,0.729820581576686,0.55,0.373,0.681748229726352
"TMEM204",3.19682906335834e-05,-1.1034101257414,0.159,0.279,0.716601202842404
"ENSG00000248223",3.20432699745829e-05,4.93517458074419,0.052,0,0.71828193975025
"CASC3",3.21102052892703e-05,1.08552719706289,0.231,0.094,0.719782361764284
"RPL18",3.38030588381435e-05,-0.19613923255783,0.996,1,0.757729366915826
"NDUFAB1",3.54740683141157e-05,-0.288163496087082,0.413,0.389,0.795186715329218
"MT-ND6",3.55868621970511e-05,-0.548065204564722,0.609,0.652,0.797715103009099
