"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",3.21521037036264e-73,-4.45361562341533,0.036,0.718,7.2072155662049e-69
"RBFOX2",3.49890959158608e-32,-0.794231325204514,0.712,0.996,7.84315574049935e-28
"APOO",1.49346992685754e-30,-0.84667177188643,0.688,0.974,3.34776218804385e-26
"UTY",2.16190658738459e-30,-5.06801436703469,0.014,0.346,4.84612980628129e-26
"HLA-DRB5",4.16671682724334e-29,1.74106882130155,0.887,0.56,9.34011243994867e-25
"EIF1AY",1.17252451011156e-28,-5.02446381257893,0.017,0.308,2.62833094186607e-24
"MT-CO3",4.29587599627204e-24,-0.546009317706276,0.993,1,9.6296356332434e-20
"AC004448.2",3.74766709333162e-23,4.15384193090581,0.418,0.137,8.40077055641216e-19
"HLA-G",2.69285740495082e-21,-5.07302664302479,0.014,0.282,6.03630915893777e-17
"WARS",4.63182661819117e-21,-1.82831122864816,0.752,0.761,1.03827025473373e-16
"DDX3Y",5.64914127879413e-21,-3.29967258077042,0.029,0.308,1.26631150905449e-16
"GBP5",6.20681197169683e-20,-3.69689542989262,0.185,0.449,1.39131897157556e-15
"ENSG00000280441",1.15805076388317e-16,-10.5243970986248,0.007,0.15,2.59588659232052e-12
"GATD3B",1.37775730290895e-15,-2.39704735406139,0.06,0.291,3.08838077020071e-11
"RPS29",2.50907889071154e-15,-0.36040999912754,0.998,1,5.624351241419e-11
"IRF1",1.33305502473528e-13,-1.43354443156782,0.594,0.752,2.98817614344661e-09
"XIST",1.91997949899736e-13,2.07948507128221,0.438,0.103,4.30382604495248e-09
"USP9Y",6.92993702768533e-13,-3.75778668829699,0.014,0.171,1.55341468412594e-08
"LINC00278",7.44697455330135e-13,-4.74784254971149,0.007,0.158,1.66931381586803e-08
"MT-CO1",2.15228530868776e-12,-0.362696608141144,0.998,1,4.82456274795449e-08
"SOCS1",2.44616866983379e-12,-2.15228709578637,0.236,0.44,5.48333169029942e-08
"ENSG00000257322",2.49421949650345e-12,-7.19359357568188,0,0.124,5.59104242336214e-08
"GBP4",9.85552691238756e-12,-1.64157147237518,0.5,0.603,2.2092149126808e-07
"RPS2",1.09968995528311e-11,-0.24263867914575,1,1,2.46506500376261e-07
"GBP1",1.1673339994779e-11,-2.12858677385512,0.207,0.419,2.61669589322966e-07
"ZFP36L1",1.19126705192423e-11,0.462721512178074,0.981,0.906,2.67034422359335e-07
"CD38",1.44402228581526e-11,-1.52713854754413,0.373,0.509,3.23692035588348e-07
"GAREM1",1.53426794006521e-11,2.0877695069068,0.558,0.325,3.43921501445018e-07
"IFITM1",1.78587721924939e-11,-1.39742533747482,0.716,0.684,4.00322237466943e-07
"PRKY",4.27183309087654e-11,-3.73619121099412,0.007,0.124,9.57574105650886e-07
"AC004556.3",6.73404512657314e-11,-4.95527406698416,0,0.064,1.50950355557263e-06
"PTPRCAP",1.67459967400007e-10,-0.982689586202155,0.575,0.726,3.75378262923855e-06
"TMSB10",3.55594445482784e-10,-0.690428375129028,1,1,7.97100508994208e-06
"MT-ATP8",3.7210455645595e-10,-0.262092948467169,0.978,1,8.34109573751658e-06
"STAT1",6.57102592950003e-10,-1.18241930429922,0.601,0.662,1.47296117235673e-05
"S100A11",7.81264308821219e-10,-0.899074743273139,0.752,0.774,1.75128207465365e-05
"ACTB",1.42733907018157e-09,-0.290564018524867,1,1,3.19952325971902e-05
"IFITM2",1.62316219163333e-09,-0.460297858937066,0.901,0.821,3.63848036876527e-05
"RPS4X",1.89682506695009e-09,0.350149314698194,1,1,4.25192307007533e-05
"PPP1R15A",5.68441947482448e-09,0.834329600721334,0.579,0.316,0.000127421946947666
"HAPLN3",5.72392094606555e-09,-2.41185738740246,0.111,0.299,0.000128307411927005
"RPL37A",7.9037323271451e-09,-0.164794343956148,0.998,1,0.000177170063845285
"AL157871.4",8.33258004506387e-09,-2.3939232320767,0.058,0.197,0.000186783114290152
"KDM5D",1.02802543058144e-08,-4.40628060720682,0.005,0.107,0.000230442180519136
"EIF2S3",1.05842848026929e-08,0.733839793811871,0.849,0.637,0.000237257328137163
"ISG20",1.61148280214285e-08,-1.01667071350784,0.752,0.829,0.000361229984928341
"MTRNR2L12",2.11254604122403e-08,7.57316877427715,0.142,0.017,0.000473548320600778
"REL",2.48121518742856e-08,0.519771750310161,0.952,0.821,0.000556189196413986
