"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000280441",7.56189041026179e-60,-9.77892110582066,0.094,0.492,1.69507335436428e-55
"RBFOX2",4.7957391508265e-45,-2.6839516854978,0.237,0.969,1.07501288804927e-40
"MT-ATP8",1.20017161169802e-39,-1.81939925615908,0.792,1,2.69030468478229e-35
"RPS4Y1",1.34028623816314e-37,-5.35439935554316,0.004,0.547,3.0043856314665e-33
"APOO",5.85466283507618e-31,-2.96955598923675,0.176,0.836,1.31238122111068e-26
"RPL41",3.97620315165573e-30,1.50324391772996,1,1,8.91305698475148e-26
"IFITM3",7.05112920276006e-30,2.84389530629836,0.878,0.609,1.5805811220907e-25
"ENSG00000257322",9.97900918956873e-27,-7.56953477805356,0,0.352,2.23689469993373e-22
"ENSG00000287979",3.05870252625639e-24,-7.8223532811847,0,0.32,6.85638758285633e-20
"IFITM1",4.2065529377617e-23,3.78551702333538,0.608,0.102,9.42940906528664e-19
"LINC00486",5.84448484040687e-21,6.05430007188823,0.441,0.008,1.3100997218256e-16
"LY6E",5.84971748794814e-21,1.88528451288452,0.792,0.406,1.31127267209846e-16
"ENSG00000278996",6.99649478823455e-21,-3.21185542324795,0.151,0.461,1.56833427173066e-16
"UBC",2.67301055114591e-20,1.14542883782697,0.98,0.969,5.99182045144868e-16
"UTY",1.01149063894783e-19,-6.83911930913587,0,0.297,2.26735741626546e-15
"DDX3Y",1.56172224004204e-19,-5.04840402369911,0.004,0.32,3.50075657327823e-15
"IRF1",6.49425997724665e-17,2.2268412393241,0.71,0.375,1.45575331649961e-12
"ATP6V0C",6.66194752291278e-17,0.839925737468377,0.98,0.945,1.49334215673613e-12
"HLA-DQA1",1.65295873244791e-16,-2.67497336810316,0.253,0.727,3.70527229465524e-12
"RPL28",1.93686853235306e-16,0.763186132752809,1,1,4.34168450212262e-12
"TYMP",1.04280598935908e-15,0.912436480031715,0.939,0.938,2.33755390574732e-11
"NBPF26",3.66427381717881e-15,-1.64358862821532,0.224,0.719,8.21383618858801e-11
"IFI6",4.78821621409638e-15,1.27092526908891,0.714,0.445,1.07332654655185e-10
"ENSG00000273149",6.16890346312739e-14,4.28476086176378,0.416,0.047,1.38282140029464e-09
"ENSG00000290039",8.73153326320592e-14,-4.77981934400668,0.041,0.305,1.95726049628024e-09
"RASGEF1B",1.30716658866241e-13,1.70654716990101,0.8,0.695,2.93014462514565e-09
"LDHA",2.39168149316357e-13,1.85829412812623,0.857,0.75,5.36119323507546e-09
"ZFY",1.71714498764855e-12,-6.28373311434478,0,0.188,3.84915220431298e-08
"IFI44L",3.09793197659498e-12,2.03911108442388,0.367,0.07,6.94432431873532e-08
"PSME2",3.25692988127159e-12,0.80128225359581,0.767,0.758,7.30073402185839e-08
"EIF1AY",4.35911615484574e-12,-5.80026419823401,0,0.18,9.77139477270222e-08
"LINC00278",6.50793004494519e-12,-6.61174910197186,0,0.188,1.45881759887491e-07
"MT-CO3",1.28565662859741e-11,-0.506389084054505,0.984,1,2.88192789866395e-07
"TAP1",1.29413822393935e-11,1.31507454313951,0.6,0.406,2.90094024278245e-07
"CCL4",1.47520822893009e-11,-2.9257906491933,0.335,0.641,3.30682676596968e-07
"XAF1",2.04996792911869e-11,2.18099166786052,0.482,0.172,4.59520810991246e-07
"IL1A",3.77333938859325e-11,-3.77566531414998,0.102,0.367,8.45831757347064e-07
"BCOR",4.1681410134485e-11,2.64385161021833,0.437,0.133,9.34330489574615e-07
"UBE2L6",4.48243548927969e-11,1.32790185416377,0.473,0.273,1.00478273927694e-06
"ZNF385A",7.20329428750516e-11,1.34575776842655,0.824,0.664,1.61469044748716e-06
"BTG1",9.85926892494114e-11,1.50068181894312,0.939,0.828,2.21005372221481e-06
"NBPF8",1.02010846124814e-10,-4.14749161731632,0.012,0.203,2.28667512673384e-06
"UBE2R2",1.69914720804746e-10,1.18736876070724,0.829,0.773,3.80880838155919e-06
"ZFAS1",2.75746047461628e-10,1.29062572445844,0.898,0.789,6.18112339989986e-06
"ENSG00000289474",5.29705077962628e-10,-4.67551950845626,0.008,0.172,1.18738690276103e-05
"SAT1",5.33142303597721e-10,1.09244615637859,0.971,0.984,1.19509178774465e-05
"CXCR4",5.34461082469242e-10,1.74294000446398,0.665,0.328,1.19804796246305e-05
"RPS9",6.69431391184546e-10,0.70500728780064,0.996,0.992,1.50059740647928e-05
"CSMD1",9.29207575349872e-10,5.57695198125732,0.2,0,2.08291170090427e-05
"ENSG00000234961",1.01988143987023e-09,2.11999245817283,0.506,0.312,2.2861662356131e-05
"CYP1B1",1.2528920873471e-09,-1.3906170820038,0.506,0.766,2.80848290299726e-05
