"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000280441",6.13863764704247e-14,-10.8414117020652,0.025,0.421,1.37603701496104e-09
"RBFOX2",1.84731644753542e-12,-2.07961401248558,0.407,0.974,4.1409445487954e-08
"RPS4Y1",9.0546952342677e-08,-2.22760677551779,0.111,0.605,0.00202970048371345
"ENSG00000290823",1.88228270617468e-06,-6.33286273609912,0,0.237,0.0421932491416116
"ENSG00000278996",3.2730290236752e-06,-5.2229529539976,0.025,0.316,0.0733682185947032
"HLA-G",5.17122814418188e-06,-6.14888357177723,0,0.237,0.115918250079981
"ENSG00000257322",1.38676208629632e-05,-5.80995964806726,0,0.184,0.310856589264184
"H3F3B",1.82698799277477e-05,1.11802123806613,0.827,0.553,0.409537628460392
"XIST",2.0429859469492e-05,5.19416318910269,0.296,0,0.457955729868132
"H2AC17",3.63805912026212e-05,-5.80949637108333,0,0.184,0.815507332397957
"LITAF",4.2632906030267e-05,1.36985121461755,0.802,0.5,0.955659221574466
"UTY",0.000127156869207207,-2.89996417344457,0.037,0.316,1
"H3-3A",0.00017880585841583,-1.69195023049914,0.16,0.421,1
"BZW1",0.000280408547487603,-1.06535617304104,0.494,0.474,1
"NDFIP2",0.000322640283312519,-5.50120412232823,0,0.158,1
"APOO",0.000347101585374515,-1.48473962589041,0.272,0.632,1
"GABARAP",0.000354293358172022,0.971102399951076,0.864,0.816,1
"GPI",0.000415470954004927,2.75383919505132,0.531,0.237,1
"GBP5",0.000512318801406135,-1.66906236692519,0.469,0.447,1
"TALAM1",0.000518770044425296,-0.715340644326494,0.148,0.395,1
"MPHOSPH8",0.000545938397764278,1.72944014213347,0.556,0.184,1
"GAREM1",0.000592024453682249,3.38220616088233,0.284,0.053,1
"GDAP2",0.000605408727078385,-3.47316220932995,0.025,0.211,1
"MTRNR2L12",0.00065620943120434,8.80661138546689,0.185,0,1
"PMEPA1",0.000664045810037065,-2.88501718023696,0.086,0.368,1
"H1-4",0.000690195276673107,-1.82210294057071,0.074,0.342,1
"AL138963.4",0.000701013167911218,5.01117809546603,0.173,0,1
"RPS10",0.000710550418110156,-1.22755724665762,0.432,0.684,1
"H3F3A",0.000773792871465938,0.425974687368615,0.802,0.526,1
"H3-3B",0.000799824508127609,-1.23324543558352,0.16,0.421,1
"ACAP1",0.000835610860117371,2.09201327777691,0.506,0.158,1
"LY6E",0.000849586758221271,0.236443858180405,0.864,0.553,1
"TPT1",0.000858606873967782,-0.511301928248607,0.975,1,1
"GNG2",0.000889556071306849,-1.19334245518851,0.728,0.763,1
"ARL2",0.000985147359122151,4.22649515486056,0.173,0,1
"C12orf10",0.000989672199545941,4.41994359045665,0.173,0,1
"GAPDH",0.00115086490258208,1.04656144717179,0.975,0.921,1
"CLPTM1L",0.00118608063679581,4.12157792450525,0.198,0,1
"OXR1",0.00134068776249481,1.66805951455212,0.235,0.026,1
"ENSG00000283674",0.00134153027746992,-5.35261254662308,0,0.132,1
"AC092821.3",0.00143208575684192,0.695220390869496,0.568,0.263,1
"TNFSF10",0.00146844170882456,-1.87927583249939,0.136,0.421,1
"DNPH1",0.00147578914650716,-1.55559008871297,0.148,0.421,1
"ENSG00000289901",0.00147621013077029,-1.88242618364553,0.148,0.395,1
"TMEM175",0.00153991665177464,4.48131274987269,0.16,0,1
"H4C3",0.00178557230562489,-3.06546681103454,0.111,0.342,1
"CTBP1",0.00184276349981783,2.14658388552793,0.37,0.079,1
"H2AC13",0.00190174266399821,-4.93761613949307,0,0.105,1
"PRKCH",0.00191977617658502,0.355992868898246,0.605,0.763,1
"UBB",0.00205413779313882,-0.68659822016772,0.914,0.974,1
"MBP",0.00208235529652767,0.919138589762342,0.79,0.711,1
"HLA-DPA1",0.0021020534659242,2.27517836425768,0.457,0.132,1
"DNAJC9",0.00219925363134227,-4.79797717334556,0,0.105,1
"PPP6R1",0.00225607574616017,2.62082333294051,0.37,0.079,1
"ZNF638",0.00227710998220441,0.917194663982873,0.42,0.132,1
"TGFB1",0.00228536944721433,-1.37554777646354,0.753,0.763,1
"RPSA",0.00242277050533427,-0.903756969548597,0.815,0.868,1
"GPR132",0.00260608365000329,4.21205460156872,0.16,0,1
"EFCAB7",0.00261421405548515,-4.47950538099314,0,0.105,1
"AL627171.2",0.00264851874467126,-0.548354602918443,0.173,0.053,1
"PATL2",0.0027082801641267,0.937567449092204,0.259,0.053,1
"BORCS7",0.00278516347844104,3.90700340702203,0.173,0,1
"MATR3",0.00280755841369666,-2.28484820328329,0.111,0.316,1
"LINC02446",0.00283327300655627,5.53528843670499,0.148,0,1
"NACC1",0.00292992442648065,-2.51628723965887,0.025,0.211,1
"VPS29",0.0029473908429231,2.26234331428021,0.42,0.105,1
"ATP5MJ",0.00309282564276305,-2.98339772207273,0.037,0.237,1
"ORAI3",0.0031438406880202,3.59654217668642,0.259,0.026,1
"NFKBIA",0.00316124070819469,-0.916697431304226,0.531,0.789,1
"H2AZ2",0.00325058824228196,-2.16978916683079,0.099,0.316,1
"ACOT2",0.00332835567631433,3.97703692868861,0.16,0,1
"ENSG00000287263",0.0033722916523277,-4.84775030523711,0,0.105,1
"RPL37A",0.00338264293388798,-0.504236241474933,0.901,0.921,1
"MAF1",0.00352277471764037,-1.00788640621782,0.333,0.632,1
"SHISA5",0.0035659010009472,0.664257464243326,0.605,0.289,1
"RHOQ",0.00372100036652991,4.53258528837042,0.16,0,1
"MT-ATP8",0.00384994449308253,-0.59520216793243,0.901,0.974,1
"LONP1",0.00386669321511406,4.04194867853153,0.173,0,1
"FBXL5",0.00386989684708684,2.68749396115672,0.321,0.053,1
"FRG1",0.00397861880077142,2.1929683231456,0.358,0.079,1
"LINC02100",0.00412971672241491,-1.87244814391975,0.012,0.158,1
"HAGHL",0.00421629157113054,4.0789491698031,0.136,0,1
"EPHA4",0.00423220677914536,-2.0644226006178,0.099,0.342,1
"TANK-AS1",0.00429819080344384,-4.74457407614338,0,0.105,1
"NHERF1",0.00439327930567928,-2.63409763945917,0.062,0.263,1
"HSPA8",0.00445715786454396,-0.647213125105166,0.654,0.895,1
"TRAF1",0.00448593714923926,-2.94435110011288,0.074,0.289,1
"RNF157",0.0044977205150029,-4.04134316139143,0,0.079,1
"STAT4",0.00463779180286447,-0.923167445022571,0.407,0.737,1
"SASH3",0.00464205992248377,0.347158928018341,0.543,0.289,1
"PDRG1",0.00473223324065942,4.08674968327163,0.148,0,1
"TXLNA",0.00474495290636965,4.09579965325059,0.148,0,1
"TTTY14",0.00478367911003499,-4.84858933366248,0,0.105,1
"RPS2",0.00478489934774486,-0.529865871066701,0.765,0.895,1
"AC097534.2",0.00478602852023254,4.23440805995182,0.123,0,1
"MTFR1L",0.00483939662120796,3.94607650225399,0.136,0,1
"CD38",0.00484479279556947,-1.43614858014088,0.333,0.632,1
"PRPF4",0.00489321327541047,4.05134313064121,0.16,0,1
"SPG21",0.00490487201235372,3.95474909357638,0.173,0,1
"TLE1",0.00493069325824343,-2.05218607155832,0.099,0.368,1
"COX7A2",0.00510347320861993,0.74167702937941,0.728,0.395,1
"PGLS",0.00511693846028224,0.993775263841906,0.42,0.132,1
"ALPK1",0.00523554959022669,-3.32695880172399,0.012,0.079,1
"IER2",0.00537701873422369,-0.93566714973093,0.642,0.789,1
"PYURF",0.00556669705318515,1.18396663718673,0.346,0.105,1
"EEF2",0.00556760753144702,-0.441476455653306,0.815,0.974,1
"APRT",0.00563766669773895,-0.591848889328208,0.469,0.421,1
"RFC3",0.00568637485678714,-3.90786591242374,0,0.079,1
"FAM49B",0.00571738864148039,1.20943396171384,0.568,0.316,1
"POLR2K",0.00573504516355796,-1.78607539273423,0.173,0.421,1
"MAZ",0.00591185541262263,2.12193702098563,0.346,0.079,1
"SMS",0.00596499949364104,0.40997593366548,0.235,0.079,1
"P2RY8",0.00610130512871335,-1.05034848714569,0.272,0.526,1
"BET1L",0.00610695838371965,4.10141921240825,0.148,0,1
"LAMTOR4",0.0061370859401695,0.922967624285859,0.642,0.316,1
"RPS3A",0.00621655438490126,-0.670823440576167,0.975,1,1
"TFG",0.00633249283678801,-2.96480958772849,0.049,0.237,1
"ZNF767P",0.00640975438557621,-3.89618383766589,0,0.079,1
"PEX3",0.00641132106248707,3.75551728973041,0.123,0,1
"NFKB1",0.0066117505156342,-1.19248242378725,0.407,0.553,1
"PPDPF",0.00676009835327124,0.533804517934108,0.914,0.658,1
"IMPAD1",0.00679052492193799,4.16183289107314,0.136,0,1
"KCTD18",0.00679085875684652,3.69100585655948,0.123,0,1
"KDM6A",0.00680090702130193,2.10363574892406,0.383,0.105,1
"CWF19L1",0.00691695189346883,3.60989880208074,0.136,0,1
"PFKFB4",0.00702490984381953,4.21988318240974,0.136,0,1
"LTBP4",0.00709104250652006,3.97963401632717,0.123,0,1
"PKIG",0.00714555662435246,-3.17931874867197,0.012,0.079,1
"APOBEC3G",0.00715997776295258,-0.830618657573796,0.617,0.605,1
"HARS1",0.00743886716847635,-2.72797759904288,0.025,0.184,1
"SNHG7",0.00746842669348284,1.15810431222989,0.494,0.184,1
"PCF11",0.00766930788172648,1.38673357362674,0.333,0.079,1
"GPATCH4",0.00776148851857168,-4.07971721323343,0,0.079,1
"A1BG",0.00781024089110892,3.69499356169392,0.136,0,1
"AGTPBP1",0.00783083136237043,1.47278412668315,0.444,0.158,1
"RNF141",0.00783418052797507,-3.92351852695321,0,0.079,1
"ENSG00000290968",0.00800015878997675,-3.93191496543023,0,0.079,1
"NCEH1",0.00817444481822549,-3.48682063572621,0.012,0.079,1
"SIGMAR1",0.00822505649988924,3.71236120438389,0.123,0,1
"IRF1",0.00833487764788057,-0.951994073150143,0.704,0.789,1
"RPL41",0.00854318524028856,0.906297499888043,0.988,1,1
"ARHGAP31",0.0085578671456469,-1.93470956997081,0.086,0.211,1
"TRPT1",0.00867918848136728,0.861688303575205,0.259,0.079,1
"ZNF302",0.00883152489552781,3.71512322860938,0.136,0,1
"GCNT1",0.00884971002022701,-2.4702143482622,0.049,0.237,1
"GIMAP7",0.0088626238683082,-0.847730965137565,0.716,0.842,1
"TOR1AIP1",0.00899864378075938,1.91278959371673,0.358,0.105,1
"WDR54",0.00904836173904246,1.538065639595,0.358,0.105,1
"MGST3",0.00906372720944979,2.4288042478282,0.296,0.053,1
"LUC7L2",0.00916988224292438,1.66628509282741,0.469,0.184,1
"SRRD",0.00918974997909442,3.63281381291119,0.136,0,1
"MYL3",0.00924667677206465,-4.00802280758161,0,0.079,1
"PNISR",0.00925530822513703,0.973425348088713,0.654,0.342,1
"LPCAT4",0.00939466394129001,3.60263994081028,0.136,0,1
"CDKL1",0.0094833626613376,-4.12018093162399,0,0.079,1
"CLDND1",0.00949073081373458,-0.262285535112772,0.432,0.316,1
"MYL6B",0.00989294467986701,3.88359968167546,0.111,0,1
"AMPD2",0.00999383270301471,3.518064465259,0.123,0,1
"EIF4A1",0.0100238447433255,-0.519794482978238,0.593,0.816,1
"FECH",0.0100767026827948,3.57550385112089,0.111,0,1
"CYTIP",0.010206750437007,-0.889657776068591,0.519,0.737,1
"ZC3H12A",0.0102369312280681,-1.78084017102894,0.16,0.289,1
"STOML1",0.0102587885846257,-4.13327957869392,0,0.079,1
"WASF2",0.0102679788699158,1.33116280002397,0.568,0.263,1
"SEPTIN9",0.0103022944591881,0.867202344859539,0.765,0.5,1
"IKZF4",0.010316420759029,-4.08641153147707,0,0.079,1
"ENSG00000289137",0.0105170623452467,-4.10625361958374,0,0.079,1
"AL135905.2",0.0107389294252382,3.54837566837757,0.111,0,1
"AC079781.5",0.0108687159005213,3.78640365493503,0.111,0,1
"ARPC4",0.0108812049105691,1.10624416146946,0.519,0.211,1
"PLEKHA5",0.0109127450494783,-4.11399313547824,0,0.079,1
"GLA",0.0109557831782604,-3.35559165780041,0.025,0.105,1
"CLPB",0.011038107265788,-3.69979514411512,0.012,0.079,1
"PCNA",0.0111338373816714,3.72540220587876,0.111,0,1
"ATP1B3",0.0112506098012286,-1.4985250875433,0.148,0.342,1
"TARS3",0.0112984762906012,-4.13478964822563,0,0.079,1
"PDK3",0.0113081691979033,-1.42633761326561,0.136,0.395,1
"PKNOX1",0.0113296328093918,3.48580776028202,0.123,0,1
"LINC-PINT",0.0113681460535281,-2.14592937344735,0.16,0.316,1
"SEC62",0.0114195883606465,-1.01971001234186,0.42,0.5,1
"GYPC",0.0114502951411957,0.760834585226075,0.679,0.658,1
"WASHC5",0.0115646308515097,3.54540536198147,0.123,0,1
"NCOR1",0.0116564641782466,1.14481161750402,0.556,0.368,1
"WASHC1",0.0117031251830074,2.33883713968659,0.21,0.026,1
"ATP10D",0.011778742817042,3.68089355319309,0.111,0,1
"NR3C1",0.0118447464588799,-0.949842764693622,0.593,0.763,1
"MLXIP",0.0119168400876248,3.74720349244595,0.111,0,1
"RFX7",0.0119178072100025,-1.13235518372853,0.099,0.289,1
"H2AC21",0.012052619206432,-5.01559147558847,0,0.079,1
"HLA-DMA",0.0121074359072374,4.2233050169309,0.148,0,1
"HNRNPK",0.012117023283246,-0.400303813952777,0.691,0.895,1
"SESN2",0.0122039524176372,3.66059357048691,0.136,0,1
"C16orf91",0.0125878922557241,3.47574116795331,0.111,0,1
"HTT",0.0125989939066721,3.26005733530868,0.123,0,1
"SPG11",0.0126754498666836,2.32922861669672,0.272,0.053,1
"KDM4B",0.0127387026307117,1.80879416322731,0.284,0.053,1
"SGO1-AS1",0.0127596163602707,-4.35103131781295,0,0.079,1
"ECHDC1",0.0128313662554285,-1.31825153155241,0.247,0.368,1
"SKP2",0.0128890851970322,3.41445286881483,0.111,0,1
"HPCAL1",0.0129015384320668,1.9508561128716,0.346,0.079,1
"TBCEL",0.0129488795065005,3.93617868506475,0.123,0,1
"ENSG00000268027",0.0130791801449009,-4.31208385113026,0,0.079,1
"USP9Y",0.0130860247014228,-3.75341185666984,0.012,0.158,1
"MARCHF3",0.0131123139250771,-1.69831426501078,0.074,0.237,1
"NFS1",0.0131452461306236,-3.90993225456153,0.012,0.132,1
"ENSG00000289366",0.0131721814186264,-4.59788089127314,0,0.079,1
"ABR",0.0131805207995391,1.82465764054907,0.284,0.053,1
"JOSD2",0.0133241165507091,3.12080154682412,0.222,0.026,1
"TRPS1",0.0133431581146955,3.82426447555,0.148,0,1
"NUP107",0.0134478465029924,3.67901018014091,0.136,0,1
"CCDC115",0.013459711251661,2.25785260368276,0.272,0.053,1
"APEH",0.0135379332487163,3.07318251113605,0.222,0.026,1
"AKAP13",0.0136888900204301,-0.248060799756681,0.704,0.5,1
"PHF20",0.0138972629642325,1.99627296174961,0.346,0.105,1
"RCC1",0.0139161145291806,-3.29897639688548,0.025,0.184,1
"KBTBD6",0.0140004910876867,-4.39091212995022,0,0.079,1
"DENND4C",0.0142278311313032,1.63521248185022,0.37,0.132,1
"MRPL40",0.0143050795686459,3.57198212429179,0.111,0,1
"PPIF",0.0144295216190272,4.8496837342168,0.136,0,1
"DDX31",0.0144547514690236,-4.39687918137368,0,0.079,1
"CEP135",0.0144617710778968,3.79863854483944,0.111,0,1
"SAR1B",0.0144663256634886,-1.96284748183101,0.086,0.289,1
"LINC00278",0.0145171686740454,-4.38777619934705,0,0.079,1
"FERMT3",0.0145697693866991,1.3037207478596,0.457,0.263,1
"TCEAL3",0.0146262763706757,3.74075293607708,0.111,0,1
"PRPS1",0.0146271780691208,3.6176726133439,0.123,0,1
"TOB2",0.0146641393352923,3.80013963984304,0.123,0,1
"CDK5",0.0147627868047167,3.52151334155676,0.111,0,1
"LTBP1",0.0148544704353398,-4.69941585734236,0,0.079,1
"TNFRSF25",0.0148593207586573,-2.37544712267124,0.025,0.158,1
"SLC25A42",0.0150633452701876,3.56315578744046,0.099,0,1
"ACO1",0.0151565603340377,-4.70268494736341,0,0.079,1
"CISD2",0.0152223916606759,2.97246231478114,0.21,0.026,1
"MTX2",0.0152322113430023,3.99676102505067,0.123,0,1
"SRSF1",0.0153038858879732,-1.51080895871464,0.198,0.368,1
"ZRANB2",0.0154772283371994,1.51424210864408,0.481,0.211,1
"SORL1-AS1",0.0155175496606479,-4.38753749360591,0,0.079,1
"RAP1B",0.0155588941491097,-0.5180125164936,0.753,0.921,1
"CYB5R3",0.0160310017738416,-1.66640323737946,0.148,0.316,1
"ZBED3",0.0160310225772905,-4.43903326843558,0,0.079,1
"PTGDS",0.0164529373966207,-6.97686780344514,0,0.079,1
"SLC41A1",0.0167666679664439,-4.47316088619987,0,0.079,1
"FANCC",0.016834220652284,-4.48683271477984,0,0.079,1
"PAK1",0.0168349457869858,-2.30435249617061,0.086,0.184,1
"ENSG00000273149",0.0169953019000613,5.33465826304461,0.123,0,1
