"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",2.73272267175902e-311,-2.93403886761872,0.117,0.812,6.12567114101502e-307
"RBFOX2",1.25523538831427e-210,-1.30110086995252,0.537,0.987,2.81373564644526e-206
"APOO",1.49620088948051e-208,-1.36951155148133,0.467,0.961,3.35388391385951e-204
"RPS3A",1.73699688368122e-180,-0.546901883679507,0.999,1,3.89365221445983e-176
"RPS8",2.55076759693925e-148,-0.471840444599016,0.998,1,5.71780064529902e-144
"STAT1",1.14471699365668e-145,-2.88125181705629,0.368,0.638,2.56599761298082e-141
"RPLP2",2.06205147253853e-134,-0.489001984126109,0.997,1,4.62229458084236e-130
"RPS2",1.05046552416234e-126,-0.581497371969184,0.994,0.998,2.35472351896231e-122
"ENSG00000280441",1.15335890917449e-125,-11.3210519525625,0.012,0.175,2.58536933080554e-121
"RPL37",3.12086963410853e-113,-0.379875925952966,0.999,1,6.99574137181767e-109
"RPS6",1.10345100667683e-108,-0.373144962764909,0.997,1,2.47349577656678e-104
"TPT1",2.57776020551575e-108,-0.391638685688578,0.999,1,5.7783072766841e-104
"RPS29",7.42757330160061e-104,-0.507122603921508,0.993,0.997,1.66496483128679e-99
"GBP5",2.92905355293318e-102,-2.84675004956612,0.305,0.513,6.56576644425501e-98
"RPS16",2.40437110929884e-99,-0.517834133722062,0.993,0.998,5.38963827860429e-95
"RPL10A",1.58063971919501e-98,-0.487921300276378,0.985,0.998,3.54316199454753e-94
"AC004448.2",1.80358564214335e-98,3.88138414915596,0.357,0.084,4.04291757542853e-94
"RPL37A",2.14473273373048e-98,-0.481268346454308,0.991,0.999,4.80763289593024e-94
"RPL4",5.18416117090849e-96,-0.540973486695421,0.972,0.995,1.16208156807085e-91
"RPL13A",4.09892900315673e-91,-0.590021559383392,0.968,0.992,9.18815925347612e-87
"IRF1",6.58031034880842e-88,-1.85917953379917,0.435,0.649,1.4750423677889e-83
"UTY",4.69843185666515e-84,-3.75152083677341,0.026,0.248,1.05320048499006e-79
"GBP1",1.66586413058933e-83,-2.68273818362428,0.165,0.414,3.73420103512904e-79
"GBP2",6.00560153614743e-77,-1.34038722054503,0.653,0.75,1.34621564034281e-72
"RPL27A",8.78035547926291e-73,-0.567321426298756,0.938,0.967,1.96820448423157e-68
"GBP4",5.03744224979433e-71,-1.98733666403775,0.314,0.515,1.1291930547139e-66
"ENSG00000257322",5.54317362870334e-71,-10.1828702506147,0,0.133,1.24255780061014e-66
"RPL6",1.42996952597088e-70,-0.455744218756895,0.985,1,3.20541968941632e-66
"RPL38",2.61727499303198e-70,-0.457871130018327,0.984,0.996,5.8668836243805e-66
"MTRNR2L12",6.06294896922569e-70,8.47225694368241,0.227,0.015,1.35907064094163e-65
"RPL27",1.0181302898637e-69,-0.419470536224762,0.991,0.995,2.28224085775847e-65
"H3F3B",1.2998929819298e-68,0.869394997234108,0.86,0.707,2.91384010829385e-64
"PTPRCAP",1.5978258110494e-68,-0.707548456306178,0.678,0.91,3.58168633804835e-64
"DDX3Y",5.82702057424089e-68,-2.76986836983473,0.043,0.256,1.30618493192184e-63
"EEF1B2",1.10729799796297e-66,-0.408240739167491,0.981,0.991,2.48211919223379e-62
"RPL3",1.50457477604888e-64,-0.274292974708897,0.996,1,3.37265481799118e-60
"RPL39",2.88366972269804e-63,-0.26644405118544,0.999,1,6.46403405039992e-59
"ENSG00000278996",3.25969392009671e-63,-6.00100366619313,0.022,0.166,7.30692989128879e-59
"RPL5",7.77705961556258e-60,-0.351762806847342,0.999,0.999,1.74330568342451e-55
"EIF1AY",3.23926093218367e-59,-3.26054804728413,0.029,0.211,7.26112730558292e-55
"RPL22",8.73684121717139e-59,-0.370577804684574,0.989,0.999,1.95845032724114e-54
"RPL13",1.41902480300258e-57,-0.19101564493679,1,0.999,3.18088599841058e-53
"RPL34",4.37966030552061e-56,-0.231213973783278,0.999,1,9.81744654085501e-52
"RPSA",7.19771312360042e-56,-0.336281222659688,0.993,0.995,1.61343937378627e-51
"HLA-G",1.00573870602866e-55,-4.0480947262861,0.013,0.177,2.25446388343385e-51
"RPS24",4.61246101478056e-55,-0.317053459702651,0.997,1,1.03392926107321e-50
"MT-CO3",6.36465846433376e-54,-0.52034166613471,0.99,0.998,1.42670184136506e-49
"DDX5",2.26942603366395e-53,0.610609468184003,0.967,0.905,5.08714539706112e-49
"EEF1A1",1.56242829272757e-52,-0.16811404286551,1,1,3.50233926097813e-48
"USP9Y",2.96054072058868e-52,-2.80402511163848,0.034,0.204,6.6363480792716e-48
"RPS27A",4.22348554724608e-52,-0.251413040258513,1,1,9.46736520270682e-48
"AL138963.4",4.99136610357174e-52,3.09303230496574,0.366,0.119,1.11886462577664e-47
"UBA52",3.07283491523893e-48,-0.308447935834452,0.992,0.997,6.88806674599959e-44
"RPS21",3.36561236074481e-48,-0.20580305539347,0.998,1,7.54435666784556e-44
"GAREM1",3.6499246331952e-47,1.89137193904996,0.351,0.178,8.18167105777036e-43
"LINC01578",3.79451102074616e-47,0.739765680002825,0.788,0.643,8.5057759041046e-43
"SARAF",6.45154433898718e-47,0.467158963165902,0.997,0.991,1.44617817902737e-42
"RPL36AL",9.71173168926839e-47,0.46067045855257,0.975,0.893,2.1769817754664e-42
"CIRBP",2.13985029932798e-45,0.733419493950769,0.831,0.644,4.7966884309736e-41
"RPL15",9.78459847054945e-45,-0.2772256647514,0.997,1,2.19331559315836e-40
"RPS27",1.52128402979686e-44,-0.193909869613862,1,1,3.41011028119264e-40
"RPL21",2.79160313358477e-44,-0.252755730246441,0.994,0.999,6.25765758424361e-40
"LCK",1.25194179032638e-43,0.501967064730407,0.92,0.834,2.80635271719561e-39
"HAPLN3",1.86518443387784e-43,-1.82976907349357,0.17,0.363,4.18099742698057e-39
"IL1B",4.78000418999038e-43,-4.236350692245,0.007,0.143,1.07148573922824e-38
"SH3BGRL3",1.13640185427882e-42,0.464437519664037,0.986,0.929,2.5473583965514e-38
"KLF6",4.22114515801251e-42,1.48235851390537,0.551,0.265,9.46211898620084e-38
"ITM2C",1.105721773804e-41,1.18485658430444,0.538,0.262,2.47858592815905e-37
"FOS",8.60206405676422e-41,3.02109925469171,0.229,0.037,1.92823867896427e-36
"UBE2L6",6.29004150695771e-40,-1.12630754155253,0.453,0.59,1.40997570419964e-35
"TTTY14",7.99009825349372e-40,-3.89452140595519,0.013,0.128,1.79106042450315e-35
"RPS11",9.15253149164732e-40,-0.399734064024641,0.965,0.985,2.05163145916766e-35
"TSC22D3",1.39595801793693e-39,1.01733011508575,0.659,0.377,3.12917949300742e-35
"RPS10",2.06554767110896e-39,-0.984212556774981,0.633,0.797,4.63013165955784e-35
"RPS7",1.98537354718867e-38,-0.25442169443158,0.999,1,4.45041334337812e-34
"RPS23",3.49404556429779e-38,-0.198688190107859,0.999,1,7.83225253692993e-34
"PPP1R15A",4.26363187665197e-38,1.90442084307231,0.339,0.111,9.55735721470305e-34
"TCAF2",1.65736570091949e-37,-1.26554591606092,0.364,0.485,3.71515095518113e-33
"KLRC4",2.79862096343554e-37,1.84799353412533,0.287,0.095,6.27338875163711e-33
"MT-CO1",4.11306088875004e-37,-0.279486596170202,0.999,1,9.2198372882221e-33
"SRSF5",4.62424711286124e-37,0.459679992320511,0.933,0.843,1.03657123281898e-32
"RPL36A",3.93723912028774e-36,-0.28593889885023,0.99,0.997,8.82571521203699e-32
"RPL17",4.23073578144567e-36,-0.271725621852709,0.994,0.999,9.48361732768862e-32
"XIST",1.81348118168379e-35,2.59417176213579,0.215,0.034,4.06509941686238e-31
"RHOA",2.31008887133918e-35,0.60741795718595,0.893,0.736,5.17829521399391e-31
"CLIC1",3.35363784834356e-35,1.33243054424976,0.482,0.22,7.51751460084693e-31
"CYBA",4.09528811439519e-35,0.570163974758384,0.901,0.748,9.17999783722825e-31
"VIM",5.70617613882002e-35,0.389101652067447,0.952,0.782,1.2790964432779e-30
"RPL31",7.12631745319036e-35,-0.304503707100297,0.982,0.992,1.59743532030715e-30
"HLA-A",1.6057031759989e-34,-0.298758866138763,0.997,0.999,3.59934423931914e-30
"CD27",1.80909178150224e-34,0.59876009921079,0.871,0.731,4.05526013741543e-30
