"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS4Y1",0,-3.1791330248529,0.103,0.847,0
"APOO",0,-1.94257156380574,0.422,0.994,0
"RBFOX2",0,-1.85227541792205,0.531,0.999,0
"RPS29",0,-0.814491735956858,0.999,1,0
"RPS2",5.16591693202377e-312,-0.688837064777947,1,0.999,1.15799193948245e-307
"RPL37",3.13812308928817e-291,-0.484597896201648,1,1,7.03441671694836e-287
"RPL37A",2.92740895617104e-289,-0.723774565819107,0.995,0.999,6.56207991615301e-285
"H3F3B",3.4123360460973e-260,1.29411242175405,0.979,0.655,7.64909248093171e-256
"RPS16",2.86513278741216e-254,-0.667015226879714,0.996,0.999,6.42248165626309e-250
"RPS3A",4.38225761886681e-250,-0.517686024969885,1,1,9.82326867845185e-246
"RPLP2",9.15096038364981e-249,-0.531986010582297,1,1,2.05127927959894e-244
"STAT1",5.57686576212945e-242,-2.66022806622991,0.517,0.745,1.25011022923894e-237
"RPS8",1.52515015135685e-237,-0.462342924156448,1,1,3.41877657928151e-233
"RPL4",9.97235413276075e-234,-0.705585321329016,0.991,0.997,2.23540290239965e-229
"RPL13A",3.13432804167674e-227,-0.773092886940138,0.979,0.996,7.02590973822259e-223
"RPL27A",8.11279110210079e-215,-0.838202519468268,0.959,0.991,1.81856325344691e-210
"RPS10",3.37687030775576e-211,-3.21356053488947,0.591,0.856,7.56959248186531e-207
"TPT1",3.69926441651882e-205,-0.471342228207718,1,1,8.29227111606858e-201
"ENSG00000280441",6.04499964991844e-203,-14.8015609814762,0.001,0.298,1.35504712152572e-198
"MT-CO3",1.66596165586644e-198,-0.796560035908662,0.984,0.999,3.73441964779021e-194
"RPL10A",1.22190406547221e-192,-0.549717012945139,0.996,1,2.73902015316251e-188
"RPS6",3.60873213494086e-184,-0.437242248672266,1,1,8.08933395368344e-180
"ENSG00000278996",3.89037687811338e-173,-9.67386882583182,0.002,0.276,8.72066880997895e-169
"GBP5",3.74746223251332e-169,-3.31284058132718,0.24,0.511,8.40031134040185e-165
"H3-3A",5.18397178284149e-168,-5.00784142872041,0.008,0.296,1.16203911484175e-163
"AL138963.4",1.01878141742109e-167,3.68196019871822,0.507,0.112,2.28370042529111e-163
"MTRNR2L12",1.48244081633323e-167,8.58024535766976,0.319,0.019,3.32303933389256e-163
"ENSG00000257322",2.27702458383181e-167,-11.1312783546199,0,0.253,5.10417830711739e-163
"H3-3B",1.28122125979693e-165,-5.00689590093661,0.008,0.292,2.8719855759608e-161
"RPL6",9.34029848916645e-165,-0.601014874002544,0.989,0.999,2.09372130933155e-160
"RPL38",5.86032359302272e-161,-0.550763288323811,0.992,0.999,1.31365013661197e-156
"RPL34",3.19226065940147e-159,-0.315718583846477,0.999,1,7.15577149411433e-155
"PTPRCAP",7.1580001431572e-157,-1.01422079724642,0.644,0.929,1.60453731209012e-152
"TALAM1",3.20025840403748e-154,-4.43301981884457,0.008,0.276,7.17369923849042e-150
"GBP4",2.47185946464833e-153,-2.27085402642484,0.301,0.624,5.54092017595569e-149
"ENSG00000289901",8.62223677557762e-152,-4.67286872417093,0.007,0.267,1.93276059561348e-147
"CHASERR",1.14611709057009e-146,-5.1991447897519,0.007,0.262,2.56913607022192e-142
"H4C3",9.42694995331808e-146,-5.36394047926574,0.005,0.254,2.11314510153578e-141
"LINC01578",1.1856057868768e-141,1.1523864145286,0.88,0.567,2.65765393186303e-137
"SARAF",1.06454627628093e-139,0.601828422706311,1,0.999,2.38628693291133e-135
"GAREM1",5.77077458357571e-138,2.45847562150866,0.479,0.222,1.29357683065433e-133
"GBP1",1.73345041352769e-135,-2.49053240078854,0.22,0.494,3.88570244696368e-131
"LCK",2.33037408639966e-131,0.780292698318464,0.965,0.834,5.22376655207347e-127
"RPSA",1.04780256321024e-130,-0.432753261759576,0.992,0.999,2.34875422569207e-126
"HLA-G",2.15874694538774e-129,-4.85275282809616,0.012,0.264,4.83904715278116e-125
"RNASET2",3.29767327466653e-129,1.16336638004423,0.839,0.546,7.39206441249249e-125
"IRF1",1.05925804681992e-127,-1.46792750380668,0.589,0.781,2.37443283775153e-123
