"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBFOX2",1.43421631896828e-83,-2.25866454304168,0.335,0.936,3.2149393005993e-79
"APOO",3.7498569156978e-47,-2.23677916178872,0.214,0.7,8.40567926222819e-43
"PTPRCAP",5.34948078324638e-42,-1.35253085790719,0.62,0.928,1.19913961237251e-37
"ENSG00000280441",4.67701539392962e-41,-11.4434723657127,0.008,0.224,1.04839977070326e-36
"TRBV3-1",7.08542450749774e-36,6.16615227533963,0.325,0.012,1.58826875760069e-31
"RPS29",1.31759289465412e-27,-0.710852079363423,0.944,0.976,2.95351623265668e-23
"AC004448.2",4.57206021552515e-27,4.71667663229196,0.323,0.02,1.02487301791212e-22
"RPS4Y1",6.74493137803452e-27,-2.30025481613945,0.066,0.376,1.51194381770022e-22
"GAPDH",2.72172749418923e-26,1.05190144929284,0.998,0.964,6.10102435097457e-22
"H3F3B",2.98324009807657e-23,0.889606627286024,0.916,0.72,6.68723100384844e-19
"ENSG00000278996",3.56281211118727e-23,-5.73775175654104,0.015,0.196,7.98639962843738e-19
"TRBJ2-2P",6.75639373405399e-23,7.96721246069739,0.21,0,1.51451321942554e-18
"CXCR3",1.24139218529394e-22,-1.57047356443451,0.271,0.592,2.7827047225549e-18
"GAREM1",1.32625508459805e-21,2.68456690217213,0.396,0.092,2.97293339763499e-17
"RPS2",1.52501412771597e-21,-0.796893166181062,0.842,0.936,3.41847166868812e-17
"MTRNR2L12",9.97067606234176e-21,6.99771056578678,0.209,0.028,2.23502674613453e-16
"ENSG00000257322",3.67322040435385e-20,-8.34624716476572,0,0.132,8.23389085839959e-16
"HLA-C",1.41718834611479e-19,-0.505159224556204,0.997,1,3.17676939665091e-15
"LINC00861",3.27453555540956e-19,-1.37566414373536,0.409,0.6,7.34019890100606e-15
"TRAV21",4.70007412300566e-19,2.86087137114906,0.295,0.048,1.05356861541295e-14
"HLA-A",4.89992833596366e-18,-0.394413231707388,0.998,1,1.09836793578961e-13
"ZNF683",2.52616147664852e-16,-1.84889802496218,0.123,0.372,5.66264356605532e-12
"RPSA",7.14920525538299e-16,-0.599377802363617,0.86,0.884,1.60256585004665e-11
"TYROBP",8.35680418910579e-16,1.2445668914191,0.658,0.404,1.87326122702995e-11
"NPEPPS",1.80452634296482e-15,-1.30140118412908,0.322,0.568,4.04502625038994e-11
"LINC01578",2.20864335595876e-15,1.04071521839712,0.685,0.392,4.95089494671715e-11
"CORO1B",5.66785590115837e-15,1.87747365698476,0.411,0.168,1.27050657880366e-10
"RPS3A",2.61003478615537e-14,-0.418974770298427,0.99,1,5.85065397664587e-10
"RPL10A",2.73903035261411e-14,-0.637180550810734,0.813,0.916,6.13981043841979e-10
"RPL37A",3.13328815881692e-14,-0.547608934663175,0.929,0.98,7.02357873680401e-10
"RPS10",4.12212178508683e-14,-1.55574509201669,0.281,0.488,9.24014819345063e-10
"TRGV2",1.08767616662961e-13,2.01309858629651,0.348,0.112,2.43813489511694e-09
"CCL5",1.23096267543506e-13,0.472806682856161,0.902,0.916,2.75932593325523e-09
"KLF6",1.36259406274949e-13,0.927215276019411,0.81,0.568,3.05439085105926e-09
"PPDPF",1.36294992687595e-13,0.669879220377706,0.921,0.78,3.05518855608514e-09
"GZMB",1.73184421826835e-13,0.725075954129323,0.83,0.752,3.88210199967033e-09
"MT-CO3",2.20188760113318e-13,-0.427152648589183,0.975,1,4.93575124670015e-09
"MALAT1",2.91810034147552e-13,0.352958133651292,1,1,6.54121372545153e-09
"NPEPPSP1",3.18319436250144e-13,-6.15316655637107,0.002,0.1,7.13544848298324e-09
"MT-ATP8",5.54093861742624e-13,-0.430685898089789,0.941,0.996,1.24205680048227e-08
"EIF1AY",8.3669399933004e-13,-3.39039469261788,0.01,0.128,1.87553326889822e-08
"RPLP2",1.01871244784161e-12,-0.488273549696759,0.971,0.976,2.28354582308176e-08
"RPL37",1.78940235483054e-12,-0.365620905546042,0.993,0.996,4.01112431858813e-08
"HIST1H1E",2.03454119924861e-12,1.22927874343157,0.65,0.396,4.56062755223568e-08
