gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
MTRNR2L12,Overlap,2.49644331822844e-75,2.7725917793810096e-92,-11.2465846096771,-7.58808976976065,TRUE,TRUE
H3F3B,Overlap,2.03583858862402e-72,1.13571975255642e-97,-11.7395003358128,-1.90453151302814,TRUE,TRUE
H3-3B,Overlap,2.22505722286814e-66,1.06512217834224e-79,3.36597416833109,3.07156821150144,TRUE,TRUE
H3F3A,Overlap,9.568171962583991e-61,3.27006807270768e-44,-10.9287434757045,-1.39827993095535,TRUE,TRUE
H3-3A,Overlap,1.36458584722645e-51,6.58382553222057e-55,3.52427955790386,3.01901274777913,TRUE,TRUE
RPS10,Overlap,1.01365759185003e-46,3.74283859918111e-74,2.95650456947598,2.65812813031884,TRUE,TRUE
LINC01578,Overlap,2.6070427702174397e-44,1.9074491729554698e-35,-9.36988576709545,-1.68558704087838,TRUE,TRUE
TALAM1,Overlap,1.2209610838744599e-42,2.17691806803253e-28,3.66091713696236,2.60093104968655,TRUE,TRUE
ENSG00000289901,Overlap,8.05171808297684e-42,4.2452665286313794e-30,3.96174565438282,3.36707357412747,TRUE,TRUE
C5orf56,Overlap,6.13783729620863e-39,7.259396943293391e-17,-9.77305395613137,-1.5834617986180901,TRUE,TRUE
HIST1H1E,Overlap,2.74343002157512e-36,1.63573868787866e-44,-10.0786496017636,-2.34113729080835,TRUE,TRUE
HIST1H4C,Overlap,2.74796404642186e-35,2.87657495347536e-24,-9.78703429189069,-1.81809215744695,TRUE,TRUE
SLC9A3R1,Overlap,4.7847804500251395e-35,2.43181204689298e-23,-9.73910974474595,-1.59589349158063,TRUE,TRUE
S100A10,Overlap,6.585267696255059e-33,1.3079367661206502e-46,1.82815238057008,1.43406503220481,TRUE,TRUE
FAM49B,Overlap,3.71364508999053e-32,1.9053921262109298e-25,-9.40454633569166,-1.91504240581485,TRUE,TRUE
AC004687.1,Overlap,1.9046834827731197e-30,7.40523271199033e-14,-9.5602311224221,-1.80332660044312,TRUE,TRUE
ATP5MD,Overlap,2.64523732995395e-26,3.07988577951501e-14,-9.15550433471543,-1.4398849517769,TRUE,TRUE
CRIP1,Overlap,3.0844507334967e-26,8.940107495529121e-67,2.25431923469422,1.96118024781093,TRUE,TRUE
KLRB1,Overlap,7.56693076844041e-26,4.909085077368279e-87,-3.77970457999722,-2.07647292007612,TRUE,TRUE
AC092821.3,Overlap,4.86294335453716e-25,5.3623720397992896e-20,-9.68418668004578,-2.24660250515138,TRUE,TRUE
H2AFZ,Overlap,6.62016515129917e-24,1.45127766818746e-17,-9.16078631233208,-1.54104160747565,TRUE,TRUE
LINC-PINT,Overlap,1.33543249405234e-20,4.32664402611416e-23,3.42209976748681,2.85273898097776,TRUE,TRUE
ZEB2,Overlap,7.816234595378039e-20,5.88197097896965e-12,1.39680220331498,0.728446211086946,TRUE,TRUE
TYROBP,Overlap,4.72660959202339e-19,4.0707729990061294e-23,-1.75720306469106,-0.951405877984628,TRUE,TRUE
H1FX,Overlap,5.39485581035395e-19,2.1761106160800497e-45,-10.3433852994434,-2.6865355617131,TRUE,TRUE
TRGV2,Overlap,2.6592197161980098e-18,2.21829076356452e-9,5.2454465335494,4.39724294442325,TRUE,TRUE
ANXA1,Overlap,3.66259898803147e-18,7.755000649336469e-44,1.38879432389393,1.36761592969737,TRUE,TRUE
CMC1,Overlap,5.07908660499225e-17,1.67401052435116e-37,-2.39309333264836,-1.77956792088429,TRUE,TRUE
NHERF1,Overlap,1.04154534636293e-16,2.41486831886951e-29,4.084147903845,3.52779933218185,TRUE,TRUE
AL138963.4,Overlap,1.1101008882133299e-16,3.73518107754708e-15,-6.77974772573215,-4.69919344857741,TRUE,TRUE
C9orf16,Overlap,8.96259848968034e-16,9.73436797174296e-8,-8.51296977060645,-1.29038659540004,TRUE,TRUE
ENSG00000290537,Overlap,1.97700156618195e-15,1.61420404178416e-6,8.96734101513398,6.8120819557977,TRUE,TRUE
GPI,Overlap,2.94321204293533e-15,4.97003378001617e-41,-2.74303229401646,-2.66972254193676,TRUE,TRUE
ENO1,Overlap,3.3138319579909102e-15,1.4864007253883401e-61,-1.8161078813219,-1.95773360284376,TRUE,TRUE
TPI1,Overlap,3.82337290007587e-15,3.9438353461882595e-56,-1.87097869422345,-1.67739509458484,TRUE,TRUE
AC243829.1,Overlap,1.95137624671558e-14,1,-7.37404439369223,-2.15522018760563,TRUE,FALSE
HIST1H1C,Overlap,3.0998552668031903e-14,3.2848978721905003e-16,-8.51519000374737,-1.96740192068036,TRUE,TRUE
YARS,Overlap,3.2123636251893e-14,7.87966259972753e-10,-7.9844818800286,-1.71154645194889,TRUE,TRUE
EZR,Overlap,1.60424859366944e-13,2.60589627225388e-49,1.84984678064894,1.79289155500031,TRUE,TRUE
H2AFV,Overlap,3.79653278964893e-13,5.1258177338669e-6,-8.47548051022025,-1.09116912533905,TRUE,TRUE
GAPDH,Overlap,4.27949274545681e-13,1.14052476339476e-31,-0.912702352927493,-1.11634135637541,TRUE,TRUE
MIF,Overlap,4.93505607023956e-13,8.095995779959269e-62,-1.72197331366514,-1.72237749721618,TRUE,TRUE
ATP5MPL,Overlap,5.90955593934997e-13,3.82495763104156e-13,-8.60021818788189,-1.2432273721448,TRUE,TRUE
DARS,Overlap,8.16389133379765e-13,2.5727932449361897e-31,-8.10164848350023,-1.95722127423082,TRUE,TRUE
H2AZ1,Overlap,1.06391687384996e-12,8.75836018559807e-20,4.12914912207583,3.60545045000136,TRUE,TRUE
IKZF2,Overlap,2.4188056708786697e-12,1,1.86708728415178,1.23709699886414,TRUE,FALSE
S100A6,Overlap,8.39562210397775e-12,4.2985229434495795e-44,1.22393656053688,1.11622579732575,TRUE,TRUE
RUNX3,Overlap,1.1538209758876598e-11,1,0.961880961153793,0.626668057610638,TRUE,FALSE
ZNRD1,Overlap,1.6994874922523298e-11,0.032655036926313,-7.84640470700296,-1.2947848241269,TRUE,TRUE
CALM1,Overlap,3.0480813764606595e-11,1.4045988233590099e-11,0.799586103755158,0.612541162225356,TRUE,TRUE
PPP1R16B,Overlap,3.1812435245824696e-11,1,1.44084373858104,0.573053766213873,TRUE,FALSE
HSPB11,Overlap,4.2318984736324e-11,1.19469874266668e-8,-7.88803206797707,-1.76120344677762,TRUE,TRUE
HIST1H1D,Overlap,4.689101891832839e-11,3.83760281171767e-24,-8.79940732700173,-2.01875999113833,TRUE,TRUE
CEBPD,Overlap,9.938842698762919e-11,2.5385409561260098e-42,-2.08948616874205,-1.35955625689439,TRUE,TRUE
ALDOA,Overlap,1.07352639165464e-10,8.8395123388384e-9,-1.48699512571901,-1.21966244893254,TRUE,TRUE
TAGLN2,Overlap,1.22867588301915e-10,6.90402935929946e-38,1.39617311416383,1.29075388476163,TRUE,TRUE
TRDV1,Overlap,1.25762030466338e-10,8.85601276294122e-12,4.71031887567692,5.66974302538807,TRUE,TRUE
MATR3,Overlap,2.39771173783627e-10,1.1271511376413499e-12,3.86100610136003,3.27320213645899,TRUE,TRUE
IRF1-AS1,Overlap,2.52002124660311e-10,1.2832114168018e-4,3.75108253775187,2.78125177554709,TRUE,TRUE
CD3G,Overlap,2.62010883430919e-10,3.31170636063562e-14,1.74026021624269,1.28892129711736,TRUE,TRUE
LMNA,Overlap,2.73070689192256e-10,1.26617603005471e-35,3.03122193697122,2.92617185003536,TRUE,TRUE
CHASERR,Overlap,2.87116519179054e-10,2.8216911013829702e-9,3.97630961844985,3.31980673812589,TRUE,TRUE
MATR3.1,Overlap,5.72804375916837e-10,0.0215707812316536,-8.29020366589971,-1.73931805852552,TRUE,TRUE
PPP2R5C,Overlap,6.18744775543727e-10,2.56624918318296e-6,0.804791715596382,0.591580070034789,TRUE,TRUE
H2AFY,Overlap,6.99956938293823e-10,2.4370424900869e-4,-7.42045617520846,-1.3220341527097,TRUE,TRUE
MYADM,Overlap,1.5345942067844302e-9,3.66385636866425e-34,3.00419030166704,2.85329299886069,TRUE,TRUE
CYRIB,Overlap,1.7311502168225301e-9,2.0055802581421502e-10,3.59606434067488,2.69232560758555,TRUE,TRUE
YWHAQ,Overlap,1.9197824465470203e-9,4.74543021324331e-26,1.61412650817949,1.25815280679374,TRUE,TRUE
MT-ND3,Unsuppressed_only,2.2783993539663e-9,NA,-0.840679586931601,NA,TRUE,FALSE
TSC22D3,Overlap,2.3251785657552504e-9,3.68538627571462e-15,1.9949808858985,1.78503555188008,TRUE,TRUE
MCOLN2,Overlap,2.7857821353192404e-9,5.1860611401103e-4,2.90530213044571,1.21916249683683,TRUE,TRUE
EPRS,Overlap,3.2534184175295603e-9,1.00409270813253e-6,-7.27682390631283,-1.54631094524864,TRUE,TRUE
SARS,Overlap,4.10794260014197e-9,3.0004097221658e-4,-7.64621631812699,-1.62327716928539,TRUE,TRUE
PKM,Overlap,4.2485992852662e-9,1.62026050282894e-26,-1.64341980423842,-1.66013858143426,TRUE,TRUE
CD3D,Overlap,5.76362458719977e-9,1.5170885864430602e-9,1.01532037925009,1.03415007874126,TRUE,TRUE
LDHA,Overlap,6.7324996207829e-9,2.43950632286671e-12,-0.101696324946161,-0.249265232033885,FALSE,FALSE
PCBP1,Overlap,6.8329854997707405e-9,6.79085876992563e-7,-0.888648913434021,-0.438121434235965,TRUE,FALSE
KIF21A,Overlap,1.56635742390878e-8,4.0180135652514297e-26,2.40583435343916,2.10022455904765,TRUE,TRUE
RPS2,Overlap,1.73135781629371e-8,0.00853353725937037,0.953357522937558,1.00126487469336,TRUE,TRUE
GYPC,Overlap,1.83331595177916e-8,2.91418951820173e-31,-2.0438668321161,-1.08818360182003,TRUE,TRUE
H2AZ2,Overlap,2.32347121248349e-8,4.68009346653529e-7,3.36933979816714,2.93581277626441,TRUE,TRUE
TGFB1,Overlap,3.01382065386839e-8,2.32341694959859e-5,1.3389631902103,1.08793615108062,TRUE,TRUE
FCER1G,Overlap,3.07592367645365e-8,9.15593223281043e-31,-2.07373913603395,-1.11326612232486,TRUE,TRUE
FAM102B,Overlap,3.57999712041841e-8,0.0472237388139148,-7.04738258692309,-1.85768661347853,TRUE,TRUE
PYURF,Overlap,5.09883884982115e-8,0.0479688034213323,-8.03415306999117,-1.10175764592082,TRUE,TRUE
SERPINB9,Overlap,5.59500623659251e-8,2.2799123212910002e-17,1.66241787327492,1.06398762359484,TRUE,TRUE
RAC2,Overlap,6.20783353374163e-8,1.73031694904936e-14,-0.874652294510869,-0.721653897652711,TRUE,TRUE
MARCH7,Overlap,7.02490541166565e-8,3.9712127082928e-4,-7.54284323322143,-1.47037580257573,TRUE,TRUE
SLC16A3,Overlap,9.30174661651797e-8,5.16212248527515e-12,-1.49787239528356,-1.33886248299299,TRUE,TRUE
H1-4,Overlap,1.08808810792806e-7,8.93557329859852e-9,2.36828606226629,1.73316104069085,TRUE,TRUE
H4C3,Overlap,1.10670184922206e-7,1.57848898421386e-10,2.78443979923089,2.35635910626965,TRUE,TRUE
BNIP3L,Overlap,1.11454031444945e-7,3.38981530461939e-33,-1.4528739057013,-1.60080719280629,TRUE,TRUE
RASGEF1B,Overlap,1.12456681069208e-7,0.0653580032529553,2.66863850357013,2.41050106708709,TRUE,FALSE
AC245407.2,Overlap,1.12595796594717e-7,1,-6.82741592383497,-1.19596572205629,TRUE,FALSE
GARS,Overlap,1.15990876242328e-7,0.0120508212018097,-6.55615391919169,-1.7702720594398,TRUE,TRUE
AC093323.1,Overlap,1.52752558808507e-7,1,-6.47458168467137,-1.59315578060066,TRUE,FALSE
