gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
RPS10,Overlap,5.141963424120581e-15,6.058478953730759e-136,2.77713586604706,3.13237379004846,TRUE,TRUE
H3F3B,Overlap,2.9673475507908e-13,3.76288740218456e-88,-9.83322214050097,-4.2842633976275,TRUE,TRUE
H3F3A,Overlap,8.67983596584731e-13,1.8685129072635902e-67,-8.989038702844,-3.67085837928706,TRUE,TRUE
HIST1H1E,Overlap,1.13075271976762e-12,2.0653062551937e-34,-8.32634612185622,-4.45818690324513,TRUE,TRUE
MTRNR2L12,Overlap,1.9518528774546197e-12,3.27962582453109e-20,-8.93762053206076,-8.92364940974404,TRUE,TRUE
HIST1H4C,Overlap,5.3032061753725194e-11,1.50684115474922e-42,-7.95069686903834,-4.10033234036982,TRUE,TRUE
H3-3B,Overlap,2.35074169466465e-10,2.7941815454867493e-94,3.21860953382317,3.05114632285802,TRUE,TRUE
ATP5MD,Overlap,1.90141407184476e-9,7.05006778761551e-51,-7.66839329466883,-3.5428511329182,TRUE,TRUE
H3-3A,Overlap,2.47121263971048e-9,7.19099914620071e-93,3.09924290649199,3.12419397450228,TRUE,TRUE
ENSG00000289901,Overlap,1.5983183734242e-8,2.86870104669393e-69,3.59402827998649,3.1858173251217,TRUE,TRUE
LINC01578,Overlap,2.93127587036991e-8,4.57726814277162e-61,-7.80147751353303,-4.10495290014267,TRUE,TRUE
H1FX,Overlap,3.03404268751755e-7,8.32382087380118e-50,-8.41233170922715,-5.86651369908516,TRUE,TRUE
H2AFV,Overlap,4.58917304246686e-7,4.68790853954342e-32,-7.27743397230562,-3.65521923816808,TRUE,TRUE
C9orf16,Overlap,5.23834338407029e-7,3.41853687982936e-20,-7.12349512726089,-3.47963085343692,TRUE,TRUE
SLC9A3R1,Overlap,2.88065617157141e-6,3.56364407871755e-29,-7.43179944229418,-3.82997891339127,TRUE,TRUE
AL138963.4,Overlap,4.90635681398215e-6,1.41370667708297e-22,-6.63173463831686,-6.39637028207279,TRUE,TRUE
ATP5MPL,Overlap,5.82317391892911e-6,9.566168769596319e-20,-6.84587917036717,-3.21374680135019,TRUE,TRUE
HIST1H1D,Overlap,4.13725074919606e-5,2.61181521342285e-13,-7.32210297544975,-4.52597980202384,TRUE,TRUE
AL133415.1,Overlap,5.35018858061899e-5,6.581984474205361e-9,-5.82969776178962,-4.61725459033434,TRUE,TRUE
TALAM1,Overlap,1.2181532206719e-4,2.90788056074607e-73,3.35822872807762,2.46882798960597,TRUE,TRUE
AC004687.1,Overlap,2.488186398811e-4,1.0755807707036099e-11,-6.54804872854633,-3.77003968471439,TRUE,TRUE
H2AFZ,Overlap,4.0858874093192e-4,2.2454875012307e-40,-7.40556013602367,-3.52203994859451,TRUE,TRUE
AC008105.3,Overlap,9.5945114443609e-4,8.063718217510031e-17,-6.47673826744702,-3.653106775985,TRUE,TRUE
H2AZ2,Overlap,0.00259939671626084,1.7760497867756597e-42,3.22195223393797,2.94230339641459,TRUE,TRUE
ADSS,Overlap,0.00260935594981536,1.40078454675008e-13,-5.85735058123517,-2.87184050138644,TRUE,TRUE
H2AFY,Overlap,0.00301479613585319,2.9336248320425098e-25,-6.43285905815045,-4.05764523639813,TRUE,TRUE
FAM49B,Overlap,0.00319865103326299,1.63460223823722e-16,-6.26328482147105,-4.0982819686402,TRUE,TRUE
TMEM173,Overlap,0.00689396606967683,0.00481891098226569,-5.95393461436301,-3.39033401214322,TRUE,TRUE
LMNA,Overlap,0.00723694413299576,3.02441129194194e-50,2.70072641366574,3.03718468402505,TRUE,TRUE
TPI1,Overlap,0.0113280220468827,3.4065681315836104e-67,-2.31025681998487,-2.21201359093438,TRUE,TRUE
YARS,Overlap,0.0140517809119565,3.0672997365926e-9,-5.33758800102094,-3.09163513379958,TRUE,TRUE
GARS,Overlap,0.0144304482170391,2.99853029420434e-5,-5.20767607596088,-3.50335736183384,TRUE,TRUE
LINC-PINT,Overlap,0.0180114153923614,1.44436933276844e-42,2.87926726975732,2.57083127495775,TRUE,TRUE
HIST1H1C,Overlap,0.0190534621110033,1.55385138055701e-11,-6.80600744281704,-4.78463288932412,TRUE,TRUE
PYURF,Overlap,0.0227522203989832,1.15449370753034e-14,-6.47777273743891,-3.13777152322572,TRUE,TRUE
U2AF1,Overlap,0.0240638434388374,4.94343891161658e-37,2.87195466473347,2.76186113991862,TRUE,TRUE
YARS1,Overlap,0.0410865658891934,2.23019184565183e-8,3.56891743066293,2.62028456496564,TRUE,TRUE
AC078883.1,Overlap,0.053992301327293,3.66056947717133e-13,-5.25035020367693,-4.15805383076421,FALSE,TRUE
TGFB1,Overlap,0.0573880588244499,2.3515158935256295e-43,1.43263997210247,1.49359859370482,FALSE,TRUE
AC245407.2,Overlap,0.0641982585996097,0.0185780209765295,-4.3583969809566,-3.08047566154192,FALSE,TRUE
CHASERR,Overlap,0.0768456083420518,3.7974742431107396e-54,3.07842989568266,3.27168251509752,FALSE,TRUE
EPRS,Overlap,0.0825480695110195,6.800269377919181e-9,-5.60667294036052,-3.30086350169077,FALSE,TRUE
TAZ,Overlap,0.0857912613281843,8.01003591693417e-5,-5.21953407692577,-3.16514744937157,FALSE,TRUE
ZNRD1,Overlap,0.0939027041538559,1.1018607891892e-18,-6.28978360205562,-3.386538846571,FALSE,TRUE
LINC01619,Overlap,0.149565580561335,0.075766489799941,2.0928500124592,1.46960282295679,FALSE,FALSE
DARS,Overlap,0.152039431889074,3.3210291874129604e-47,-7.17320843080155,-3.62476416963333,FALSE,TRUE
AC008555.4,Overlap,0.269438135200103,0.00121203109445148,-5.21828045866887,-3.1260769797128,FALSE,TRUE
RGCC,Overlap,0.275969238387124,4.56906100787658e-24,1.48962817351596,2.41345432552886,FALSE,TRUE
C5orf56,Overlap,0.309696561835003,2.2638857585767997e-19,-6.36784865267188,-3.80279887576015,FALSE,TRUE
TUBB,Overlap,0.320624763080569,2.12322992605842e-8,-1.50923662444001,-0.995950429138462,FALSE,TRUE
ZEB2,Overlap,0.324460418540403,2.78369023602437e-7,2.29632424284277,1.67867213314087,FALSE,TRUE
IGFBP2,Overlap,0.335735646635235,1.40801522020981e-26,-6.65419059548296,-6.4079549511279,FALSE,TRUE
DDIT4-AS1,Overlap,0.367512418764501,1,-3.89441982080088,-4.031816164651,FALSE,FALSE
FAM102A,Overlap,0.381970996599983,2.9580013826799196e-11,-6.14886561123138,-3.80804214010833,FALSE,TRUE
TLE5,Overlap,0.394838573037207,7.36295414148237e-8,-1.14269088166729,-0.852016232319265,FALSE,TRUE
MARCH9,Overlap,0.401661024451425,9.20054188375048e-12,-5.68546145319991,-2.70965571002696,FALSE,TRUE
IL10RB,Overlap,0.419496822239932,1,0.254883619121133,-0.541946776570023,FALSE,FALSE
AC008875.3,Overlap,0.476085677398082,1.44786504141468e-8,-5.20446000441604,-3.97416084309921,FALSE,TRUE
ATP5MK,Overlap,0.696729578141329,1.19838893717539e-47,3.47290403616305,3.36123978844478,FALSE,TRUE
BBLN,Overlap,0.801129828208764,2.55173182486818e-22,3.98333291005309,3.40415605313056,FALSE,TRUE
ARSK,Overlap,1,1,1.04298667154106,0.104304339455169,FALSE,FALSE
GPI,Overlap,1,3.62048957595316e-38,-2.44944459589142,-2.71460449854023,FALSE,TRUE
MTRNR2L8,Overlap,1,1,-2.77592003441359,-4.42799673099329,FALSE,FALSE
MIF,Overlap,1,6.33461213700082e-68,-1.68639306397073,-1.67476991174405,FALSE,TRUE
SLFN12L,Overlap,1,1,0.894325661673236,0.382674656868345,FALSE,FALSE
RASGEF1B,Overlap,1,1,2.50711768041887,0.961075554890112,FALSE,FALSE
ZC3H12D,Overlap,1,1,2.19165562016768,2.43137871966847,FALSE,FALSE
NARS1,Overlap,1,0.0597295470323092,4.58145991147412,3.40356566778135,FALSE,FALSE
