gene,set_membership,padj_unsup,padj_supp,avg_log2FC_unsup,avg_log2FC_supp,sig_unsup,sig_supp
H3F3B,Overlap,2.8143153815649e-4,3.4255231733468694e-11,-9.59837811151711,-2.90618654364148,TRUE,TRUE
MTRNR2L12,Overlap,0.00157210035636827,3.7069257414842e-4,-8.99339306124937,-10.1662296581116,TRUE,TRUE
H3-3B,Overlap,0.00175561780097105,1.05776553271872e-10,2.86610399140178,2.71997621900227,TRUE,TRUE
ENSG00000289901,Overlap,0.00810761053012103,1.99191489552168e-7,3.3276224406874,3.12862526267087,TRUE,TRUE
HIST1H1E,Overlap,0.00865747124550808,1.3175798119056299e-11,-8.00238104026831,-4.40157349751184,TRUE,TRUE
SLC9A3R1,Overlap,0.00873020696488255,5.4103483501056e-4,-7.32456696484134,-2.30260377423706,TRUE,TRUE
H3F3A,Overlap,0.0113474867240547,1.02469162116229e-7,-8.83542103496638,-2.35583194575379,TRUE,TRUE
ATP5MPL,Overlap,0.0127086783874566,0.104101533744483,-6.70833627996395,-2.11044156256719,TRUE,FALSE
H2AFZ,Overlap,0.0438988469302171,1,-6.80835634960635,-1.69381893185245,TRUE,FALSE
TPI1,Overlap,0.0578426433041805,1.3461100279576e-8,-2.24515465265693,-1.81350952204427,FALSE,TRUE
LINC01578,Overlap,0.0749056781072965,3.36251881619445e-5,-7.23334527829821,-2.68362566125149,FALSE,TRUE
HIST1H4C,Overlap,0.105086461141765,0.0481253453443205,-7.49787544724577,-2.51221806002797,FALSE,TRUE
H3-3A,Overlap,0.13388796895321,1.47912605613379e-8,2.81020235267985,2.66808299423374,FALSE,TRUE
ATP5MD,Overlap,0.134425537831402,1.0481099647739e-4,-6.99368414828129,-2.04268163442134,FALSE,TRUE
RPS10,Overlap,0.382927974982901,1.07762201356653e-6,2.37015160868798,2.26531322338729,FALSE,TRUE
GYPC,Overlap,0.531594070242804,0.128137775170221,-2.48209437197831,-1.55423288283734,FALSE,FALSE
