"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTRNR2L12",0,-1.80478370782354,0.213,0.947,0
"APOO",0,4.31092514060941,0.542,0.13,0
"RBFOX2",0,3.25895212338532,0.622,0.249,0
"FP236383.3",0,1.27035587357687,0.771,0.421,0
"PTPRCAP",0,1.71382283068946,0.67,0.434,0
"MT-ATP6",0,-1.48662723593203,0.8,0.85,0
"HLA-C",0,0.584925102609677,0.999,0.981,0
"EEF2",0,-0.542949492947117,0.994,0.998,0
"AL138963.4",7.66849217600058e-312,-1.46276265096992,0.417,0.728,1.71896920617229e-307
"RPS3A",4.12275894569411e-308,-0.344919032757963,1,1,9.24157645266792e-304
"MT-ATP8",2.26383943532856e-301,1.0412779581642,0.951,0.9,5.0746224782325e-297
"RPL9",1.7048696312751e-284,-0.353222807534552,0.999,1,3.82163576546627e-280
"GBP5",3.25931162501795e-272,4.7737032061606,0.263,0.024,7.30607293864025e-268
"AC004448.2",7.18947239867468e-259,-1.5423949787448,0.242,0.413,1.61159213288692e-254
"EEF1A1",9.37328131249928e-257,-0.296738677587855,1,1,2.10111473900984e-252
"RPS6",5.20194724681675e-235,-0.339534924905732,0.999,0.999,1.16606849484644e-230
"RPS4X",3.10537503394704e-227,-0.339360155097605,0.999,0.999,6.96100867609568e-223
"PDE3B",6.94696842520196e-226,1.0937866160997,0.748,0.547,1.55723244219327e-221
"FP671120.4",1.67776645592604e-223,0.231117903642601,0.674,0.392,3.7608812876038e-219
"RPS25",8.26846869744981e-221,0.283189872236358,1,1,1.85345994322035e-216
"ANK3",5.73610074124556e-218,1.4700291097882,0.558,0.314,1.28580434215761e-213
"UBALD2",2.19303744571663e-215,-0.724951490820729,0.783,0.905,4.9159127383184e-211
"AC138123.1",4.41991894799842e-211,0.669059112349176,0.683,0.385,9.90769031383327e-207
"RPS3",3.42348880670003e-200,-0.249784633485412,1,0.999,7.67409250909879e-196
"RPL21",7.81588557538832e-195,-0.329467570810503,0.998,0.999,1.75200891057905e-190
"GNAS",2.90962725321931e-192,-0.458337405648583,0.883,0.984,6.5222204508164e-188
"AC105052.4",1.05503722645852e-177,3.29694126666939,0.194,0.021,2.36497144682941e-173
"RPS27A",1.03877599023639e-168,-0.213147377024645,1,1,2.32852025971389e-164
"TPT1",6.59591571535715e-167,-0.286002602274674,1,1,1.47854046675446e-162
"HLA-A",1.36351371801012e-166,0.375542581866251,0.997,0.997,3.05645235029149e-162
"SNHG29",2.13705039358772e-164,-0.395513757091607,0.977,0.988,4.79041216226624e-160
"GBP4",1.31872968525864e-157,1.9261739241241,0.368,0.148,2.95606446247576e-153
"RPL34",5.34659251448116e-152,-0.211487432384036,1,1,1.1984921780461e-147
"IFITM3",2.65898699569519e-144,-1.14903852772811,0.295,0.49,5.96038524955034e-140
"ARHGAP15",8.4229256791261e-141,0.746078681845879,0.765,0.616,1.88808302023291e-136
"IFITM2",5.67723778438361e-140,0.564285238863615,0.938,0.899,1.27260962174743e-135
"PABPC1",4.07808440642935e-139,-0.368673100331281,0.996,0.998,9.14143400545203e-135
"PIM1",6.54250590006105e-139,-0.720208408694653,0.626,0.773,1.46656812255768e-134
"RPL3",6.03630544691323e-135,-0.280035918855852,1,1,1.35309822898007e-130
"PKM",7.3518105017336e-133,-0.410890005504442,0.923,0.983,1.6479818420686e-128
"BNIP3",4.37065162450703e-132,-0.524325171459606,0.73,0.891,9.79725268149496e-128
"RPS5",1.2630824162627e-128,-0.227040556226518,0.998,0.999,2.83132554429447e-124
"RPS8",1.22183708165327e-125,-0.221077076012793,1,1,2.73887000223397e-121
"RPL13",2.55653190981247e-124,-0.165352102002569,1,1,5.73072192903563e-120
"PSMB9",6.7637949879857e-124,0.737120315880554,0.734,0.594,1.51617228450687e-119
"SGK1",8.75172738626682e-124,-1.92435565360359,0.074,0.225,1.96178721090557e-119
"VEGFB",2.50012754391947e-123,-0.449756259990212,0.659,0.856,5.60428590244988e-119
"RPL8",7.90970993594313e-123,-0.214689221924755,1,1,1.77304057924101e-118
"EEF1B2",1.29471007832877e-122,-0.294308711403703,0.994,0.997,2.90222211158178e-118
"PNRC1",1.75596363707493e-122,-0.332652247115889,0.991,0.997,3.93616808886717e-118
"STAT1",6.00304342708232e-121,1.67378453976854,0.528,0.364,1.34564221461477e-116
"EEF1G",1.15235443653432e-117,-0.261709172409921,0.997,0.999,2.58311770493534e-113
"LINC01578",6.82427448958318e-114,-0.385622565363703,0.859,0.953,1.52972936958497e-109
"IL4R",6.94197153173636e-113,-1.45641367711482,0.179,0.269,1.55611233855402e-108
"U2AF1",3.53198374241135e-112,4.26322949829734,0.111,0.007,7.91729475698928e-108
"BST2",7.73105394430018e-112,1.69461570308549,0.248,0.082,1.73299305215433e-107
"PSME2",5.42265823834021e-110,0.787876115816125,0.634,0.476,1.21554307070634e-105
"C1orf112",3.30636717401521e-109,2.12752817409235,0.19,0.048,7.41155265727249e-105
"PDCD4",1.59489081014652e-108,0.628408547914585,0.774,0.648,3.57510724002443e-104
